sgRNA	Gene	NE_GFP_low
SMOC2_47354	SMOC2	1475
PVR_15554	PVR	626
TF_18997	TF	553
CHMP7_56008	CHMP7	2905
PITPNM3_52070	PITPNM3	964
DNMT3L_36869	DNMT3L	802
PTPRB_15462	PTPRB	1326
ZC2HC1B_62847	ZC2HC1B	899
DDX60L_55805	DDX60L	1195
CBX7_32941	CBX7	1115
SSH1_39911	SSH1	1171
IRGQ_59100	IRGQ	1722
RCN3_45356	RCN3	933
CCNB3_54910	CCNB3	1069
ING4_37960	ING4	298
UBE3D_55276	UBE3D	506
KRT222_58909	KRT222	546
RHOU_46540	RHOU	982
SPOCK3_37432	SPOCK3	2210
MYPN_53973	MYPN	334
BCOR_40872	BCOR	860
ARHGAP31_45696	ARHGAP31	1307
DHRS1_57573	DHRS1	1157
ZNF597_61589	ZNF597	1520
JAGN1_53736	JAGN1	1636
VIM_20157	VIM	488
TCTE3_18917	TCTE3	1607
ZNF621_68092	ZNF621	2058
PLCD4_54219	PLCD4	1372
SOX17_47623	SOX17	739
TAS2R39_66979	TAS2R39	2001
DDIAS_65538	DDIAS	1128
PLAC8L1_62840	PLAC8L1	1134
C9orf89_53291	C9orf89	679
FCRL5_52077	FCRL5	696
OXA1L_13160	OXA1L	907
SERP1_35808	SERP1	732
TMBIM6_18970	TMBIM6	205
HLA-DQA2_8421	HLA-DQA2	1167
GAD1_6807	GAD1	577
KIAA0895_32592	KIAA0895	1086
DEFB123_66168	DEFB123	1934
SLCO6A1_60157	SLCO6A1	1606
C20orf96_60876	C20orf96	129
SLC24A4_58580	SLC24A4	1273
HHAT_43186	HHAT	1600
FTH1P18_73142	FTH1P18	3964
KCNA10_9972	KCNA10	326
ZNF782_63173	ZNF782	757
OR2B11_59389	OR2B11	1679
CX3CL1_17060	CX3CL1	2777
C16orf74_72674	C16orf74	1560
SLC6A9_17546	SLC6A9	225
MGP_11458	MGP	2274
EDF1_22784	EDF1	272
FILIP1L_30626	FILIP1L	708
MYCL_12000	MYCL	242
NAIP_12188	NAIP	3091
AP5M1_43230	AP5M1	655
NCR3_66934	NCR3	592
ATF7_29857	ATF7	1158
HIST2H2BF_72987	HIST2H2BF	1560
VRK3_38192	VRK3	1021
FAM25A_73753	FAM25A	2881
MTCP1_11852	MTCP1	507
Non-Targeting Control_77342	Non-Targeting Control	5601
ACCSL_71622	ACCSL	871
SLC25A23_48895	SLC25A23	721
FADS2_24772	FADS2	581
SCIN_55025	SCIN	2425
KCTD8_70641	KCTD8	624
RBX1_26627	RBX1	608
FAM135B_37647	FAM135B	455
ZXDC_49180	ZXDC	327
Non-Targeting Control_76903	Non-Targeting Control	3872
ZNF749_71085	ZNF749	1469
LRRC74A_61434	LRRC74A	378
CXCL6_17043	CXCL6	2431
IL13RA2_9518	IL13RA2	640
HMGXB4_26803	HMGXB4	834
TMBIM6_18969	TMBIM6	1059
AGBL4_54326	AGBL4	571
Non-Targeting Control_76654	Non-Targeting Control	6837
DDHD2_32261	DDHD2	747
GRASP_63356	GRASP	1096
ZNF787_59070	ZNF787	539
L3MBTL4_55740	L3MBTL4	634
GPR135_47839	GPR135	1785
KCNJ12_10062	KCNJ12	561
ETNK2_41993	ETNK2	544
SFTPD_17235	SFTPD	1358
PTX3_15536	PTX3	2816
ZNF268_29189	ZNF268	1635
Non-Targeting Control_77317	Non-Targeting Control	4132
EGF_5365	EGF	1294
CLRN1_20062	CLRN1	307
MTMR3_23342	MTMR3	2070
NLRC5_53034	NLRC5	704
KRTAP3-1_52650	KRTAP3-1	1929
FAM186B_52839	FAM186B	227
ZNF133_20666	ZNF133	1584
FAM177A1_67443	FAM177A1	324
FAM189A2_24761	FAM189A2	938
ZNF234_29145	ZNF234	865
C16orf93_55641	C16orf93	924
DBX1_58241	DBX1	637
HACD2_64910	HACD2	219
ZNF510_31051	ZNF510	1724
CT47A9_74534	CT47A9	1762
STAG1_27595	STAG1	1482
IRF2_9703	IRF2	478
TMEM244_66319	TMEM244	1290
NDP_12263	NDP	3742
FAM163B_73732	FAM163B	1171
C3orf17_33950	C3orf17	62
RAB9A_24619	RAB9A	2150
ZNF883_64094	ZNF883	765
PARVG_47363	PARVG	891
BMP5_1785	BMP5	1016
GPR68_21305	GPR68	566
ADAM12_21219	ADAM12	383
GUCA1C_25403	GUCA1C	693
PPP1R13B_32600	PPP1R13B	708
DENND2C_63676	DENND2C	230
TCF7L1_52086	TCF7L1	803
EGFL8_51457	EGFL8	1226
PNLIPRP2_14304	PNLIPRP2	859
Non-Targeting Control_76465	Non-Targeting Control	5650
SPO11_33354	SPO11	1639
PEX12_13689	PEX12	641
CLHC1_59788	CLHC1	396
PLAC1_29087	PLAC1	3855
PIP4K2B_21828	PIP4K2B	1746
Non-Targeting Control_76678	Non-Targeting Control	6136
CAND1_43522	CAND1	1104
HDAC7_39046	HDAC7	597
MEST_11382	MEST	1263
SMC6_49607	SMC6	157
SMO_17792	SMO	395
Non-Targeting Control_77174	Non-Targeting Control	5503
C9orf152_72471	C9orf152	3881
FBXL16_61569	FBXL16	1074
MAGEA10_11031	MAGEA10	1791
C10orf99_70807	C10orf99	1283
CIB1_28349	CIB1	1835
HAX1_28137	HAX1	186
KHSRP_22358	KHSRP	659
ITPR3_9881	ITPR3	705
BMP6_1789	BMP6	452
MYO5A_12108	MYO5A	661
DNALI1_20932	DNALI1	1468
SPSB1_50846	SPSB1	812
NLRP12_55939	NLRP12	220
CSNK2B_4094	CSNK2B	497
KLK1_10212	KLK1	658
CEBPZ_27180	CEBPZ	213
GATA2_6909	GATA2	835
NAT14_44998	NAT14	2047
PFKM_13763	PFKM	454
XPA_20343	XPA	1073
TPST2_22001	TPST2	460
CELA2A_47039	CELA2A	1527
CCDC85A_57233	CCDC85A	963
HIST1H3G_21719	HIST1H3G	810
ZNF652_30942	ZNF652	612
FOXJ1_6406	FOXJ1	681
GPNMB_28143	GPNMB	1374
TSPEAR_39758	TSPEAR	1744
KCNIP1_37099	KCNIP1	588
APOBEC3F_64699	APOBEC3F	3767
TCTN2_50196	TCTN2	1177
PRDM13_46768	PRDM13	272
TAF7_18659	TAF7	676
C3orf35_69045	C3orf35	1179
CRYBB1_3959	CRYBB1	289
PLCZ1_55186	PLCZ1	454
KIF1C_29064	KIF1C	1982
CEP164_31152	CEP164	600
DPH5_39140	DPH5	351
KCTD17_49788	KCTD17	988
COA3_36215	COA3	1374
CT47A3_74561	CT47A3	391
C4orf48_72353	C4orf48	1053
BEND2_60660	BEND2	2685
ALDH1L1_29289	ALDH1L1	574
HFE2_62059	HFE2	303
NTNG1_31010	NTNG1	373
FCRL2_49191	FCRL2	568
Non-Targeting Control_77139	Non-Targeting Control	4655
CLEC5A_33288	CLEC5A	1277
TSN_19628	TSN	2658
MUC1_11905	MUC1	668
OR51F2_58177	OR51F2	896
TOR1B_36100	TOR1B	1612
CEP78_52955	CEP78	1010
LACTBL1_74078	LACTBL1	2991
CLEC18A_69926	CLEC18A	295
COX8A_3743	COX8A	901
RBCK1_28683	RBCK1	159
GNG13_39464	GNG13	1223
GAPT_64991	GAPT	1464
ATP1B4_32821	ATP1B4	1896
RBM12_27127	RBM12	912
SH3TC1_39916	SH3TC1	689
Non-Targeting Control_77168	Non-Targeting Control	1470
GGT6_58878	GGT6	1025
PEX2_15587	PEX2	544
MYZAP_76222	MYZAP	1883
HNRNPH3_8606	HNRNPH3	1070
METAP1D_66389	METAP1D	1797
TRIM61_71996	TRIM61	686
HIST1H3H_21725	HIST1H3H	926
MAP3K4_11350	MAP3K4	1573
Non-Targeting Control_76729	Non-Targeting Control	3286
TTC38_41342	TTC38	448
COMMD3_32741	COMMD3	622
FAM19A5_33793	FAM19A5	1088
NYNRIN_45720	NYNRIN	875
RNF181_38260	RNF181	313
DST_1841	DST	622
TRPM7_40674	TRPM7	207
KDM5D_21503	KDM5D	992
SFTPA1_74340	SFTPA1	206
Non-Targeting Control_76794	Non-Targeting Control	5174
ABO_80	ABO	586
Non-Targeting Control_76875	Non-Targeting Control	3973
ZNF358_60823	ZNF358	2443
PARP9_52351	PARP9	1042
NTSR1_12922	NTSR1	682
FAM156A_36356	FAM156A	1682
CHAD_3105	CHAD	1520
C8orf89_75261	C8orf89	359
CYB5R3_4757	CYB5R3	630
GPR68_21308	GPR68	517
NAALADL2_66510	NAALADL2	678
ETV5_5864	ETV5	402
FCER1A_6129	FCER1A	621
FAM102A_72100	FAM102A	762
AVIL_28893	AVIL	603
GABPB2_59191	GABPB2	560
OR6A2_22393	OR6A2	553
HMX3_69258	HMX3	252
SULT1A1_18471	SULT1A1	1065
ZNF397_53428	ZNF397	692
FZD1_21592	FZD1	2307
MIR1-1HG_59615	MIR1-1HG	3672
LRRC46_55502	LRRC46	1076
DPM1_23063	DPM1	1495
ENKUR_65344	ENKUR	981
C3orf52_49576	C3orf52	1585
NUTM1_66793	NUTM1	699
Non-Targeting Control_76442	Non-Targeting Control	3829
KCNH6_51492	KCNH6	698
COQ9_44847	COQ9	384
BCAN_47047	BCAN	472
PRR18_68287	PRR18	1032
PEX19_15572	PEX19	394
DCAF8L2_69820	DCAF8L2	2475
EPG5_46343	EPG5	1229
CPT1A_3824	CPT1A	510
FAM81B_62816	FAM81B	450
MICU1_27862	MICU1	1056
SENP8_58604	SENP8	681
LDB1_23224	LDB1	235
MEST_11381	MEST	2972
ZNF765_55933	ZNF765	2420
TDG_18929	TDG	271
SEC14L5_25720	SEC14L5	1113
SMARCAD1_44570	SMARCAD1	768
C8orf37_63032	C8orf37	204
ZXDA_20915	ZXDA	742
LELP1_62111	LELP1	1525
HHLA2_30274	HHLA2	1052
TPGS1_56081	TPGS1	556
Non-Targeting Control_76629	Non-Targeting Control	4398
FBXO38_51653	FBXO38	1003
ACTN3_217	ACTN3	1473
FSD1L_52537	FSD1L	1159
N4BP2L2_28095	N4BP2L2	677
ZNF117_38580	ZNF117	1129
CNPY1_68305	CNPY1	1046
TMEM235_67577	TMEM235	262
SMCP_11261	SMCP	1759
TSPYL4_32298	TSPYL4	484
TMEM56_62041	TMEM56	1257
OSER1_38944	OSER1	717
DEPDC4_58297	DEPDC4	1412
MRGPRX1_66965	MRGPRX1	2265
TNK2_27285	TNK2	631
LGALS3BP_10603	LGALS3BP	529
Non-Targeting Control_77334	Non-Targeting Control	3692
Non-Targeting Control_76909	Non-Targeting Control	2561
ABCD3_15575	ABCD3	2042
ST8SIA6_68751	ST8SIA6	985
CT55_41164	CT55	628
CUL2_21984	CUL2	333
KRTAP6-2_68637	KRTAP6-2	975
GPR173_39840	GPR173	1632
PCDHA13_44010	PCDHA13	555
KIAA0513_25893	KIAA0513	510
TMEM26_65334	TMEM26	985
TERF2IP_39880	TERF2IP	1928
USP17L21_75632	USP17L21	1429
EPS8L1_40831	EPS8L1	224
LRRTM4_50669	LRRTM4	299
PPP2R4_14639	PPP2R4	363
CEP57_25672	CEP57	2088
CCDC157_73540	CCDC157	533
PPP1R3A_14583	PPP1R3A	2328
OFD1_22060	OFD1	2458
SLC23A2_26580	SLC23A2	749
TTC30B_62393	TTC30B	1658
PNP_12755	PNP	728
C3orf18_38001	C3orf18	540
SCN9A_16915	SCN9A	1364
NLGN3_39887	NLGN3	1300
AP1AR_42511	AP1AR	1645
ZSCAN1_67740	ZSCAN1	843
CSAG1_63191	CSAG1	2473
TRIM62_41989	TRIM62	341
DOCK8_51883	DOCK8	1481
KLF17_59469	KLF17	712
PGBD4_63463	PGBD4	716
C1orf127_62014	C1orf127	990
POTEJ_74402	POTEJ	104
ATP9B_70342	ATP9B	683
Non-Targeting Control_76681	Non-Targeting Control	3336
KIAA0319_26204	KIAA0319	1193
TSHR_19647	TSHR	247
DEFB115_66151	DEFB115	745
CRISPLD1_52359	CRISPLD1	2410
TXLNB_63978	TXLNB	1850
KIAA1598_46258	KIAA1598	228
FXYD2_1363	FXYD2	580
TSPAN19_61334	TSPAN19	1007
MC1R_11193	MC1R	2665
MED12_26596	MED12	1659
UBB_19815	UBB	1706
C16orf97_70953	C16orf97	633
FAM50B_34822	FAM50B	788
RASSF8_30532	RASSF8	394
ZNF607_54174	ZNF607	523
PTPN12_15446	PTPN12	975
PLEKHH3_50540	PLEKHH3	1155
VIM_20159	VIM	543
NEIL2_66253	NEIL2	479
TSHB_19641	TSHB	796
FBXO9_34894	FBXO9	637
ASCL3_44382	ASCL3	246
CLDN7_3798	CLDN7	877
TBXAS1_18788	TBXAS1	665
IFT80_45843	IFT80	740
SHROOM2_1014	SHROOM2	2834
GOLPH3L_41915	GOLPH3L	1249
CELA3A_27122	CELA3A	284
GRIK5_7751	GRIK5	225
MME_11583	MME	745
C11orf68_52299	C11orf68	1322
CP_3759	CP	3636
ANKRD54_59672	ANKRD54	1899
F11R_37409	F11R	978
WWC2_50606	WWC2	564
4-Mar_45891	4-Mar	1671
FAM196A_73726	FAM196A	2446
EHD1_29598	EHD1	469
KRBOX1_75889	KRBOX1	484
ECI1_4565	ECI1	1942
CYSTM1_53567	CYSTM1	1829
PLLP_37760	PLLP	727
ZIM2_33329	ZIM2	2774
KCTD5_39935	KCTD5	1212
SH3BP2_17277	SH3BP2	749
HEATR5B_40076	HEATR5B	921
CATSPERB_50047	CATSPERB	455
NUDT16L1_53434	NUDT16L1	1505
TXNDC15_49892	TXNDC15	1640
BATF_28420	BATF	634
Non-Targeting Control_77389	Non-Targeting Control	3504
C20orf173_61038	C20orf173	1817
CNFN_53723	CNFN	1967
PLBD2_64424	PLBD2	888
KLRC2_10230	KLRC2	3437
C6orf201_72665	C6orf201	1327
MDFIC_36939	MDFIC	1910
ANXA4_833	ANXA4	2876
PCDHGC5_43875	PCDHGC5	710
ATP11A_32230	ATP11A	326
RARG_15839	RARG	541
SIRPA_61060	SIRPA	1294
NCF4_12248	NCF4	224
PDLIM2_47579	PDLIM2	596
SLC30A7_62088	SLC30A7	644
TPCN1_39586	TPCN1	906
SLC38A6_61413	SLC38A6	132
ZNF550_63587	ZNF550	3513
IQCF3_72341	IQCF3	2325
BLVRA_1756	BLVRA	181
TRIM61_71995	TRIM61	492
TPCN1_39583	TPCN1	359
Non-Targeting Control_76590	Non-Targeting Control	6958
TEX14_44061	TEX14	796
RBKS_47313	RBKS	445
Non-Targeting Control_77437	Non-Targeting Control	4927
Non-Targeting Control_77217	Non-Targeting Control	3577
TNFRSF11A_22986	TNFRSF11A	946
CNTFR_3539	CNTFR	567
SLC6A1_17518	SLC6A1	3092
WEE2_73452	WEE2	1469
FOXD4L4_70009	FOXD4L4	909
FOXG1_6372	FOXG1	2561
KRT13_10355	KRT13	2711
FBXL14_61364	FBXL14	124
PRH2_14749	PRH2	327
MAGEC1_26531	MAGEC1	3332
SLC28A1_24047	SLC28A1	2363
SH2B1_34220	SH2B1	809
HNRNPC_8585	HNRNPC	94
COASY_51202	COASY	1189
C3orf58_65165	C3orf58	587
C12orf74_68813	C12orf74	441
SURF4_18523	SURF4	577
SERPINF2_14167	SERPINF2	641
NXPE3_56002	NXPE3	344
TDG_18930	TDG	1020
TANGO2_59655	TANGO2	423
CHRNA6_23505	CHRNA6	465
TMED8_67421	TMED8	1196
MORN2_75014	MORN2	973
ZGLP1_75133	ZGLP1	997
Non-Targeting Control_76987	Non-Targeting Control	2051
VIM_20160	VIM	895
OR5AP2_68778	OR5AP2	1266
CAD_2198	CAD	160
TMIGD1_71003	TMIGD1	738
KRTCAP2_64673	KRTCAP2	757
GRPR_7840	GRPR	1596
ZNF219_38164	ZNF219	601
PIK3C2A_13956	PIK3C2A	883
CCDC24_62183	CCDC24	409
GPR87_39658	GPR87	1810
CCDC83_65541	CCDC83	1013
HES5_71100	HES5	977
ZNF747_48557	ZNF747	1005
C6orf163_65190	C6orf163	1804
MAPRE1_31231	MAPRE1	537
EIF2AK3_24870	EIF2AK3	1806
ARHGEF25_57505	ARHGEF25	1094
HERC2_23411	HERC2	712
TMTC4_54416	TMTC4	435
TFF2_19052	TFF2	568
GRASP_63353	GRASP	1227
SLC4A4_22636	SLC4A4	1480
KRTAP20-2_68673	KRTAP20-2	2176
H1F0_8081	H1F0	531
PRSS35_63967	PRSS35	694
MAGEA4_11012	MAGEA4	1561
C19orf25_61981	C19orf25	998
NDUFAF7_42534	NDUFAF7	287
ADCYAP1R1_315	ADCYAP1R1	246
TSSK2_33323	TSSK2	785
SLC2A2_17463	SLC2A2	339
KRTAP5-9_10302	KRTAP5-9	1874
SMIM6_75331	SMIM6	375
RHEB_16137	RHEB	2784
SLC5A12_63298	SLC5A12	2334
SPRED1_63456	SPRED1	1842
TNFRSF12A_38526	TNFRSF12A	832
HMGN3_24485	HMGN3	1999
OTP_32825	OTP	1396
OR5M11_65295	OR5M11	543
PTPRU_26924	PTPRU	291
IP6K2_38786	IP6K2	1703
APEX2_35981	APEX2	3991
RHOH_1154	RHOH	555
NFE2L3_25335	NFE2L3	429
TNFAIP8L3_70929	TNFAIP8L3	1832
PBXIP1_45348	PBXIP1	1065
DACT3_61888	DACT3	2039
IRF8_9112	IRF8	554
DYNLRB2_52334	DYNLRB2	1060
FDXACB1_56047	FDXACB1	202
LHPP_47304	LHPP	805
BMF_55475	BMF	2171
CEP135_25526	CEP135	2020
SH3BGRL_17273	SH3BGRL	1525
WDR81_58894	WDR81	323
KIAA1024_32234	KIAA1024	505
PHOX2A_1161	PHOX2A	1118
Non-Targeting Control_77021	Non-Targeting Control	6443
UPB1_39394	UPB1	463
GSTM3_7897	GSTM3	1580
IL16_9529	IL16	774
COX7B2_64228	COX7B2	2394
PLP2_14202	PLP2	1720
L1TD1_40300	L1TD1	1305
MAPKAPK5_22294	MAPKAPK5	1147
SLC12A5_45539	SLC12A5	4777
SPATC1L_53146	SPATC1L	1413
AMMECR1_26540	AMMECR1	549
CT62_64478	CT62	622
TM9SF3_44467	TM9SF3	2068
C2orf74_69025	C2orf74	140
CCDC94_43083	CCDC94	168
RLIM_37918	RLIM	2818
ZBTB40_26446	ZBTB40	1373
PSPH_15294	PSPH	439
GDPD5_51647	GDPD5	316
GP5_7456	GP5	538
ALDH4A1_22590	ALDH4A1	735
CHCHD7_49000	CHCHD7	672
GPR180_63383	GPR180	1335
RASGRP1_27082	RASGRP1	438
NEU2_12465	NEU2	538
SCGB1C1_61760	SCGB1C1	353
C16orf58_47957	C16orf58	816
KCTD17_49789	KCTD17	1519
WDYHV1_41545	WDYHV1	1673
WNT9A_20306	WNT9A	1813
SMARCA4_17750	SMARCA4	947
ARHGAP36_63214	ARHGAP36	1635
RTN2_16678	RTN2	1788
CASK_22365	CASK	1428
CLDN23_60467	CLDN23	1709
TMEM204_49523	TMEM204	2325
NAT6_33611	NAT6	834
IQCG_53150	IQCG	387
EBF2_47863	EBF2	547
TTC23L_62820	TTC23L	378
Non-Targeting Control_76510	Non-Targeting Control	5392
ITGAX_9796	ITGAX	489
CYTH3_24352	CYTH3	881
CAPNS1_2297	CAPNS1	604
IQSEC1_26442	IQSEC1	1561
RPL3L_16303	RPL3L	530
SYNPR_60037	SYNPR	1722
ZBED4_26318	ZBED4	3833
GUCY1A2_7988	GUCY1A2	1336
P3H2_41958	P3H2	1772
NRN1_38413	NRN1	2101
SPACA5_71509	SPACA5	3685
GML_7288	GML	1508
PLA2G4F_66573	PLA2G4F	614
CCL16_17001	CCL16	802
ATAD5_50346	ATAD5	1175
LY96_33398	LY96	2397
CCDC126_55601	CCDC126	1584
ACR_146	ACR	416
OSBPL9_57313	OSBPL9	723
TEAD2_22013	TEAD2	140
ODC1_13000	ODC1	598
YTHDF1_40985	YTHDF1	187
APOBEC3D_60835	APOBEC3D	352
TOR1AIP2_63699	TOR1AIP2	356
SDCBP_17076	SDCBP	127
WDR44_40145	WDR44	640
DMRT1_4869	DMRT1	277
KCNK3_10089	KCNK3	1176
SYTL4_56709	SYTL4	1515
ABCA6_32855	ABCA6	1180
NKX3-1_12640	NKX3-1	1156
RAB2A_15639	RAB2A	1922
ZDHHC8_36640	ZDHHC8	576
BOLL_48620	BOLL	247
OR8B8_35047	OR8B8	1687
GPR84_39641	GPR84	833
SLC31A1_3685	SLC31A1	545
CA5B_30565	CA5B	385
QKI_24845	QKI	1638
MS4A5_47575	MS4A5	317
B3GNT7_56412	B3GNT7	3099
Non-Targeting Control_76601	Non-Targeting Control	3321
ELANE_5479	ELANE	1805
APOBEC3H_63792	APOBEC3H	474
Non-Targeting Control_76734	Non-Targeting Control	3717
SCYL3_45122	SCYL3	1248
PHRF1_46151	PHRF1	911
ZCCHC8_42741	ZCCHC8	363
SRMS_18195	SRMS	579
PXN_15592	PXN	4173
TXNL4B_41128	TXNL4B	640
ZNF277_30390	ZNF277	2003
CRYGD_3983	CRYGD	1017
PHF2_13857	PHF2	251
ZNF610_63572	ZNF610	686
BTBD1_39531	BTBD1	329
LHX6_35019	LHX6	1344
Non-Targeting Control_77340	Non-Targeting Control	3867
TRPV3_63533	TRPV3	616
ZNF85_20626	ZNF85	1198
TMEM230_36361	TMEM230	950
CASR_2380	CASR	1762
CXorf67_69235	CXorf67	737
DNAH14_59386	DNAH14	1236
NTN3_12903	NTN3	901
SMC1B_35631	SMC1B	974
ZSWIM3_61003	ZSWIM3	345
ADPRH_388	ADPRH	296
PRKG2_14880	PRKG2	395
ANKRD44_55873	ANKRD44	440
ARRDC4_56063	ARRDC4	1255
ZNF7_20466	ZNF7	338
KRT76_38576	KRT76	2989
UTY_20073	UTY	1455
MYO6_12114	MYO6	1260
CCDC102B_50107	CCDC102B	1197
NAA38_53459	NAA38	569
WDR17_57851	WDR17	514
ZDHHC5_34087	ZDHHC5	477
RNASEH2C_53007	RNASEH2C	1347
KLHL32_57209	KLHL32	836
PTPN2_15419	PTPN2	689
ATM_1316	ATM	814
SPDEF_33755	SPDEF	1032
AVEN_44971	AVEN	935
CACNA1F_2160	CACNA1F	3099
GJA4_7151	GJA4	137
Non-Targeting Control_77364	Non-Targeting Control	3490
CMC2_44654	CMC2	1563
TRIP12_24476	TRIP12	1418
OR10A7_58375	OR10A7	616
SOHLH1_72560	SOHLH1	587
MTHFR_11866	MTHFR	1534
GRTP1_49901	GRTP1	731
GPC4_6211	GPC4	2278
FGD5_62652	FGD5	1197
FBXO24_34874	FBXO24	1468
GHDC_53708	GHDC	1032
MRPL24_49337	MRPL24	132
JAKMIP2_26126	JAKMIP2	337
FAM173B_60218	FAM173B	509
C7orf65_72413	C7orf65	1214
RAB27B_15687	RAB27B	2405
SLC9C1_68115	SLC9C1	2942
GNAI2_7309	GNAI2	727
RPRML_71015	RPRML	858
HIGD2A_64330	HIGD2A	342
CRADD_22843	CRADD	1146
DNMT3B_4952	DNMT3B	688
Non-Targeting Control_77359	Non-Targeting Control	3184
CWC25_40883	CWC25	172
KIF20A_27045	KIF20A	973
PTPRB_15461	PTPRB	482
SPRR1A_18099	SPRR1A	2570
TMED1_29866	TMED1	1394
PRR16_38535	PRR16	786
GPR161_32802	GPR161	117
SPSB4_56234	SPSB4	577
SHMT2_17322	SHMT2	364
FSCN1_17854	FSCN1	917
ZNF706_37882	ZNF706	1404
PLD5_64657	PLD5	1452
TNFRSF17_1665	TNFRSF17	868
Non-Targeting Control_76462	Non-Targeting Control	4459
DEFB107A_66128	DEFB107A	374
LILRB3_29894	LILRB3	437
Non-Targeting Control_76959	Non-Targeting Control	5317
FLG_6439	FLG	1115
CNBP_20473	CNBP	432
SYNCRIP_28280	SYNCRIP	238
LTBP2_10847	LTBP2	352
FOXF2_6379	FOXF2	1195
ATP6V1H_39133	ATP6V1H	470
SMPD4_42849	SMPD4	1828
APPL2_41896	APPL2	804
BCO2_52575	BCO2	411
SYAP1_56666	SYAP1	1650
RFX3_16071	RFX3	965
TNC_9070	TNC	1781
TBC1D25_12975	TBC1D25	968
GRIN3A_57760	GRIN3A	421
NCAPH2_36614	NCAPH2	356
ACBD6_53477	ACBD6	1058
DNAJB8_63854	DNAJB8	496
NACC1_56899	NACC1	316
NRK_65106	NRK	2287
LRCH2_46077	LRCH2	1081
HDAC9_25787	HDAC9	1011
PARD6G_53798	PARD6G	288
GPR52_24416	GPR52	804
RGS6_25411	RGS6	701
SH3BGR_17271	SH3BGR	282
PRB3_14710	PRB3	2641
CCDC28A_34034	CCDC28A	2017
SLC12A9_44807	SLC12A9	609
UCHL3_19906	UCHL3	701
ZNF771_38533	ZNF771	1495
ARL10_68215	ARL10	275
HIST1H2BK_54756	HIST1H2BK	4329
FBXW2_34737	FBXW2	633
KIF4A_33592	KIF4A	519
PSG5_15117	PSG5	2612
CASC10_72124	CASC10	1502
DDRGK1_48572	DDRGK1	1121
OR2F1_34757	OR2F1	2941
SLC15A1_17640	SLC15A1	780
1-Dec_37241	1-Dec	2911
METTL25_53090	METTL25	1614
KIF2B_53917	KIF2B	976
ZFAND2B_59855	ZFAND2B	979
HILPDA_36791	HILPDA	1136
PHACTR4_48525	PHACTR4	2360
WAS_20213	WAS	997
PRMT6_41791	PRMT6	619
KCNQ3_10126	KCNQ3	1380
TCHP_53254	TCHP	516
MTMR10_40922	MTMR10	1509
C1orf56_41158	C1orf56	343
SPESP1_66239	SPESP1	1183
DNTTIP1_57635	DNTTIP1	338
NAPG_22936	NAPG	193
LRRC10B_71706	LRRC10B	1941
OR2J2_35273	OR2J2	2165
MUC5AC_11917	MUC5AC	109
RPS6KA2_16519	RPS6KA2	964
MRGPRX2_57929	MRGPRX2	1142
CMSS1_53474	CMSS1	808
EYA1_5920	EYA1	1618
Non-Targeting Control_77339	Non-Targeting Control	2268
THRSP_19175	THRSP	1067
ZKSCAN2_69387	ZKSCAN2	702
ZNF133_20667	ZNF133	516
MRPL28_28540	MRPL28	82
OPN1MW_7013	OPN1MW	2306
CFAP47_68461	CFAP47	886
C7orf62_65320	C7orf62	1026
ANK3_804	ANK3	520
FGGY_42169	FGGY	843
KBTBD6_55224	KBTBD6	991
TBC1D8_30235	TBC1D8	1586
LRRC29_34796	LRRC29	1364
HIST1H3J_21721	HIST1H3J	1427
WNT4_39873	WNT4	966
C9orf24_54031	C9orf24	490
RANBP17_48235	RANBP17	459
MAGEA10_11029	MAGEA10	2115
SYNJ2BP_42362	SYNJ2BP	260
UCN3_57097	UCN3	1209
CFAP70_58049	CFAP70	477
RRAGB_27758	RRAGB	983
IGSF23_61844	IGSF23	1121
RPUSD3_68134	RPUSD3	1592
ZIM3_57080	ZIM3	1182
OR7A17_34991	OR7A17	1063
TRPM6_60983	TRPM6	1344
SNX3_22793	SNX3	1840
GPR101_52227	GPR101	2319
C7orf76_72422	C7orf76	1488
HNRNPDL_26650	HNRNPDL	1230
CCDC60_63369	CCDC60	1322
STARD3NL_52675	STARD3NL	873
OR4C45_72604	OR4C45	2179
Non-Targeting Control_76900	Non-Targeting Control	3589
ORC3_33268	ORC3	214
TMEM252_64081	TMEM252	916
ARPP21_29140	ARPP21	974
ESCO1_57232	ESCO1	5050
ATF3_1304	ATF3	871
IGF2R_9304	IGF2R	1051
SLC17A7_44870	SLC17A7	621
ZNF695_45026	ZNF695	634
AGTRAP_44932	AGTRAP	386
PIK3CD_13982	PIK3CD	1312
C9_2040	C9	562
PVRIG_48779	PVRIG	2110
NSMF_34340	NSMF	471
ZNF28_20533	ZNF28	961
TMEM47_52274	TMEM47	1009
Non-Targeting Control_76739	Non-Targeting Control	2566
SNAI2_17734	SNAI2	1040
SLC25A17_28222	SLC25A17	445
VGLL3_71297	VGLL3	1526
SUDS3_47776	SUDS3	432
PNMAL2_45543	PNMAL2	590
RAB4B_39683	RAB4B	524
XAGE1E_74232	XAGE1E	434
SDHAF2_41101	SDHAF2	1017
CHADL_62319	CHADL	1546
NCR3_66935	NCR3	1568
SPRY4_51957	SPRY4	1944
OR8B3_71748	OR8B3	348
CNTNAP5_59723	CNTNAP5	769
KCNJ14_10069	KCNJ14	327
SPATA45_62211	SPATA45	998
