sgRNA	Gene	Clip2_8_IN8_treatment_BC23_IGO_09496_15_S15
ROPN1_40521	ROPN1	133
KDM1B_65851	KDM1B	67
TCP11X2_76270	TCP11X2	166
FTHL17_39704	FTHL17	117
STOM_5641	STOM	60
ZNF860_69632	ZNF860	34
ARF5_1089	ARF5	32
C12orf74_68815	C12orf74	101
ZNF850_69429	ZNF850	110
PENK_13658	PENK	58
KNSTRN_55470	KNSTRN	31
COLGALT2_31803	COLGALT2	263
ZNF322_49647	ZNF322	13
PSMB10_15210	PSMB10	85
CASP9_2364	CASP9	44
ARMCX5_48206	ARMCX5	94
PDZK1IP1_27197	PDZK1IP1	41
MTMR4_23888	MTMR4	72
LIX1L_59458	LIX1L	51
RAB15_70576	RAB15	24
ZNF541_53120	ZNF541	29
FAM53A_62724	FAM53A	91
ACTL8_51716	ACTL8	46
SIRT3_32733	SIRT3	58
LOC100505841_75850	LOC100505841	78
PGM2_42166	PGM2	60
NDC1_43100	NDC1	68
OTUD5_42735	OTUD5	15
CLEC4F_63840	CLEC4F	20
NGFRAP1_35408	NGFRAP1	84
ZNF705E_75385	ZNF705E	28
SLC40A1_37055	SLC40A1	49
RASEF_63128	RASEF	106
KRTAP10-4_70653	KRTAP10-4	68
GRK5_7639	GRK5	92
ALOX5AP_672	ALOX5AP	85
Non-Targeting Control_77026	Non-Targeting Control	146
Non-Targeting Control_77437	Non-Targeting Control	313
C10orf62_72755	C10orf62	91
TBC1D17_49791	TBC1D17	47
SLC25A14_23596	SLC25A14	60
AKAP7_24915	AKAP7	56
SRPK3_35179	SRPK3	158
Non-Targeting Control_77085	Non-Targeting Control	198
ANGPT4_38644	ANGPT4	222
KLHL25_47733	KLHL25	102
GPR108_44610	GPR108	87
LOC101927844_76357	LOC101927844	48
SPATA31D4_71465	SPATA31D4	105
HMX2_8539	HMX2	29
ALOX5AP_670	ALOX5AP	39
MAZ_11172	MAZ	92
LEFTY2_19093	LEFTY2	24
TNFRSF11A_22988	TNFRSF11A	73
BTG4_40531	BTG4	44
ASIC3_24441	ASIC3	30
DBX1_58242	DBX1	45
PIH1D3_60675	PIH1D3	45
DNMT3L_36870	DNMT3L	132
Non-Targeting Control_76454	Non-Targeting Control	207
ZNF570_62004	ZNF570	101
MAP6D1_50383	MAP6D1	147
ALPK1_50934	ALPK1	89
T_18594	T	52
BRI3BP_60928	BRI3BP	11
RNF215_64689	RNF215	106
NCF4_12245	NCF4	56
KIRREL2_52813	KIRREL2	142
VIP_20161	VIP	130
PRSS12_22083	PRSS12	52
Non-Targeting Control_76918	Non-Targeting Control	364
COL5A1_3585	COL5A1	67
TENM3_43121	TENM3	88
RHOD_36967	RHOD	34
CHD9_50901	CHD9	44
NDUFA6_12287	NDUFA6	16
ATG4A_57431	ATG4A	131
BIN3_43722	BIN3	35
MC1R_11195	MC1R	28
PTGDS_15323	PTGDS	59
CA5B_30563	CA5B	23
C9orf84_63162	C9orf84	62
CLSTN1_31107	CLSTN1	46
IZUMO3_75230	IZUMO3	91
Non-Targeting Control_76524	Non-Targeting Control	333
ARMCX6_40007	ARMCX6	27
NCOA7_60321	NCOA7	34
OR9I1_65456	OR9I1	39
POLE4_44331	POLE4	62
S100G_2210	S100G	89
IFNL3_67125	IFNL3	45
ZNF124_20652	ZNF124	56
ASIC5_39494	ASIC5	59
DYNLT3_18913	DYNLT3	277
TBXA2R_18783	TBXA2R	76
CLEC11A_16867	CLEC11A	182
Non-Targeting Control_77197	Non-Targeting Control	411
MARK1_11127	MARK1	179
TEX11_44075	TEX11	73
FRY_27099	FRY	65
GABBR2_25239	GABBR2	57
GIP_7135	GIP	47
RASSF7_21221	RASSF7	48
TMEM14B_51972	TMEM14B	271
PTPN9_15439	PTPN9	50
GRIK1_7736	GRIK1	61
GCLM_7204	GCLM	18
LOC388282_70959	LOC388282	13
METAP1D_66390	METAP1D	55
MAGEA8_11021	MAGEA8	227
RSPO3_54319	RSPO3	141
GDI1_7042	GDI1	81
SAA2_16780	SAA2	13
DYTN_71991	DYTN	101
CDKN1C_2935	CDKN1C	37
LOC100129520_75213	LOC100129520	103
C10orf105_72750	C10orf105	240
GOT1_7432	GOT1	86
HS6ST2_55327	HS6ST2	45
OPALIN_56503	OPALIN	87
TYW5_59695	TYW5	82
PLA2G2D_34933	PLA2G2D	73
MAN2C1_11080	MAN2C1	49
VHLL_71922	VHLL	75
MOV10_11685	MOV10	77
KCNK5_22547	KCNK5	213
OR5I1_29198	OR5I1	38
SPRN_73469	SPRN	164
S100A3_16721	S100A3	29
C6orf203_38246	C6orf203	31
CERK_48039	CERK	55
MEI4_76376	MEI4	88
