sgRNA	Gene	Clip2_8_IN8_treatment_BC23_IGO_09496_15_S15
TP53AIP1_47227	TP53AIP1	41
ZFYVE28_46363	ZFYVE28	50
KL_24615	KL	92
GCFC2_18845	GCFC2	17
Non-Targeting Control_76985	Non-Targeting Control	277
FXR2_25060	FXR2	8
RLN1_16147	RLN1	86
CPN2_3809	CPN2	64
SYTL2_40742	SYTL2	28
ANKRD33_69323	ANKRD33	58
MSX1_11799	MSX1	47
ABHD10_42411	ABHD10	37
DNAJC13_32442	DNAJC13	5
UXS1_50786	UXS1	97
GSTT2B_74397	GSTT2B	101
ERI3_48764	ERI3	178
CACHD1_46214	CACHD1	23
KRT2_10312	KRT2	47
ADAL_63467	ADAL	31
WDR44_40145	WDR44	42
SH2B3_26754	SH2B3	74
SHISA7_75008	SHISA7	40
PGAP2_36010	PGAP2	87
PNLIPRP1_14299	PNLIPRP1	29
OR3A2_13092	OR3A2	55
SPATA2L_58688	SPATA2L	30
KLK4_25391	KLK4	108
Non-Targeting Control_76767	Non-Targeting Control	258
CCDC74B_55833	CCDC74B	334
GLI4_7229	GLI4	57
FGF22_35391	FGF22	11
C10orf35_65359	C10orf35	124
MFAP5_21250	MFAP5	44
CLEC2B_26623	CLEC2B	9
KIAA1210_45591	KIAA1210	120
IFNG_9265	IFNG	38
SLA2_53055	SLA2	30
DUOXA2_72697	DUOXA2	16
INSC_70839	INSC	52
DDX58_33238	DDX58	101
MTAP_11847	MTAP	134
CBLN4_60899	CBLN4	40
TMEM211_66607	TMEM211	43
OR6B1_60400	OR6B1	64
KATNA1_30138	KATNA1	15
ATP6V1G2_1477	ATP6V1G2	76
DNASE2B_46642	DNASE2B	127
C3orf80_72349	C3orf80	68
RHBDL2_41046	RHBDL2	28
DLEU7_65562	DLEU7	10
Non-Targeting Control_77409	Non-Targeting Control	258
RANBP3_22102	RANBP3	41
OR51B4_49169	OR51B4	66
C15orf61_61486	C15orf61	342
ZNF561_56456	ZNF561	12
APPL1_34487	APPL1	64
OR5M11_65296	OR5M11	81
MYO3B_60825	MYO3B	97
CHRNB2_3247	CHRNB2	16
FNDC4_48134	FNDC4	81
CNNM1_35080	CNNM1	74
SLC9A6_28226	SLC9A6	57
SOHLH1_72557	SOHLH1	34
ASPN_40698	ASPN	76
FETUB_35375	FETUB	18
SOX4_17984	SOX4	109
DSG4_61782	DSG4	48
DKK4_35612	DKK4	44
Non-Targeting Control_77292	Non-Targeting Control	143
SORBS3_27254	SORBS3	102
ADD2_321	ADD2	144
MMP20_24449	MMP20	85
DEFB126_51823	DEFB126	40
IQCF5_71289	IQCF5	45
OR2T3_69521	OR2T3	97
OR2H2_21099	OR2H2	45
CEP68_31975	CEP68	148
FUT6_6664	FUT6	34
HYPM_33654	HYPM	320
ARHGEF28_47595	ARHGEF28	50
SLC2A8_36979	SLC2A8	48
TCEAL4_50360	TCEAL4	75
MGMT_11455	MGMT	111
ZCCHC8_42739	ZCCHC8	43
PDE7A_13549	PDE7A	51
ARHGAP24_52166	ARHGAP24	32
TEDDM1_59399	TEDDM1	42
TMEM229B_63394	TMEM229B	63
LYZL6_45136	LYZL6	65
TMEM225_68765	TMEM225	28
ADAMTS4_25039	ADAMTS4	60
ASIC2_125	ASIC2	94
BVES_30277	BVES	94
MS4A12_40802	MS4A12	7
CT45A10_76402	CT45A10	220
NGFR_12589	NGFR	20
IGFBP5_9328	IGFBP5	113
SPANXA2_74770	SPANXA2	47
MYO1D_12099	MYO1D	44
MCF2_11228	MCF2	128
NME9_69882	NME9	37
MROH1_74527	MROH1	55
PAPD4_63943	PAPD4	25
TRIM36_42601	TRIM36	34
SCGB1D2_28790	SCGB1D2	19
HID1_67568	HID1	18
ARG1_1099	ARG1	28
KCNJ13_10065	KCNJ13	54
DAZAP1_35135	DAZAP1	17
WBSCR28_60370	WBSCR28	38
OR51L1_58167	OR51L1	65
CNPPD1_35406	CNPPD1	27
VAMP2_18547	VAMP2	33
ETNK1_42539	ETNK1	39
CYP11B2_4430	CYP11B2	93
KRTAP3-3_54775	KRTAP3-3	112
Non-Targeting Control_76946	Non-Targeting Control	197
XKRY_23801	XKRY	100
LMTK3_57180	LMTK3	10
IQCF5_71290	IQCF5	115
NFIB_12524	NFIB	204
IFNA13_9234	IFNA13	81
DENND1B_63691	DENND1B	63
ANKMY1_38346	ANKMY1	34
CYP26A1_4452	CYP26A1	21
HIST1H2AM_21643	HIST1H2AM	20
CDO1_2959	CDO1	86
GBP3_6950	GBP3	65
KLHL20_35890	KLHL20	48
VPS37B_49741	VPS37B	15
MGST3_11472	MGST3	57
MED12_26593	MED12	234
SDHB_17089	SDHB	42
RTKN_16656	RTKN	25
Non-Targeting Control_77415	Non-Targeting Control	238
EVC_5872	EVC	129
DAD1_4480	DAD1	18
FAM184B_35680	FAM184B	55
CT47A9_74534	CT47A9	121
TPSAB1_19528	TPSAB1	20
ST6GALNAC2_28658	ST6GALNAC2	62
OR4N2_71769	OR4N2	81
FARP1_27207	FARP1	5
C16orf45_55242	C16orf45	7
ZNF536_25828	ZNF536	88
MINPP1_25222	MINPP1	94
HSBP1_8867	HSBP1	61
GCNT4_38419	GCNT4	31
CCDC63_63365	CCDC63	20
LNX1_54092	LNX1	58
HAS1_8174	HAS1	295
RAD51AP2_74934	RAD51AP2	136
SOCS7_37129	SOCS7	48
BPIFA2_60880	BPIFA2	43
PASK_31982	PASK	53
AVL9_31669	AVL9	16
SSR4_18270	SSR4	52
RNF114_43705	RNF114	16
RGS14_28755	RGS14	64
MAFG_10990	MAFG	62
ZNF117_38580	ZNF117	37
CD200R1_59945	CD200R1	68
ABL1_68	ABL1	159
NTHL1_12888	NTHL1	25
N6AMT2_65702	N6AMT2	28
COL6A3_3601	COL6A3	65
HOXD9_8765	HOXD9	77
AGFG1_8831	AGFG1	85
PML_14253	PML	64
DRICH1_38199	DRICH1	83
C10orf88_50581	C10orf88	22
RANBP3L_64984	RANBP3L	181
CLEC19A_74621	CLEC19A	138
CNGA3_3498	CNGA3	17
NANOS1_69250	NANOS1	121
Non-Targeting Control_76807	Non-Targeting Control	167
LRRC46_55499	LRRC46	94
ASB5_60799	ASB5	67
TMEM235_67580	TMEM235	147
BCORL1_47035	BCORL1	100
PXT1_66043	PXT1	135
ZNF34_51359	ZNF34	37
PCDH1_13394	PCDH1	116
FAM71D_63392	FAM71D	42
ZNF486_55578	ZNF486	154
SAMSN1_47344	SAMSN1	137
SIMC1_70502	SIMC1	52
HLA-DMA_8389	HLA-DMA	43
PRAMEF15_74372	PRAMEF15	96
GALNT13_57252	GALNT13	53
OR52J3_58162	OR52J3	156
SLC26A7_57419	SLC26A7	33
AGBL1_58629	AGBL1	26
EDDM3B_47513	EDDM3B	48
PLAG1_14085	PLAG1	21
FCHSD1_55160	FCHSD1	14
COPG1_30902	COPG1	96
C1QL3_71536	C1QL3	94
ZSCAN1_67740	ZSCAN1	33
ASCL5_74186	ASCL5	53
Non-Targeting Control_76624	Non-Targeting Control	222
RGS13_16120	RGS13	10
GNPDA2_60095	GNPDA2	57
NUAK2_51897	NUAK2	33
SERP1_35809	SERP1	71
OVGP1_13151	OVGP1	37
SLC52A3_56989	SLC52A3	43
PIKFYVE_64739	PIKFYVE	86
DPP7_36888	DPP7	49
NTSR1_12923	NTSR1	46
Non-Targeting Control_76902	Non-Targeting Control	100
ITGB7_9826	ITGB7	25
ADCY8_302	ADCY8	42
TNN_47146	TNN	89
LEPROTL1_32933	LEPROTL1	115
PTPRJ_15495	PTPRJ	42
GPR15_7540	GPR15	91
RFC5_16047	RFC5	15
POTEG_72695	POTEG	47
HCCS_8228	HCCS	126
FZD10_30474	FZD10	15
OR4C15_51542	OR4C15	34
YIPF6_68458	YIPF6	54
LOC389602_71421	LOC389602	145
DDA1_48714	DDA1	4
ZNF785_61602	ZNF785	29
IGSF23_61842	IGSF23	8
TM9SF3_44467	TM9SF3	155
STPG2_68200	STPG2	87
CD2_2549	CD2	50
VSNL1_20198	VSNL1	28
DGAT2_53933	DGAT2	28
MAGEA2_11004	MAGEA2	101
ALMS1_20975	ALMS1	121
UNC119_23841	UNC119	43
Non-Targeting Control_77308	Non-Targeting Control	295
CFTR_3077	CFTR	48
TMEM210_75856	TMEM210	46
CNDP2_43235	CNDP2	52
NLGN2_45827	NLGN2	53
GLT1D1_61329	GLT1D1	106
OR52E8_71602	OR52E8	35
OTOR_44560	OTOR	69
PTPN2_15420	PTPN2	127
MEN1_11361	MEN1	15
BIRC6_45471	BIRC6	21
RPAIN_53283	RPAIN	16
Non-Targeting Control_76514	Non-Targeting Control	217
HMGB4_59370	HMGB4	72
HIST1H2BH_21677	HIST1H2BH	41
CHIA_35716	CHIA	136
APOF_880	APOF	49
NOXO1_58695	NOXO1	24
PTN_15408	PTN	73
HOXC6_8721	HOXC6	94
SMCO1_66666	SMCO1	78
BRINP2_46391	BRINP2	47
RTN4_45105	RTN4	28
Non-Targeting Control_77273	Non-Targeting Control	100
Non-Targeting Control_77278	Non-Targeting Control	144
HIC1_8336	HIC1	66
SYT11_32082	SYT11	32
SRSF10_29126	SRSF10	20
CNFN_53723	CNFN	91
Non-Targeting Control_77379	Non-Targeting Control	33
SOX11_18000	SOX11	157
NIPSNAP3B_42370	NIPSNAP3B	156
Non-Targeting Control_77257	Non-Targeting Control	198
MSX1_11800	MSX1	55
Non-Targeting Control_76651	Non-Targeting Control	281
CLMN_49949	CLMN	32
CTSS_4274	CTSS	22
CNIH1_27257	CNIH1	30
ZNF471_45889	ZNF471	106
PRAF2_30535	PRAF2	132
Non-Targeting Control_77143	Non-Targeting Control	163
CISD1_43563	CISD1	25
LOC403312_72632	LOC403312	72
NOS1AP_25738	NOS1AP	37
Non-Targeting Control_76752	Non-Targeting Control	226
ZNF705D_74815	ZNF705D	85
DISP2_54973	DISP2	63
PXDN_20971	PXDN	77
FGB_6228	FGB	67
MLKL_64505	MLKL	22
PAWR_13318	PAWR	126
EEPD1_51390	EEPD1	112
ECI1_4565	ECI1	98
Non-Targeting Control_77417	Non-Targeting Control	247
TMEM260_40989	TMEM260	84
SLC36A3_68240	SLC36A3	95
PCDHGB6_43890	PCDHGB6	199
ARRDC2_35579	ARRDC2	45
NPNT_66649	NPNT	91
KRT13_10353	KRT13	130
LAPTM4B_42434	LAPTM4B	42
TBL1XR1_49731	TBL1XR1	21
SMARCE1_17780	SMARCE1	36
Non-Targeting Control_76731	Non-Targeting Control	248
GAS8_6904	GAS8	70
Non-Targeting Control_76445	Non-Targeting Control	142
PIK3C2G_13961	PIK3C2G	73
SPATA7_43462	SPATA7	52
USP4_19998	USP4	87
Non-Targeting Control_76684	Non-Targeting Control	191
TRABD2B_71124	TRABD2B	54
IRAK1_9684	IRAK1	176
SCGB1D4_72679	SCGB1D4	61
PDE7B_35605	PDE7B	64
FOXD4L6_74305	FOXD4L6	16
BSCL2_35196	BSCL2	60
ATXN3L_56266	ATXN3L	40
EIF2AK3_24870	EIF2AK3	106
LCE3B_70093	LCE3B	115
ANP32A_21317	ANP32A	34
C6orf226_73057	C6orf226	51
IL2RG_9406	IL2RG	79
FAM83H_68350	FAM83H	93
TMEM105_67679	TMEM105	18
TARSL2_58616	TARSL2	86
C17orf50_61686	C17orf50	13
NELL1_12433	NELL1	40
CMTM3_58677	CMTM3	155
Non-Targeting Control_77232	Non-Targeting Control	346
PROKR1_29437	PROKR1	86
ACOT11_34380	ACOT11	77
OR4C45_72604	OR4C45	83
PDE1A_13493	PDE1A	60
ANO8_46329	ANO8	40
HIST1H2BI_21682	HIST1H2BI	53
ANKRD50_45225	ANKRD50	37
IFI6_6696	IFI6	19
SIGLEC5_22951	SIGLEC5	67
OR9I1_65454	OR9I1	37
CCR2_74850	CCR2	65
WISP3_23155	WISP3	97
HIST1H4G_21775	HIST1H4G	39
HIST1H3B_21732	HIST1H3B	20
PTGDR_15318	PTGDR	132
OR9G4_67246	OR9G4	81
RASGRF2_15869	RASGRF2	46
RBPMS_29901	RBPMS	51
LTF_10863	LTF	63
SLITRK3_31040	SLITRK3	68
Non-Targeting Control_77103	Non-Targeting Control	198
NOSTRIN_57530	NOSTRIN	97
ARRDC3_45849	ARRDC3	30
ELL2_31289	ELL2	31
PDE8B_22467	PDE8B	203
PARP2_26792	PARP2	68
CSNK1G1_39712	CSNK1G1	22
IGFL3_71066	IGFL3	210
C19orf33_47299	C19orf33	97
ARHGAP31_45696	ARHGAP31	112
SCD5_50483	SCD5	84
PPP2R5A_14641	PPP2R5A	25
ABCA3_51	ABCA3	41
LRRC39_59364	LRRC39	21
C10orf25_65643	C10orf25	46
LHB_10624	LHB	60
PPFIA3_22257	PPFIA3	26
EDN1_5280	EDN1	68
HMX1_8533	HMX1	44
BMP10_35984	BMP10	91
LOC100130880_75320	LOC100130880	97
PLAC1_29090	PLAC1	83
MALRD1_69262	MALRD1	11
OR9A2_60378	OR9A2	129
OR2G2_51584	OR2G2	60
PRRC2A_21070	PRRC2A	7
IQCF5_71292	IQCF5	143
SRM_18191	SRM	21
TMEM14C_38933	TMEM14C	79
MXRA5_33968	MXRA5	63
FTHL17_39703	FTHL17	157
FASTKD1_49599	FASTKD1	64
ADGRL1_31019	ADGRL1	73
EDARADD_59466	EDARADD	52
C11orf86_66478	C11orf86	23
UNCX_69128	UNCX	134
RABL6_43025	RABL6	33
Non-Targeting Control_76750	Non-Targeting Control	125
PRRC2A_21072	PRRC2A	12
PLN_14187	PLN	175
TBC1D8B_40892	TBC1D8B	67
UGT3A2_63940	UGT3A2	22
MYO16_31499	MYO16	29
Non-Targeting Control_77370	Non-Targeting Control	115
MAS1_11139	MAS1	181
WDR5B_40232	WDR5B	61
C19orf68_70391	C19orf68	112
OR8B8_35049	OR8B8	133
Non-Targeting Control_76953	Non-Targeting Control	168
AMACR_33285	AMACR	19
GAGE12J_74902	GAGE12J	60
ZNF786_60405	ZNF786	30
VAMP1_18543	VAMP1	33
Non-Targeting Control_77395	Non-Targeting Control	333
DNAH10_64398	DNAH10	178
SLC22A16_54891	SLC22A16	84
FOXF2_6379	FOXF2	130
EDN3_5286	EDN3	73
TRIM23_1068	TRIM23	128
ZPBP_29967	ZPBP	71
PI3_13890	PI3	16
KCNK9_38435	KCNK9	74
Non-Targeting Control_77057	Non-Targeting Control	316
SOD3_17942	SOD3	88
FAM83C_59642	FAM83C	70
SLIT1_17717	SLIT1	35
MSLN_27448	MSLN	2
ZNF524_61867	ZNF524	70
GSTA5_65764	GSTA5	34
USP11_21455	USP11	73
KIF13B_32388	KIF13B	55
Non-Targeting Control_77157	Non-Targeting Control	159
ARHGAP12_56720	ARHGAP12	58
Non-Targeting Control_77183	Non-Targeting Control	169
PCOLCE2_35183	PCOLCE2	26
MCC_11218	MCC	25
SPINK9_73794	SPINK9	74
FAM205A_67024	FAM205A	39
CD163_24514	CD163	149
ACSM6_61121	ACSM6	5
TAS2R43_66992	TAS2R43	49
COPZ2_38178	COPZ2	46
WFIKKN1_57917	WFIKKN1	121
STAM2_27535	STAM2	54
TP53BP2_19462	TP53BP2	78
LBX1_28835	LBX1	43
PSORS1C2_64203	PSORS1C2	35
HFE_8302	HFE	70
PDLIM2_47581	PDLIM2	74
TMEM151B_73062	TMEM151B	43
WDR13_47921	WDR13	47
GCG_6969	GCG	117
COX8A_3742	COX8A	118
H1FX_23497	H1FX	31
CCL15_17000	CCL15	61
C1QTNF3_57335	C1QTNF3	18
GH1_7108	GH1	41
JUND_9923	JUND	38
CNP_3521	CNP	128
NWD1_67870	NWD1	63
EGFL8_51458	EGFL8	28
USP34_25796	USP34	111
CTNND2_4224	CTNND2	32
GALNT5_30529	GALNT5	20
IGLL5_75768	IGLL5	48
B4GALT5_24524	B4GALT5	15
VPS72_18874	VPS72	1
SSX7_67116	SSX7	89
NUP35_59686	NUP35	81
RXRA_16683	RXRA	30
ADAM21_22876	ADAM21	103
SPIN1_29571	SPIN1	52
CRYAA_3939	CRYAA	30
CPQ_27977	CPQ	77
RGS17_35175	RGS17	64
MED12_26594	MED12	251
GPR31_7591	GPR31	15
POMT1_28579	POMT1	46
Non-Targeting Control_76879	Non-Targeting Control	154
OR10A2_69300	OR10A2	64
Non-Targeting Control_77127	Non-Targeting Control	103
GLRA1_7243	GLRA1	46
MAGEC1_26529	MAGEC1	56
Non-Targeting Control_77184	Non-Targeting Control	276
CYSLTR2_44994	CYSLTR2	34
APP_995	APP	46
KCTD1_67696	KCTD1	66
LUZP6_75089	LUZP6	200
G6PC_6698	G6PC	19
APOBEC3B_25281	APOBEC3B	184
RBMXL3_60764	RBMXL3	92
LOC100129520_75214	LOC100129520	68
NLRC5_53033	NLRC5	30
OR5M10_71665	OR5M10	76
ZNF33A_20546	ZNF33A	114
IER3_23247	IER3	35
SLCO1B3_36169	SLCO1B3	2
HR_43441	HR	21
SUMO1_19891	SUMO1	21
NPNT_66650	NPNT	104
MARCO_22678	MARCO	44
MSRB1_39398	MSRB1	88
Non-Targeting Control_76464	Non-Targeting Control	300
SLC10A1_17604	SLC10A1	70
IRAK1_9681	IRAK1	124
TAS2R4_37368	TAS2R4	56
C20orf194_34160	C20orf194	27
GAS2L1_28747	GAS2L1	30
CCDC81_46920	CCDC81	67
UBTD2_56144	UBTD2	89
GPC4_6210	GPC4	133
DQX1_63842	DQX1	110
C9orf85_60572	C9orf85	157
MXD1_10947	MXD1	41
RNASE1_16176	RNASE1	94
CDKL5_18416	CDKL5	103
PCNP_44947	PCNP	10
BEGAIN_45972	BEGAIN	75
SYNGR2_24009	SYNGR2	77
DMWD_4873	DMWD	59
IL12RB2_9508	IL12RB2	24
FAM150A_71440	FAM150A	71
ZFP62_73850	ZFP62	79
USP2_23863	USP2	41
NCALD_52746	NCALD	11
GRM3_7794	GRM3	71
SPAG17_64667	SPAG17	34
Non-Targeting Control_76848	Non-Targeting Control	280
Non-Targeting Control_77072	Non-Targeting Control	151
Non-Targeting Control_76612	Non-Targeting Control	233
KCNJ5_10044	KCNJ5	67
JAKMIP1_62708	JAKMIP1	27
GRID2IP_72069	GRID2IP	35
CXCL1_7818	CXCL1	31
OR13C4_60628	OR13C4	33
TRMT10B_63133	TRMT10B	69
UBE2D4_39156	UBE2D4	48
GPR84_39642	GPR84	81
BMP2K_42727	BMP2K	111
Non-Targeting Control_76729	Non-Targeting Control	235
PALM_13291	PALM	52
Non-Targeting Control_76805	Non-Targeting Control	175
C11orf44_67242	C11orf44	78
PPM1B_14549	PPM1B	60
MACROD2_60949	MACROD2	99
CSGALNACT1_43390	CSGALNACT1	100
HLA-DRB5_8443	HLA-DRB5	23
SETD3_53097	SETD3	36
MEF2BNB-MEF2B_11320	MEF2BNB-MEF2B	67
LHFPL2_27278	LHFPL2	143
PIK3R1_13991	PIK3R1	35
AMZ1_62979	AMZ1	13
ADAM12_21220	ADAM12	35
ZFAT_46055	ZFAT	64
RIBC2_34669	RIBC2	26
C4orf17_52913	C4orf17	40
Non-Targeting Control_76832	Non-Targeting Control	296
OASL_22521	OASL	71
ZC4H2_43708	ZC4H2	166
CCNG1_2507	CCNG1	24
PHPT1_36421	PHPT1	99
Non-Targeting Control_76571	Non-Targeting Control	241
Non-Targeting Control_76824	Non-Targeting Control	227
SLCO1C1_39695	SLCO1C1	29
ANO7_37296	ANO7	17
MPDZ_22946	MPDZ	107
SASH1_32472	SASH1	41
P2RY13_39635	P2RY13	42
FAM26F_73076	FAM26F	61
CCDC50_62632	CCDC50	50
ADD1_320	ADD1	111
DENND2C_63674	DENND2C	36
ATP12A_1344	ATP12A	84
PTBP3_26666	PTBP3	48
TANC2_34593	TANC2	48
EYA3_5925	EYA3	83
ZDHHC21_69178	ZDHHC21	3
PLCL1_14128	PLCL1	60
ITGAX_9793	ITGAX	44
C17orf49_58872	C17orf49	13
PERM1_54212	PERM1	203
C17orf64_58812	C17orf64	29
CCDC117_62294	CCDC117	42
FAM89A_70440	FAM89A	106
DEFB126_51826	DEFB126	44
MYPOP_68918	MYPOP	64
TMEM171_60243	TMEM171	89
CDY1_23816	CDY1	155
PBDC1_38280	PBDC1	69
CNGB3_40428	CNGB3	116
Non-Targeting Control_76720	Non-Targeting Control	262
JMJD6_32089	JMJD6	20
NIN_38112	NIN	53
CAMK4_2251	CAMK4	37
CNGB1_3486	CNGB1	9
LPPR5_63684	LPPR5	33
OR13D1_68442	OR13D1	119
CLU_3378	CLU	14
LOC102724279_76414	LOC102724279	205
PPP1R9B_54029	PPP1R9B	56
KLHL36_49942	KLHL36	43
UNC5A_55368	UNC5A	21
FAM205A_67021	FAM205A	17
MEIS3_44573	MEIS3	4
SPANXC_47882	SPANXC	127
ZNF316_75344	ZNF316	207
GRM1_7787	GRM1	27
SCN3B_43420	SCN3B	60
SLFN12_41581	SLFN12	86
CARD10_36600	CARD10	110
LPXN_24733	LPXN	136
TRNP1_71113	TRNP1	89
KANSL1L_62429	KANSL1L	140
SPATA31A6_71461	SPATA31A6	146
TNK2_27285	TNK2	51
S100A4_16727	S100A4	161
Non-Targeting Control_76936	Non-Targeting Control	103
TEX9_70302	TEX9	84
C9orf106_72771	C9orf106	33
IFNA21_9250	IFNA21	60
FREM1_63151	FREM1	23
GRM8_7813	GRM8	29
Non-Targeting Control_77153	Non-Targeting Control	244
TLDC1_46289	TLDC1	42
MUC22_75996	MUC22	58
CEACAM3_3092	CEACAM3	242
CUL7_26084	CUL7	41
Non-Targeting Control_76520	Non-Targeting Control	238
LZTR1_21420	LZTR1	20
PAICS_28641	PAICS	16
ADGRL4_47431	ADGRL4	94
MND1_52789	MND1	12
PPARD_14494	PPARD	98
MEGF9_5385	MEGF9	65
PER3_23229	PER3	21
MAGEA9B_74616	MAGEA9B	44
BIRC2_917	BIRC2	15
WISP1_23161	WISP1	56
PUSL1_59226	PUSL1	73
CREB1_3859	CREB1	24
LMX1A_10730	LMX1A	114
ZNF280C_42782	ZNF280C	39
ADAMTS18_64222	ADAMTS18	33
BAG3_25123	BAG3	54
LUZP2_68758	LUZP2	71
ANKHD1_40880	ANKHD1	97
CHRM2_3200	CHRM2	98
PPP1R14C_51887	PPP1R14C	22
ZNF684_59351	ZNF684	17
PDE4B_13519	PDE4B	121
PC_13372	PC	20
ASCL5_74187	ASCL5	105
ZBTB1_31131	ZBTB1	37
FANCD2OS_57565	FANCD2OS	17
GPR143_12953	GPR143	148
Non-Targeting Control_76698	Non-Targeting Control	207
UBE2E1_19849	UBE2E1	150
PHLDB2_55297	PHLDB2	37
ODF4_61683	ODF4	55
FBXO6_34900	FBXO6	22
TMEM168_47749	TMEM168	68
SERPINF1_13649	SERPINF1	85
OR5W2_71638	OR5W2	64
RNASE7_53958	RNASE7	58
THBD_19138	THBD	59
NBL1_12220	NBL1	70
TDP1_43332	TDP1	84
MAOA_11094	MAOA	30
ADAMTSL4_40106	ADAMTSL4	71
Non-Targeting Control_76533	Non-Targeting Control	247
C3orf36_50710	C3orf36	17
Non-Targeting Control_77382	Non-Targeting Control	107
PCDHGC5_43878	PCDHGC5	39
CFD_4712	CFD	25
IL1RAPL1_30244	IL1RAPL1	44
CUL3_21977	CUL3	29
SGMS2_63925	SGMS2	26
Non-Targeting Control_76567	Non-Targeting Control	204
