sgRNA	Gene	Clip2_7_E8_control_BC21_IGO_09496_13_S13
Non-Targeting Control_77042	Non-Targeting Control	349
ZC3H4_32094	ZC3H4	57
ELMSAN1_55977	ELMSAN1	24
WFDC9_66961	WFDC9	144
CNIH3_62130	CNIH3	81
OXR1_41490	OXR1	80
Non-Targeting Control_76736	Non-Targeting Control	235
ZNF514_54337	ZNF514	98
CD52_2977	CD52	105
TRAPPC10_19325	TRAPPC10	97
TFAP2C_19015	TFAP2C	19
FAM114A1_56309	FAM114A1	159
BAG5_25116	BAG5	91
FCRL1_57468	FCRL1	29
TAX1BP3_37158	TAX1BP3	21
GABRB3_6769	GABRB3	80
MRPS16_37562	MRPS16	16
TMED8_67422	TMED8	57
RNF216_40029	RNF216	130
NDRG1_27951	NDRG1	79
PRAMEF14_74943	PRAMEF14	111
BPIFA1_38403	BPIFA1	34
PER2_23233	PER2	47
EDAR_29525	EDAR	54
PNLIPRP2_14301	PNLIPRP2	58
Non-Targeting Control_76524	Non-Targeting Control	366
UHRF1BP1L_31647	UHRF1BP1L	33
C4orf17_52914	C4orf17	56
FBXL16_61569	FBXL16	96
DET1_41476	DET1	184
ZNF814_75033	ZNF814	83
BTBD6_55318	BTBD6	124
Non-Targeting Control_77193	Non-Targeting Control	288
RAB43_68845	RAB43	153
CDY1_23813	CDY1	107
SRRM5_75534	SRRM5	16
GTF2IRD2B_71406	GTF2IRD2B	93
SPIN3_64108	SPIN3	50
PLA2G4C_22417	PLA2G4C	30
EMC3_43515	EMC3	48
KLRG2_69770	KLRG2	56
CATSPERG_46458	CATSPERG	12
Non-Targeting Control_76443	Non-Targeting Control	353
OR4N5_71787	OR4N5	40
RAB32_29747	RAB32	32
SPECC1_56263	SPECC1	103
GFAP_7059	GFAP	157
DIAPH1_4765	DIAPH1	30
PPP2R3B_36156	PPP2R3B	64
BLVRA_1754	BLVRA	40
LUC7L2_39176	LUC7L2	88
SLC10A6_69675	SLC10A6	75
HBQ1_8220	HBQ1	34
BIRC6_45473	BIRC6	30
RORB_16250	RORB	117
TFIP11_33616	TFIP11	20
HLA-F_8453	HLA-F	27
C6orf120_70739	C6orf120	75
MYO1A_12090	MYO1A	29
NBPF14_33850	NBPF14	98
ZNF785_61602	ZNF785	30
FBXO15_64889	FBXO15	46
AMIGO3_70707	AMIGO3	87
C7orf55_62917	C7orf55	66
BEX5_69202	BEX5	18
ARMC10_52496	ARMC10	51
TGFA_19073	TGFA	28
TMEM214_40823	TMEM214	77
IKZF4_47672	IKZF4	60
Non-Targeting Control_77358	Non-Targeting Control	224
DOCK5_50572	DOCK5	33
BTN3A1_30171	BTN3A1	53
ABCC4_27542	ABCC4	49
KCNK9_38435	KCNK9	83
RSPH3_52553	RSPH3	63
MGST2_11465	MGST2	24
GPR3_7497	GPR3	80
TARBP1_18709	TARBP1	65
NAPSA_24955	NAPSA	98
LHFPL1_69231	LHFPL1	142
SEC23IP_30445	SEC23IP	54
PPP4R4_46323	PPP4R4	89
TNFRSF10B_23000	TNFRSF10B	60
DUSP9_5175	DUSP9	212
ERICH6B_65555	ERICH6B	154
FGF14_6286	FGF14	108
GCSAML_62081	GCSAML	38
PDE6A_13532	PDE6A	18
PRDM8_44752	PRDM8	117
FNBP1_31577	FNBP1	106
DHCR24_4741	DHCR24	146
OR1L6_72029	OR1L6	13
IER3IP1_37883	IER3IP1	45
KLHL41_27754	KLHL41	41
SNRNP27_29860	SNRNP27	61
LHX3_21188	LHX3	141
OR10H2_35161	OR10H2	104
ADAMTS19_64259	ADAMTS19	217
WBP2_33167	WBP2	54
COX8C_69360	COX8C	364
CT47A5_74550	CT47A5	191
RC3H2_40195	RC3H2	71
HSD17B7_38848	HSD17B7	81
LAMC1_10492	LAMC1	200
FLVCR1_36288	FLVCR1	49
PATE1_63306	PATE1	218
