sgRNA	Gene	Clip2_7_E8_control_BC21_IGO_09496_13_S13
LHPP_47305	LHPP	122
EPHA4_5655	EPHA4	52
TNFSF14_22850	TNFSF14	86
TMEM167B_44513	TMEM167B	72
SERPINB1_5481	SERPINB1	18
BAALC_50207	BAALC	77
F13B_5990	F13B	69
TMEM255B_69908	TMEM255B	100
ATP4A_1395	ATP4A	107
SLC44A2_45146	SLC44A2	33
ICAM3_9101	ICAM3	243
HMX1_8533	HMX1	38
FBXO43_68377	FBXO43	101
SGCG_17249	SGCG	99
MC1R_11193	MC1R	208
ATF7IP2_50672	ATF7IP2	55
ZNF844_67828	ZNF844	95
GMPPA_36804	GMPPA	39
MORN4_58077	MORN4	37
LIN37_43771	LIN37	29
EDDM3B_47513	EDDM3B	48
UNC13B_28295	UNC13B	55
NOS3_12707	NOS3	22
LGI1_24196	LGI1	59
SPATA8_61505	SPATA8	1
ARHGAP6_1137	ARHGAP6	198
GIGYF1_47854	GIGYF1	12
UQCRH_20036	UQCRH	192
CMC2_44651	CMC2	101
RNF216_40028	RNF216	35
KLHL35_67257	KLHL35	59
G0S2_37202	G0S2	120
LDLR_10567	LDLR	26
SMIM17_61815	SMIM17	69
OR13D1_68444	OR13D1	68
TFCP2_19024	TFCP2	85
FOXP3_37465	FOXP3	165
OR8B12_65404	OR8B12	51
OR6C4_69329	OR6C4	36
ABAT_40	ABAT	23
TTLL3_34645	TTLL3	53
SERPINF1_13651	SERPINF1	63
TRAPPC8_31090	TRAPPC8	10
ZNF784_61869	ZNF784	19
KLHDC2_33243	KLHDC2	63
TOR1A_5200	TOR1A	36
EXOC3L1_67514	EXOC3L1	83
PNMT_14306	PNMT	38
DCUN1D1_39805	DCUN1D1	40
PDP2_45800	PDP2	9
SOX11_17997	SOX11	118
URGCP_42974	URGCP	94
PTGES2_50769	PTGES2	68
LRIG2_26217	LRIG2	78
KIAA1024L_75138	KIAA1024L	39
OST4_75173	OST4	29
CCDC78_58698	CCDC78	51
SRGAP2C_74318	SRGAP2C	70
FEZ1_25443	FEZ1	161
SRGAP1_45715	SRGAP1	58
FBXL20_54624	FBXL20	104
MGMT_11455	MGMT	103
PRR7_51313	PRR7	19
GTF3C3_24506	GTF3C3	28
RHOD_36969	RHOD	5
KCNK18_68746	KCNK18	41
LDHD_64497	LDHD	57
ELAC2_46946	ELAC2	32
ALX1_21287	ALX1	94
LRCH2_46078	LRCH2	61
KLHL3_34838	KLHL3	126
ZNF114_63627	ZNF114	16
TCP11X2_76270	TCP11X2	159
Non-Targeting Control_76629	Non-Targeting Control	226
CA9_2128	CA9	74
LIMK2_10665	LIMK2	58
EBLN2_41558	EBLN2	79
PSRC1_54107	PSRC1	42
ORMDL2_36458	ORMDL2	42
GUCD1_52279	GUCD1	96
RNMTL1_41826	RNMTL1	10
CHST11_37243	CHST11	97
CPNE1_23360	CPNE1	132
PRORY_76164	PRORY	37
MECP2_11310	MECP2	29
ZNF442_50499	ZNF442	93
KCTD3_37921	KCTD3	105
SLMO1_28795	SLMO1	27
ZNF701_43293	ZNF701	63
AKAP1_21350	AKAP1	20
ZDHHC24_66463	ZDHHC24	128
XCR1_7506	XCR1	9
TPPP_30043	TPPP	32
CRYBA1_3945	CRYBA1	54
RAB3D_25171	RAB3D	42
UBE2D1_19838	UBE2D1	51
USP24_32563	USP24	28
TECRL_66271	TECRL	100
RNF170_51904	RNF170	99
CEP89_54429	CEP89	10
PDZD11_38235	PDZD11	37
OR10K2_71926	OR10K2	22
WDPCP_37639	WDPCP	58
JAGN1_53738	JAGN1	82
SLC16A8_33098	SLC16A8	103
OR2A2_73263	OR2A2	80
CSRP2_4115	CSRP2	29
Non-Targeting Control_77109	Non-Targeting Control	140
GPR1_7491	GPR1	50
ARHGAP40_69559	ARHGAP40	51
PROCA1_61724	PROCA1	20
CHST9_52192	CHST9	29
LYNX1_48600	LYNX1	138
CAND1_43520	CAND1	19
MANEA_49656	MANEA	80
FBXO10_34890	FBXO10	54
VSTM2L_59552	VSTM2L	71
DDX39B_21082	DDX39B	13
Non-Targeting Control_77414	Non-Targeting Control	275
TMEM150C_73045	TMEM150C	53
IQCF2_71288	IQCF2	122
TFAP2A_19005	TFAP2A	88
CACNA2D3_43415	CACNA2D3	97
CHUK_3270	CHUK	79
FBXO32_57355	FBXO32	143
Non-Targeting Control_77122	Non-Targeting Control	348
PANK1_39573	PANK1	20
PPP1R3D_14591	PPP1R3D	58
PSTPIP1_23702	PSTPIP1	98
LTA_10830	LTA	65
TWF2_30832	TWF2	52
SPRR4_63718	SPRR4	17
IFITM2_28571	IFITM2	30
DEDD2_63593	DEDD2	133
SGPP2_59803	SGPP2	15
CREB3L3_54073	CREB3L3	86
GMPR2_38385	GMPR2	24
RAB3IP_57922	RAB3IP	16
TMEM54_57010	TMEM54	116
HRC_8843	HRC	31
BEND6_65758	BEND6	117
FHOD1_36508	FHOD1	76
TYROBP_19799	TYROBP	78
CD200_11691	CD200	151
TBX5_18770	TBX5	42
CNGA2_3494	CNGA2	72
HOXA10_8661	HOXA10	15
NPPA_12788	NPPA	46
APBA1_882	APBA1	8
SCAPER_37177	SCAPER	37
TSSC1_19661	TSSC1	27
RPGRIP1_44963	RPGRIP1	28
TMEM164_53078	TMEM164	91
GIN1_40686	GIN1	58
ATP1A2_1335	ATP1A2	63
FAM46A_42762	FAM46A	25
PRKAR2B_14813	PRKAR2B	73
FAM46D_64103	FAM46D	49
TRNP1_71114	TRNP1	94
APPL2_41896	APPL2	27
SMIM5_73740	SMIM5	33
TMSB15B_68473	TMSB15B	61
GJC1_26841	GJC1	51
AMY1B_765	AMY1B	54
C1RL_38336	C1RL	52
HIC2_31784	HIC2	68
SULT1E1_18385	SULT1E1	25
GNG4_7364	GNG4	68
SLC35E4_68996	SLC35E4	24
CERS2_36900	CERS2	24
ZNF652_30940	ZNF652	49
TCAF2_68318	TCAF2	20
ALOX5AP_671	ALOX5AP	73
FBXO36_59888	FBXO36	183
C6orf25_51280	C6orf25	9
NGEF_33711	NGEF	79
C6orf62_51859	C6orf62	60
CDH15_2883	CDH15	26
TMPRSS7_69633	TMPRSS7	153
TTLL9_63775	TTLL9	106
TSPAN10_52602	TSPAN10	111
DCUN1D2_41931	DCUN1D2	100
OR52N1_49255	OR52N1	89
FAM170B_64130	FAM170B	92
OR10K2_71928	OR10K2	32
ERICH5_65053	ERICH5	48
CD5_2574	CD5	86
Non-Targeting Control_76852	Non-Targeting Control	180
FOLR3_6544	FOLR3	29
ARSE_1212	ARSE	107
CORO2B_27928	CORO2B	31
C16orf90_74077	C16orf90	25
SSX7_67115	SSX7	81
STXBP1_18456	STXBP1	40
CT47A7_74285	CT47A7	38
PVR_15553	PVR	59
TMEM191B_74598	TMEM191B	11
TCHH_19156	TCHH	25
LRRC14_25603	LRRC14	77
DCBLD2_59961	DCBLD2	68
MAP10_40350	MAP10	30
UGT1A9_40303	UGT1A9	46
OTOGL_67307	OTOGL	19
VHLL_71922	VHLL	91
Non-Targeting Control_76961	Non-Targeting Control	80
ARSK_62812	ARSK	68
SOX4_17982	SOX4	32
FAM135A_45914	FAM135A	143
CXorf51B_75468	CXorf51B	87
MYO3B_60827	MYO3B	60
KIR2DS4_10189	KIR2DS4	91
PPM1J_68586	PPM1J	142
FRMPD3_53609	FRMPD3	107
ALOX15B_684	ALOX15B	58
TYW5_59696	TYW5	75
EMC9_37545	EMC9	29
SPTBN5_38530	SPTBN5	21
LKAAEAR1_64540	LKAAEAR1	27
PRDX5_33820	PRDX5	128
GPC2_65909	GPC2	11
SH2D1A_10908	SH2D1A	132
PTTG1_24258	PTTG1	63
COX7A2_3731	COX7A2	43
KCNH6_51493	KCNH6	143
CDKN3_2956	CDKN3	39
Non-Targeting Control_76459	Non-Targeting Control	262
Non-Targeting Control_76735	Non-Targeting Control	273
CBLL1_50215	CBLL1	21
C7orf73_74174	C7orf73	68
CYGB_57155	CYGB	23
ANGPT4_38644	ANGPT4	274
RAB2B_54521	RAB2B	14
ATP13A5_69653	ATP13A5	64
MAGEB16_60731	MAGEB16	148
SMARCAD1_44570	SMARCAD1	54
DYRK3_21945	DYRK3	39
SHPK_33491	SHPK	23
SPNS1_52731	SPNS1	39
TEDDM1_59398	TEDDM1	65
CARD14_48926	CARD14	29
TSPYL6_71228	TSPYL6	32
SLC9A4_71247	SLC9A4	53
CUL3_21978	CUL3	58
RPP14_30127	RPP14	76
ZC3H12B_69213	ZC3H12B	80
TMEM150A_59681	TMEM150A	43
JAGN1_53736	JAGN1	170
OR51G1_49161	OR51G1	73
NUAK1_26326	NUAK1	55
TTC19_40947	TTC19	46
SPATA31A6_71461	SPATA31A6	150
PCDHA11_44015	PCDHA11	154
OR8S1_69337	OR8S1	85
EHD2_37140	EHD2	68
RIPPLY2_60300	RIPPLY2	2
ZNF391_69726	ZNF391	68
PRDM10_44761	PRDM10	132
OR5P2_58211	OR5P2	58
CNBD2_61075	CNBD2	46
HTT_8258	HTT	26
Non-Targeting Control_76602	Non-Targeting Control	259
OSTC_46619	OSTC	18
BPY2_23807	BPY2	76
SCRIB_33004	SCRIB	197
Non-Targeting Control_77410	Non-Targeting Control	295
SIMC1_70502	SIMC1	110
TRIM23_1066	TRIM23	45
PMAIP1_14244	PMAIP1	186
LCN15_71491	LCN15	27
TMEM47_52272	TMEM47	25
UBAP1L_71813	UBAP1L	52
SLC39A2_36978	SLC39A2	198
OR4C46_58191	OR4C46	112
RGS8_54874	RGS8	33
KLF12_30685	KLF12	78
TSPAN7_19300	TSPAN7	94
FANCF_6069	FANCF	14
MCFD2_55460	MCFD2	112
LRRC46_55500	LRRC46	41
CST9L_59605	CST9L	245
AQP1_1020	AQP1	44
SMARCD3_17775	SMARCD3	17
TPBGL_75935	TPBGL	105
SGSM3_36118	SGSM3	60
HSD17B4_8898	HSD17B4	86
ZBTB16_20708	ZBTB16	87
ZBTB3_50122	ZBTB3	49
SLC52A2_49314	SLC52A2	84
RPP25L_60606	RPP25L	63
POU3F2_14456	POU3F2	10
QKI_24846	QKI	35
LRRC42_57475	LRRC42	43
SOWAHA_60282	SOWAHA	36
RHBDD1_53185	RHBDD1	89
GRM3_7796	GRM3	157
SATB2_32430	SATB2	100
SPIN3_64105	SPIN3	19
COX10_3748	COX10	60
CCL13_16990	CCL13	117
IRF2_9701	IRF2	38
FGL1_6313	FGL1	20
SYNC_51607	SYNC	14
GRAMD1C_40515	GRAMD1C	178
IL2RG_9407	IL2RG	83
LILRB3_29893	LILRB3	60
RNF11_35365	RNF11	79
CETN1_3050	CETN1	23
ST20_72202	ST20	102
GDF15_25078	GDF15	68
PKNOX2_47060	PKNOX2	10
COL7A1_3607	COL7A1	39
PHF20_38188	PHF20	7
OR4K14_58518	OR4K14	104
OR5D18_65254	OR5D18	242
KIAA0141_26050	KIAA0141	135
MYDGF_43844	MYDGF	99
ERMARD_43354	ERMARD	21
TMEM43_49114	TMEM43	157
LAPTM4A_25811	LAPTM4A	108
RAB40AL_67147	RAB40AL	118
KRR1_30134	KRR1	82
S100A13_16761	S100A13	57
DEFB105B_73494	DEFB105B	142
ANGPTL5_66362	ANGPTL5	77
CCDC117_62295	CCDC117	45
HHIP_47709	HHIP	21
FUNDC2_48567	FUNDC2	17
CPNE2_65717	CPNE2	40
KIAA1407_45904	KIAA1407	22
FAM135A_45913	FAM135A	81
INSL4_9653	INSL4	100
ZMYM2_20802	ZMYM2	63
THRA_19167	THRA	65
FAM120A_32040	FAM120A	29
IPO7_28383	IPO7	21
PATL1_65509	PATL1	38
TBC1D25_12976	TBC1D25	60
NEURL4_53663	NEURL4	34
AAR2_34255	AAR2	21
ATP1A3_1340	ATP1A3	13
OPRM1_13067	OPRM1	136
OR2G6_71973	OR2G6	42
TRIM6-TRIM34_73309	TRIM6-TRIM34	163
IFT27_29871	IFT27	86
KDELR3_29851	KDELR3	32
KLB_62717	KLB	97
CHRDL2_33979	CHRDL2	140
KIR2DL1_10177	KIR2DL1	218
Non-Targeting Control_77233	Non-Targeting Control	383
BBS10_49799	BBS10	94
ALKBH3_65700	ALKBH3	8
TM9SF3_44467	TM9SF3	139
HEG1_45626	HEG1	40
SPATA31C2_74058	SPATA31C2	49
ANP32C_33031	ANP32C	96
FNDC3A_31028	FNDC3A	35
OMP_13036	OMP	45
ICOS_36674	ICOS	60
RNPEPL1_45099	RNPEPL1	30
PRG3_27938	PRG3	118
SLC4A5_46473	SLC4A5	63
TSHR_19645	TSHR	30
LRP12_36934	LRP12	52
HERC1_23413	HERC1	139
BEGAIN_45971	BEGAIN	69
PSMC2_15218	PSMC2	17
MADD_22348	MADD	103
PSD_15091	PSD	32
CLCN1_3341	CLCN1	22
PZP_15621	PZP	133
OSER1_38946	OSER1	64
SIRT2_31279	SIRT2	40
BCAT2_1613	BCAT2	117
ADGB_49831	ADGB	39
RS1_16659	RS1	150
IPO7_28381	IPO7	88
LRRC25_59130	LRRC25	84
FILIP1_35676	FILIP1	13
KIAA1324L_65967	KIAA1324L	24
PKD1L2_57172	PKD1L2	68
MYOM3_59335	MYOM3	32
SFXN3_51977	SFXN3	90
ARHGAP12_56717	ARHGAP12	29
AMELY_722	AMELY	57
CD33_2645	CD33	42
IL2RB_9402	IL2RB	44
Non-Targeting Control_76486	Non-Targeting Control	213
RAD54B_33699	RAD54B	12
MRC1_11733	MRC1	45
CWC25_40885	CWC25	28
SORBS3_27253	SORBS3	78
NDUFAF6_60486	NDUFAF6	186
MAP9_50254	MAP9	72
DEFB126_51824	DEFB126	28
RCN2_15955	RCN2	42
CDK19_31725	CDK19	15
RTN4_45106	RTN4	31
OR5B21_65481	OR5B21	31
PASD1_60662	PASD1	109
GATA5_60865	GATA5	30
TSPYL1_19659	TSPYL1	45
GOLPH3L_41917	GOLPH3L	79
Non-Targeting Control_76779	Non-Targeting Control	219
MAP1LC3C_73007	MAP1LC3C	3
Non-Targeting Control_76790	Non-Targeting Control	268
AKR1E2_52249	AKR1E2	18
ASB3_37908	ASB3	89
COL24A1_66640	COL24A1	46
KIDINS220_45645	KIDINS220	34
MAGEA1_10997	MAGEA1	43
DEFB4A_4703	DEFB4A	99
HOXB7_8704	HOXB7	57
CHD6_53063	CHD6	55
GAB3_60740	GAB3	131
RERG_54708	RERG	67
TBX4_25005	TBX4	60
LGALS13_36556	LGALS13	143
TRIM49D1_72147	TRIM49D1	31
ATP6V0A1_1482	ATP6V0A1	48
PRPS2_15013	PRPS2	101
LONRF3_50096	LONRF3	51
FAM188A_50599	FAM188A	61
FAM50B_34819	FAM50B	115
CHRNB4_3256	CHRNB4	7
Non-Targeting Control_76807	Non-Targeting Control	102
ABI3_38171	ABI3	103
DYNC2H1_49545	DYNC2H1	186
OR52R1_58183	OR52R1	36
FAM157B_75436	FAM157B	6
C16orf78_58682	C16orf78	89
TDP2_39053	TDP2	43
ITM2C_51806	ITM2C	5
KCNK4_37327	KCNK4	16
OR1L6_72032	OR1L6	52
PNCK_60741	PNCK	170
AQP4_1031	AQP4	27
PROC_14988	PROC	52
FAR1_53080	FAR1	31
ZNF324B_71089	ZNF324B	73
IL6ST_9444	IL6ST	37
Non-Targeting Control_76819	Non-Targeting Control	325
SIX1_17391	SIX1	43
HCCS_8228	HCCS	200
RPRD2_32223	RPRD2	11
SELP_17132	SELP	27
TLX1_8623	TLX1	10
MVK_11951	MVK	3
APCDD1L_63766	APCDD1L	32
NYAP2_46060	NYAP2	9
CCL14_16994	CCL14	111
UAP1_18034	UAP1	99
WDR4_29159	WDR4	13
CYBB_4314	CYBB	66
LRP5_10806	LRP5	28
PRMT6_41791	PRMT6	28
AGR3_62993	AGR3	84
UGT2B7_19960	UGT2B7	56
DEFB133_72641	DEFB133	64
SPATA18_60081	SPATA18	49
TEKT1_52341	TEKT1	100
ROPN1L_52526	ROPN1L	28
USP6NL_25705	USP6NL	59
MBD5_43340	MBD5	18
KIF21B_31570	KIF21B	128
ADAR_265	ADAR	48
MECOM_5876	MECOM	15
PKIG_30248	PKIG	163
MDFIC_36940	MDFIC	57
ZNF121_20645	ZNF121	82
ZNF627_64556	ZNF627	61
ACSM4_69319	ACSM4	57
CDON_37452	CDON	41
NXF3_43837	NXF3	37
CTCFL_60902	CTCFL	68
NOXRED1_58555	NOXRED1	39
DEFB110_66134	DEFB110	105
TAC1_18598	TAC1	50
Non-Targeting Control_76503	Non-Targeting Control	230
PLEKHG4_34007	PLEKHG4	60
ABCD3_15573	ABCD3	17
HHAT_43184	HHAT	52
ZFP64_43187	ZFP64	57
LDAH_46942	LDAH	43
DEGS1_22323	DEGS1	86
VNN2_23261	VNN2	51
SAA2-SAA4_76074	SAA2-SAA4	41
C9orf92_75204	C9orf92	47
OR10Z1_59528	OR10Z1	54
MRS2_45391	MRS2	30
TLR2_19280	TLR2	41
THRSP_19175	THRSP	72
NUP62CL_40702	NUP62CL	151
BCL3_1650	BCL3	75
BTBD19_62185	BTBD19	114
TMEM257_24002	TMEM257	131
KCNK15_46971	KCNK15	85
CYP4F8_30703	CYP4F8	38
ACTN2_215	ACTN2	45
UTS2B_66903	UTS2B	39
SNCAIP_25407	SNCAIP	133
PAX5_13339	PAX5	10
TDGF1_18936	TDGF1	145
CLDN1_23783	CLDN1	27
CEP68_31976	CEP68	78
CYB5D1_58793	CYB5D1	147
PCSK5_13460	PCSK5	57
CD5_2576	CD5	157
ZBTB1_31134	ZBTB1	22
YPEL1_36634	YPEL1	39
PHOX2A_1162	PHOX2A	66
TPD52L1_19480	TPD52L1	43
PKD1L1_64020	PKD1L1	65
NRBP1_36913	NRBP1	97
TTI1_25576	TTI1	60
HN1L_55657	HN1L	71
MAP3K15_71505	MAP3K15	81
KIAA1210_45591	KIAA1210	199
RNF10_26437	RNF10	26
10-Sep_62428	10-Sep	42
EPB41L5_46176	EPB41L5	83
ACE2_46733	ACE2	61
PCLO_36153	PCLO	2
C9orf172_71493	C9orf172	59
ARHGEF10L_41759	ARHGEF10L	65
MRGPRX2_57930	MRGPRX2	56
SLFN13_61691	SLFN13	34
FBP1_6123	FBP1	89
CLCN2_3346	CLCN2	2
ALX4_46947	ALX4	26
DDX39A_27375	DDX39A	55
SLC25A23_48895	SLC25A23	88
CPB2_3779	CPB2	102
GRAMD1A_46138	GRAMD1A	24
ARSH_69847	ARSH	131
FRK_6579	FRK	73
SULT1C2_18477	SULT1C2	10
LRRIQ4_69614	LRRIQ4	54
HMGN3_24487	HMGN3	228
ZNF761_71073	ZNF761	75
GOT1L1_60473	GOT1L1	25
OAS1_12959	OAS1	18
KLHL1_46063	KLHL1	82
KCNC3_9986	KCNC3	40
TMEM47_52271	TMEM47	76
NUDT16L1_53431	NUDT16L1	65
BNIP3L_1834	BNIP3L	41
LGALS9_10617	LGALS9	53
PLAC8L1_62839	PLAC8L1	214
PANX3_57725	PANX3	48
CCDC47_44832	CCDC47	6
OVOL3_74653	OVOL3	29
BPIFA2_60878	BPIFA2	74
CDKN2B_2942	CDKN2B	45
C9_2040	C9	72
SFTPD_17234	SFTPD	61
TMSB15A_29844	TMSB15A	62
RTN4_45104	RTN4	110
ZNF136_20677	ZNF136	96
UGT2B15_19967	UGT2B15	20
LAPTM4B_42432	LAPTM4B	36
PLEKHG4_34009	PLEKHG4	59
TMEM106A_56985	TMEM106A	21
SOD3_17944	SOD3	77
Non-Targeting Control_76728	Non-Targeting Control	209
LMTK2_31005	LMTK2	119
ODF3_57047	ODF3	111
ACADL_98	ACADL	34
ZNF254_25136	ZNF254	90
CT45A10_76403	CT45A10	111
PSMB1_15172	PSMB1	8
OPLAH_35315	OPLAH	114
HBD_8202	HBD	72
Non-Targeting Control_76463	Non-Targeting Control	319
Non-Targeting Control_76621	Non-Targeting Control	187
BTG2_20965	BTG2	122
C11orf45_65385	C11orf45	168
PAIP1_28640	PAIP1	42
SSH3_41144	SSH3	35
TTYH3_51265	TTYH3	9
HDAC8_43626	HDAC8	67
C10orf126_67185	C10orf126	24
ADPGK_52089	ADPGK	97
ERCC5_5767	ERCC5	13
CIB4_59776	CIB4	18
KRTAP10-6_70658	KRTAP10-6	7
SYNJ2BP-COX16_76133	SYNJ2BP-COX16	93
CES3_32936	CES3	12
XKR7_69570	XKR7	90
SCAND1_38347	SCAND1	50
ZNF23_20524	ZNF23	51
FBXL21_34770	FBXL21	88
C9orf117_68397	C9orf117	88
CCDC7_49814	CCDC7	74
NUDT7_67538	NUDT7	27
MPI_11698	MPI	45
NAF1_56224	NAF1	9
RAB2B_54519	RAB2B	19
SGTB_40244	SGTB	79
SNX29_56094	SNX29	13
TMPO_19337	TMPO	37
METRN_48691	METRN	12
CABS1_54915	CABS1	34
METAP1D_66390	METAP1D	105
PARP16_41124	PARP16	67
GPR32_7594	GPR32	55
ZSCAN9_20795	ZSCAN9	51
OR6N2_51567	OR6N2	116
SOCS5_25507	SOCS5	61
CRADD_22842	CRADD	42
REST_16017	REST	29
PCDHA6_44033	PCDHA6	33
N4BP3_31840	N4BP3	86
SPATA31D4_71467	SPATA31D4	174
PPEF1_14518	PPEF1	75
CCR4_3451	CCR4	108
METTL21B_34013	METTL21B	49
ENOX2_28290	ENOX2	144
RCN3_45355	RCN3	44
RAB33A_24605	RAB33A	108
GHR_7114	GHR	74
FANK1_56275	FANK1	80
WNK3_48508	WNK3	25
DAG1_4486	DAG1	114
NRAP_12835	NRAP	45
ZNF41_20566	ZNF41	44
PARP4_395	PARP4	201
LACE1_66218	LACE1	58
NEUROG3_37318	NEUROG3	69
DND1_70238	DND1	36
MACROD2_60952	MACROD2	158
PPP1R3G_74208	PPP1R3G	37
HMBOX1_49403	HMBOX1	50
CD4_2569	CD4	38
CCDC170_50749	CCDC170	30
UGT1A7_40270	UGT1A7	10
RARG_15840	RARG	10
SYPL1_18580	SYPL1	59
C16orf89_61616	C16orf89	13
WNT2B_20302	WNT2B	21
GNL2_36707	GNL2	14
ZNF185_20777	ZNF185	72
CCDC64B_61595	CCDC64B	110
C9orf16_48934	C9orf16	68
NXNL2_63099	NXNL2	60
ZRANB2_24738	ZRANB2	34
MPEG1_65491	MPEG1	26
MTHFD2L_73041	MTHFD2L	21
FABP4_5997	FABP4	30
MYOZ3_56078	MYOZ3	20
LIMD2_51346	LIMD2	55
KRT7_10333	KRT7	64
IFI27L1_58473	IFI27L1	23
RFX2_16068	RFX2	65
PLEKHA3_48522	PLEKHA3	18
Non-Targeting Control_77326	Non-Targeting Control	191
SLCO4A1_36162	SLCO4A1	28
CD74_2750	CD74	49
ZNF154_20728	ZNF154	59
SLC2A14_61291	SLC2A14	40
WDR54_52793	WDR54	79
OR1N1_60641	OR1N1	55
UXS1_50786	UXS1	27
IGSF1_9358	IGSF1	41
ASB6_60804	ASB6	86
ZHX2_31106	ZHX2	64
MBTD1_40595	MBTD1	53
CD160_30193	CD160	85
DUSP6_5164	DUSP6	42
UBE2K_8345	UBE2K	21
TUBAL3_50172	TUBAL3	58
RCN1_15951	RCN1	36
FNDC3B_48029	FNDC3B	60
ZNF668_49868	ZNF668	45
HN1L_55656	HN1L	64
OLFML3_44661	OLFML3	78
C19orf68_70391	C19orf68	103
TAGLN2_21859	TAGLN2	50
ZNF419_49820	ZNF419	91
SORT1_16714	SORT1	36
ZNF544_35978	ZNF544	85
RNF6_16215	RNF6	50
TEKT2_35920	TEKT2	8
SEC11A_32912	SEC11A	47
FAIM3_24205	FAIM3	41
POU4F1_14464	POU4F1	39
POLD4_46410	POLD4	11
CDAN1_61523	CDAN1	34
MEP1A_11376	MEP1A	86
ABCA12_34679	ABCA12	36
PFKFB1_13739	PFKFB1	78
TEX15_44057	TEX15	72
SLC15A1_17640	SLC15A1	21
ZP3_20908	ZP3	36
POR_14429	POR	121
CNTD1_58831	CNTD1	43
CXorf49_75281	CXorf49	45
PPIE_28119	PPIE	16
MAST2_31846	MAST2	41
POU5F2_60226	POU5F2	28
Non-Targeting Control_76742	Non-Targeting Control	223
KLHL22_54291	KLHL22	50
ITPR2_9877	ITPR2	65
KLF5_1915	KLF5	46
Non-Targeting Control_76929	Non-Targeting Control	245
SGPL1_23280	SGPL1	76
FGF17_23099	FGF17	41
AK5_34959	AK5	35
STAT2_18348	STAT2	42
IL32_24261	IL32	180
ZNF675_64281	ZNF675	27
MSGN1_69573	MSGN1	36
OR2T34_59290	OR2T34	245
DCN_4573	DCN	98
ASCL5_74188	ASCL5	40
GPRC5B_39341	GPRC5B	79
AK2_562	AK2	66
IL7_9448	IL7	65
MRC2_26367	MRC2	14
ENTPD2_2682	ENTPD2	6
XYLB_26515	XYLB	167
Non-Targeting Control_76950	Non-Targeting Control	245
SCGB2A1_11428	SCGB2A1	41
RBM14_28062	RBM14	4
MTRNR2L9_75803	MTRNR2L9	66
SNAP25_17822	SNAP25	112
BEAN1_61556	BEAN1	45
EBAG9_24067	EBAG9	45
SMIM17_61813	SMIM17	22
LOC100129924_75244	LOC100129924	58
NEUROG2_47237	NEUROG2	66
NLRP4_61906	NLRP4	68
CR1_3835	CR1	60
NBPF12_62107	NBPF12	19
SLC6A5_24038	SLC6A5	14
DKK3_35618	DKK3	79
KTN1_10430	KTN1	23
CRELD1_48623	CRELD1	19
DOK6_65584	DOK6	92
CEACAM18_74983	CEACAM18	22
INO80D_40913	INO80D	14
FGF6_6253	FGF6	70
ZNF396_66252	ZNF396	133
NEIL1_49554	NEIL1	31
ARMC1_41747	ARMC1	68
C9orf172_71496	C9orf172	50
TFF1_19048	TFF1	140
Non-Targeting Control_76850	Non-Targeting Control	338
VASH2_49997	VASH2	60
SLC12A8_53811	SLC12A8	65
RBM6_27272	RBM6	32
SMAD4_10968	SMAD4	118
SLC16A14_62512	SLC16A14	75
PSEN2_15100	PSEN2	36
DUSP27_56154	DUSP27	56
TCHP_53253	TCHP	40
DSEL_56119	DSEL	60
GABRB1_6761	GABRB1	79
EGLN3_56782	EGLN3	51
HAGH_8150	HAGH	49
ZNF701_43291	ZNF701	236
PRSS57_72240	PRSS57	86
TMEM184B_33837	TMEM184B	40
CD4_2570	CD4	19
PCDHA8_44026	PCDHA8	113
ANXA9_21880	ANXA9	88
MGMT_11453	MGMT	47
PXT1_66043	PXT1	113
CACNA2D3_43418	CACNA2D3	66
CABYR_34853	CABYR	42
PRLHR_7526	PRLHR	82
WDR45_30285	WDR45	87
SLC38A8_61525	SLC38A8	30
MON1A_53457	MON1A	102
HINT2_54019	HINT2	22
SMPD4_42849	SMPD4	83
NAGLU_12178	NAGLU	76
CYSLTR1_29205	CYSLTR1	107
Non-Targeting Control_77330	Non-Targeting Control	298
MOK_15752	MOK	21
IGF2BP3_28778	IGF2BP3	29
ANKDD1B_74784	ANKDD1B	69
GPIHBP1_68715	GPIHBP1	178
BBIP1_56253	BBIP1	37
RRAS_16636	RRAS	69
FUNDC1_60699	FUNDC1	126
PIEZO2_47086	PIEZO2	34
FAM50B_34820	FAM50B	71
PSAT1_36938	PSAT1	166
TMEM202_68839	TMEM202	57
XAGE1B_74262	XAGE1B	60
MAGEA8_11021	MAGEA8	181
BMPR1B_1808	BMPR1B	99
Non-Targeting Control_76776	Non-Targeting Control	195
OCM_74422	OCM	32
HINT1_8350	HINT1	133
FBXO27_59167	FBXO27	73
PCDHA2_44048	PCDHA2	41
LRRC40_42865	LRRC40	18
PLVAP_52185	PLVAP	71
ONECUT1_8561	ONECUT1	43
ADI1_42103	ADI1	114
MSX1_11799	MSX1	53
PPP2CB_14611	PPP2CB	233
C9orf47_68402	C9orf47	95
STK17B_24344	STK17B	70
HOXC10_8735	HOXC10	15
DGCR6_21416	DGCR6	196
Non-Targeting Control_76759	Non-Targeting Control	101
SLC28A3_47308	SLC28A3	46
SRPK3_35181	SRPK3	134
CHCHD7_48999	CHCHD7	61
SP8_65897	SP8	26
HIST1H2AG_23489	HIST1H2AG	5
CST8_26824	CST8	31
