sgRNA	Gene	Clip2_8_IN8_treatment_BC24_IGO_09496_16_S16
ZNF705B_75432	ZNF705B	236
PHF12_46125	PHF12	36
ARPC4-TTLL3_76002	ARPC4-TTLL3	34
SELL_17128	SELL	15
FMNL1_2070	FMNL1	32
TRIB2_36192	TRIB2	18
KCNC2_9984	KCNC2	112
SUN1_32547	SUN1	28
HPGDS_35996	HPGDS	19
LOH12CR1_58008	LOH12CR1	74
HIST1H2AK_21623	HIST1H2AK	50
NEUROG3_37316	NEUROG3	19
IFNA14_9238	IFNA14	55
TDRD1_44092	TDRD1	49
MGAT1_11424	MGAT1	70
HYPM_33652	HYPM	144
PIM3_72797	PIM3	146
TNFRSF12A_38523	TNFRSF12A	165
TPK1_35398	TPK1	40
CCNE2_23976	CCNE2	63
CTSO_4272	CTSO	94
PDK1_13604	PDK1	98
Non-Targeting Control_76780	Non-Targeting Control	257
OR10A6_71618	OR10A6	40
GPR143_12954	GPR143	44
TMEM200A_57240	TMEM200A	82
CCR10_7496	CCR10	118
CDH11_2870	CDH11	79
TDRD3_51656	TDRD3	78
HNF4A_8554	HNF4A	51
MED29_42726	MED29	35
LEPROT_40474	LEPROT	56
TRIM50_60375	TRIM50	181
ASGR1_1246	ASGR1	82
CBS_2451	CBS	93
KLRC2_10231	KLRC2	126
EXT1_5897	EXT1	101
MFAP2_11400	MFAP2	37
Non-Targeting Control_77162	Non-Targeting Control	144
CAST_2317	CAST	41
FOXC1_6381	FOXC1	128
ITIH5_51321	ITIH5	47
MROH6_73682	MROH6	66
COLEC12_51499	COLEC12	55
SIX1_17389	SIX1	72
CXXC4_51117	CXXC4	101
CANX_2278	CANX	26
POU4F2_14466	POU4F2	6
BMF_55476	BMF	60
OR11A1_35145	OR11A1	67
SIRPB1_27764	SIRPB1	61
UTS2B_66902	UTS2B	38
ADIPOQ_24629	ADIPOQ	62
FAM117A_51687	FAM117A	55
WDR45_30285	WDR45	86
MED16_26778	MED16	16
ZNF285_35345	ZNF285	112
OPN1SW_1675	OPN1SW	32
OR2T8_69517	OR2T8	74
GS1-259H13.2_75712	GS1-259H13.2	120
PERP_47286	PERP	147
RAB4B_39684	RAB4B	30
BTBD3_31175	BTBD3	38
GSG1L_61579	GSG1L	194
HOXD4_8759	HOXD4	38
NEUROD4_46497	NEUROD4	33
PAWR_13318	PAWR	150
Non-Targeting Control_76497	Non-Targeting Control	446
CDC6_2799	CDC6	6
KLHL36_49939	KLHL36	32
ADAM32_65049	ADAM32	48
BLID_72785	BLID	76
PCSK6_13237	PCSK6	132
DDX60L_55804	DDX60L	111
KRT9_10343	KRT9	24
MLLT1_11552	MLLT1	87
Non-Targeting Control_77276	Non-Targeting Control	276
GOLGB1_7428	GOLGB1	25
BMP2K_42727	BMP2K	108
SORBS3_27256	SORBS3	59
LYNX1_48601	LYNX1	162
LHFP_27281	LHFP	62
JADE3_25905	JADE3	105
ZNF20_20509	ZNF20	25
Non-Targeting Control_76720	Non-Targeting Control	298
CLDN7_3799	CLDN7	55
HDLBP_8277	HDLBP	53
OR5M8_65290	OR5M8	44
DNAJB14_50523	DNAJB14	221
CD46_11258	CD46	19
ATP13A3_49289	ATP13A3	39
PHKA1_13862	PHKA1	73
PPFIA2_22107	PPFIA2	36
SRRM1_27518	SRRM1	8
