sgRNA	Gene	Clip2_8_IN8_treatment_BC24_IGO_09496_16_S16
DPPA4_41944	DPPA4	54
Non-Targeting Control_76766	Non-Targeting Control	575
EVX2_69599	EVX2	29
ARHGDIA_1141	ARHGDIA	16
TCEAL6_63255	TCEAL6	92
HOXB13_28235	HOXB13	44
SLC25A53_72494	SLC25A53	136
UAP1L1_55822	UAP1L1	113
S1PR5_39611	S1PR5	263
DDX50_48704	DDX50	33
DENND1B_63691	DENND1B	73
NEU2_12466	NEU2	47
LHX3_21186	LHX3	80
EEPD1_51390	EEPD1	103
FTH1P18_73144	FTH1P18	192
ARHGAP11B_55149	ARHGAP11B	25
CFC1_43829	CFC1	54
FGA_6221	FGA	67
ZNF782_63173	ZNF782	65
ZFPL1_20431	ZFPL1	32
CXorf56_47172	CXorf56	92
ZFAND3_47026	ZFAND3	66
CDH18_2896	CDH18	24
GPR161_32799	GPR161	37
CHIA_35716	CHIA	136
AHSA1_28619	AHSA1	63
ZSCAN16_51193	ZSCAN16	14
ITPKC_51038	ITPKC	114
BTNL2_44135	BTNL2	75
NANOS1_69249	NANOS1	193
IL1RAPL1_30243	IL1RAPL1	148
VWC2L_72541	VWC2L	55
MFSD5_54660	MFSD5	17
PRAMEF19_74013	PRAMEF19	95
CCDC176_50742	CCDC176	151
OR1J4_34766	OR1J4	35
FRMPD4_25875	FRMPD4	85
FAM160A1_74986	FAM160A1	132
C15orf32_61492	C15orf32	56
LMOD1_33753	LMOD1	32
DDIT3_4622	DDIT3	26
E2F7_61341	E2F7	96
PBXIP1_45348	PBXIP1	82
CMTM7_56827	CMTM7	58
ZNF83_43317	ZNF83	67
ATP6V1H_39132	ATP6V1H	2
ZFAND6_40004	ZFAND6	22
C14orf132_44734	C14orf132	85
FABP4_5999	FABP4	169
STAG1_27596	STAG1	48
IRF7_9722	IRF7	16
NUTM1_66796	NUTM1	51
OR1G1_21812	OR1G1	43
PGM2L1_67253	PGM2L1	71
COL27A1_54788	COL27A1	63
TTLL11_63121	TTLL11	73
YAF2_27131	YAF2	30
FAM168B_59767	FAM168B	21
HVCN1_53500	HVCN1	36
THAP11_45295	THAP11	39
C5orf66_76265	C5orf66	62
ZNF208_20821	ZNF208	95
PDK2_13607	PDK2	35
KCNJ11_10059	KCNJ11	44
WDR86_70003	WDR86	205
CSNK2A1_4088	CSNK2A1	106
CTPS1_4226	CTPS1	4
DLG3_4810	DLG3	30
TRIM68_41652	TRIM68	91
Non-Targeting Control_76596	Non-Targeting Control	180
PRAMEF15_74371	PRAMEF15	11
C16orf95_75903	C16orf95	177
MEMO1_37697	MEMO1	24
NFYC_12583	NFYC	256
Non-Targeting Control_77225	Non-Targeting Control	233
LAMP1_10495	LAMP1	168
KCNJ12_10061	KCNJ12	78
CD1E_2547	CD1E	136
CELA1_5473	CELA1	83
LOC728485_74712	LOC728485	28
LSM14B_62244	LSM14B	141
P2RY4_13202	P2RY4	179
LOXL2_10760	LOXL2	69
MAGEA3_11008	MAGEA3	283
KIF12_56964	KIF12	33
FAM214A_44119	FAM214A	77
ARL4D_1087	ARL4D	21
MYH10_12055	MYH10	155
FLT3_6473	FLT3	154
PYROXD2_54191	PYROXD2	97
MAP2_11112	MAP2	22
GLP2R_24533	GLP2R	98
COL15A1_3651	COL15A1	18
Non-Targeting Control_76685	Non-Targeting Control	261
C1orf228_68988	C1orf228	50
FIZ1_54490	FIZ1	262
FBXO39_63542	FBXO39	105
SLC13A4_34885	SLC13A4	136
KRTAP1-3_51965	KRTAP1-3	21
ZBTB5_26455	ZBTB5	13
PYDC2_62636	PYDC2	82
Non-Targeting Control_76916	Non-Targeting Control	313
SPRY3_27524	SPRY3	65
PIGC_13937	PIGC	54
Non-Targeting Control_77378	Non-Targeting Control	313
OTP_32825	OTP	94
WNT9B_20309	WNT9B	100
ABHD5_37798	ABHD5	31
IL16_9530	IL16	59
MAP1A_11103	MAP1A	27
CCR2_74850	CCR2	85
Non-Targeting Control_77233	Non-Targeting Control	391
ZNF566_54496	ZNF566	79
CT45A7_76308	CT45A7	2
LAX1_40939	LAX1	50
SRCIN1_51257	SRCIN1	153
SYTL4_56711	SYTL4	61
PI16_65813	PI16	41
PRMT8_44235	PRMT8	39
AMELY_724	AMELY	130
PHLPP2_31532	PHLPP2	54
ISCA2_58561	ISCA2	21
AQP2_1023	AQP2	78
IL20_37249	IL20	242
SYTL5_56713	SYTL5	241
SGK223_62997	SGK223	83
Non-Targeting Control_77264	Non-Targeting Control	118
RBMXL3_60761	RBMXL3	166
WSCD1_32384	WSCD1	84
CTDSP2_27026	CTDSP2	196
HSD3B7_51034	HSD3B7	54
CLIC1_3383	CLIC1	92
MCEMP1_64550	MCEMP1	119
IBSP_9085	IBSP	161
PCTP_46562	PCTP	122
OR10W1_51555	OR10W1	75
ZNF597_61589	ZNF597	98
ATP6V1B1_1454	ATP6V1B1	24
PRSS36_61611	PRSS36	77
CRYGN_62958	CRYGN	20
HHAT_43186	HHAT	50
PHGR1_73957	PHGR1	39
BBS2_1604	BBS2	44
FMOD_6506	FMOD	26
FOXJ3_31121	FOXJ3	93
SYT6_62008	SYT6	59
DECR1_4676	DECR1	150
KATNAL1_52785	KATNAL1	53
AAMP_28	AAMP	25
FAM150B_68013	FAM150B	47
GABRG1_6781	GABRG1	234
SORCS2_45770	SORCS2	26
SLC27A3_29806	SLC27A3	36
CCBE1_61769	CCBE1	75
Non-Targeting Control_76711	Non-Targeting Control	223
GATA4_6920	GATA4	99
USP51_63252	USP51	79
TEX101_52304	TEX101	97
DEPDC1_42882	DEPDC1	131
IGFL2_61896	IGFL2	89
HECW1_31646	HECW1	37
BLNK_36576	BLNK	35
CRB3_56229	CRB3	75
C14orf177_67431	C14orf177	51
SERGEF_34976	SERGEF	40
Non-Targeting Control_77251	Non-Targeting Control	395
COMMD1_62379	COMMD1	77
ACPP_171	ACPP	58
BSCL2_35198	BSCL2	5
OR2T6_66517	OR2T6	64
LRFN1_46054	LRFN1	109
C6orf222_71379	C6orf222	72
AK5_34962	AK5	79
UBL4A_21483	UBL4A	81
GABPB2_59192	GABPB2	40
TMPRSS12_67392	TMPRSS12	36
CCL3L3_72742	CCL3L3	72
TPCN2_65443	TPCN2	33
ARHGAP11B_55147	ARHGAP11B	31
C17orf112_75913	C17orf112	66
GAL3ST4_49641	GAL3ST4	13
Non-Targeting Control_76761	Non-Targeting Control	200
OR4A47_72599	OR4A47	79
Non-Targeting Control_76624	Non-Targeting Control	254
RAB3C_57581	RAB3C	58
PTPN4_15425	PTPN4	112
SEC24B_28049	SEC24B	63
MIS18A_39754	MIS18A	58
GCLM_7202	GCLM	73
Non-Targeting Control_76545	Non-Targeting Control	327
PLEKHA5_40032	PLEKHA5	165
DCAF4L2_60537	DCAF4L2	62
GPRASP2_57367	GPRASP2	56
EEPD1_51389	EEPD1	43
SMPD4_42847	SMPD4	108
CT47A8_74544	CT47A8	208
FAM135A_45913	FAM135A	130
BCKDHB_1626	BCKDHB	61
FES_6217	FES	11
PAF1_40338	PAF1	60
GPX1_7664	GPX1	16
SLC32A1_60870	SLC32A1	62
C9orf153_71479	C9orf153	20
MTA1_23895	MTA1	73
SLC7A11_33434	SLC7A11	119
CHD9_50899	CHD9	36
P3H4_28654	P3H4	123
ZSCAN32_41011	ZSCAN32	14
C17orf47_67626	C17orf47	97
CPA3_3771	CPA3	52
GLRX_7258	GLRX	126
USP4_19998	USP4	76
NDUFB1_12316	NDUFB1	27
IGDCC3_25165	IGDCC3	361
SLC2A5_17475	SLC2A5	52
CXorf38_63261	CXorf38	29
DEFB107A_66125	DEFB107A	12
B4GALNT1_6827	B4GALNT1	10
CHST3_24929	CHST3	92
OR2S2_44335	OR2S2	53
OAS2_12963	OAS2	57
TSEN54_67569	TSEN54	59
SLC25A43_65099	SLC25A43	175
ACTL10_64163	ACTL10	61
NTAN1_58656	NTAN1	95
MYO19_50857	MYO19	34
OR2A42_72555	OR2A42	261
SRMS_18196	SRMS	97
USP4_20000	USP4	11
FBXL4_34813	FBXL4	45
LRRN4CL_65690	LRRN4CL	229
HIST1H3C_21706	HIST1H3C	108
TMEM260_40990	TMEM260	82
STC2_22445	STC2	70
ZNF7_20465	ZNF7	97
LYSMD2_66787	LYSMD2	96
MRPS11_48295	MRPS11	124
GPNMB_28143	GPNMB	71
PNMA5_57275	PNMA5	136
ARL2BP_33202	ARL2BP	16
SPANXN2_73422	SPANXN2	105
ACTBL2_69703	ACTBL2	31
TBC1D19_42241	TBC1D19	84
LDLRAD1_71128	LDLRAD1	118
HPGD_8797	HPGD	158
SDF2_17082	SDF2	60
NTM_37446	NTM	56
RTCA_22508	RTCA	81
SMIM10_73934	SMIM10	156
ZXDA_20916	ZXDA	206
SHFM1_21138	SHFM1	31
FAM19A3_67890	FAM19A3	16
SLC30A7_62086	SLC30A7	101
FBXO38_51653	FBXO38	40
PHOSPHO2-KLHL23_76047	PHOSPHO2-KLHL23	60
TMEM244_66317	TMEM244	204
ZNF23_20521	ZNF23	145
KCNH7_55311	KCNH7	70
ZFP36L2_1882	ZFP36L2	29
ZNF559-ZNF177_76110	ZNF559-ZNF177	36
PQLC2L_62612	PQLC2L	168
MLLT11_29690	MLLT11	45
PCDHB7_43979	PCDHB7	61
CXXC5_38938	CXXC5	102
DLST_4818	DLST	47
MBD4_23434	MBD4	54
BEGAIN_45971	BEGAIN	63
FRRS1_71918	FRRS1	62
ZNF891_76302	ZNF891	42
GEM_7056	GEM	146
C22orf42_62305	C22orf42	85
CYP24A1_4447	CYP24A1	79
DLX2_4825	DLX2	66
Non-Targeting Control_76688	Non-Targeting Control	252
Non-Targeting Control_76742	Non-Targeting Control	215
DNAH1_34261	DNAH1	66
LYPD4_61845	LYPD4	89
VGLL3_71298	VGLL3	73
DDRGK1_48573	DDRGK1	34
EPHB1_5672	EPHB1	73
CASD1_48248	CASD1	26
GATA6_6923	GATA6	136
HIST2H2AB_68556	HIST2H2AB	39
C16orf58_47955	C16orf58	37
OR13C5_60613	OR13C5	32
SHROOM3_46042	SHROOM3	10
ZNF384_64254	ZNF384	60
ZNF805_71892	ZNF805	145
PAPD7_29940	PAPD7	169
SEC22C_23906	SEC22C	51
IGF2BP1_28773	IGF2BP1	33
NABP1_48202	NABP1	30
Non-Targeting Control_77373	Non-Targeting Control	349
IFNE_68721	IFNE	98
NPFFR1_47384	NPFFR1	133
MMP10_11610	MMP10	22
RHOBTB3_30950	RHOBTB3	134
ELF1_5501	ELF1	268
PTPN5_54308	PTPN5	36
PRSS37_60414	PRSS37	104
LPA_10762	LPA	34
C19orf57_49073	C19orf57	59
LRRC42_57475	LRRC42	44
TMED7_37536	TMED7	200
MEFV_11330	MEFV	38
KRT39_71854	KRT39	133
LPAR6_27209	LPAR6	213
ZFP37_20423	ZFP37	79
TSHZ2_59571	TSHZ2	96
SGK1_17253	SGK1	191
BTLA_62575	BTLA	72
DPF2_16016	DPF2	32
PRR5L_50310	PRR5L	53
Non-Targeting Control_77426	Non-Targeting Control	247
EFCAB2_53361	EFCAB2	14
SLC19A1_17676	SLC19A1	48
FBP2_22980	FBP2	21
CDK5RAP2_43266	CDK5RAP2	52
ZNF667_47179	ZNF667	36
ESR2_5806	ESR2	36
FOLH1B_65325	FOLH1B	70
NAPEPLD_65984	NAPEPLD	55
KRTAP9-7_75843	KRTAP9-7	21
ELANE_5478	ELANE	38
DEFB127_61023	DEFB127	147
2-Mar_41264	2-Mar	157
CXorf36_49815	CXorf36	72
OCA2_12988	OCA2	39
FBXO21_31459	FBXO21	74
TMEM39A_42097	TMEM39A	75
FOXO1_6431	FOXO1	286
PDE4D_13528	PDE4D	26
MEF2BNB_75021	MEF2BNB	7
SFTPD_17235	SFTPD	45
KIAA1522_46121	KIAA1522	115
PLN_14186	PLN	174
PGPEP1_40791	PGPEP1	133
SYTL4_56709	SYTL4	83
PIP_14015	PIP	49
TAP2_18701	TAP2	65
ECM1_5255	ECM1	13
PRR14_48649	PRR14	86
GOLPH3_47321	GOLPH3	22
UNC79_45908	UNC79	124
MYO19_50855	MYO19	59
KLF8_30688	KLF8	41
NXNL2_63097	NXNL2	137
Non-Targeting Control_76544	Non-Targeting Control	387
GGCT_48718	GGCT	16
ERN2_28616	ERN2	44
SLC2A3_17468	SLC2A3	34
PCBD1_13375	PCBD1	57
GIMAP8_62955	GIMAP8	55
Non-Targeting Control_77053	Non-Targeting Control	256
SPPL3_58429	SPPL3	37
OR11H4_71796	OR11H4	103
ADPGK_52087	ADPGK	28
KIAA1210_45593	KIAA1210	77
GMPPA_36803	GMPPA	42
ZNF500_34446	ZNF500	116
MSANTD3-TMEFF1_76006	MSANTD3-TMEFF1	153
ESF1_39071	ESF1	31
PGK2_13813	PGK2	60
TADA2B_56566	TADA2B	443
SHARPIN_51989	SHARPIN	11
MICA_75967	MICA	22
SNTB2_17927	SNTB2	57
TMC5_50104	TMC5	37
LRFN1_46051	LRFN1	78
OR1S1_65469	OR1S1	176
MBD4_23436	MBD4	194
LMAN2_29681	LMAN2	14
RAB11B_24250	RAB11B	67
C5orf46_71358	C5orf46	82
Non-Targeting Control_77219	Non-Targeting Control	167
DDX26B_65109	DDX26B	71
RAB33A_24606	RAB33A	194
NEUROD6_47242	NEUROD6	67
SPRY2_27529	SPRY2	54
CD3D_2556	CD3D	51
ZNF559_53749	ZNF559	27
POLR2J3_73532	POLR2J3	67
CCDC43_58827	CCDC43	43
RGS9BP_71047	RGS9BP	107
FAM209A_64686	FAM209A	39
Non-Targeting Control_77019	Non-Targeting Control	129
NUMA1_12934	NUMA1	45
NSUN7_49777	NSUN7	98
TIMP1_19203	TIMP1	50
GPR149_69626	GPR149	82
NTS_12917	NTS	47
MARK2_5545	MARK2	31
CHST4_27224	CHST4	91
SRY_18233	SRY	53
Non-Targeting Control_77125	Non-Targeting Control	117
CRCT1_40204	CRCT1	172
SCYL1_45435	SCYL1	24
CCDC68_51129	CCDC68	55
ORAI3_56452	ORAI3	103
HCFC1R1_41230	HCFC1R1	47
CCDC66_68111	CCDC66	197
SLC24A4_58577	SLC24A4	222
FAM47A_63206	FAM47A	67
PRRG4_48821	PRRG4	97
C20orf141_59590	C20orf141	35
TCP11X2_76272	TCP11X2	46
SLC6A14_30614	SLC6A14	28
PDDC1_69897	PDDC1	70
HEBP1_37449	HEBP1	49
IRF5_9713	IRF5	153
LRRC24_73111	LRRC24	34
Non-Targeting Control_77047	Non-Targeting Control	191
COG2_30852	COG2	15
FMR1NB_63196	FMR1NB	36
PTGER3_15334	PTGER3	47
NUMB_22566	NUMB	63
OR2T4_59299	OR2T4	158
UNC5A_55367	UNC5A	56
PHGDH_34779	PHGDH	29
VAMP7_18549	VAMP7	42
PROK1_53577	PROK1	17
FAM193A_22410	FAM193A	24
Non-Targeting Control_77068	Non-Targeting Control	276
Non-Targeting Control_76995	Non-Targeting Control	136
LY6D_22390	LY6D	47
LAMB2_10484	LAMB2	67
SERPINA5_13416	SERPINA5	85
LOC400927-CSNK1E_76435	LOC400927-CSNK1E	170
ALKBH4_40561	ALKBH4	225
SLMO1_28797	SLMO1	77
MCCC1_44589	MCCC1	66
SLC13A4_34883	SLC13A4	89
MID1IP1_46674	MID1IP1	225
CYP4F2_22211	CYP4F2	99
OR4M1_73195	OR4M1	97
KRTAP4-11_74269	KRTAP4-11	27
ZNF532_41920	ZNF532	68
PJA1_47545	PJA1	52
UGT2B11_28976	UGT2B11	20
KCNMB2_27486	KCNMB2	41
TP53AIP1_47228	TP53AIP1	37
DNMT3L_36870	DNMT3L	136
CREB3_28262	CREB3	18
C4orf22_66572	C4orf22	82
ZNF226_20858	ZNF226	69
ALDH2_606	ALDH2	144
INSC_70837	INSC	68
SEPN1_45253	SEPN1	22
TRIM5_54834	TRIM5	78
ACYP1_247	ACYP1	38
ZNF627_64554	ZNF627	67
RETSAT_40890	RETSAT	60
ATG10_52439	ATG10	50
SCML1_16870	SCML1	83
UGT2A1_29607	UGT2A1	88
TUBA3E_56836	TUBA3E	335
KHNYN_32539	KHNYN	71
FZD6_21598	FZD6	24
SPON1_28014	SPON1	85
SLC6A4_17529	SLC6A4	85
Non-Targeting Control_76974	Non-Targeting Control	352
RDX_15976	RDX	74
KLHL4_43868	KLHL4	123
TMEM9_66245	TMEM9	113
ASCL5_74186	ASCL5	58
USP27X_71516	USP27X	81
YY2_72672	YY2	171
MAP3K1_11344	MAP3K1	76
C12orf57_56976	C12orf57	148
SIX6_13069	SIX6	27
GZMB_8070	GZMB	85
THPO_19161	THPO	64
FSIP1_63475	FSIP1	15
CHRM2_3197	CHRM2	98
SLC22A6_24586	SLC22A6	147
OR5AC2_51509	OR5AC2	29
DYRK4_23010	DYRK4	49
ALDH1A1_604	ALDH1A1	118
AHI1_40616	AHI1	21
RWDD2B_26903	RWDD2B	36
RFXAP_16081	RFXAP	79
SLK_25839	SLK	28
F2RL1_5947	F2RL1	42
BRS3_1886	BRS3	84
LILRB1_29346	LILRB1	91
ELK3_5526	ELK3	35
S100P_16771	S100P	198
CERS3_65138	CERS3	34
LSR_39108	LSR	175
CPA6_44955	CPA6	43
RNF183_60551	RNF183	19
ITM2B_24852	ITM2B	25
NTPCR_53343	NTPCR	77
KRTAP4-3_54767	KRTAP4-3	156
SOS1_17962	SOS1	31
JMJD8_68849	JMJD8	30
BICC1_50711	BICC1	101
FAS_1005	FAS	128
MED31_37497	MED31	4
PIGH_13946	PIGH	30
NFIA_12497	NFIA	66
SEBOX_74035	SEBOX	111
HPS5_30547	HPS5	39
RPL36A_16453	RPL36A	197
AMT_757	AMT	82
TECRL_66271	TECRL	131
PCDHA4_44039	PCDHA4	35
NSD1_47630	NSD1	4
FCRL3_57469	FCRL3	78
Non-Targeting Control_77315	Non-Targeting Control	371
ARC_32186	ARC	127
SIK3_32659	SIK3	93
ZNF660_68127	ZNF660	135
FMN1_69380	FMN1	17
MYH13_22829	MYH13	83
GNB3_7353	GNB3	94
P3H4_28656	P3H4	26
TAAR9_60310	TAAR9	180
KCTD9_40578	KCTD9	108
Non-Targeting Control_76479	Non-Targeting Control	299
HDAC10_52683	HDAC10	26
RASL10B_55907	RASL10B	99
RP1_16265	RP1	64
Non-Targeting Control_76729	Non-Targeting Control	272
NAB1_12164	NAB1	12
HBEGF_5128	HBEGF	72
YWHAE_20393	YWHAE	31
SMCO3_72871	SMCO3	50
CD55_4483	CD55	245
ZNF580_37993	ZNF580	23
MARVELD1_52458	MARVELD1	85
MTX1_11904	MTX1	51
C15orf27_58622	C15orf27	35
ZNF124_20650	ZNF124	80
ABCF2_26878	ABCF2	34
IFI44L_29698	IFI44L	51
PPP2R5B_14647	PPP2R5B	71
Non-Targeting Control_76553	Non-Targeting Control	178
GLE1_7210	GLE1	3
GRIN2A_7758	GRIN2A	51
AVPR2_1536	AVPR2	270
ANKZF1_41689	ANKZF1	73
RNF121_42250	RNF121	104
OXTR_13171	OXTR	100
SPINK8_74083	SPINK8	95
AGFG2_8835	AGFG2	82
ST14_18331	ST14	45
Non-Targeting Control_77136	Non-Targeting Control	188
OR52E2_58157	OR52E2	45
HEMK1_38709	HEMK1	50
COLGALT2_31806	COLGALT2	211
HCLS1_8242	HCLS1	22
ERCC6-PGBD3_76332	ERCC6-PGBD3	35
SERPINB9_13914	SERPINB9	43
GPSM1_34533	GPSM1	85
SLC25A45_67215	SLC25A45	52
OR10H2_35161	OR10H2	80
Non-Targeting Control_76486	Non-Targeting Control	187
TP53I3_25154	TP53I3	50
ERI3_48763	ERI3	66
SOX7_52260	SOX7	82
TMPRSS11B_60092	TMPRSS11B	62
DNAJC22_50479	DNAJC22	14
ZUFSP_65746	ZUFSP	46
Non-Targeting Control_76912	Non-Targeting Control	383
DAOA_67103	DAOA	95
ZFAND4_56544	ZFAND4	59
PITPNM3_52068	PITPNM3	34
DDIT4_40191	DDIT4	103
RBM41_42200	RBM41	73
PIGV_42912	PIGV	33
ATM_1314	ATM	12
LDHC_10564	LDHC	63
CAPS2_54067	CAPS2	103
FCER2_6142	FCER2	61
KIF26A_34676	KIF26A	92
PHF11_37914	PHF11	129
ARGFX_73476	ARGFX	42
SUPT20H_42704	SUPT20H	737
TFRC_19065	TFRC	32
GBA_6932	GBA	163
TMEM155_60062	TMEM155	54
BRWD1_39726	BRWD1	87
PRSS12_22081	PRSS12	21
RPL22L1_64791	RPL22L1	113
HMHB1_46446	HMHB1	44
WI2-2373I1.2_75685	WI2-2373I1.2	20
MTDH_56128	MTDH	124
DSPP_5109	DSPP	21
BRPF3_35706	BRPF3	75
LEO1_58596	LEO1	44
Non-Targeting Control_77142	Non-Targeting Control	219
CFHR1_8305	CFHR1	55
RPL10L_60977	RPL10L	61
FCHO1_31877	FCHO1	46
CDK20_33146	CDK20	15
OR5H1_35003	OR5H1	53
TUBAL3_50174	TUBAL3	45
SLC2A11_48612	SLC2A11	18
PLEC_14148	PLEC	29
SLC16A3_23931	SLC16A3	28
CFAP44_43347	CFAP44	83
ZDHHC15_63246	ZDHHC15	189
COL10A1_3630	COL10A1	188
ISL2_48150	ISL2	67
TMEM106B_40378	TMEM106B	52
GPR6_7512	GPR6	58
PCYT1B_24926	PCYT1B	93
TLE1_19241	TLE1	84
ADAMTS19_64259	ADAMTS19	182
TM4SF19_57686	TM4SF19	22
CYP3A43_48121	CYP3A43	100
BEAN1_61554	BEAN1	94
SLC7A3_54377	SLC7A3	115
GRB14_7698	GRB14	59
NFATC3_12502	NFATC3	58
SYT1_18583	SYT1	19
CTNNA2_4208	CTNNA2	96
KRBA1_53868	KRBA1	131
REG1B_15991	REG1B	60
UBE2J2_58003	UBE2J2	13
FAM83G_73950	FAM83G	15
MAN2B2_32458	MAN2B2	53
SPINT3_29262	SPINT3	113
DHH_37406	DHH	42
TRPC5_19609	TRPC5	112
CNOT4_12720	CNOT4	284
USP22_32466	USP22	108
NDUFAF6_60486	NDUFAF6	150
AVPR2_1533	AVPR2	152
BCO2_52578	BCO2	79
EMX2_5572	EMX2	22
Non-Targeting Control_77404	Non-Targeting Control	237
C4orf32_60088	C4orf32	217
LIN52_55988	LIN52	39
RQCD1_23940	RQCD1	107
MLF2_21260	MLF2	147
C17orf105_67612	C17orf105	96
NCAPH_32690	NCAPH	54
Non-Targeting Control_76707	Non-Targeting Control	241
HES2_40345	HES2	104
ELAVL1_5492	ELAVL1	69
HDDC3_70314	HDDC3	35
ZNF263_27092	ZNF263	45
RAB4B_39683	RAB4B	17
XPNPEP2_20353	XPNPEP2	114
SERPINB12_55098	SERPINB12	58
NNAT_12647	NNAT	25
MTR_11896	MTR	92
GAS8_6904	GAS8	71
ZCCHC13_71523	ZCCHC13	68
DNMT3L_36869	DNMT3L	64
MRPS14_47170	MRPS14	140
JADE3_25907	JADE3	92
OR2A4_49266	OR2A4	131
UBP1_19895	UBP1	41
TOR1AIP1_34547	TOR1AIP1	26
ASXL1_64261	ASXL1	44
TMEM175_53354	TMEM175	6
SLC7A14_46295	SLC7A14	43
P2RX6_23947	P2RX6	74
ZNF286B_74881	ZNF286B	88
HTRA3_56652	HTRA3	71
SPATA32_58816	SPATA32	43
Non-Targeting Control_76828	Non-Targeting Control	236
KCTD17_49789	KCTD17	66
HSPBP1_33388	HSPBP1	146
USP17L7_72012	USP17L7	147
SCML1_16871	SCML1	99
C5orf22_42316	C5orf22	107
SLC25A23_48898	SLC25A23	24
GLRB_7249	GLRB	187
MAP1LC3B_51850	MAP1LC3B	132
SLC35F2_40451	SLC35F2	41
RALYL_60544	RALYL	69
OCLN_75917	OCLN	112
OSTN_69650	OSTN	13
ZNF660_68126	ZNF660	85
ZNF705D_74814	ZNF705D	100
STAU1_18376	STAU1	65
FAM196B_75404	FAM196B	87
GYS2_8054	GYS2	49
ZNF727_73257	ZNF727	116
DNAJB14_50524	DNAJB14	24
SUZ12_32999	SUZ12	24
MTR_11894	MTR	68
SERPINB11_55099	SERPINB11	24
LYRM9_64849	LYRM9	74
MAGEB16_60729	MAGEB16	70
Non-Targeting Control_77152	Non-Targeting Control	222
ETNPPL_48170	ETNPPL	48
ZNF121_20645	ZNF121	94
AGL_501	AGL	59
C11orf87_72151	C11orf87	168
MMP1_11588	MMP1	217
CLOCK_25259	CLOCK	134
ZMYM6NB_75881	ZMYM6NB	160
PCIF1_47183	PCIF1	48
PPP3CB_14670	PPP3CB	105
DYNLT3_18913	DYNLT3	328
SNAI3_68591	SNAI3	122
PRMT3_27310	PRMT3	71
TMEM254_50878	TMEM254	16
ERCC8_3305	ERCC8	60
