sgRNA	Gene	Clip2_7_E8_control_BC22_IGO_09496_14_S14
TSGA13_57373	TSGA13	63
ACRBP_53727	ACRBP	36
LIFR_10638	LIFR	64
KBTBD7_52874	KBTBD7	10
SLC17A8_66212	SLC17A8	28
IL13RA2_9518	IL13RA2	32
FICD_30288	FICD	69
PIGB_24986	PIGB	93
BHLHA15_64029	BHLHA15	139
HYPM_33651	HYPM	158
RFK_42280	RFK	27
BANF2_61015	BANF2	26
S100A6_16733	S100A6	120
PRMT7_40072	PRMT7	7
UBE2D4_39156	UBE2D4	72
ZNF691_37646	ZNF691	42
BCORL1_47037	BCORL1	188
FAM135A_45914	FAM135A	121
PPAPDC1A_64370	PPAPDC1A	90
OR9G4_67247	OR9G4	100
IL2_9394	IL2	49
BAG5_25114	BAG5	66
TCF12_18852	TCF12	99
SCGB3A2_57908	SCGB3A2	50
OR1L8_60633	OR1L8	109
DAB1_4468	DAB1	120
FREM1_63152	FREM1	29
ZNF175_20756	ZNF175	34
TIFA_56300	TIFA	195
TRIM72_73388	TRIM72	57
OSBPL10_57317	OSBPL10	40
Non-Targeting Control_77388	Non-Targeting Control	162
ZER1_28099	ZER1	47
RNF26_48952	RNF26	96
VCAN_4098	VCAN	36
KRTAP22-1_68686	KRTAP22-1	19
PROSC_30477	PROSC	14
FAHD1_52025	FAHD1	70
CAMSAP3_46157	CAMSAP3	15
NSUN4_70757	NSUN4	40
TMEM265_76243	TMEM265	34
CHKB_3176	CHKB	46
MICB_11482	MICB	53
ZNF593_37612	ZNF593	70
CFC1B_74279	CFC1B	39
TCF3_18830	TCF3	89
GPRIN2_25736	GPRIN2	126
SLC20A1_17678	SLC20A1	120
CCDC63_63366	CCDC63	5
PDK3_13611	PDK3	75
BATF2_57628	BATF2	125
TAC3_18605	TAC3	40
STK11_18423	STK11	103
AGMO_72063	AGMO	27
OR2F1_34758	OR2F1	101
ABCC5_26864	ABCC5	3
WNT6_20276	WNT6	71
BCR_1678	BCR	37
SPACA5_71511	SPACA5	170
TNS4_54589	TNS4	52
HIST1H4J_21752	HIST1H4J	78
OR5AR1_65300	OR5AR1	44
NDST1_8997	NDST1	47
C5orf49_60215	C5orf49	4
N6AMT2_65702	N6AMT2	20
TRIQK_68370	TRIQK	78
TMC6_30761	TMC6	59
ATF4_1306	ATF4	59
C1orf141_72271	C1orf141	25
SEL1L_17119	SEL1L	3
PCDH19_45729	PCDH19	52
MEX3B_53112	MEX3B	79
PATE4_72166	PATE4	126
APCDD1_61788	APCDD1	86
Non-Targeting Control_77121	Non-Targeting Control	268
KLRD1_10237	KLRD1	30
C17orf105_67610	C17orf105	153
LRRC73_65794	LRRC73	2
ZNF462_46606	ZNF462	36
NLRP13_59060	NLRP13	68
DNAJB7_62316	DNAJB7	60
IL2RG_9408	IL2RG	103
CD33_2645	CD33	47
Non-Targeting Control_76891	Non-Targeting Control	88
CIB2_28347	CIB2	40
CLIC3_23610	CLIC3	17
TIMM13_35106	TIMM13	9
GPR174_53900	GPR174	102
Non-Targeting Control_77069	Non-Targeting Control	284
FNDC1_53863	FNDC1	14
HEXA_8290	HEXA	49
REPS1_54740	REPS1	28
INSRR_9667	INSRR	91
C9orf69_55305	C9orf69	76
PDE7A_13551	PDE7A	16
ERAP1_39433	ERAP1	80
CETN3_3060	CETN3	141
Non-Targeting Control_76873	Non-Targeting Control	274
SHCBP1_49984	SHCBP1	48
OR6V1_69741	OR6V1	41
HMHA1_33052	HMHA1	55
NIT1_12623	NIT1	88
ZNF480_61799	ZNF480	78
DEFB106B_73491	DEFB106B	192
Non-Targeting Control_77057	Non-Targeting Control	264
PCDHGA11_43910	PCDHGA11	15
IMMP1L_64382	IMMP1L	79
CT45A5_73160	CT45A5	19
SIX1_17390	SIX1	53
SCAF8_30928	SCAF8	114
DUS1L_47421	DUS1L	29
MPEG1_65492	MPEG1	72
ARSH_69845	ARSH	128
FOSB_6550	FOSB	29
OXGR1_35791	OXGR1	59
ZNF358_60822	ZNF358	136
PF4_13702	PF4	165
MPPED2_2053	MPPED2	67
PHKA2_13867	PHKA2	16
DNAJC25_73536	DNAJC25	48
GTF2H2_7956	GTF2H2	34
SPINK13_62754	SPINK13	21
VEGFB_20133	VEGFB	41
TMEM202_68839	TMEM202	66
DUSP9_5174	DUSP9	108
SEMA4C_40972	SEMA4C	35
APOE_985	APOE	38
TRIM65_64874	TRIM65	228
RBM24_65854	RBM24	35
TUBG2_35743	TUBG2	21
Non-Targeting Control_76619	Non-Targeting Control	344
TANK_26721	TANK	82
Non-Targeting Control_76865	Non-Targeting Control	172
CLIC1_3382	CLIC1	59
KPNA1_10268	KPNA1	157
NOTCH1_12721	NOTCH1	55
PPIA_14525	PPIA	129
CACNG6_46754	CACNG6	125
KIF1B_31715	KIF1B	33
Non-Targeting Control_77050	Non-Targeting Control	135
C15orf39_44531	C15orf39	61
BNC1_1763	BNC1	36
MRPS10_41803	MRPS10	5
GPR101_52227	GPR101	160
RELN_15053	RELN	51
C11orf1_48019	C11orf1	243
SCN3A_16890	SCN3A	25
CARHSP1_33250	CARHSP1	233
CPNE8_61318	CPNE8	28
FNDC8_40489	FNDC8	92
TTF1_19696	TTF1	11
SLC25A39_39173	SLC25A39	25
STARD3_29636	STARD3	58
Non-Targeting Control_76752	Non-Targeting Control	216
RPGR_16273	RPGR	82
AGBL3_69151	AGBL3	57
JMJD1C_65664	JMJD1C	19
Non-Targeting Control_77044	Non-Targeting Control	244
PNRC2_42855	PNRC2	49
HOMER3_24882	HOMER3	25
ACD_48373	ACD	100
ZNF728_71043	ZNF728	50
ZNF891_76304	ZNF891	47
FKRP_49006	FKRP	48
CH25H_23614	CH25H	19
PGBD1_53785	PGBD1	12
SLC35A4_57066	SLC35A4	111
HEATR5A_34142	HEATR5A	53
SSFA2_18253	SSFA2	29
IL1RN_9390	IL1RN	29
EIF1AY_23818	EIF1AY	41
MCFD2_55459	MCFD2	218
PYCR2_36785	PYCR2	44
AZI2_47657	AZI2	60
LRCH4_10784	LRCH4	159
HADH_8162	HADH	100
KIF19_58785	KIF19	48
KRT7_10334	KRT7	61
Non-Targeting Control_76963	Non-Targeting Control	171
SLC10A6_69674	SLC10A6	99
S100P_16771	S100P	189
RIMKLB_45629	RIMKLB	22
TNP1_19417	TNP1	32
PPM1A_14546	PPM1A	44
UBE2D1_19837	UBE2D1	56
PSME2_15289	PSME2	59
AJAP1_43788	AJAP1	122
DAZ4_45087	DAZ4	17
ANG_782	ANG	86
OAZ2_12984	OAZ2	50
NPIPB3_31780	NPIPB3	20
DHFRL1_64783	DHFRL1	68
OR12D2_35139	OR12D2	136
METTL7B_64411	METTL7B	90
UCMA_65667	UCMA	72
NXF1_28238	NXF1	353
KRTAP2-2_74623	KRTAP2-2	64
SFTA2_71369	SFTA2	59
AHR_543	AHR	126
Non-Targeting Control_76642	Non-Targeting Control	341
SSTR3_18289	SSTR3	56
ILDR1_68483	ILDR1	30
FAM222B_43176	FAM222B	16
SLC39A10_45219	SLC39A10	46
Non-Targeting Control_76888	Non-Targeting Control	125
PAGE2_65127	PAGE2	143
HOOK3_53562	HOOK3	87
Non-Targeting Control_77309	Non-Targeting Control	297
AIG1_38682	AIG1	17
FAM227A_74140	FAM227A	39
TNFSF18_23560	TNFSF18	47
MAGEC2_38761	MAGEC2	104
Non-Targeting Control_77376	Non-Targeting Control	282
WFS1_20248	WFS1	29
FCN3_22284	FCN3	51
UQCRH_20034	UQCRH	152
SCN11A_30694	SCN11A	107
GABRA6_6758	GABRA6	66
VWA3B_64711	VWA3B	59
C11orf87_72152	C11orf87	25
LMF2_55785	LMF2	62
NUDT22_53416	NUDT22	86
APOBEC3F_64699	APOBEC3F	198
NBPF12_62105	NBPF12	152
CRYBB2_3964	CRYBB2	37
GCNT2_7011	GCNT2	23
EPHX3_50158	EPHX3	58
PQLC1_50787	PQLC1	11
ZNF587B_75732	ZNF587B	52
Non-Targeting Control_77026	Non-Targeting Control	111
TEF_18965	TEF	23
INSR_9664	INSR	121
GSTZ1_7916	GSTZ1	96
SAMD3_62862	SAMD3	101
SAA2_16777	SAA2	6
DCBLD2_59961	DCBLD2	55
S100A7L2_74056	S100A7L2	74
RNF219_49351	RNF219	54
PRRG4_48821	PRRG4	216
ST6GALNAC3_66769	ST6GALNAC3	51
NUDT3_30335	NUDT3	103
Non-Targeting Control_77169	Non-Targeting Control	305
CSRP1_4112	CSRP1	37
NAPSA_24953	NAPSA	93
PPM1L_62552	PPM1L	83
CYSRT1_70565	CYSRT1	49
C1orf234_74826	C1orf234	39
Non-Targeting Control_77061	Non-Targeting Control	242
TNNI3K_37750	TNNI3K	65
CCDC182_76346	CCDC182	58
TACSTD2_10915	TACSTD2	129
FBLN2_6107	FBLN2	53
ARSH_69848	ARSH	182
ZNF385D_49839	ZNF385D	34
APOL4_51415	APOL4	62
LSR_39110	LSR	164
PRKACB_14781	PRKACB	38
CXCL16_46513	CXCL16	58
Non-Targeting Control_76944	Non-Targeting Control	154
MAP7D1_43078	MAP7D1	134
RIPK4_39767	RIPK4	113
PPP2R3A_14635	PPP2R3A	20
SLC17A8_66209	SLC17A8	27
ANKRD66_75646	ANKRD66	11
LCOR_53655	LCOR	79
TMEM98_34370	TMEM98	70
BTN3A1_30172	BTN3A1	169
ANAPC16_58143	ANAPC16	41
PHF10_42155	PHF10	48
PIGP_38179	PIGP	66
SLC28A3_47310	SLC28A3	65
SLC51A_64796	SLC51A	53
ZNF362_62122	ZNF362	60
ACY3_55965	ACY3	92
DCX_4596	DCX	73
Non-Targeting Control_76824	Non-Targeting Control	236
MEPE_44704	MEPE	24
SUGCT_49930	SUGCT	29
SIM2_17383	SIM2	107
FAM73B_54401	FAM73B	85
SYDE1_54830	SYDE1	62
SLC22A2_17707	SLC22A2	60
Non-Targeting Control_76845	Non-Targeting Control	356
SCN1B_16879	SCN1B	52
SCARB2_2665	SCARB2	69
RFTN2_59784	RFTN2	28
Non-Targeting Control_76453	Non-Targeting Control	130
THBS2_19141	THBS2	71
CD69_2739	CD69	159
SYNPO2_64266	SYNPO2	75
POU3F4_14457	POU3F4	100
THADA_47073	THADA	89
SLC12A1_17615	SLC12A1	22
ATP5S_35588	ATP5S	42
MAT2B_36123	MAT2B	88
PPAPDC2_72633	PPAPDC2	73
TENM3_43121	TENM3	79
TMEM60_54743	TMEM60	28
BMP2K_42727	BMP2K	150
TAS2R31_66996	TAS2R31	44
USP49_33934	USP49	10
P2RY8_68478	P2RY8	72
INHBB_9605	INHBB	82
RHCE_16130	RHCE	185
C3orf18_37999	C3orf18	30
MAOB_11100	MAOB	22
FAM159A_69949	FAM159A	60
FAM127C_73150	FAM127C	80
IGF2BP1_28771	IGF2BP1	64
C2orf82_71266	C2orf82	14
DEPDC4_58299	DEPDC4	93
UBE2E1_19849	UBE2E1	143
SCAF8_30930	SCAF8	31
CPA3_3769	CPA3	61
ZFR_39256	ZFR	27
Non-Targeting Control_76746	Non-Targeting Control	298
TYW1_42092	TYW1	100
NCK2_21939	NCK2	52
IRF2BPL_47517	IRF2BPL	50
RBFOX1_40431	RBFOX1	13
SMIM5_73738	SMIM5	70
CNOT4_12720	CNOT4	323
IQCF5_71289	IQCF5	40
CDH20_36171	CDH20	50
DACT3_61887	DACT3	196
CST4_4134	CST4	71
NUAK1_26328	NUAK1	55
GLI4_7230	GLI4	52
FOXD4_6390	FOXD4	25
Non-Targeting Control_77213	Non-Targeting Control	284
Non-Targeting Control_76709	Non-Targeting Control	229
SLC22A11_43622	SLC22A11	4
RNF208_74478	RNF208	40
PTGDR2_30601	PTGDR2	101
EDDM3B_47512	EDDM3B	112
TTC23L_62820	TTC23L	9
PRPH_15005	PRPH	33
TAS2R50_67016	TAS2R50	5
SOX21_30341	SOX21	76
UAP1_18034	UAP1	122
OLFM3_58011	OLFM3	70
GFI1_7065	GFI1	107
LYN_10901	LYN	27
LHFPL4_70475	LHFPL4	21
SNPH_25850	SNPH	44
FUT1_6644	FUT1	39
Non-Targeting Control_76900	Non-Targeting Control	204
ABHD3_64314	ABHD3	67
TMEM174_60247	TMEM174	24
LENG9_56672	LENG9	39
PRM3_46691	PRM3	82
SWT1_40675	SWT1	31
UGT1A1_40361	UGT1A1	39
CLIP1_16667	CLIP1	59
CKS2_3315	CKS2	33
SETSIP_74135	SETSIP	100
DHRS4L1_74743	DHRS4L1	55
LSM10_54639	LSM10	27
CCDC160_69832	CCDC160	69
MANBA_11089	MANBA	94
Non-Targeting Control_76632	Non-Targeting Control	220
HMGXB4_26804	HMGXB4	40
C9orf85_60571	C9orf85	76
IL21R_37260	IL21R	35
Non-Targeting Control_76990	Non-Targeting Control	257
KRTAP12-1_70155	KRTAP12-1	70
Non-Targeting Control_77036	Non-Targeting Control	254
CLN6_41219	CLN6	52
CDKL4_69604	CDKL4	31
PRB1_14705	PRB1	176
PPAPDC2_72634	PPAPDC2	111
Non-Targeting Control_76598	Non-Targeting Control	267
APCDD1_61786	APCDD1	213
SSX3_27384	SSX3	81
DES_4707	DES	31
XPNPEP2_20356	XPNPEP2	79
APOL1_22263	APOL1	87
MAMLD1_26817	MAMLD1	78
EVI2B_5882	EVI2B	28
MAPK3_14886	MAPK3	57
OR10A4_67298	OR10A4	139
TMEM141_54723	TMEM141	34
ELOF1_53532	ELOF1	32
CD27_2621	CD27	69
SH2D3A_26813	SH2D3A	77
PRIMA1_61401	PRIMA1	71
RXRA_16684	RXRA	79
IL17REL_72305	IL17REL	129
HYLS1_65391	HYLS1	35
VCX3B_72808	VCX3B	42
Non-Targeting Control_76468	Non-Targeting Control	181
OR6T1_65424	OR6T1	35
C3_1977	C3	105
SRGAP2B_74180	SRGAP2B	132
TMEM175_53352	TMEM175	93
MSI1_11770	MSI1	58
TM9SF1_28443	TM9SF1	73
SHC3_39578	SHC3	110
TNFSF14_22850	TNFSF14	62
CAMK2G_2265	CAMK2G	10
SWAP70_31653	SWAP70	40
HGSNAT_60545	HGSNAT	62
RTN3_27718	RTN3	57
OR51I2_71574	OR51I2	22
OPTC_34848	OPTC	11
SPINK2_18072	SPINK2	56
LIN28B_71392	LIN28B	83
IKZF3_30880	IKZF3	24
NCOA4_21205	NCOA4	122
CDC123_23254	CDC123	24
PAGE4_25036	PAGE4	120
CYB5B_51355	CYB5B	93
KCNA4_9955	KCNA4	63
RNF169_66429	RNF169	65
KBTBD7_52871	KBTBD7	31
KIF20B_25293	KIF20B	12
LRRC17_27454	LRRC17	181
KRAS_10299	KRAS	104
Non-Targeting Control_76897	Non-Targeting Control	82
CDK5R2_23469	CDK5R2	177
DKK1_31304	DKK1	28
NFE4_46499	NFE4	28
FXYD2_1364	FXYD2	46
CELA3B_32811	CELA3B	69
SS18_18318	SS18	46
Non-Targeting Control_77002	Non-Targeting Control	283
F3_5953	F3	62
HSPB1_8959	HSPB1	41
CA6_2115	CA6	29
MAPKAPK5_22293	MAPKAPK5	18
GDF7_62507	GDF7	36
FAM184B_35681	FAM184B	11
LRRN4CL_65690	LRRN4CL	161
SSX4B_73520	SSX4B	27
MTRF1L_40127	MTRF1L	62
LRRN4CL_65692	LRRN4CL	61
IKBIP_58385	IKBIP	89
BMP5_1787	BMP5	59
TRAK2_48610	TRAK2	43
NFRKB_12565	NFRKB	40
DIXDC1_54985	DIXDC1	21
ZNF181_68905	ZNF181	33
ZNF132_20663	ZNF132	46
EIF3F_22615	EIF3F	42
USP21_35390	USP21	32
KTN1_10429	KTN1	61
PPAPDC1B_53704	PPAPDC1B	55
PABPC1L2B_74065	PABPC1L2B	46
PAPOLB_44525	PAPOLB	128
C12orf75_70882	C12orf75	25
ARL13B_64777	ARL13B	36
NEFL_12437	NEFL	63
Non-Targeting Control_76474	Non-Targeting Control	212
ANLN_39942	ANLN	50
CCPG1_24268	CCPG1	44
NAGS_63513	NAGS	42
Non-Targeting Control_76880	Non-Targeting Control	308
APOBEC3B_25281	APOBEC3B	118
SPTBN1_18145	SPTBN1	97
ARFIP1_35827	ARFIP1	11
LGALS13_36557	LGALS13	139
PNMA6A_54644	PNMA6A	40
TRIM6_57998	TRIM6	17
NIPAL1_62679	NIPAL1	39
TDRD9_58461	TDRD9	58
SIK3_32659	SIK3	75
C20orf144_59631	C20orf144	60
LYSMD3_57621	LYSMD3	36
DIABLO_44296	DIABLO	31
MMP11_11614	MMP11	105
MLEC_25887	MLEC	35
TRIM35_31687	TRIM35	39
ZCCHC13_71522	ZCCHC13	75
FEZF2_41502	FEZF2	115
APOA2_948	APOA2	14
RAB43_68847	RAB43	87
MTHFD1_11864	MTHFD1	39
ENPEP_5602	ENPEP	15
CASP10_2365	CASP10	58
TOP2B_19448	TOP2B	45
SCYL2_43015	SCYL2	131
OR9A2_60378	OR9A2	124
PRSS55_65040	PRSS55	18
DMTN_5637	DMTN	46
MYH2_12026	MYH2	24
GYPB_8038	GYPB	200
STK35_61079	STK35	40
USP36_45989	USP36	67
ZNF215_20836	ZNF215	49
MAGED2_29536	MAGED2	44
FN1_6518	FN1	141
CKMT1A_73526	CKMT1A	4
Non-Targeting Control_76668	Non-Targeting Control	241
APOL6_51409	APOL6	36
TMEM8C_71501	TMEM8C	98
ITM2B_24849	ITM2B	48
P2RY4_13202	P2RY4	98
SPRY4_51956	SPRY4	230
RYR2_16702	RYR2	19
EI24_25151	EI24	53
FAM166B_75045	FAM166B	7
LONP2_52474	LONP2	19
ATP2A2_1371	ATP2A2	22
NDUFA12_43793	NDUFA12	12
LCN2_10539	LCN2	46
PSTPIP1_23702	PSTPIP1	82
MAL2_57133	MAL2	44
STK39_36095	STK39	64
NOTCH1_12723	NOTCH1	64
SFTA3_66376	SFTA3	37
TMEM56-RWDD3_76072	TMEM56-RWDD3	30
MSMB_11774	MSMB	5
TGFB1I1_19084	TGFB1I1	112
EPN3_41407	EPN3	48
ADGRF1_67091	ADGRF1	35
LOC389895_71528	LOC389895	59
ZNF134_20672	ZNF134	126
COPS7B_47900	COPS7B	45
MAGI1_24235	MAGI1	32
Non-Targeting Control_76531	Non-Targeting Control	353
OR9A4_59770	OR9A4	180
KIAA1324_45762	KIAA1324	126
CST8_26822	CST8	45
NDUFS4_12380	NDUFS4	122
MBD4_23435	MBD4	24
SIK1_62257	SIK1	152
ZIC5_54906	ZIC5	5
NDUFA13_37723	NDUFA13	22
TMEM244_66318	TMEM244	123
SUN5_60947	SUN5	23
SLC35A3_32829	SLC35A3	134
CASKIN1_45724	CASKIN1	93
SERPINF2_14165	SERPINF2	90
EPHX4_66279	EPHX4	33
PRKAB1_14769	PRKAB1	23
TLE4_19253	TLE4	30
SLC22A12_57629	SLC22A12	44
TMEM117_53123	TMEM117	19
CDK17_13470	CDK17	48
S100PBP_47994	S100PBP	25
Non-Targeting Control_76546	Non-Targeting Control	351
SH2D3C_26812	SH2D3C	24
GABRA2_6742	GABRA2	12
LTA_10832	LTA	25
MNX1_8399	MNX1	81
ATG4B_32023	ATG4B	69
ACOT9_33275	ACOT9	93
FAM120A_32039	FAM120A	118
Non-Targeting Control_77056	Non-Targeting Control	357
MX1_11954	MX1	17
CLPS_3420	CLPS	202
IFNGR1_9271	IFNGR1	78
RNF13_30826	RNF13	26
SLN_17725	SLN	66
N4BP2L1_55565	N4BP2L1	14
B2M_1551	B2M	106
PRDM8_44751	PRDM8	43
IQSEC2_31722	IQSEC2	17
SIRPG_42501	SIRPG	49
HAMP_46416	HAMP	46
CREB3_28261	CREB3	66
ASB13_49857	ASB13	45
ANKRD10_42778	ANKRD10	26
DEFA4_4687	DEFA4	29
RIC8A_46979	RIC8A	38
CDK2_2900	CDK2	13
CUX2_32438	CUX2	42
SMAD3_10964	SMAD3	22
GIMD1_75945	GIMD1	48
MPZL3_64380	MPZL3	52
POM121L12_68303	POM121L12	64
OR11L1_71948	OR11L1	106
C11orf71_40064	C11orf71	89
RUSC1-AS1_67946	RUSC1-AS1	67
ATP1B2_1355	ATP1B2	84
TCF7L2_18838	TCF7L2	211
COX6A1_3710	COX6A1	82
SPIN2A_39992	SPIN2A	248
TAB3_66909	TAB3	98
LOC441155_73068	LOC441155	14
HSPA4_8939	HSPA4	115
FGFBP2_52616	FGFBP2	34
ARL13A_72056	ARL13A	96
TMEM63C_45151	TMEM63C	85
LDHAL6B_56260	LDHAL6B	32
CARKD_43204	CARKD	47
HMX2_8538	HMX2	254
AP3M2_29634	AP3M2	33
Non-Targeting Control_76552	Non-Targeting Control	193
Non-Targeting Control_77070	Non-Targeting Control	221
CCNO_27708	CCNO	62
ANKRD30B_70334	ANKRD30B	40
UBL4A_21483	UBL4A	96
C5orf67_76371	C5orf67	57
Non-Targeting Control_77177	Non-Targeting Control	234
UBE3C_25626	UBE3C	93
WBSCR28_60369	WBSCR28	36
B4GALT7_30711	B4GALT7	40
GML_7285	GML	99
ST6GALNAC6_37082	ST6GALNAC6	78
SPINK5_29817	SPINK5	71
FSTL5_44458	FSTL5	36
ANKRA2_46377	ANKRA2	30
CRYZL1_26525	CRYZL1	42
FBXO38_51654	FBXO38	131
NDUFV3_12400	NDUFV3	43
Non-Targeting Control_77045	Non-Targeting Control	207
HMGB4_59370	HMGB4	117
AANAT_32	AANAT	95
OR8D4_68772	OR8D4	21
Non-Targeting Control_77242	Non-Targeting Control	177
GPRIN1_57194	GPRIN1	28
PPP4R1_26658	PPP4R1	18
IGFBP2_9313	IGFBP2	28
SLC2A14_61289	SLC2A14	33
APOC4_980	APOC4	67
RFX8_75077	RFX8	15
COPZ2_38178	COPZ2	46
PRR30_69022	PRR30	84
HAPLN3_61494	HAPLN3	107
KRTAP10-4_70655	KRTAP10-4	32
Non-Targeting Control_77174	Non-Targeting Control	182
CD320_38388	CD320	48
EDRF1_34570	EDRF1	62
TMCC2_26402	TMCC2	31
FAN1_31200	FAN1	23
RTKN2_65377	RTKN2	39
FAM127B_34507	FAM127B	118
SLC36A1_65187	SLC36A1	76
ZFPM2_32747	ZFPM2	65
ENPEP_5603	ENPEP	5
COL4A3BP_26962	COL4A3BP	45
ANTXR2_58014	ANTXR2	56
GTF2IRD2B_71406	GTF2IRD2B	83
Non-Targeting Control_77366	Non-Targeting Control	196
ERCC6_5769	ERCC6	40
FRMD6_58540	FRMD6	128
Non-Targeting Control_76823	Non-Targeting Control	159
BMP2K_42728	BMP2K	44
ZNF19_20505	ZNF19	18
SLFN12L_75919	SLFN12L	41
STX3_18444	STX3	146
Non-Targeting Control_76620	Non-Targeting Control	236
FRRS1L_33499	FRRS1L	93
TMSB15A_29843	TMSB15A	63
LOC388813_71197	LOC388813	90
HRH3_30618	HRH3	172
TBC1D8B_40891	TBC1D8B	114
OR4N4_67469	OR4N4	119
NFIB_12524	NFIB	231
DDIT4_40193	DDIT4	213
TIFA_56297	TIFA	76
Non-Targeting Control_77081	Non-Targeting Control	224
SLC23A3_62487	SLC23A3	15
LGI4_63656	LGI4	65
Non-Targeting Control_76625	Non-Targeting Control	466
NUAK1_26326	NUAK1	57
PPARGC1A_29447	PPARGC1A	59
MBD6_57186	MBD6	16
C10orf111_65672	C10orf111	31
LAPTM5_20944	LAPTM5	84
SNURF_23420	SNURF	101
LCE5A_66525	LCE5A	137
CIC_31888	CIC	45
DCAF7_27471	DCAF7	24
HRASLS2_41207	HRASLS2	118
OR10J1_35042	OR10J1	57
HPS6_49991	HPS6	29
SUV39H2_49750	SUV39H2	129
SPHKAP_51081	SPHKAP	31
CCND2_2491	CCND2	110
DCDC1_69278	DCDC1	23
MMRN1_31216	MMRN1	8
COTL1_32719	COTL1	109
MCC_11220	MCC	56
C1orf112_43180	C1orf112	17
SARNP_53483	SARNP	121
RBM6_27272	RBM6	36
LCTL_64486	LCTL	51
LRCH1_31859	LRCH1	62
OAS2_12964	OAS2	111
TMEM45B_58233	TMEM45B	55
UACA_41494	UACA	30
CLC_3333	CLC	58
CLEC18A_69925	CLEC18A	1
H2AFZ_8119	H2AFZ	39
ZNF558_61963	ZNF558	93
DESI1_36111	DESI1	207
RUNDC1_61712	RUNDC1	137
PPP2R2B_14625	PPP2R2B	161
TP53INP2_46529	TP53INP2	23
GGTLC1_56100	GGTLC1	154
ANKRD30B_70333	ANKRD30B	76
KCNJ18_75494	KCNJ18	219
MAGI1_24234	MAGI1	45
PDE4D_13526	PDE4D	19
Non-Targeting Control_76715	Non-Targeting Control	161
PBXIP1_45348	PBXIP1	68
ID3_9125	ID3	76
ZNF28_20535	ZNF28	133
PSG3_15111	PSG3	84
OR5M9_71663	OR5M9	47
CALB2_2206	CALB2	19
CRYBA4_3956	CRYBA4	25
BTNL2_44137	BTNL2	75
ARHGAP36_63214	ARHGAP36	125
CNRIP1_34110	CNRIP1	128
MICB_11483	MICB	72
PSG4_15116	PSG4	24
C3orf35_69046	C3orf35	64
TMEM176B_36219	TMEM176B	46
Non-Targeting Control_77049	Non-Targeting Control	146
