sgRNA	Gene	Clip2_7_E8_control_BC22_IGO_09496_14_S14
CHRNA6_23507	CHRNA6	21
ECHDC1_43611	ECHDC1	52
LILRA1_29888	LILRA1	295
NTN3_12903	NTN3	57
C4orf19_42204	C4orf19	208
PPP1R3D_14592	PPP1R3D	115
MEGF6_5379	MEGF6	62
PKLR_14045	PKLR	23
PERP_47286	PERP	96
SMOX_40080	SMOX	16
UAP1L1_55822	UAP1L1	60
UBAP1L_71815	UBAP1L	39
ZNF620_66325	ZNF620	52
NAIP_12187	NAIP	11
MTRF1L_40129	MTRF1L	11
KIAA2022_69200	KIAA2022	94
ARHGEF19_59491	ARHGEF19	17
PCDHA2_44047	PCDHA2	47
SMARCE1_17777	SMARCE1	48
ATM_1314	ATM	43
Non-Targeting Control_76922	Non-Targeting Control	180
MRPL35_38489	MRPL35	80
DESI2_37593	DESI2	44
MSLN_27445	MSLN	17
GPR137C_67412	GPR137C	93
STAP2_42822	STAP2	118
CLEC6A_56615	CLEC6A	25
BLOC1S4_42348	BLOC1S4	63
FCAMR_52718	FCAMR	62
MED31_37498	MED31	119
PMM2_14263	PMM2	70
ADAM15_22886	ADAM15	158
TPSD1_32792	TPSD1	46
GABPB2_59189	GABPB2	145
GABRR1_6797	GABRR1	194
CYP4X1_67025	CYP4X1	54
PANK2_50635	PANK2	78
ARHGDIB_1146	ARHGDIB	31
LIPE_10684	LIPE	53
HECTD4_67372	HECTD4	68
SPANXA2_74771	SPANXA2	10
RAB44_72399	RAB44	29
CFAP43_50938	CFAP43	180
MARK1_11127	MARK1	122
LXN_44601	LXN	91
MTF2_30911	MTF2	84
CCDC151_57598	CCDC151	73
ANKRD45_68944	ANKRD45	126
ASAP2_23204	ASAP2	59
KPNA1_10265	KPNA1	28
S1PR3_5276	S1PR3	74
SEPSECS_37766	SEPSECS	74
SIRPB2_67986	SIRPB2	41
TCF25_31356	TCF25	42
ZBTB7A_38560	ZBTB7A	41
E2F7_61344	E2F7	77
FLNB_6458	FLNB	120
HOXD1_8750	HOXD1	63
CILP2_61953	CILP2	51
Non-Targeting Control_76582	Non-Targeting Control	103
DYNC2H1_49544	DYNC2H1	104
CPXCR1_39528	CPXCR1	79
E2F8_49784	E2F8	70
PABPC1L2A_69194	PABPC1L2A	30
DLL4_40257	DLL4	36
SDK1_65920	SDK1	109
Non-Targeting Control_76867	Non-Targeting Control	394
SHISA3_62688	SHISA3	69
CPM_3802	CPM	55
BMF_55475	BMF	129
PRSS53_68844	PRSS53	72
Non-Targeting Control_76589	Non-Targeting Control	245
PCDHA11_44015	PCDHA11	149
CLLU1_73587	CLLU1	53
SETDB2_52521	SETDB2	37
ART1_1218	ART1	59
Non-Targeting Control_77278	Non-Targeting Control	145
PLS3_14214	PLS3	77
C8orf4_44481	C8orf4	85
TNNC2_19363	TNNC2	126
SSMEM1_60422	SSMEM1	60
Non-Targeting Control_77003	Non-Targeting Control	136
SLC32A1_60869	SLC32A1	117
DEK_21064	DEK	12
