sgRNA	Gene	Clip2_4_DE_GFP_high_BC16_IGO_09496_8_S8
CRISPLD1_52361	CRISPLD1	205
OLFML2A_64077	OLFML2A	23
ACTL7A_29416	ACTL7A	199
ITCH_52446	ITCH	287
15-Sep_24730	15-Sep	80
SRD5A3_49491	SRD5A3	95
PRSS27_52609	PRSS27	215
SH3GLB1_37800	SH3GLB1	31
PCNX_31391	PCNX	116
Non-Targeting Control_76561	Non-Targeting Control	539
FERMT1_42794	FERMT1	125
ABHD17A_52039	ABHD17A	1
UBA6_42034	UBA6	94
DSG2_5092	DSG2	194
SCGB1D2_28790	SCGB1D2	37
Non-Targeting Control_77022	Non-Targeting Control	441
PLK5_59169	PLK5	131
ADAMTS20_50679	ADAMTS20	24
QSOX2_64087	QSOX2	136
MAGEA2B_67074	MAGEA2B	35
PZP_15621	PZP	192
DRD1_5029	DRD1	81
DNAJB5_33812	DNAJB5	32
SARS2_41064	SARS2	285
RAB32_29750	RAB32	101
LRFN1_46052	LRFN1	257
KLRF1_38573	KLRF1	102
Non-Targeting Control_77121	Non-Targeting Control	716
PRTFDC1_44691	PRTFDC1	119
GABRB1_6763	GABRB1	142
ACAP3_57858	ACAP3	55
KRTAP26-1_71203	KRTAP26-1	38
FUT1_6644	FUT1	93
MSANTD3-TMEFF1_76006	MSANTD3-TMEFF1	271
Non-Targeting Control_76536	Non-Targeting Control	760
MMP1_11586	MMP1	216
MECP2_11312	MECP2	67
ALDH1A1_601	ALDH1A1	368
PGM2_42166	PGM2	62
TBC1D8_30238	TBC1D8	53
CGRRF1_28863	CGRRF1	122
TPRX1_67781	TPRX1	294
ADPGK_52089	ADPGK	261
LOC283710_67475	LOC283710	106
LYZ_10909	LYZ	175
SERPINA4_13893	SERPINA4	107
ARHGEF9_32151	ARHGEF9	112
CYS1_64340	CYS1	340
KHK_10152	KHK	44
KCNN2_10105	KCNN2	100
C1QTNF6_57347	C1QTNF6	75
CRHR1_3892	CRHR1	27
COX8C_69360	COX8C	306
PCYT1B_24925	PCYT1B	236
S1PR5_39614	S1PR5	153
SULT1C3_73227	SULT1C3	137
VANGL1_51940	VANGL1	103
SH3BP2_17279	SH3BP2	240
CCNE1_2499	CCNE1	111
Non-Targeting Control_76552	Non-Targeting Control	378
PEX11A_23017	PEX11A	103
WDR93_44725	WDR93	40
PAK7_45111	PAK7	272
ST3GAL4_17359	ST3GAL4	41
RNFT2_54419	RNFT2	169
Non-Targeting Control_77432	Non-Targeting Control	458
PYURF_76286	PYURF	84
Non-Targeting Control_76718	Non-Targeting Control	586
PODXL_14325	PODXL	82
Non-Targeting Control_77054	Non-Targeting Control	458
FRAT1_26770	FRAT1	66
S1PR3_5276	S1PR3	173
CLUAP1_31605	CLUAP1	111
Non-Targeting Control_76994	Non-Targeting Control	453
CHRDL2_33979	CHRDL2	251
NDUFS3_12371	NDUFS3	66
ACRBP_53730	ACRBP	88
ZZEF1_31847	ZZEF1	65
MATK_11149	MATK	305
TEX14_44060	TEX14	280
FBXO16_63023	FBXO16	50
TMEM14E_74047	TMEM14E	101
PROCA1_61723	PROCA1	72
MXD4_28652	MXD4	395
ZNF540_63669	ZNF540	43
NOP10_42561	NOP10	36
CMTM5_57678	CMTM5	106
Non-Targeting Control_77221	Non-Targeting Control	261
RBPJL_30739	RBPJL	18
STAT2_18346	STAT2	103
SGSM3_36118	SGSM3	87
Non-Targeting Control_76530	Non-Targeting Control	1031
DHRS7C_64817	DHRS7C	68
C9orf3_54444	C9orf3	69
CAMTA2_31797	CAMTA2	46
TSHR_19645	TSHR	64
OR11L1_71946	OR11L1	375
TSTA3_19675	TSTA3	149
ASPHD1_66381	ASPHD1	84
Non-Targeting Control_76697	Non-Targeting Control	481
EIF3G_22620	EIF3G	33
FLAD1_51076	FLAD1	39
PCGF3_27798	PCGF3	34
SLC25A52_61780	SLC25A52	197
NRTN_12863	NRTN	126
NAB2_12167	NAB2	117
MYO9B_12129	MYO9B	150
Non-Targeting Control_77003	Non-Targeting Control	329
BLOC1S2_67173	BLOC1S2	97
SAT2_56801	SAT2	192
KDM2A_31396	KDM2A	20
SPATA31D3_71470	SPATA31D3	193
SNURF_23418	SNURF	197
PNCK_60743	PNCK	232
XKR9_71441	XKR9	98
THY1_19178	THY1	48
TMEM86B_66550	TMEM86B	139
KLHL10_68535	KLHL10	174
MPHOSPH8_40460	MPHOSPH8	85
KCTD21_67264	KCTD21	198
CAPZA1_2310	CAPZA1	71
Non-Targeting Control_76717	Non-Targeting Control	415
ARMT1_49422	ARMT1	142
MITD1_59708	MITD1	282
Non-Targeting Control_76755	Non-Targeting Control	485
KRT31_10382	KRT31	28
MDH1B_59867	MDH1B	311
GFAP_7057	GFAP	23
THEG5_75975	THEG5	122
MKL1_45951	MKL1	48
OR51I2_71576	OR51I2	98
MSH4_11763	MSH4	94
MTERF3_37489	MTERF3	230
PPCS_49729	PPCS	357
METTL15_64373	METTL15	20
RIPPLY2_60298	RIPPLY2	64
SLC2A13_57107	SLC2A13	69
TMEM248_41473	TMEM248	101
KCNJ16_10079	KCNJ16	168
HIST3H3_21518	HIST3H3	119
TPRG1L_59327	TPRG1L	156
LOC100130451_75290	LOC100130451	244
DNAJA4_42529	DNAJA4	59
XIRP1_63861	XIRP1	142
OTOR_44560	OTOR	127
RASIP1_41008	RASIP1	129
SLC38A5_56340	SLC38A5	154
GTSF1_58370	GTSF1	199
TENM1_27261	TENM1	233
Non-Targeting Control_77130	Non-Targeting Control	213
TF_18997	TF	59
CLC_3336	CLC	259
IL1R1_9382	IL1R1	83
GNG12_43803	GNG12	74
RBM34_31508	RBM34	34
CLTB_3430	CLTB	67
BCAR3_21874	BCAR3	47
KRT71_56858	KRT71	82
VWC2L_72544	VWC2L	57
ZNF600_63573	ZNF600	32
PTPRS_15523	PTPRS	44
HAGHL_53270	HAGHL	119
CDC14A_22305	CDC14A	162
FOXA2_8547	FOXA2	94
NATD1_66741	NATD1	29
OR2L5_51577	OR2L5	93
INO80_40317	INO80	83
WEE2_73452	WEE2	113
SLC2A6_30401	SLC2A6	109
Non-Targeting Control_76795	Non-Targeting Control	338
IL22RA2_57741	IL22RA2	167
SMAD2_10958	SMAD2	316
ADORA3_384	ADORA3	170
KLHL7_43826	KLHL7	172
RBMY1E_70636	RBMY1E	36
TRPV1_20186	TRPV1	25
C15orf26_63438	C15orf26	37
TLR7_38356	TLR7	105
PLK5_59172	PLK5	203
ARHGEF9_32152	ARHGEF9	241
AWAT2_63241	AWAT2	96
NFIB_12522	NFIB	76
CLMP_50065	CLMP	42
ALPK1_50933	ALPK1	220
FNIP2_45986	FNIP2	148
NOX1_35450	NOX1	69
ZNF813_59015	ZNF813	80
KRTAP2-4_54779	KRTAP2-4	83
ZNF705A_72866	ZNF705A	139
FAM192A_50591	FAM192A	81
ERAP2_47486	ERAP2	64
E2F2_5207	E2F2	77
TGFA_19076	TGFA	74
CHRNA9_42713	CHRNA9	120
ZNF852_68124	ZNF852	39
Non-Targeting Control_76590	Non-Targeting Control	660
TM4SF5_23644	TM4SF5	119
NUCB1_12925	NUCB1	54
PAPOLB_44523	PAPOLB	122
C16orf54_67530	C16orf54	86
Non-Targeting Control_76990	Non-Targeting Control	478
Non-Targeting Control_76653	Non-Targeting Control	687
Non-Targeting Control_76915	Non-Targeting Control	452
ELK3_5528	ELK3	123
CCDC102A_56387	CCDC102A	43
OR3A2_13092	OR3A2	119
AMY1A_764	AMY1A	43
DTX2_57075	DTX2	106
NXNL1_57588	NXNL1	13
ZNF197_27234	ZNF197	35
KRTAP4-3_54769	KRTAP4-3	37
ZNF430_51025	ZNF430	67
PITPNA_14023	PITPNA	5
IMPAD1_41023	IMPAD1	110
BRK1_43556	BRK1	171
Non-Targeting Control_77137	Non-Targeting Control	424
PRAMEF1_48436	PRAMEF1	326
SPIRE1_44540	SPIRE1	147
UTP14C_25747	UTP14C	53
TCTA_18912	TCTA	63
POFUT2_32314	POFUT2	463
ARL5B_65687	ARL5B	37
CNKSR1_27540	CNKSR1	14
PGA3_73848	PGA3	308
LSM14A_34506	LSM14A	98
OSM_13130	OSM	39
TEFM_49798	TEFM	176
WDYHV1_41545	WDYHV1	181
OR4A5_51544	OR4A5	204
LUM_10874	LUM	126
TSSC1_19664	TSSC1	60
EBF1_5231	EBF1	89
SLC9C1_68115	SLC9C1	241
CT45A3_73153	CT45A3	8
C14orf166_39194	C14orf166	196
FZD8_21608	FZD8	148
C4orf19_42204	C4orf19	495
ID3_9128	ID3	75
MRPL33_25195	MRPL33	94
BEND5_49531	BEND5	97
PILRA_36995	PILRA	131
WISP3_23153	WISP3	127
HPX_8818	HPX	28
RALBP1_29577	RALBP1	32
SLC6A7_17539	SLC6A7	82
Non-Targeting Control_76888	Non-Targeting Control	300
CCDC149_55716	CCDC149	54
RNFT2_54420	RNFT2	37
DPP9_55714	DPP9	50
HAT1_22181	HAT1	315
OR5AC2_51508	OR5AC2	61
Non-Targeting Control_76893	Non-Targeting Control	436
CDK13_22462	CDK13	65
NRAS_12840	NRAS	188
HPR_8808	HPR	147
TFG_27804	TFG	48
Non-Targeting Control_77256	Non-Targeting Control	354
IMMT_29774	IMMT	62
AASS_27194	AASS	194
ZNF667_47180	ZNF667	229
SASH1_32473	SASH1	57
C17orf102_72225	C17orf102	39
Non-Targeting Control_76502	Non-Targeting Control	348
SPATA6_40250	SPATA6	199
RSPO3_54319	RSPO3	137
ECE1_5237	ECE1	28
GFRA4_47358	GFRA4	136
CCDC28A_34034	CCDC28A	177
IGF2BP2_28782	IGF2BP2	161
PAGR1_49249	PAGR1	101
DCAF4L2_60540	DCAF4L2	127
C8orf87_71448	C8orf87	178
UGT2A3_49978	UGT2A3	64
GLB1L3_56894	GLB1L3	107
SNX12_36828	SNX12	192
SLC4A11_52720	SLC4A11	205
DMRT1_4872	DMRT1	65
ATG16L1_41432	ATG16L1	125
C8B_2028	C8B	71
SPIN3_64108	SPIN3	123
PLEKHA6_31071	PLEKHA6	28
LOXL4_53044	LOXL4	202
HEMGN_42459	HEMGN	82
SLC24A4_58577	SLC24A4	595
MZT2A_74409	MZT2A	105
FGFR1OP_30160	FGFR1OP	128
IQUB_62935	IQUB	101
PDYN_13640	PDYN	41
CDS2_22897	CDS2	49
CCDC167_62900	CCDC167	33
RPRD1B_46570	RPRD1B	83
GPR155_62525	GPR155	111
RBM24_65854	RBM24	28
FBXO17_57453	FBXO17	161
SMIM3_54748	SMIM3	143
ZNF687_45956	ZNF687	57
RLIM_37917	RLIM	488
GPIHBP1_68715	GPIHBP1	177
PRSS41_70228	PRSS41	179
PHF23_48989	PHF23	117
LY6G6D_46690	LY6G6D	39
Non-Targeting Control_77056	Non-Targeting Control	514
GIMAP8_62954	GIMAP8	12
ZNF846_63599	ZNF846	89
VAT1L_46216	VAT1L	61
Non-Targeting Control_76667	Non-Targeting Control	427
Non-Targeting Control_76867	Non-Targeting Control	707
TMEM62_50623	TMEM62	204
CER1_24563	CER1	26
USP26_52506	USP26	105
GRK5_7638	GRK5	84
Non-Targeting Control_76889	Non-Targeting Control	249
CDC42SE2_44790	CDC42SE2	65
ASB5_60798	ASB5	117
TLR1_19273	TLR1	19
KRT27_69409	KRT27	194
FKBP11_38430	FKBP11	85
C15orf57_55466	C15orf57	54
RASGEF1A_65655	RASGEF1A	129
MYOCD_56580	MYOCD	221
ZSCAN32_41012	ZSCAN32	33
MMP19_11643	MMP19	47
TXNIP_28721	TXNIP	127
KRTAP20-1_68669	KRTAP20-1	242
MAOB_11098	MAOB	44
TMEM128_54722	TMEM128	96
SHISA9_75026	SHISA9	24
LXN_44601	LXN	127
FAM131A_59942	FAM131A	95
SLC45A2_37976	SLC45A2	39
CLN8_5704	CLN8	178
EPPIN_45036	EPPIN	58
SMS_17804	SMS	194
SLC6A2_17524	SLC6A2	48
ATOH7_65586	ATOH7	69
OR2W1_35260	OR2W1	238
CCDC160_69830	CCDC160	185
CCDC175_74968	CCDC175	100
RASSF1_30417	RASSF1	233
SLC30A8_64046	SLC30A8	119
PABPC4_22903	PABPC4	172
BCAP31_27114	BCAP31	118
STK17B_24341	STK17B	188
FOXC1_6381	FOXC1	177
ARHGAP6_1137	ARHGAP6	352
LYNX1_48601	LYNX1	225
ECE2_25724	ECE2	54
ABCB10_32848	ABCB10	122
MEOX2_11369	MEOX2	70
GP1BB_7447	GP1BB	66
ZNF331_42495	ZNF331	155
MBLAC2_62773	MBLAC2	76
PSG11_15133	PSG11	219
RCVRN_15961	RCVRN	25
CWF19L1_42180	CWF19L1	91
IGLL5_75769	IGLL5	234
CEACAM8_3097	CEACAM8	44
TRMT13_40046	TRMT13	96
TSGA13_57375	TSGA13	51
AMOTL2_38720	AMOTL2	247
STK17B_24343	STK17B	57
NLRC4_46544	NLRC4	50
GGA1_34538	GGA1	42
RGSL1_70140	RGSL1	123
ZSCAN4_64907	ZSCAN4	66
ZNF750_49862	ZNF750	148
STK11_18423	STK11	45
NFATC2IP_54425	NFATC2IP	86
CNOT8_24525	CNOT8	80
HAND1_24787	HAND1	135
C11orf1_48019	C11orf1	380
TAS2R3_37365	TAS2R3	203
BRPF3_35704	BRPF3	343
ARMC2_52843	ARMC2	67
AQP11_67133	AQP11	126
UMOD_19980	UMOD	181
SYNC_51610	SYNC	12
ZNF195_20799	ZNF195	147
RNF220_41841	RNF220	49
HAAO_32951	HAAO	21
IRAK2_9690	IRAK2	219
PCNT_13437	PCNT	175
SRA1_26725	SRA1	270
CD72_2745	CD72	143
TRIM23_1065	TRIM23	159
TALDO1_18695	TALDO1	115
CSAG1_63191	CSAG1	309
FAM69C_58947	FAM69C	104
FAM71F1_54045	FAM71F1	39
FBXL8_42374	FBXL8	32
RAB25_45012	RAB25	290
NRG3_28974	NRG3	87
PET117_75747	PET117	76
HSD17B14_38032	HSD17B14	168
C9orf40_41480	C9orf40	187
AGO3_64341	AGO3	60
RNF219_49351	RNF219	130
Non-Targeting Control_76827	Non-Targeting Control	256
KLHL20_35889	KLHL20	48
CXCL16_46512	CXCL16	267
ADAD1_60069	ADAD1	196
ELP5_33239	ELP5	310
SFN_7438	SFN	89
MET_11386	MET	57
ERN2_28614	ERN2	169
PIEZO2_47085	PIEZO2	91
TMCO2_59347	TMCO2	75
ERMP1_50455	ERMP1	110
FAM124B_50126	FAM124B	42
Non-Targeting Control_77143	Non-Targeting Control	343
ADAM2_6618	ADAM2	117
CLHC1_59787	CLHC1	52
GK5_66754	GK5	80
OBFC1_50543	OBFC1	77
ZNF680_69123	ZNF680	125
COPG2_35330	COPG2	44
LCT_10550	LCT	59
CALML4_56030	CALML4	89
ANKRD39_38216	ANKRD39	41
Non-Targeting Control_76986	Non-Targeting Control	404
UAP1_18035	UAP1	108
ARHGAP18_56596	ARHGAP18	130
THUMPD2_51297	THUMPD2	44
IMMP1L_64382	IMMP1L	97
ARHGAP6_1138	ARHGAP6	189
GHDC_53709	GHDC	11
Non-Targeting Control_76657	Non-Targeting Control	791
OR2Z1_67817	OR2Z1	54
Non-Targeting Control_76781	Non-Targeting Control	544
EIF3I_22628	EIF3I	35
TCEA3_18800	TCEA3	75
Non-Targeting Control_76711	Non-Targeting Control	390
NRL_12857	NRL	56
ZNF32_20544	ZNF32	105
TERF2IP_39881	TERF2IP	169
CLIC3_23609	CLIC3	44
CCDC110_66745	CCDC110	106
AK4_565	AK4	95
RIPK2_22917	RIPK2	142
OR4K15_51519	OR4K15	98
RAB8A_11360	RAB8A	230
TRIM8_51756	TRIM8	11
CTAGE5_11445	CTAGE5	105
COL5A2_3589	COL5A2	94
Non-Targeting Control_76672	Non-Targeting Control	499
ADH1C_341	ADH1C	116
THADA_47073	THADA	196
SCNN1G_16933	SCNN1G	100
WBSCR27_62984	WBSCR27	77
ZBTB33_26720	ZBTB33	185
HSPH1_29232	HSPH1	57
SERPINB10_13917	SERPINB10	74
ENO4_70819	ENO4	103
FAM25A_73753	FAM25A	232
MESDC2_31998	MESDC2	237
KDM8_50079	KDM8	125
FKBP10_47012	FKBP10	128
OMD_13011	OMD	92
SNX5_35647	SNX5	86
Non-Targeting Control_76803	Non-Targeting Control	373
BDH2_44506	BDH2	140
CD69_2738	CD69	163
GABRD_6776	GABRD	86
TNFSF14_22851	TNFSF14	75
KRTAP21-3_75664	KRTAP21-3	137
NPTX2_12814	NPTX2	96
ZFHX3_1293	ZFHX3	35
KIAA0040_25571	KIAA0040	394
GCKR_6989	GCKR	52
DEGS1_22323	DEGS1	196
AXL_1539	AXL	90
HMOX2_8526	HMOX2	58
RLN3_57981	RLN3	192
ITGA8_22166	ITGA8	106
KIAA1033_32462	KIAA1033	90
PPIH_28175	PPIH	21
FCN3_22284	FCN3	30
NXF2B_74645	NXF2B	191
PRDM5_30145	PRDM5	117
FTH1_6612	FTH1	86
TEX2_43582	TEX2	136
CLCA2_25431	CLCA2	63
PAX6_13341	PAX6	165
SEMA3B_21027	SEMA3B	121
RETN_44398	RETN	190
PRKCE_14829	PRKCE	331
Non-Targeting Control_76894	Non-Targeting Control	362
SP9_75378	SP9	143
FABP7_6024	FABP7	105
TRMT10A_56546	TRMT10A	45
KRT19_10377	KRT19	101
PXN_15590	PXN	106
GRIPAP1_44438	GRIPAP1	134
SLC5A8_63358	SLC5A8	213
SLC30A7_62085	SLC30A7	84
PROSER1_50917	PROSER1	39
Non-Targeting Control_76746	Non-Targeting Control	537
BHLHB9_51395	BHLHB9	259
ZNF460_29185	ZNF460	77
Non-Targeting Control_76544	Non-Targeting Control	700
DGAT1_22705	DGAT1	23
PHF14_25582	PHF14	265
AKAP3_28515	AKAP3	119
VPS36_37588	VPS36	56
STARD13_55561	STARD13	46
SPAG17_64666	SPAG17	131
TDRD7_32780	TDRD7	140
CDNF_73169	CDNF	196
TAAR6_68561	TAAR6	75
GALNT13_57250	GALNT13	96
H2AFJ_43308	H2AFJ	34
POFUT2_32313	POFUT2	149
HAND1_24786	HAND1	69
KCNA3_9951	KCNA3	220
NEK10_62624	NEK10	57
SCP2_16942	SCP2	228
TRAPPC3L_75156	TRAPPC3L	52
IL1RAPL1_30245	IL1RAPL1	223
PGK2_13813	PGK2	55
KLK14_37163	KLK14	93
FAM120A_32039	FAM120A	193
Non-Targeting Control_77305	Non-Targeting Control	417
SKOR2_74228	SKOR2	207
FAM216B_61375	FAM216B	331
C5orf67_76370	C5orf67	100
FUS_6638	FUS	42
RNF103-CHMP3_76029	RNF103-CHMP3	307
CCDC28A_34033	CCDC28A	229
Non-Targeting Control_77214	Non-Targeting Control	717
TIMM8A_4722	TIMM8A	185
GPR82_35783	GPR82	164
METTL21B_34012	METTL21B	51
PARVG_47363	PARVG	130
RGN_23875	RGN	181
TARBP1_18709	TARBP1	105
PAX2_13325	PAX2	20
CTRL_4235	CTRL	114
CAPNS1_2297	CAPNS1	36
ZCCHC24_65339	ZCCHC24	110
Non-Targeting Control_76765	Non-Targeting Control	602
TBC1D9_31906	TBC1D9	243
SPPL2B_44613	SPPL2B	20
ZDHHC7_42841	ZDHHC7	147
SS18L1_34421	SS18L1	74
TWSG1_44884	TWSG1	67
BCAS3_40694	BCAS3	171
LOC102724279_76416	LOC102724279	233
MYO5C_43762	MYO5C	199
CRYGA_3972	CRYGA	27
RIPK4_39767	RIPK4	214
CCDC185_63756	CCDC185	82
SOX30_29996	SOX30	100
SLC10A3_21494	SLC10A3	100
KRT73_68568	KRT73	17
ODF3_57047	ODF3	194
CFAP53_65576	CFAP53	307
CCND1_1629	CCND1	76
C5_2006	C5	93
C8orf4_44479	C8orf4	345
Non-Targeting Control_77060	Non-Targeting Control	208
HNF1A_18821	HNF1A	111
RARS_15841	RARS	84
FOXH1_23425	FOXH1	401
CDH17_2891	CDH17	206
YY2_72672	YY2	186
ZNF701_43291	ZNF701	356
KCNH8_59910	KCNH8	30
IFT43_56845	IFT43	96
CYP2W1_40959	CYP2W1	79
AIFM1_23961	AIFM1	70
PATL2_64493	PATL2	67
LHX9_44707	LHX9	308
RHD_16135	RHD	138
RABIF_15698	RABIF	203
CSF3_4031	CSF3	271
SPATA18_60084	SPATA18	91
TMEM55B_55629	TMEM55B	43
RANBP3L_64984	RANBP3L	303
GML_7285	GML	165
CUL4B_21969	CUL4B	70
REEP3_65658	REEP3	134
ACVR1C_59807	ACVR1C	105
UPP2_62521	UPP2	101
EIF4A1_5433	EIF4A1	22
Non-Targeting Control_77069	Non-Targeting Control	616
PROM2_62383	PROM2	165
KRTAP10-2_70680	KRTAP10-2	1
TACO1_38131	TACO1	179
ADAMTS5_30105	ADAMTS5	44
THAP3_55409	THAP3	430
STK32C_67171	STK32C	142
AFF2_6514	AFF2	108
MINOS1_72969	MINOS1	194
PRDM5_30143	PRDM5	230
GLCE_34403	GLCE	156
FZD2_6690	FZD2	65
DEFB119_66160	DEFB119	110
CHDH_42416	CHDH	186
OR2T4_59297	OR2T4	238
HSD11B1_8877	HSD11B1	137
CSF3R_4035	CSF3R	191
OR4E2_35254	OR4E2	118
PTX4_71841	PTX4	244
Non-Targeting Control_77387	Non-Targeting Control	231
AGAP11_58121	AGAP11	97
ZNF221_20621	ZNF221	166
GREM1_35202	GREM1	76
GPD1L_31954	GPD1L	211
KCNH5_35658	KCNH5	174
TRERF1_43447	TRERF1	131
DYNLT3_18915	DYNLT3	165
CEACAM16_71058	CEACAM16	88
PUS1_51133	PUS1	174
LRRTM3_69861	LRRTM3	16
OTUD6B_39179	OTUD6B	143
TENM2_45480	TENM2	39
ANKRD2_34955	ANKRD2	83
SFMBT2_46308	SFMBT2	83
Non-Targeting Control_76456	Non-Targeting Control	523
PLEKHJ1_41601	PLEKHJ1	78
HFE_8301	HFE	97
PRDX1_13263	PRDX1	35
FCRLA_54246	FCRLA	144
Non-Targeting Control_76443	Non-Targeting Control	418
FGF9_6265	FGF9	199
RIMBP2_32969	RIMBP2	53
PSORS1C2_64203	PSORS1C2	107
BPIFB1_56341	BPIFB1	73
AKAP4_23198	AKAP4	58
EDA2R_46857	EDA2R	146
XRN1_39986	XRN1	73
TNFAIP6_19380	TNFAIP6	168
DDX25_36535	DDX25	72
FMR1NB_63193	FMR1NB	174
Non-Targeting Control_76482	Non-Targeting Control	638
CCDC168_73822	CCDC168	161
FAT3_58226	FAT3	72
IFITM5_70830	IFITM5	50
Non-Targeting Control_77105	Non-Targeting Control	290
TRPM6_60983	TRPM6	89
CORO6_54552	CORO6	86
KDM1A_31504	KDM1A	240
ZMIZ1_45207	ZMIZ1	88
NACC2_60556	NACC2	115
SLC15A3_38399	SLC15A3	86
Non-Targeting Control_76586	Non-Targeting Control	511
MFGE8_11412	MFGE8	99
OR2T33_71968	OR2T33	58
TMEM223_48832	TMEM223	189
RAB2B_54522	RAB2B	63
GABRG2_6786	GABRG2	145
WFDC13_63761	WFDC13	65
SURF1_18513	SURF1	100
OR2B2_51881	OR2B2	72
SEC14L1_17108	SEC14L1	77
NCAN_4104	NCAN	369
PCNX_31393	PCNX	125
GPR157_50659	GPR157	124
TREML1_69120	TREML1	97
LYZL6_45138	LYZL6	103
SERGEF_34977	SERGEF	165
Non-Targeting Control_76966	Non-Targeting Control	468
SARM1_31728	SARM1	31
PLA2G2E_37075	PLA2G2E	98
GALM_59845	GALM	154
CLDN4_3792	CLDN4	126
C18orf42_73696	C18orf42	97
SOX9_17992	SOX9	75
PIM3_72798	PIM3	141
SLC45A3_54897	SLC45A3	209
MLPH_48887	MLPH	166
CA8_2121	CA8	44
DEFB114_66145	DEFB114	187
RIPK1_22837	RIPK1	282
STPG1_55524	STPG1	145
Non-Targeting Control_76524	Non-Targeting Control	651
PRMT3_27309	PRMT3	312
BEND4_71329	BEND4	300
SH2D4B_70802	SH2D4B	144
CLEC4C_64158	CLEC4C	294
CT83_65093	CT83	97
ACO1_144	ACO1	46
CD47_2712	CD47	313
GAB2_26168	GAB2	88
Non-Targeting Control_76585	Non-Targeting Control	316
FOXL1_6398	FOXL1	51
VEGFB_20135	VEGFB	69
BEND2_60657	BEND2	329
PKHD1L1_56419	PKHD1L1	118
SRRM3_65957	SRRM3	27
KMT2C_46630	KMT2C	121
NXF2B_74644	NXF2B	140
CTSB_4237	CTSB	198
PARG_22131	PARG	49
KPNA7_72565	KPNA7	213
RAX_37060	RAX	160
CERS6_66350	CERS6	23
HOGA1_56865	HOGA1	57
RPRD2_32225	RPRD2	76
FLOT1_27372	FLOT1	96
PRKRA_22373	PRKRA	87
RMI2_57610	RMI2	113
RICTOR_66289	RICTOR	104
SDHAF1_73900	SDHAF1	239
Non-Targeting Control_76531	Non-Targeting Control	708
Non-Targeting Control_77073	Non-Targeting Control	414
ZIC2_20445	ZIC2	126
IQSEC3_72864	IQSEC3	153
ZNF385C_64844	ZNF385C	130
BPNT1_27889	BPNT1	350
TENM1_27262	TENM1	277
OVOL3_74652	OVOL3	34
JADE1_50472	JADE1	45
Non-Targeting Control_77348	Non-Targeting Control	396
FGF5_6251	FGF5	268
ANKRD1_35479	ANKRD1	103
RCBTB1_41952	RCBTB1	195
TMPRSS11A_69063	TMPRSS11A	55
FOXN3_3146	FOXN3	134
UGGT2_43273	UGGT2	206
PPP1R1C_62465	PPP1R1C	74
Non-Targeting Control_76469	Non-Targeting Control	469
UHRF2_57494	UHRF2	82
SERPINA4_13895	SERPINA4	196
DEGS1_22324	DEGS1	84
ABCD2_639	ABCD2	85
Non-Targeting Control_77255	Non-Targeting Control	360
CAPN3_2296	CAPN3	79
CFAP69_50136	CFAP69	198
