sgRNA	Gene	Clip2_4_DE_GFP_high_BC16_IGO_09496_8_S8
ADGRE2_37087	ADGRE2	41
TMEM123_57357	TMEM123	213
CLCA4_30874	CLCA4	112
MRPL23_16384	MRPL23	43
ADAM2_6620	ADAM2	83
TMEM165_43595	TMEM165	64
Non-Targeting Control_77050	Non-Targeting Control	324
ADAM21_22875	ADAM21	293
KLK13_34529	KLK13	131
SIGLEC11_57101	SIGLEC11	214
CBY3_74071	CBY3	56
MEOX1_11365	MEOX1	91
Non-Targeting Control_77308	Non-Targeting Control	444
SYN3_21429	SYN3	231
PRRG4_48822	PRRG4	203
DMRTC1B_74755	DMRTC1B	58
NBEAL1_48389	NBEAL1	18
HIST1H2AG_23490	HIST1H2AG	249
GALK1_6831	GALK1	87
SLC35A4_57066	SLC35A4	142
Non-Targeting Control_77417	Non-Targeting Control	513
S100G_2211	S100G	248
SMAD2_10960	SMAD2	78
TTLL9_63774	TTLL9	251
SLC41A1_66476	SLC41A1	113
TOE1_57081	TOE1	65
CELSR1_25385	CELSR1	56
AGT_516	AGT	164
TPPP_30044	TPPP	235
Non-Targeting Control_77232	Non-Targeting Control	544
REM1_36200	REM1	66
CREM_3879	CREM	90
MPV17L_66548	MPV17L	112
SLCO4A1_36159	SLCO4A1	41
NGB_46491	NGB	254
ZNF43_20573	ZNF43	93
CNGB1_3485	CNGB1	50
STIM1_18396	STIM1	73
C1orf195_74475	C1orf195	162
CD46_11260	CD46	65
ARL13B_64777	ARL13B	59
SKA1_65571	SKA1	153
HDAC5_26734	HDAC5	358
PPP1R14D_40819	PPP1R14D	188
AHSP_38515	AHSP	362
MFAP3_11403	MFAP3	38
DPP6_4997	DPP6	158
Non-Targeting Control_77437	Non-Targeting Control	545
PMM1_14258	PMM1	223
LPCAT4_66487	LPCAT4	121
SLC9A4_71245	SLC9A4	13
Non-Targeting Control_77076	Non-Targeting Control	233
KLK15_42652	KLK15	32
NUDT11_41866	NUDT11	365
ARHGAP44_26407	ARHGAP44	62
RQCD1_23940	RQCD1	429
Non-Targeting Control_76480	Non-Targeting Control	441
TFCP2L1_36656	TFCP2L1	169
SYPL1_18580	SYPL1	113
ZNF347_53992	ZNF347	60
Non-Targeting Control_76744	Non-Targeting Control	473
RPP25L_60608	RPP25L	69
ACOT11_34379	ACOT11	136
SPP2_18084	SPP2	72
