sgRNA	Gene	DE_GFP_high
UBE2E1_19851	UBE2E1	610
ZNF257_57072	ZNF257	1803
OR2T8_69520	OR2T8	2188
RSPH1_55089	RSPH1	131
FOXF2_6377	FOXF2	1377
TM9SF3_44470	TM9SF3	952
BAZ1A_30380	BAZ1A	84
Non-Targeting Control_76746	Non-Targeting Control	3716
UTS2_29517	UTS2	191
CYB5D1_58794	CYB5D1	665
SBK1_70947	SBK1	162
IPO8_28377	IPO8	1084
TEX40_33924	TEX40	1183
TSPYL6_71226	TSPYL6	502
OR11H12_72895	OR11H12	1549
UBAC1_28030	UBAC1	303
CNTF_3536	CNTF	388
IDS_9162	IDS	1427
STK36_35687	STK36	2590
THAP4_37720	THAP4	2103
P2RY12_48111	P2RY12	730
CTLA4_4199	CTLA4	495
AHNAK_48749	AHNAK	529
HSPBAP1_49555	HSPBAP1	395
DPF2_16013	DPF2	198
PPP3R2_14681	PPP3R2	460
ZMAT1_53661	ZMAT1	1253
SCGB2B2_67832	SCGB2B2	350
HHEX_8332	HHEX	1070
TRIM41_55678	TRIM41	605
C9orf152_72472	C9orf152	749
RASSF2_25914	RASSF2	300
SLC27A6_36235	SLC27A6	592
EDA2R_46858	EDA2R	1714
SLC43A3_36343	SLC43A3	671
HLCS_8467	HLCS	243
DEGS2_58586	DEGS2	621
RAB1B_52014	RAB1B	1066
ARHGAP24_52165	ARHGAP24	689
MBD4_23436	MBD4	2292
SPIDR_33007	SPIDR	1154
PBX1_13359	PBX1	187
CRTC1_32617	CRTC1	440
BAG2_25126	BAG2	875
ZFP3_58876	ZFP3	1669
TTLL10_66421	TTLL10	373
CASZ1_40928	CASZ1	947
KIRREL2_52811	KIRREL2	1491
ANXA13_855	ANXA13	1905
MRGPRX1_66965	MRGPRX1	1687
Non-Targeting Control_76592	Non-Targeting Control	4161
POTEJ_74405	POTEJ	202
LCE1D_70067	LCE1D	1302
PEX5L_39022	PEX5L	511
AIRE_906	AIRE	301
LEKR1_71320	LEKR1	702
SLC26A7_57418	SLC26A7	592
ARHGEF19_59489	ARHGEF19	294
NT5E_12876	NT5E	1291
IER5L_71481	IER5L	1508
LRRC73_65794	LRRC73	77
DGCR6L_54826	DGCR6L	929
CARKD_43204	CARKD	566
SLC27A3_29804	SLC27A3	372
LOXL3_54061	LOXL3	327
PRPS2_15015	PRPS2	436
ZNF317_46241	ZNF317	440
VGLL1_38778	VGLL1	709
PARP14_40339	PARP14	242
SLC45A1_37313	SLC45A1	1038
Non-Targeting Control_77406	Non-Targeting Control	3859
BPY2C_73290	BPY2C	887
PPP2R2B_14625	PPP2R2B	1541
PDLIM3_35961	PDLIM3	79
HOXB3_8685	HOXB3	1403
COX6A1_3709	COX6A1	447
CT45A10_76402	CT45A10	2317
NIT1_12621	NIT1	1531
C15orf32_61489	C15orf32	790
RBMY1F_63280	RBMY1F	600
TXK_19771	TXK	591
ASPHD2_45185	ASPHD2	295
ITPRIPL2_63485	ITPRIPL2	499
STXBP6_36446	STXBP6	359
Non-Targeting Control_76681	Non-Targeting Control	1734
ZFAND2B_59854	ZFAND2B	553
ZNF471_45890	ZNF471	520
UBP1_19894	UBP1	790
Non-Targeting Control_76721	Non-Targeting Control	4016
ZNF385B_62442	ZNF385B	903
CXCR4_21004	CXCR4	363
C4orf19_42204	C4orf19	2907
NDUFS5_12381	NDUFS5	439
CREBBP_3868	CREBBP	377
IDS_9164	IDS	1270
WNT7A_20280	WNT7A	243
C6orf203_38243	C6orf203	395
TMEM14A_36282	TMEM14A	1134
CLHC1_59788	CLHC1	493
Non-Targeting Control_76682	Non-Targeting Control	2992
PRRX1_14289	PRRX1	923
ANO5_65133	ANO5	932
SIAH1_17337	SIAH1	1085
ZER1_28099	ZER1	350
BAIAP2L1_43809	BAIAP2L1	1135
GPR25_7575	GPR25	629
NUCB2_12932	NUCB2	918
APC2_27677	APC2	2226
ZBTB34_72646	ZBTB34	1121
IGF1R_9296	IGF1R	1594
Non-Targeting Control_76854	Non-Targeting Control	2404
ASB3_37908	ASB3	1495
ARL6IP4_38519	ARL6IP4	500
Non-Targeting Control_77248	Non-Targeting Control	3135
OR9I1_65453	OR9I1	462
EIF3M_28231	EIF3M	1743
CSDE1_20951	CSDE1	1059
CAT_2383	CAT	558
Non-Targeting Control_77271	Non-Targeting Control	1634
SIGLECL1_67803	SIGLECL1	272
TBC1D25_12974	TBC1D25	867
EMC8_27770	EMC8	2133
SLC6A18_69981	SLC6A18	219
MB21D1_57400	MB21D1	1212
EXOSC3_37520	EXOSC3	1507
FBXO22_34882	FBXO22	174
CT45A3_73154	CT45A3	1391
