sgRNA	Gene	DE_GFP_high
FKBP11_38430	FKBP11	504
GPR15_7537	GPR15	260
Non-Targeting Control_76655	Non-Targeting Control	2795
CCNB1IP1_46430	CCNB1IP1	749
RS1_16658	RS1	1316
OR6F1_69512	OR6F1	557
KIAA2022_69198	KIAA2022	1298
HAS1_8173	HAS1	548
FOXK2_9548	FOXK2	752
MAN2C1_11079	MAN2C1	608
FAM133A_68465	FAM133A	474
TOMM7_40199	TOMM7	718
KIAA1586_46233	KIAA1586	109
TMPRSS11A_69063	TMPRSS11A	424
MST1L_30516	MST1L	544
SERPINA9_68581	SERPINA9	790
GEMIN2_22073	GEMIN2	149
CXCR5_1749	CXCR5	476
GZMH_8059	GZMH	423
MAGEC3_60653	MAGEC3	802
PTS_15529	PTS	863
ERI1_55484	ERI1	451
SPAG16_49316	SPAG16	556
FAM227B_64476	FAM227B	880
P2RY14_26483	P2RY14	248
CELA3B_32812	CELA3B	1046
OR51E1_61199	OR51E1	1229
ITFG1_51629	ITFG1	122
FGF14_6287	FGF14	650
TYK2_19781	TYK2	193
OR10G3_35151	OR10G3	392
FGA_6221	FGA	478
DEFB126_51826	DEFB126	423
ITIH1_9836	ITIH1	514
RGS7BP_72379	RGS7BP	874
OR2T2_72525	OR2T2	310
NOTCH4_12739	NOTCH4	88
ZNF440_59027	ZNF440	2454
TWF1_15394	TWF1	851
GNA13_28882	GNA13	1194
C5orf15_44688	C5orf15	581
GABPB1_6736	GABPB1	501
ZNF438_65627	ZNF438	790
SLC4A2_17489	SLC4A2	979
DNAJB14_50523	DNAJB14	2024
ANK1_795	ANK1	894
ELF1_5502	ELF1	1154
GATA3_6916	GATA3	873
CHID1_48606	CHID1	250
DEFB126_51823	DEFB126	362
KRT16_10368	KRT16	919
AKT2_573	AKT2	428
ARID2_64449	ARID2	505
AHNAK2_56935	AHNAK2	621
ASAP2_23202	ASAP2	356
STAT1_18343	STAT1	280
THRSP_19173	THRSP	392
RAB1B_52011	RAB1B	2016
SPAG9_23672	SPAG9	513
SELE_17122	SELE	264
LPAR6_27209	LPAR6	1635
METRN_48692	METRN	192
MFAP3_11402	MFAP3	601
LHX5_47527	LHX5	327
TVP23B_37595	TVP23B	1860
DDIT3_4622	DDIT3	457
GPHA2_64178	GPHA2	313
UGT2B10_19961	UGT2B10	723
GYPC_8043	GYPC	1505
HSPB11_39271	HSPB11	380
ELAVL3_5495	ELAVL3	300
MYLK3_56015	MYLK3	595
GNG2_39849	GNG2	466
TMEM88B_73881	TMEM88B	253
CD164L2_71120	CD164L2	1910
HRASLS_45010	HRASLS	391
ERVFRD-1_72703	ERVFRD-1	88
4-Sep_14322	4-Sep	1266
DCD_57913	DCD	539
CNRIP1_34110	CNRIP1	1433
CDCA7_52594	CDCA7	351
TMEM247_71224	TMEM247	415
TNS3_47968	TNS3	354
HIST1H2AG_23490	HIST1H2AG	1538
Non-Targeting Control_76609	Non-Targeting Control	3188
ZNF804B_65322	ZNF804B	1538
SHISA9_75025	SHISA9	719
CLEC4F_63840	CLEC4F	271
LCN9_72044	LCN9	744
CTNNBIP1_44815	CTNNBIP1	930
EPHB2_5676	EPHB2	563
C6orf1_65825	C6orf1	1297
MAGEA10_11031	MAGEA10	831
ASB16_56281	ASB16	816
RAMP2_27568	RAMP2	2181
TNP1_19417	TNP1	711
UQCR11_29734	UQCR11	542
SLC14A1_17635	SLC14A1	291
FAM84B_63026	FAM84B	715
MSS51_58046	MSS51	313
PCP4_13452	PCP4	344
FASTKD1_49599	FASTKD1	966
PAFAH2_13260	PAFAH2	829
Non-Targeting Control_76784	Non-Targeting Control	3122
RFX8_75078	RFX8	564
PCDHA8_44026	PCDHA8	1886
FGFBP1_26633	FGFBP1	1381
S1PR2_24417	S1PR2	487
L1CAM_10436	L1CAM	1944
LRRC40_42863	LRRC40	345
IFT140_25815	IFT140	1327
ITPRIP_54956	ITPRIP	967
TAS2R30_67004	TAS2R30	423
SREBF2_18182	SREBF2	531
GRIP2_51436	GRIP2	722
STMN2_30041	STMN2	1875
RHPN1_57267	RHPN1	246
CRYGA_3970	CRYGA	516
DUSP9_5173	DUSP9	781
MUC22_75996	MUC22	672
ABHD6_45425	ABHD6	838
MAGEH1_36303	MAGEH1	592
DGCR6_21415	DGCR6	579
RUNX1_2402	RUNX1	562
DNAJC12_44271	DNAJC12	1506
CCNI_29755	CCNI	436
Non-Targeting Control_76857	Non-Targeting Control	1997
UCN3_57097	UCN3	614
COX5A_24657	COX5A	647
Non-Targeting Control_77274	Non-Targeting Control	2146
SPSB3_55662	SPSB3	498
TNFRSF18_22959	TNFRSF18	299
CAP2_28253	CAP2	1093
REXO4_45006	REXO4	294
METTL21B_34011	METTL21B	1233
SLC7A14_46296	SLC7A14	1482
SMOC1_47348	SMOC1	718
AS3MT_45440	AS3MT	677
CECR5_36145	CECR5	1032
C11orf58_29622	C11orf58	244
HIST1H4L_21772	HIST1H4L	201
DDHD2_32259	DDHD2	837
ALMS1_20975	ALMS1	707
SCN3B_43420	SCN3B	563
UPP1_20008	UPP1	212
MEF2C_11323	MEF2C	832
HIST1H4E_21765	HIST1H4E	2374
RIT1_16160	RIT1	265
GABRA1_6740	GABRA1	575
RHBG_45066	RHBG	223
PARK7_30734	PARK7	885
SPANXA1_37052	SPANXA1	1127
TRIM38_28210	TRIM38	91
TSC22D2_26078	TSC22D2	438
PLAC1_29087	PLAC1	2853
PLEKHM1_26153	PLEKHM1	747
TIRAP_57141	TIRAP	1220
PPP1R3F_55135	PPP1R3F	930
TK1_19226	TK1	274
KDELC1_48850	KDELC1	762
NRAS_12840	NRAS	1283
NLRP9_68698	NLRP9	385
C7orf65_72415	C7orf65	358
ADAMTS1_25052	ADAMTS1	1141
PCDHB5_34713	PCDHB5	236
EXOSC6_58027	EXOSC6	80
BRPF3_35703	BRPF3	533
Non-Targeting Control_77192	Non-Targeting Control	1495
THRB_19170	THRB	1391
MPC2_33955	MPC2	283
SLC2A10_51488	SLC2A10	1126
ZNF300_56074	ZNF300	1910
IL17D_39540	IL17D	232
SERPINB6_13902	SERPINB6	167
SSX2_18306	SSX2	654
LPO_10772	LPO	673
FERMT1_42793	FERMT1	719
SOGA1_60929	SOGA1	577
CYC1_4317	CYC1	497
ISOC1_37539	ISOC1	1105
MSL1_68894	MSL1	96
TRIM10_27030	TRIM10	250
TLDC2_60934	TLDC2	1144
MAGOHB_41598	MAGOHB	284
TMED1_29864	TMED1	1201
TINAG_35912	TINAG	1337
OR5T3_71652	OR5T3	573
DPP4_4995	DPP4	191
TMEM260_40990	TMEM260	767
CD52_2978	CD52	1130
MICU1_27861	MICU1	514
CA14_33364	CA14	80
TPCN2_65441	TPCN2	609
MRFAP1L1_57370	MRFAP1L1	346
TROAP_26775	TROAP	427
GIT2_26063	GIT2	772
ENPP4_31075	ENPP4	332
WFIKKN2_58838	WFIKKN2	236
GAB2_26168	GAB2	530
MPV17L2_54167	MPV17L2	342
C6orf136_65844	C6orf136	410
MOCS2_11673	MOCS2	1189
DCANP1_61086	DCANP1	1256
LOC389602_71421	LOC389602	1394
PCDH19_45727	PCDH19	897
GIMAP5_42386	GIMAP5	933
NBEAL2_32122	NBEAL2	708
RND2_21341	RND2	1043
RAB26_33864	RAB26	679
UBE2U_62052	UBE2U	437
PTH_15359	PTH	540
C12orf71_74801	C12orf71	1834
PDGFD_51085	PDGFD	1183
POMGNT2_54389	POMGNT2	820
C1QTNF6_57347	C1QTNF6	442
TBC1D23_43327	TBC1D23	572
RAB17_47601	RAB17	396
Non-Targeting Control_77185	Non-Targeting Control	2502
MGC50722_72110	MGC50722	136
RBBP9_29036	RBBP9	421
FBXO38_51652	FBXO38	1725
MAP7D1_43076	MAP7D1	1105
MED26_24836	MED26	144
C10orf62_72756	C10orf62	502
MED17_24830	MED17	200
SNX9_38740	SNX9	512
IRAK1_9682	IRAK1	1538
RLTPR_61537	RLTPR	318
AGAP5_74835	AGAP5	1023
PCDHA1_44054	PCDHA1	270
HTR1A_9016	HTR1A	513
CLCN4_3353	CLCN4	898
SPINK14_72721	SPINK14	1233
CASK_22367	CASK	950
RAB1B_52012	RAB1B	1056
CLEC12B_70870	CLEC12B	413
DHRS2_27335	DHRS2	1082
SHROOM4_45575	SHROOM4	1295
VMO1_67590	VMO1	385
C5AR2_35801	C5AR2	252
STK32C_67171	STK32C	915
DOCK2_4963	DOCK2	392
ABI2_27173	ABI2	411
SMIM10L1_75200	SMIM10L1	207
FBXO36_59885	FBXO36	1234
SIGMAR1_27614	SIGMAR1	729
CRHR2_3893	CRHR2	273
SCNN1D_16930	SCNN1D	798
ARMCX1_38453	ARMCX1	302
TAP1_18700	TAP1	767
TFG_27802	TFG	338
MUL1_49344	MUL1	379
ERLEC1_35877	ERLEC1	358
ASH1L_43629	ASH1L	326
POGZ_31800	POGZ	293
ERP44_31641	ERP44	576
TCF7L2_18837	TCF7L2	1776
ARHGAP44_26408	ARHGAP44	299
FOXO1_6429	FOXO1	4683
CNIH1_27257	CNIH1	919
DEFB133_72642	DEFB133	642
XYLB_26514	XYLB	576
PROM1_23170	PROM1	806
SPATA31D1_71476	SPATA31D1	471
ITCH_52446	ITCH	1720
TMPRSS11D_24744	TMPRSS11D	692
HNRNPCL1_69494	HNRNPCL1	465
RIOK3_22956	RIOK3	387
OR8H2_71644	OR8H2	791
ZNF337_34674	ZNF337	366
SYNE3_63397	SYNE3	126
Non-Targeting Control_76724	Non-Targeting Control	2294
BCL11B_48243	BCL11B	548
AMN_51871	AMN	1184
Non-Targeting Control_76986	Non-Targeting Control	2509
CADM3_46480	CADM3	1749
ZNF565_61903	ZNF565	684
FCAMR_52717	FCAMR	1605
HNF1B_18828	HNF1B	540
IFIH1_47457	IFIH1	498
GPR137C_67410	GPR137C	824
DNAAF1_58663	DNAAF1	704
TIGD2_63916	TIGD2	614
YY2_72669	YY2	456
BAG1_1567	BAG1	152
SSX3_27383	SSX3	1547
NANOS3_69475	NANOS3	196
FGR_6318	FGR	740
Non-Targeting Control_77323	Non-Targeting Control	1828
RMDN3_41822	RMDN3	286
ZNF91_20636	ZNF91	1148
NCK1_12249	NCK1	1966
MSMO1_16835	MSMO1	143
SLC18A2_17667	SLC18A2	458
PALB2_49770	PALB2	1021
CDKN2A_2937	CDKN2A	1518
LRRC46_55500	LRRC46	283
Non-Targeting Control_76697	Non-Targeting Control	3183
Non-Targeting Control_76658	Non-Targeting Control	2817
LHX3_21185	LHX3	656
ELMO2_47127	ELMO2	1724
GJB1_7162	GJB1	409
FAS_1005	FAS	1486
PRX_46318	PRX	1024
LRMP_10780	LRMP	861
MINPP1_25221	MINPP1	1176
TM4SF20_50159	TM4SF20	1143
SUMO3_17806	SUMO3	866
RAD51AP1_28749	RAD51AP1	293
MEI4_76377	MEI4	274
KRTAP12-2_70146	KRTAP12-2	907
PCDHB9_43972	PCDHB9	1588
SFTPB_17226	SFTPB	1184
GJB5_7174	GJB5	310
Non-Targeting Control_76984	Non-Targeting Control	2175
ETV2_5849	ETV2	759
CRH_3881	CRH	720
COLEC12_51501	COLEC12	774
CAPN7_32895	CAPN7	335
H2BFWT_63260	H2BFWT	494
IBTK_34295	IBTK	269
LOC102723859_76411	LOC102723859	2742
CABS1_54916	CABS1	624
FH_6324	FH	125
OVCH1_69309	OVCH1	750
STK17B_24343	STK17B	326
DNASE1_4898	DNASE1	912
SNAP29_24544	SNAP29	57
MXD4_28652	MXD4	2568
SEPP1_17149	SEPP1	829
Non-Targeting Control_76882	Non-Targeting Control	1573
POMGNT2_54390	POMGNT2	411
Non-Targeting Control_77229	Non-Targeting Control	2739
MATK_11149	MATK	1821
GRB7_7692	GRB7	1314
APLN_23228	APLN	1431
CHMP5_38910	CHMP5	594
OR51F1_66818	OR51F1	1116
TERF2IP_39882	TERF2IP	901
CGA_3081	CGA	383
NAIF1_65074	NAIF1	172
PRKACB_14783	PRKACB	685
LIPC_10679	LIPC	281
FEM1B_27059	FEM1B	257
MTERF2_51054	MTERF2	222
CCDC70_52110	CCDC70	516
FMR1NB_63193	FMR1NB	1154
DOCK3_4966	DOCK3	431
CCDC142_54299	CCDC142	497
SYN3_21429	SYN3	1509
KCNK9_38438	KCNK9	932
PLCL2_32148	PLCL2	167
DNMT3A_4948	DNMT3A	964
XKR7_69571	XKR7	704
CORO7_49324	CORO7	1330
SAG_16794	SAG	141
KLHL38_69154	KLHL38	853
TNFSF10_22863	TNFSF10	257
LRRC10_70570	LRRC10	303
BTG2_20967	BTG2	577
FAM163B_73733	FAM163B	715
AAGAB_49737	AAGAB	402
TCEA3_18797	TCEA3	302
METTL1_11392	METTL1	107
LRRC70_75308	LRRC70	1077
CD200R1L_69639	CD200R1L	698
EIF1B_27649	EIF1B	1105
RUSC1_33342	RUSC1	1325
KCNMA1_10094	KCNMA1	1023
BGN_1712	BGN	369
MARVELD1_52455	MARVELD1	1759
TCF3_18829	TCF3	1159
GREB1L_50560	GREB1L	470
PDHA2_13593	PDHA2	667
ARL13A_72055	ARL13A	1090
SPANXN4_73164	SPANXN4	2204
NOX3_37225	NOX3	410
STAC2_69417	STAC2	271
NGRN_38540	NGRN	1242
EPHA4_5653	EPHA4	1343
ATAD3C_65206	ATAD3C	729
GML_7288	GML	843
PRR5L_50310	PRR5L	905
ZNF784_61870	ZNF784	893
LRRC3C_75835	LRRC3C	472
ZNF408_49970	ZNF408	329
USP54_63284	USP54	355
PITPNM1_25326	PITPNM1	426
CRH_3882	CRH	508
KRTAP9-3_52662	KRTAP9-3	1667
RASL12_38361	RASL12	810
PSMG2_44771	PSMG2	99
OR2A42_72555	OR2A42	3649
ECI1_4566	ECI1	328
SLC26A1_29349	SLC26A1	347
HES4_46406	HES4	245
ATOH8_54459	ATOH8	314
MS4A6E_66106	MS4A6E	1030
CCDC50_62631	CCDC50	464
CELF3_30430	CELF3	386
ZNF17_20500	ZNF17	654
Non-Targeting Control_76818	Non-Targeting Control	931
VAMP5_29175	VAMP5	310
SPTY2D1_61264	SPTY2D1	411
SH3PXD2A_25461	SH3PXD2A	415
ADCY10_43456	ADCY10	759
OVOL1_13156	OVOL1	1818
TARP_73307	TARP	791
DSC1_5065	DSC1	183
LSR_39108	LSR	1255
HOXB2_8684	HOXB2	774
ZNF43_20575	ZNF43	862
NXPE1_58255	NXPE1	541
TBKBP1_25865	TBKBP1	1170
ADAMTS8_30101	ADAMTS8	867
ZNF20_20512	ZNF20	223
MLH3_35429	MLH3	848
CALR_2242	CALR	1932
FAM129A_57784	FAM129A	189
RAB9A_24618	RAB9A	501
EBLN2_41556	EBLN2	725
SPATA17_59464	SPATA17	358
VWA3A_61530	VWA3A	384
USP17L3_74040	USP17L3	1065
C16orf71_61617	C16orf71	737
PHGR1_73957	PHGR1	411
VLDLR_20175	VLDLR	319
PGPEP1L_61481	PGPEP1L	1536
WFDC5_62227	WFDC5	695
SAT1_16823	SAT1	1019
UBASH3B_54617	UBASH3B	470
PCDHB7_43982	PCDHB7	348
CYB5B_51355	CYB5B	1307
OTOA_61533	OTOA	585
OR51M1_71561	OR51M1	716
NOP56_28387	NOP56	105
AZIN2_57008	AZIN2	999
CALY_37292	CALY	989
GPM6B_7485	GPM6B	1229
APOL4_51417	APOL4	226
F7_5964	F7	266
TTLL7_49803	TTLL7	769
CCDC120_55284	CCDC120	1350
CABS1_54918	CABS1	1321
LYPLA1_28068	LYPLA1	153
CHCHD6_53412	CHCHD6	589
UBALD2_67574	UBALD2	962
LOXL2_10760	LOXL2	1424
OR4A5_51543	OR4A5	927
GABRR3_64811	GABRR3	783
LRRC3B_57651	LRRC3B	272
BMPR1B_1807	BMPR1B	688
AREL1_26255	AREL1	192
FAM212A_71284	FAM212A	345
L1CAM_10435	L1CAM	347
DOCK2_4964	DOCK2	808
YTHDC1_55976	YTHDC1	35
ACBD7_72748	ACBD7	928
MNDA_11657	MNDA	736
OR52R1_58182	OR52R1	1326
C8orf82_72796	C8orf82	76
ABHD17C_46566	ABHD17C	551
FAM65C_61044	FAM65C	111
JMJD7_75504	JMJD7	230
KRTAP2-1_52002	KRTAP2-1	1687
ZMAT2_62790	ZMAT2	1263
OR10Z1_59525	OR10Z1	420
OR2D2_58284	OR2D2	334
MYO7B_12123	MYO7B	370
ZNF431_64241	ZNF431	698
CCDC134_50240	CCDC134	1140
NAB2_12166	NAB2	888
ANKRD9_58467	ANKRD9	438
SEC62_19270	SEC62	213
ZNF222_20643	ZNF222	317
PEBP1_13226	PEBP1	108
APOE_985	APOE	221
TIMP1_19203	TIMP1	1085
SERPINB2_13273	SERPINB2	682
Non-Targeting Control_77134	Non-Targeting Control	1960
GCSH_7020	GCSH	528
TEX101_52303	TEX101	1359
FAM195B_69939	FAM195B	855
APOF_880	APOF	1015
GDI2_7048	GDI2	471
PBX2_13364	PBX2	997
HCRT_8246	HCRT	832
Non-Targeting Control_77263	Non-Targeting Control	4330
ZNF816_58956	ZNF816	501
ITGAX_9793	ITGAX	471
NARS2_49781	NARS2	1204
DPYSL3_5020	DPYSL3	598
REG1B_15992	REG1B	739
TCP11_18904	TCP11	469
ZNF85_20626	ZNF85	1038
COX7C_3739	COX7C	846
KIAA1257_45648	KIAA1257	558
TMEM191B_74599	TMEM191B	2998
ESYT2_45608	ESYT2	337
SETMAR_17166	SETMAR	843
SLC35D2_29949	SLC35D2	571
DAPP1_35502	DAPP1	1173
Non-Targeting Control_77107	Non-Targeting Control	1888
ARHGAP6_1137	ARHGAP6	2149
CLN6_41219	CLN6	503
LYZL4_59930	LYZL4	274
EPDR1_40479	EPDR1	281
BMP1_1770	BMP1	310
GPC4_6212	GPC4	1813
FUT11_64137	FUT11	279
FUCA1_6627	FUCA1	566
DGAT2_53932	DGAT2	910
MYOD1_12143	MYOD1	537
RPP40_29202	RPP40	457
MCM9_66468	MCM9	79
TMEM202_68839	TMEM202	751
CNTN3_13298	CNTN3	1019
DDX6_4648	DDX6	472
KPTN_30221	KPTN	309
SLC9A2_17589	SLC9A2	93
MCCD1_72389	MCCD1	555
ZNF471_45889	ZNF471	1528
CDK11B_2783	CDK11B	950
DCAF8_37323	DCAF8	609
EMC3_43517	EMC3	208
DEFA1_4679	DEFA1	737
MSH3_11758	MSH3	1730
C2orf40_53565	C2orf40	1137
CDH2_2833	CDH2	855
Non-Targeting Control_76922	Non-Targeting Control	2481
MAGEB18_68472	MAGEB18	2015
Non-Targeting Control_77057	Non-Targeting Control	3012
MIP_11499	MIP	600
Non-Targeting Control_77179	Non-Targeting Control	2438
FOXG1_6372	FOXG1	1722
PRRT3_68139	PRRT3	783
Non-Targeting Control_76924	Non-Targeting Control	2289
ST3GAL3_17361	ST3GAL3	123
EVX2_69600	EVX2	460
LGALS1_10590	LGALS1	442
CMYA5_64994	CMYA5	45
TBX18_23849	TBX18	1007
C10orf131_75142	C10orf131	514
SIRT7_38999	SIRT7	317
TMEM107_53453	TMEM107	1056
Non-Targeting Control_77437	Non-Targeting Control	3258
CYS1_64337	CYS1	2098
TFAP2E_68972	TFAP2E	826
CASQ2_2376	CASQ2	139
KRT83_10415	KRT83	127
APOBEC3H_63789	APOBEC3H	951
ANXA2_826	ANXA2	480
TEPP_70320	TEPP	505
TANK_26722	TANK	404
MAP1LC3A_53804	MAP1LC3A	313
Non-Targeting Control_76955	Non-Targeting Control	3505
RNH1_16219	RNH1	268
MCFD2_55461	MCFD2	838
PRR23B_71302	PRR23B	1071
FUZ_50890	FUZ	563
NR4A2_12948	NR4A2	842
CREM_3879	CREM	600
DPYS_5010	DPYS	275
FAM184A_49454	FAM184A	441
NGRN_38542	NGRN	787
NEK3_12451	NEK3	543
TANGO2_59654	TANGO2	611
ARHGAP31_45696	ARHGAP31	1059
RHO_16141	RHO	347
ZNF74_20594	ZNF74	266
PMEL_17369	PMEL	775
MT1M_11832	MT1M	720
DCP1B_64443	DCP1B	283
DYNLT3_18916	DYNLT3	886
TRIM15_55187	TRIM15	546
TRUB2_35368	TRUB2	143
THAP2_52244	THAP2	919
WDR17_57851	WDR17	426
ZNF728_71042	ZNF728	1912
Non-Targeting Control_76743	Non-Targeting Control	2341
LZIC_53496	LZIC	1202
ALKBH8_56012	ALKBH8	1106
TMEM41A_55453	TMEM41A	449
C14orf37_61418	C14orf37	532
Non-Targeting Control_77020	Non-Targeting Control	1811
LAMB3_10487	LAMB3	3276
FBXL8_42373	FBXL8	298
SIGLEC1_17815	SIGLEC1	418
GHR_7116	GHR	1239
HAPLN4_72650	HAPLN4	621
ZDHHC14_49626	ZDHHC14	66
Non-Targeting Control_76478	Non-Targeting Control	4002
OR11G2_71790	OR11G2	951
CSF1R_4013	CSF1R	72
TSPY3_74585	TSPY3	71
HIST4H4_58389	HIST4H4	920
SLC25A29_58581	SLC25A29	735
FAM196B_75407	FAM196B	213
NAT8B_38829	NAT8B	98
Non-Targeting Control_77401	Non-Targeting Control	2177
FOXE3_6403	FOXE3	870
FPR3_6569	FPR3	523
AXIN2_21567	AXIN2	625
NRSN1_60972	NRSN1	220
OR4D11_65507	OR4D11	592
OR5P3_58214	OR5P3	689
CHIC1_39550	CHIC1	965
E2F5_5220	E2F5	567
CHRM1_3195	CHRM1	175
TYW1B_73082	TYW1B	645
PITRM1_28394	PITRM1	238
GPRIN2_25736	GPRIN2	1664
LCTL_64488	LCTL	398
OR13C2_72025	OR13C2	1030
GCAT_32871	GCAT	233
ADAMTSL5_68928	ADAMTSL5	432
SYCP2L_65869	SYCP2L	495
CCDC178_70337	CCDC178	545
NUTM1_66794	NUTM1	243
IMMP1L_64383	IMMP1L	963
YPEL3_52420	YPEL3	115
ATP13A2_32699	ATP13A2	879
C10orf53_67160	C10orf53	412
C12orf65_55888	C12orf65	124
ITGB3BP_32774	ITGB3BP	1458
PSMB6_15190	PSMB6	42
C12orf54_58350	C12orf54	243
CPOX_3815	CPOX	1024
SEMA4G_46314	SEMA4G	679
PFKL_13753	PFKL	971
ZNF442_50501	ZNF442	110
GPR182_30746	GPR182	448
NDUFB2_12318	NDUFB2	371
NLN_45603	NLN	1053
DIAPH1_4768	DIAPH1	1133
KLF14_60417	KLF14	1631
REEP4_51196	REEP4	194
DISP1_54663	DISP1	538
BMPR1B_1806	BMPR1B	297
CT47A4_74554	CT47A4	1632
PLEKHF1_49032	PLEKHF1	516
MESDC2_31997	MESDC2	574
SMEK2_45315	SMEK2	741
PLXDC2_54411	PLXDC2	338
ZDHHC24_66462	ZDHHC24	649
CALCA_2213	CALCA	248
PARP4_393	PARP4	477
CCNB3_54909	CCNB3	743
ZNF846_63597	ZNF846	689
DPEP2_47501	DPEP2	998
LGALS12_54811	LGALS12	945
DNAH14_59387	DNAH14	1058
FFAR4_68741	FFAR4	56
ZNF185_20778	ZNF185	447
TRAPPC10_19328	TRAPPC10	337
ZFP36L1_1879	ZFP36L1	160
MAFG_10992	MAFG	177
SLC10A5_69774	SLC10A5	717
OAF_65597	OAF	3677
OXCT1_13162	OXCT1	1320
ATF7_29857	ATF7	989
Non-Targeting Control_77331	Non-Targeting Control	2342
S100G_2210	S100G	1222
CCR2_74848	CCR2	361
CYP2D6_4383	CYP2D6	187
TBL1XR1_49734	TBL1XR1	598
RNF41_27298	RNF41	1201
MIA2_57894	MIA2	173
Non-Targeting Control_77436	Non-Targeting Control	2853
TTPA_19705	TTPA	645
IFT20_55457	IFT20	252
RNF39_51211	RNF39	212
DARS2_41754	DARS2	802
NSUN6_65683	NSUN6	623
LRRC72_75868	LRRC72	180
ADGB_49834	ADGB	414
ADO_54381	ADO	304
Non-Targeting Control_77083	Non-Targeting Control	2354
GOLPH3_47319	GOLPH3	156
DRD2_5033	DRD2	1016
LRRC74A_61436	LRRC74A	446
RHBDD1_53185	RHBDD1	841
KRTAP12-1_70156	KRTAP12-1	303
METTL18_56213	METTL18	460
PADI1_36853	PADI1	251
IPMK_66300	IPMK	699
AFAP1L2_53893	AFAP1L2	470
SLC35A2_19936	SLC35A2	613
CDH22_47719	CDH22	598
ALDH7A1_1405	ALDH7A1	409
CA9_2125	CA9	616
C10orf82_61166	C10orf82	3213
USP17L1_72438	USP17L1	122
NLRP9_68700	NLRP9	409
TIGD7_55751	TIGD7	409
ANAPC10_27934	ANAPC10	1425
PRAMEF10_69501	PRAMEF10	532
CLSTN1_31108	CLSTN1	344
PCBD2_52915	PCBD2	2259
PCDH8_13408	PCDH8	327
APH1B_52148	APH1B	231
BTBD3_31178	BTBD3	957
HSD17B2_8894	HSD17B2	371
FRMD6_58540	FRMD6	1661
ZBED2_49218	ZBED2	774
NRCAM_12842	NRCAM	724
PRKAR1A_14801	PRKAR1A	440
BUB1B_1939	BUB1B	348
Non-Targeting Control_77010	Non-Targeting Control	1904
UBAC2_68598	UBAC2	508
AGBL4_54324	AGBL4	918
Non-Targeting Control_76856	Non-Targeting Control	1543
OR6C65_72624	OR6C65	405
HLA-B_8384	HLA-B	2167
PTGDR2_30601	PTGDR2	520
DKK2_35622	DKK2	289
ANK1_793	ANK1	706
GRIN2C_7766	GRIN2C	159
UCP2_19922	UCP2	565
GPR39_7619	GPR39	380
Non-Targeting Control_76992	Non-Targeting Control	3000
FAM170A_69088	FAM170A	1716
BHMT_1719	BHMT	273
ABCB1_13835	ABCB1	298
LDLRAD2_72521	LDLRAD2	870
GNB4_46802	GNB4	1503
TDRD6_65778	TDRD6	436
AFAP1L1_60236	AFAP1L1	965
Non-Targeting Control_76898	Non-Targeting Control	1685
SOS1_17964	SOS1	925
PLEKHA5_40034	PLEKHA5	832
MRPL17_47055	MRPL17	314
TSACC_59480	TSACC	102
SRD5A3_49492	SRD5A3	583
ZMAT3_47692	ZMAT3	525
FAM126A_53986	FAM126A	666
IFNB1_9262	IFNB1	461
CKMT1B_3299	CKMT1B	554
PLAC8_38480	PLAC8	1311
Non-Targeting Control_77414	Non-Targeting Control	2867
FAM71E2_67852	FAM71E2	642
LDAH_46939	LDAH	1212
EPGN_66602	EPGN	310
ECE2_25721	ECE2	486
SLC16A9_65632	SLC16A9	233
KRT6C_68504	KRT6C	178
RAB11FIP4_53602	RAB11FIP4	492
HSPBAP1_49558	HSPBAP1	207
WDR48_45980	WDR48	792
CSN3_4062	CSN3	745
RNF182_65857	RNF182	319
ENO4_70817	ENO4	878
OXSR1_26517	OXSR1	213
IGSF3_8971	IGSF3	304
MORC1_35664	MORC1	651
ABCF3_42324	ABCF3	409
MITD1_59708	MITD1	1999
MFAP4_11406	MFAP4	349
NLRC4_46545	NLRC4	676
OR10X1_59524	OR10X1	557
CD40LG_2704	CD40LG	475
PPP1R36_61411	PPP1R36	1092
ACER3_42352	ACER3	207
KDM5D_21504	KDM5D	525
TMEM43_49114	TMEM43	963
EDNRA_5291	EDNRA	1075
TGFB2_19087	TGFB2	203
LEPROTL1_32934	LEPROTL1	940
FBXO42_39951	FBXO42	693
FADS1_10688	FADS1	554
TRIML1_69066	TRIML1	727
OR52B2_66642	OR52B2	599
MIPOL1_61406	MIPOL1	425
GJB4_59366	GJB4	146
EDC3_50804	EDC3	1370
ACRC_56602	ACRC	861
AVEN_44972	AVEN	256
BCL2L14_49200	BCL2L14	86
OFD1_22060	OFD1	1420
SPATA2_26098	SPATA2	617
GPX5_7677	GPX5	736
GFRA1_7076	GFRA1	1128
RECQL5_24717	RECQL5	931
TBX15_18779	TBX15	1412
FBXL5_34809	FBXL5	1485
TMEM9_66248	TMEM9	251
DISP1_54664	DISP1	631
CDR2L_37153	CDR2L	168
ARFGEF3_45307	ARFGEF3	899
MACF1_32955	MACF1	179
PATE4_72167	PATE4	674
AMMECR1_26539	AMMECR1	460
AKAP8_27583	AKAP8	714
ROBO3_47553	ROBO3	529
VN1R4_68525	VN1R4	722
DHRS4L1_74742	DHRS4L1	600
SOCS1_22569	SOCS1	781
TBC1D29_34519	TBC1D29	746
OR52A1_33093	OR52A1	649
