sgRNA	Gene	DE_GFP_low
RMND1_41292	RMND1	487
ZNF839_43345	ZNF839	416
DNM1_4864	DNM1	478
C1orf64_62197	C1orf64	260
TGM1_19124	TGM1	362
TMED4_65945	TMED4	234
ABAT_39	ABAT	1090
RFTN1_31987	RFTN1	626
3-Mar_57424	3-Mar	537
TDGF1_18934	TDGF1	448
Non-Targeting Control_77062	Non-Targeting Control	3763
TAS2R9_37381	TAS2R9	413
MID1_11487	MID1	573
CDK14_13779	CDK14	1060
Non-Targeting Control_77352	Non-Targeting Control	2022
DGKK_60671	DGKK	1164
PPP1R15A_33405	PPP1R15A	21
SNX17_25961	SNX17	59
PRB1_14705	PRB1	2033
ZNF445_70129	ZNF445	257
PAWR_13317	PAWR	1094
ANKRD54_59669	ANKRD54	224
PRKCD_14825	PRKCD	339
TMEM259_55798	TMEM259	678
ACTG2_199	ACTG2	989
Non-Targeting Control_77167	Non-Targeting Control	2519
ST13_18327	ST13	395
NLRX1_49584	NLRX1	46
CFAP52_61672	CFAP52	387
RAB43_68848	RAB43	798
ANXA9_21878	ANXA9	71
SLC30A7_62085	SLC30A7	654
MAPK1_14881	MAPK1	1062
SUZ12_33002	SUZ12	731
ACKR2_3471	ACKR2	409
TYMP_5242	TYMP	773
Non-Targeting Control_76916	Non-Targeting Control	2732
PCDHAC1_44005	PCDHAC1	482
SAGE1_42583	SAGE1	1185
LMBRD2_56164	LMBRD2	459
WFDC8_55345	WFDC8	88
ZNF500_34445	ZNF500	527
OPRM1_13067	OPRM1	1302
CT47A9_74534	CT47A9	1156
OR8H1_65270	OR8H1	733
TSPAN33_69146	TSPAN33	256
ELAVL2_5488	ELAVL2	361
OR2M4_34823	OR2M4	1121
ZNF562_40637	ZNF562	529
FAM170A_69088	FAM170A	1023
ERCC6-PGBD3_76330	ERCC6-PGBD3	588
RAB3C_57584	RAB3C	1067
CLHC1_59785	CLHC1	775
CATSPER4_70615	CATSPER4	1302
EHHADH_5410	EHHADH	357
NKX2-2_12633	NKX2-2	224
TMEM184C_43250	TMEM184C	484
DSG4_61781	DSG4	309
ZBTB21_37174	ZBTB21	518
MS4A15_65519	MS4A15	864
SMIM7_48901	SMIM7	127
FAM170B_64130	FAM170B	577
HFE_8303	HFE	726
CEP55_41776	CEP55	671
ANKRD36B_46356	ANKRD36B	574
HTRA3_56650	HTRA3	724
Non-Targeting Control_76540	Non-Targeting Control	2823
CXorf23_66790	CXorf23	631
RINL_59162	RINL	1306
OR52R1_58181	OR52R1	1683
IL36A_35757	IL36A	392
PPCS_49730	PPCS	221
Non-Targeting Control_76578	Non-Targeting Control	2119
ANTXR1_53041	ANTXR1	811
NDUFC1_12356	NDUFC1	751
ZNF358_60823	ZNF358	1133
P2RY12_48111	P2RY12	536
ARFIP1_35828	ARFIP1	329
LY75_10896	LY75	517
PHF20L1_37820	PHF20L1	427
ATP6V0E1_23546	ATP6V0E1	192
PLGRKT_43569	PLGRKT	546
BMP3_1780	BMP3	1979
T_18593	T	1063
GRB10_7693	GRB10	853
ITGAL_9784	ITGAL	28
KIAA1211_45595	KIAA1211	212
BBC3_35601	BBC3	1951
ARHGAP25_26498	ARHGAP25	660
KLHL33_58592	KLHL33	314
DUSP23_41052	DUSP23	424
LRRC3_51643	LRRC3	151
GPR6_7509	GPR6	618
TMEM129_56199	TMEM129	777
FAM159A_69949	FAM159A	567
SUPT20H_42706	SUPT20H	985
NBN_12228	NBN	208
ZFR2_32118	ZFR2	773
FBXO41_62390	FBXO41	905
SLC29A3_42291	SLC29A3	1338
PARL_42535	PARL	726
RNF150_45600	RNF150	924
SLC4A11_52721	SLC4A11	712
LPCAT3_27214	LPCAT3	643
GPR148_69610	GPR148	594
SHISA7_75009	SHISA7	298
DCAF12L1_60665	DCAF12L1	1201
ZNF677_69458	ZNF677	392
NDUFB8_12342	NDUFB8	228
MGRN1_32370	MGRN1	339
Non-Targeting Control_76513	Non-Targeting Control	2867
TBC1D9_31906	TBC1D9	1750
PLSCR3_44892	PLSCR3	646
ZIC3_20450	ZIC3	1126
PICALM_21542	PICALM	233
C14orf2_25207	C14orf2	183
SLC35F4_69353	SLC35F4	529
NHS_12606	NHS	853
MAGEA3_11008	MAGEA3	3159
FUT3_6649	FUT3	1172
FAP_6080	FAP	582
DAB1_4468	DAB1	1090
AKNAD1_66450	AKNAD1	422
LILRB2_27645	LILRB2	632
HOXB6_8697	HOXB6	1470
TRIM16L_61744	TRIM16L	683
COQ7_27438	COQ7	1733
PCDH18_40112	PCDH18	554
DCSTAMP_51618	DCSTAMP	495
DOC2B_21959	DOC2B	661
STX11_22655	STX11	1221
TRIM46_50744	TRIM46	470
PPM1E_30970	PPM1E	155
ZMYM6NB_75878	ZMYM6NB	464
YWHAH_20403	YWHAH	517
GC_6961	GC	747
