sgRNA	Gene	DE_GFP_low
ST6GALNAC2_28658	ST6GALNAC2	489
KLK3_1003	KLK3	1540
KIAA1958_63167	KIAA1958	342
LPXN_24733	LPXN	1606
UBE2E1_19851	UBE2E1	673
C17orf59_40565	C17orf59	125
CXCL13_28503	CXCL13	341
TAF1A_23591	TAF1A	123
CELA1_5473	CELA1	291
DRD5_5046	DRD5	479
AQP1_1018	AQP1	206
MAP4_11114	MAP4	146
Non-Targeting Control_77133	Non-Targeting Control	2198
TBC1D12_32164	TBC1D12	277
ZNF208_20822	ZNF208	762
MYPOP_68920	MYPOP	616
HMGCL_8499	HMGCL	439
NR2F1_19026	NR2F1	307
SPATA4_60097	SPATA4	167
PAK4_27682	PAK4	234
KBTBD11_26434	KBTBD11	393
ICAM4_9106	ICAM4	1747
ZNF772_72249	ZNF772	657
TAAR9_60311	TAAR9	826
FLRT3_33547	FLRT3	471
ZNF3_20459	ZNF3	155
AGAP2_57872	AGAP2	291
LRRC17_27456	LRRC17	330
RNF141_37440	RNF141	668
PROP1_14996	PROP1	633
STAR_18340	STAR	377
HTR7_9063	HTR7	458
CA1_2093	CA1	207
HRH1_8840	HRH1	706
RTN4RL2_70021	RTN4RL2	1044
SERPINA4_13896	SERPINA4	1441
HMSD_67717	HMSD	425
F7_5961	F7	373
FAM218A_62702	FAM218A	378
KRTAP3-3_54776	KRTAP3-3	358
TET2_40573	TET2	489
HSF2_8906	HSF2	353
KLHL15_51087	KLHL15	316
RAB6B_39031	RAB6B	509
Non-Targeting Control_76897	Non-Targeting Control	2171
BLMH_1747	BLMH	136
NEURL1B_40059	NEURL1B	106
NACAD_31871	NACAD	274
MBP_11192	MBP	231
HOXB13_28233	HOXB13	1438
Non-Targeting Control_77122	Non-Targeting Control	3306
FAM175A_52987	FAM175A	660
DAG1_4487	DAG1	746
Non-Targeting Control_77405	Non-Targeting Control	4052
CLEC12A_63328	CLEC12A	800
PIK3R1_13990	PIK3R1	869
ZWINT_30208	ZWINT	40
NEUROD4_46498	NEUROD4	713
VSTM2L_59550	VSTM2L	891
SMPX_33456	SMPX	399
UGGT2_43273	UGGT2	1546
CNN1_3510	CNN1	129
RBMXL3_60762	RBMXL3	1125
KCNQ1_10117	KCNQ1	448
C8orf37_63031	C8orf37	245
RDH8_37322	RDH8	469
SERPINA7_18756	SERPINA7	420
PRR23B_71304	PRR23B	1024
MC5R_11212	MC5R	751
C16orf87_70949	C16orf87	136
HTR2C_9042	HTR2C	986
PRAMEF1_48436	PRAMEF1	1990
HAMP_46416	HAMP	487
CAPNS1_2298	CAPNS1	397
C1orf94_54653	C1orf94	785
DYNC2LI1_39170	DYNC2LI1	831
TP53BP2_19462	TP53BP2	713
C11orf73_38887	C11orf73	851
SMLR1_75950	SMLR1	277
ZNF438_65627	ZNF438	721
FKBP6_22027	FKBP6	558
PRRC2A_21069	PRRC2A	12
CCL15_16997	CCL15	180
ADAMTS8_30102	ADAMTS8	391
TMEM92_63521	TMEM92	1123
FAM120AOS_63144	FAM120AOS	339
TACO1_38132	TACO1	180
BACH1_1559	BACH1	539
HES4_46403	HES4	290
FAAH2_63198	FAAH2	471
CRISPLD1_52362	CRISPLD1	872
SORCS1_57253	SORCS1	644
HOXB6_8700	HOXB6	563
REG4_52761	REG4	222
FOXO4_11570	FOXO4	1061
EDAR_29526	EDAR	860
DUSP16_51399	DUSP16	612
SLC35A2_19934	SLC35A2	633
ANXA2R_71345	ANXA2R	619
FAM3C_28110	FAM3C	815
ZBTB1_31134	ZBTB1	295
IAH1_68037	IAH1	835
C9orf142_68419	C9orf142	644
HLA-B_8382	HLA-B	1089
Non-Targeting Control_77422	Non-Targeting Control	2912
FABP1_6003	FABP1	989
C3orf56_68099	C3orf56	1271
OSBPL6_57304	OSBPL6	404
Non-Targeting Control_76504	Non-Targeting Control	2235
SLCO4C1_70117	SLCO4C1	329
FBXL14_61361	FBXL14	1478
PIAS4_39087	PIAS4	553
ATRNL1_34396	ATRNL1	844
TMEM254_50876	TMEM254	176
OR10P1_58326	OR10P1	273
SLC12A6_26664	SLC12A6	393
FGF17_23098	FGF17	438
CPEB3_30994	CPEB3	912
WDR45B_44202	WDR45B	527
TDRKH_29880	TDRKH	220
TAS2R4_37367	TAS2R4	914
ARL4C_27076	ARL4C	665
FAM110B_55435	FAM110B	596
CA2_2099	CA2	636
GAS2L2_66202	GAS2L2	751
PPP3CA_14663	PPP3CA	104
SPCS3_46956	SPCS3	827
Non-Targeting Control_76583	Non-Targeting Control	2748
PLEKHG3_34385	PLEKHG3	253
JADE3_25907	JADE3	674
ARHGAP11B_55148	ARHGAP11B	154
Non-Targeting Control_77182	Non-Targeting Control	1810
CEP295NL_76219	CEP295NL	466
STAT5B_18361	STAT5B	255
REP15_70875	REP15	401
CLCA2_25429	CLCA2	555
APOBEC2_29581	APOBEC2	788
SRMS_18194	SRMS	1052
PCYT1A_13479	PCYT1A	503
Non-Targeting Control_76506	Non-Targeting Control	2651
CKAP2_35203	CKAP2	65
LOC100130357_75276	LOC100130357	922
CCDC117_62293	CCDC117	318
SLC22A2_17707	SLC22A2	582
TSACC_59477	TSACC	230
OR2J2_35274	OR2J2	591
KCNH1_10018	KCNH1	428
LRRC14B_71344	LRRC14B	1206
ZDHHC19_59954	ZDHHC19	209
KIR3DL3_57527	KIR3DL3	31
ACRV1_175	ACRV1	1060
C2orf76_59798	C2orf76	635
UNC5D_60530	UNC5D	616
SLCO4C1_70119	SLCO4C1	595
RDH12_61390	RDH12	130
CLN3_3407	CLN3	228
NDUFB10_12350	NDUFB10	691
ZNF444_42275	ZNF444	562
RPL3L_16304	RPL3L	1019
Non-Targeting Control_77366	Non-Targeting Control	1786
STK32A_64997	STK32A	440
KLK6_15071	KLK6	327
NANOGNB_70209	NANOGNB	1028
ZNF506_72947	ZNF506	576
Non-Targeting Control_77160	Non-Targeting Control	1352
SMOC2_47354	SMOC2	816
CFAP126_66880	CFAP126	192
TNFRSF10D_22991	TNFRSF10D	482
ZNF771_38531	ZNF771	1113
ADGRB2_1576	ADGRB2	291
CYP27C1_69006	CYP27C1	428
ASB3_37909	ASB3	506
Non-Targeting Control_77202	Non-Targeting Control	1537
PA2G4_13222	PA2G4	242
AICDA_45387	AICDA	482
S100A12_16759	S100A12	58
ADPRHL1_57032	ADPRHL1	593
DTNA_5119	DTNA	215
RNF220_41841	RNF220	318
LRRC2_49231	LRRC2	353
COL1A1_3545	COL1A1	147
ATP1A1_1330	ATP1A1	111
ERRFI1_39816	ERRFI1	510
CRISP3_27746	CRISP3	1079
P2RY11_13209	P2RY11	188
LAMTOR1_41287	LAMTOR1	1053
PSPH_15293	PSPH	1875
HOXC8_8725	HOXC8	899
Non-Targeting Control_76852	Non-Targeting Control	1774
FBLN1_6082	FBLN1	1351
TMEM140_42186	TMEM140	836
10-Sep_62425	10-Sep	531
DNAJB13_70281	DNAJB13	262
LRRC52_72993	LRRC52	583
ZBTB44_36378	ZBTB44	971
INSM1_9660	INSM1	687
KIAA1328_45765	KIAA1328	297
ALG8_48811	ALG8	190
ACTL8_51716	ACTL8	488
DHODH_4749	DHODH	423
SLC22A4_17709	SLC22A4	271
ZFYVE21_48783	ZFYVE21	357
XKRX_72564	XKRX	472
SPINK8_74084	SPINK8	1125
ATRNL1_34398	ATRNL1	308
ACTC1_192	ACTC1	134
SSR4_18269	SSR4	745
TET2_40572	TET2	320
PEX26_42992	PEX26	599
SLC19A3_51230	SLC19A3	84
CLIP1_16665	CLIP1	1468
ATRNL1_34395	ATRNL1	717
VIL1_20151	VIL1	212
GNB5_28899	GNB5	143
TOM1L2_61626	TOM1L2	552
GPD2_7469	GPD2	498
ASAP3_42808	ASAP3	261
CCL23_17032	CCL23	535
MB_11176	MB	318
EPS8L3_49296	EPS8L3	456
ASB11_60793	ASB11	600
APH1A_37829	APH1A	366
PTPRM_15501	PTPRM	1153
MFAP3_11401	MFAP3	519
INVS_35646	INVS	405
RASA2_15863	RASA2	518
IRGM_69695	IRGM	535
TBP_18762	TBP	258
S100Z_64181	S100Z	466
CDK5R2_23471	CDK5R2	983
Non-Targeting Control_77275	Non-Targeting Control	1212
MPV17_11726	MPV17	434
CCL2_16961	CCL2	1029
ANKRA2_46376	ANKRA2	205
Non-Targeting Control_76456	Non-Targeting Control	2934
FUK_64502	FUK	844
FOXA1_8541	FOXA1	154
GAGE2A_74931	GAGE2A	1144
CCDC81_46919	CCDC81	303
RCAN3_30183	RCAN3	297
ITGA11_30867	ITGA11	419
ELP4_35223	ELP4	250
RARS2_44879	RARS2	332
C17orf64_58811	C17orf64	1271
KCTD17_49787	KCTD17	572
PCDHGA5_43927	PCDHGA5	307
SOWAHC_48450	SOWAHC	382
MAPK8_14901	MAPK8	682
Non-Targeting Control_77194	Non-Targeting Control	1460
HIST2H2BE_21695	HIST2H2BE	235
RHAG_16128	RHAG	646
SCARB1_2663	SCARB1	59
MBTD1_40598	MBTD1	487
TMEM231_49321	TMEM231	396
HIC2_31786	HIC2	156
TBC1D10B_34305	TBC1D10B	118
ACAD9_36272	ACAD9	686
TRAPPC8_31087	TRAPPC8	274
Non-Targeting Control_77367	Non-Targeting Control	4441
FSCN3_37021	FSCN3	331
IFFO2_59249	IFFO2	518
RAB12_64896	RAB12	126
ELMO2_47127	ELMO2	1210
GDF5_21395	GDF5	142
RNF11_35365	RNF11	464
CNNM2_40611	CNNM2	219
NR1D2_26618	NR1D2	362
SKI_17397	SKI	492
SETD7_51446	SETD7	439
FLAD1_51077	FLAD1	262
TFIP11_33617	TFIP11	205
FIGF_6341	FIGF	515
XRCC1_20361	XRCC1	346
MSH5_11768	MSH5	702
LHFPL1_69231	LHFPL1	1151
KLHL9_43775	KLHL9	297
CLPS_3420	CLPS	1781
PPIA_14525	PPIA	1424
HS3ST1_26563	HS3ST1	558
Non-Targeting Control_77346	Non-Targeting Control	2883
EDN3_5288	EDN3	1204
GPR52_24414	GPR52	651
EGFL6_34236	EGFL6	234
TRNP1_71116	TRNP1	655
KRT79_68810	KRT79	687
TRPM6_60981	TRPM6	1435
PRPS2_15014	PRPS2	472
CERS4_49368	CERS4	778
NDUFC2-KCTD14_76141	NDUFC2-KCTD14	493
BAIAP3_23458	BAIAP3	676
IL13_9510	IL13	220
DENND4A_27546	DENND4A	1821
TAS2R41_66988	TAS2R41	567
PER2_23236	PER2	183
PPP1R3E_55591	PPP1R3E	896
CFAP221_64708	CFAP221	586
ATXN3_11510	ATXN3	144
SLC17A4_26836	SLC17A4	361
B3GAT1_35538	B3GAT1	590
ALG5_36679	ALG5	182
HEPACAM_65596	HEPACAM	486
ZNF48_64534	ZNF48	872
KCNG2_34839	KCNG2	794
DLST_4817	DLST	591
GLYATL1_56187	GLYATL1	483
HRH2_8849	HRH2	490
RAB11FIP2_30965	RAB11FIP2	341
DES_4707	DES	295
DEFA4_4686	DEFA4	855
MRGPRX4_57939	MRGPRX4	61
PFKM_13761	PFKM	466
GCG_6969	GCG	1197
BSCL2_35195	BSCL2	264
POM121C_75123	POM121C	905
RSRP1_44871	RSRP1	1000
PORCN_48141	PORCN	629
PRKAR1B_14808	PRKAR1B	220
VSIG4_30767	VSIG4	659
CFH_8297	CFH	685
SYCE1_56515	SYCE1	1304
ZNF516_25518	ZNF516	88
IQSEC2_31719	IQSEC2	619
PRRT4_72425	PRRT4	1223
GRM5_7801	GRM5	278
UROD_20039	UROD	349
PTPN14_15454	PTPN14	992
MRGPRX4_57940	MRGPRX4	135
EIF4H_20228	EIF4H	562
IL4I1_67019	IL4I1	397
RNASE1_16176	RNASE1	397
SLC38A9_62745	SLC38A9	1054
KCNG3_64235	KCNG3	528
BRD1_33566	BRD1	635
PRRT1_51454	PRRT1	206
Non-Targeting Control_76595	Non-Targeting Control	4676
RSG1_49176	RSG1	477
CD59_2725	CD59	592
ZFYVE27_58081	ZFYVE27	171
DDAH1_33210	DDAH1	239
RABL6_43024	RABL6	448
PUSL1_59227	PUSL1	1088
OBP2B_36984	OBP2B	478
ZNF48_64536	ZNF48	322
ANAPC16_58142	ANAPC16	544
WWOX_39409	WWOX	570
GPR149_69626	GPR149	514
Non-Targeting Control_76724	Non-Targeting Control	2315
HFM1_63744	HFM1	145
SWT1_40676	SWT1	407
MAGEC1_26532	MAGEC1	1623
HCFC2_36772	HCFC2	262
CADPS2_56598	CADPS2	563
Non-Targeting Control_76670	Non-Targeting Control	3912
C9orf62_63087	C9orf62	562
ASH1L_43628	ASH1L	585
RHEB_16137	RHEB	1265
VSIG2_33230	VSIG2	691
BTNL8_50331	BTNL8	159
ARPC1B_26987	ARPC1B	155
LILRA6_49058	LILRA6	592
ROM1_16244	ROM1	721
SPATA31D4_71468	SPATA31D4	1425
FUNDC1_60700	FUNDC1	563
IRS4_22034	IRS4	255
MYOZ1_46683	MYOZ1	1059
ZP2_20903	ZP2	343
HS6ST2_55328	HS6ST2	763
LYSMD3_57624	LYSMD3	1537
DEFA1B_74646	DEFA1B	192
GLUD2_7268	GLUD2	1266
A3GALT2_59378	A3GALT2	812
SIGLECL1_67801	SIGLECL1	58
DEFA1B_74649	DEFA1B	1006
THSD1_43691	THSD1	891
SHISA7_75008	SHISA7	758
RNF113A_20771	RNF113A	279
ZNF787_59072	ZNF787	623
ANXA1_824	ANXA1	455
MCFD2_55460	MCFD2	1063
AMOT_62921	AMOT	673
LGALS9C_74432	LGALS9C	1400
WNT2_20263	WNT2	362
LECT2_10570	LECT2	694
PDK2_13607	PDK2	198
YJEFN3_70368	YJEFN3	225
GTF3C2_7982	GTF3C2	57
NLGN4X_45653	NLGN4X	767
C10orf71_58032	C10orf71	1001
OR2T11_59303	OR2T11	429
ZNF582_61909	ZNF582	272
FAM98C_61917	FAM98C	95
PRF1_14733	PRF1	289
FAM127A_23444	FAM127A	1055
ORC2_13100	ORC2	1490
SLC35C2_37510	SLC35C2	335
ZNF750_49860	ZNF750	811
CTSB_4240	CTSB	160
C16orf74_72676	C16orf74	758
ZNF432_25547	ZNF432	660
HELLS_8284	HELLS	572
CLCA1_3337	CLCA1	450
CALU_2246	CALU	414
CNOT4_12720	CNOT4	2006
MBOAT7_48991	MBOAT7	264
SLC25A6_820	SLC25A6	835
CD2BP2_28026	CD2BP2	382
SCYL2_43016	SCYL2	1191
USP28_46111	USP28	1114
DACH2_57898	DACH2	838
KCNE3_26714	KCNE3	461
HIST1H1T_8102	HIST1H1T	152
PLXNB3_14237	PLXNB3	259
TTF2_21999	TTF2	621
ADRBK2_438	ADRBK2	437
USP32_53987	USP32	566
C9orf89_53294	C9orf89	357
SLC13A2_23729	SLC13A2	333
SSX4_18314	SSX4	391
CTXN1_72662	CTXN1	426
STRN3_36930	STRN3	452
MPV17L2_54170	MPV17L2	139
FAM9A_64290	FAM9A	431
FAF2_32045	FAF2	126
STARD9_45706	STARD9	548
COL9A2_3624	COL9A2	536
INPP5F_31081	INPP5F	408
CDIP1_36924	CDIP1	2479
Non-Targeting Control_76839	Non-Targeting Control	1372
ADAR_265	ADAR	542
SIM1_17380	SIM1	487
RDH13_56840	RDH13	292
SIRPB2_67986	SIRPB2	676
PBOV1_46816	PBOV1	599
KCNN4_10113	KCNN4	758
LRRC8C_53169	LRRC8C	344
TNFSF13_22856	TNFSF13	357
SLCO1B1_28621	SLCO1B1	838
WDSUB1_62518	WDSUB1	569
RNF139_30556	RNF139	672
H2AFB2_73359	H2AFB2	297
PTPRN2_15510	PTPRN2	794
FOXR2_60733	FOXR2	476
PPP1R12B_12153	PPP1R12B	257
Non-Targeting Control_76927	Non-Targeting Control	1505
SH2D4B_70804	SH2D4B	772
ZBBX_49807	ZBBX	280
TTC21B_50005	TTC21B	526
RELA_15996	RELA	157
ADAMTS13_30094	ADAMTS13	568
C15orf27_58621	C15orf27	270
BARX1_43852	BARX1	1126
PEX26_42993	PEX26	237
ZC4H2_43708	ZC4H2	1505
FASTKD2_31048	FASTKD2	473
ZMYM2_20802	ZMYM2	343
SERPINA7_18755	SERPINA7	584
DDIAS_65540	DDIAS	166
FN3K_47430	FN3K	286
PCDHA11_44018	PCDHA11	361
TMED8_67424	TMED8	401
POLR2G_14385	POLR2G	50
TAS2R38_15305	TAS2R38	391
UGT1A5_40277	UGT1A5	75
TRPM8_48818	TRPM8	1389
REXO4_45005	REXO4	170
OR6C6_67328	OR6C6	400
USP43_58803	USP43	1311
CXCL16_46513	CXCL16	801
C1QB_1963	C1QB	633
MYCT1_50850	MYCT1	648
ATAD2B_39947	ATAD2B	284
KEAP1_26072	KEAP1	459
CPOX_3813	CPOX	607
CHODL_60842	CHODL	325
SNX2_17924	SNX2	218
ADAMTS6_30374	ADAMTS6	441
KRT40_58916	KRT40	234
ZNF534_61804	ZNF534	340
IVL_9890	IVL	371
OR1E1_21801	OR1E1	788
PPID_14540	PPID	557
DNMT3L_36869	DNMT3L	539
PFN1_13770	PFN1	249
PSD2_53216	PSD2	190
NDUFA5_12281	NDUFA5	852
ADK_362	ADK	664
STX1A_18437	STX1A	955
ETFDH_5836	ETFDH	482
KDF1_59210	KDF1	203
CRIPT_24778	CRIPT	482
PTPN3_15424	PTPN3	126
CCNDBP1_33219	CCNDBP1	269
CYTH1_24357	CYTH1	506
NR3C1_7780	NR3C1	250
DEFB119_66158	DEFB119	529
DUSP23_41054	DUSP23	187
CBX2_54125	CBX2	255
ADCY5_292	ADCY5	534
SPRR1B_18102	SPRR1B	354
XKR4_57190	XKR4	455
CSRNP1_47877	CSRNP1	244
C7orf62_65318	C7orf62	1410
KIAA0232_25944	KIAA0232	140
2-Mar_41263	2-Mar	1058
FAM195A_53507	FAM195A	266
OR1S1_65470	OR1S1	225
FOXF2_6378	FOXF2	854
ITGB2_9801	ITGB2	282
CDKL3_38293	CDKL3	354
TMEM159_45115	TMEM159	119
TMEM215_72455	TMEM215	128
MYD88_12005	MYD88	850
SMOX_40080	SMOX	190
TM6SF1_39558	TM6SF1	581
QSER1_50086	QSER1	213
SLCO1B1_28624	SLCO1B1	513
USP17L2_70595	USP17L2	1115
CDH18_2893	CDH18	387
XRCC6BP1_55840	XRCC6BP1	836
VGLL1_38777	VGLL1	449
OPRD1_13055	OPRD1	496
INAFM2_75833	INAFM2	556
IFNA7_9223	IFNA7	962
TIFA_56299	TIFA	819
ECSCR_73670	ECSCR	736
ANKRD53_50553	ANKRD53	234
KLHDC8A_41982	KLHDC8A	773
KCNJ9_10050	KCNJ9	541
PDIA4_25331	PDIA4	397
GATA6_6921	GATA6	982
STX4_18448	STX4	560
TNFAIP3_19376	TNFAIP3	602
HMCN2_66721	HMCN2	646
GPR101_52228	GPR101	930
HIST3H2BB_59500	HIST3H2BB	496
OR4F6_71829	OR4F6	337
LGI4_63656	LGI4	317
LYPD6_59839	LYPD6	733
GPR68_21307	GPR68	250
GMFB_7283	GMFB	259
NMNAT3_70015	NMNAT3	562
USP3_26570	USP3	579
SPANXN2_73424	SPANXN2	1819
FIBP_24056	FIBP	899
P3H4_28654	P3H4	599
NUDT7_67540	NUDT7	741
FAM21A_70797	FAM21A	97
CYP4F3_10838	CYP4F3	484
ADPRM_44776	ADPRM	606
AMELY_722	AMELY	976
MCIDAS_69697	MCIDAS	212
PCOLCE2_35184	PCOLCE2	237
ZNF347_53994	ZNF347	2110
PRAC1_53557	PRAC1	480
C11orf65_63311	C11orf65	1038
SRPX_21853	SRPX	637
CPT1A_3821	CPT1A	544
HSF1_8902	HSF1	285
STAB2_42695	STAB2	136
CCDC50_62630	CCDC50	951
C2orf80_71259	C2orf80	445
FAM169B_67494	FAM169B	347
ARMC2_52846	ARMC2	783
NUAK1_26325	NUAK1	879
SNAPC1_17825	SNAPC1	1238
PRR13_39963	PRR13	932
NOX4_37219	NOX4	796
ATXN7L3B_73545	ATXN7L3B	620
NUCB2_12930	NUCB2	780
FNDC9_72728	FNDC9	131
CSAG1_63192	CSAG1	1416
ZNF792_59143	ZNF792	345
LRRIQ1_52942	LRRIQ1	875
Non-Targeting Control_76685	Non-Targeting Control	1994
MAFB_26485	MAFB	368
GPR180_63383	GPR180	859
TTC23_48269	TTC23	597
ELMO3_49886	ELMO3	1235
CHKB_3176	CHKB	473
TPM4_19507	TPM4	327
GJB1_7161	GJB1	1512
UBASH3B_54618	UBASH3B	531
IGFBP3_9320	IGFBP3	632
KCNT2_69539	KCNT2	269
LUZP6_75091	LUZP6	741
WFDC2_27984	WFDC2	240
SAP25_75759	SAP25	42
DMTN_5637	DMTN	679
KCNK13_44345	KCNK13	658
GPD1_7465	GPD1	271
TBC1D9_31903	TBC1D9	234
Non-Targeting Control_76476	Non-Targeting Control	3239
FGD6_43368	FGD6	546
FAM76B_61220	FAM76B	401
SERPINB2_13273	SERPINB2	555
PITHD1_44961	PITHD1	665
SCML2_27920	SCML2	1056
RHOXF1_63227	RHOXF1	1525
RIPK1_22837	RIPK1	1539
FSHB_6593	FSHB	759
GNG10_7373	GNG10	899
NDUFAF4_36396	NDUFAF4	559
RAB25_45012	RAB25	1322
CYP27C1_69005	CYP27C1	287
SRFBP1_62783	SRFBP1	135
DECR2_34498	DECR2	242
GANC_6865	GANC	256
ZNF181_68907	ZNF181	399
PREX2_50995	PREX2	345
FAM151B_63961	FAM151B	331
QRFP_69778	QRFP	1191
CHCHD7_48999	CHCHD7	980
NEU2_12467	NEU2	725
OR10Z1_59527	OR10Z1	160
ACAD9_36271	ACAD9	380
REG3A_13301	REG3A	647
PSPH_15296	PSPH	1260
TAX1BP1_23306	TAX1BP1	512
PRH1_14746	PRH1	386
PIEZO1_25952	PIEZO1	775
C1orf94_54652	C1orf94	315
YDJC_62282	YDJC	733
TSPAN6_19309	TSPAN6	239
ZFP3_58876	ZFP3	1284
C1orf101_66847	C1orf101	509
NOL4_22768	NOL4	500
SPATA31D4_71466	SPATA31D4	1255
ELMO1_26162	ELMO1	381
STC1_18378	STC1	798
CRYBB2_3961	CRYBB2	794
ZBTB7B_37617	ZBTB7B	722
SCIN_55026	SCIN	127
TSGA10IP_66425	TSGA10IP	458
WBP4_30436	WBP4	193
NFE2L2_12517	NFE2L2	572
CORO1C_33292	CORO1C	504
FXYD5_39630	FXYD5	172
ENAM_27063	ENAM	574
ZNF84_20617	ZNF84	722
ZBTB25_20583	ZBTB25	351
NDRG4_48349	NDRG4	315
DTHD1_72360	DTHD1	346
TOX3_36021	TOX3	517
OR2T3_69523	OR2T3	56
CASP2_2334	CASP2	718
MFSD11_49036	MFSD11	129
INMT_30413	INMT	632
DLX4_4833	DLX4	554
CCNA1_23356	CCNA1	327
POLR2J2_66229	POLR2J2	973
TMEM171_60243	TMEM171	610
RLTPR_61539	RLTPR	408
POLD1_14337	POLD1	27
EFNB3_5364	EFNB3	373
SCN10A_16920	SCN10A	369
ABCB4_13839	ABCB4	189
MAGIX_50347	MAGIX	544
SERBP1_34633	SERBP1	130
ZNF561_56454	ZNF561	250
VPS39_32508	VPS39	288
CDK16_13466	CDK16	603
NCR3_66934	NCR3	283
GPATCH2_41577	GPATCH2	563
ATP10B_31790	ATP10B	259
H2AFY2_42563	H2AFY2	813
ZKSCAN7_43658	ZKSCAN7	518
GPR20_7556	GPR20	232
COPS7B_47902	COPS7B	198
C11orf16_44367	C11orf16	860
OR13G1_73221	OR13G1	410
GPC3_7191	GPC3	1550
UQCC3_75109	UQCC3	361
Non-Targeting Control_77006	Non-Targeting Control	2669
SOAT2_21920	SOAT2	192
EPGN_66604	EPGN	755
KLF1_28841	KLF1	614
CHRNA6_23508	CHRNA6	724
B3GALNT1_22737	B3GALNT1	572
Non-Targeting Control_77434	Non-Targeting Control	1716
CHRNA2_3223	CHRNA2	228
MYBPC1_11975	MYBPC1	935
NGFRAP1_35410	NGFRAP1	489
THAP7_51332	THAP7	207
C10orf120_72126	C10orf120	369
SLFN14_69416	SLFN14	503
GRK7_60000	GRK7	568
Non-Targeting Control_76736	Non-Targeting Control	2561
TAS2R31_66994	TAS2R31	828
LRRIQ1_52939	LRRIQ1	808
LOH12CR1_58005	LOH12CR1	340
AMN1_64401	AMN1	978
C9orf135_60574	C9orf135	483
EED_22802	EED	162
SOWAHA_60282	SOWAHA	478
APOBR_43723	APOBR	622
MGP_11458	MGP	1953
EPCAM_10924	EPCAM	659
TM4SF18_57751	TM4SF18	805
TRIM64B_73681	TRIM64B	144
LIMS1_10670	LIMS1	1386
PCDHA6_44031	PCDHA6	625
ZKSCAN5_33445	ZKSCAN5	353
CD34_2655	CD34	513
OR1C1_34729	OR1C1	74
CYTH3_24352	CYTH3	608
DMD_4849	DMD	608
ADH6_355	ADH6	569
GCC2_25477	GCC2	197
HOXC12_8744	HOXC12	1168
TENM3_43121	TENM3	770
TMEM246_53407	TMEM246	1103
ACTRT1_60752	ACTRT1	356
LDLRAP1_34601	LDLRAP1	243
IL15RA_9526	IL15RA	664
SATB2_32429	SATB2	1311
NRIP2_52408	NRIP2	459
RUFY2_43014	RUFY2	154
DYNLT3_18914	DYNLT3	1265
CCDC13_62647	CCDC13	1095
SCG2_21010	SCG2	282
CAPZA3_56589	CAPZA3	789
KRTAP17-1_52669	KRTAP17-1	406
TMEM201_64613	TMEM201	308
THSD1_43692	THSD1	1992
KIAA0825_68218	KIAA0825	1021
SH2D1A_10906	SH2D1A	1336
EARS2_58744	EARS2	614
Non-Targeting Control_77384	Non-Targeting Control	1533
ASPRV1_62515	ASPRV1	872
NAGS_63515	NAGS	369
CEACAM16_71059	CEACAM16	808
NOMO1_32769	NOMO1	386
RIBC1_63220	RIBC1	680
ZC2HC1C_49663	ZC2HC1C	736
CD52_2977	CD52	1146
CHDH_42418	CHDH	934
SRSF12_60349	SRSF12	243
ZNF106_47702	ZNF106	1401
PRR21_73875	PRR21	281
JRK_22486	JRK	696
ZBTB24_26149	ZBTB24	506
UBL7_54701	UBL7	489
UBE2E1_19852	UBE2E1	1150
KRTAP5-3_70745	KRTAP5-3	324
RAI14_34500	RAI14	1002
GPR26_7579	GPR26	608
ZNF195_20799	ZNF195	703
CENPT_50802	CENPT	125
STXBP4_66259	STXBP4	926
CD3G_2562	CD3G	397
PLEKHN1_52835	PLEKHN1	233
HTR3E_68084	HTR3E	532
CYP2C18_4378	CYP2C18	1250
OR7D2_63601	OR7D2	614
TSPYL6_71228	TSPYL6	406
PCDHA10_44021	PCDHA10	393
BOD1L1_66976	BOD1L1	495
NIPA2_51787	NIPA2	259
PMM1_14259	PMM1	246
RORA_16245	RORA	1172
CST3_4130	CST3	1644
MMP15_11631	MMP15	856
DEFB126_51826	DEFB126	331
KIAA1328_45763	KIAA1328	1358
EDN1_5279	EDN1	728
OR6C74_66502	OR6C74	957
SOX11_17999	SOX11	325
FZR1_38563	FZR1	165
HEXIM2_58819	HEXIM2	203
LRRC4_47373	LRRC4	321
OR8B4_67237	OR8B4	320
OR52B2_66641	OR52B2	969
RAB27B_15685	RAB27B	1119
HNRNPUL2_65694	HNRNPUL2	264
CD160_30191	CD160	604
BEST4_67062	BEST4	552
SPOCD1_55654	SPOCD1	314
HOXD11_8775	HOXD11	1567
C2orf76_59797	C2orf76	1316
GOLGB1_7425	GOLGB1	117
MOG_11679	MOG	342
SYT6_62008	SYT6	278
CD247_2568	CD247	516
KIN_31307	KIN	666
VCAM1_20102	VCAM1	641
MYO5B_12112	MYO5B	419
CDKL3_38294	CDKL3	378
KRTAP2-1_52002	KRTAP2-1	1481
NMUR1_27727	NMUR1	335
ZNF599_61948	ZNF599	421
GPNMB_28141	GPNMB	538
CCSER1_72370	CCSER1	348
CCDC127_60204	CCDC127	95
ONECUT1_8562	ONECUT1	406
Non-Targeting Control_76591	Non-Targeting Control	1912
C6orf136_65842	C6orf136	133
THAP4_37721	THAP4	165
JDP2_58558	JDP2	355
BTG2_20965	BTG2	616
ERICH3_59319	ERICH3	268
FGF7_6260	FGF7	408
