sgRNA	Gene	E8_T0
SH3BGRL3_52091	SH3BGRL3	750
NEU1_12463	NEU1	362
TRNAU1AP_41109	TRNAU1AP	539
STX12_33452	STX12	1422
GRIN2C_7765	GRIN2C	969
EIF4E2_24936	EIF4E2	346
GPD2_7471	GPD2	806
ADAMTS4_25039	ADAMTS4	329
GLI4_7230	GLI4	728
SSPN_21262	SSPN	738
APOBEC3D_60836	APOBEC3D	925
SHISA2_70901	SHISA2	1066
C1orf54_49446	C1orf54	441
FRRS1L_33502	FRRS1L	1474
CYP2A13_4359	CYP2A13	2023
Non-Targeting Control_77437	Non-Targeting Control	3795
LBH_51765	LBH	693
GSTT2B_74395	GSTT2B	1722
Non-Targeting Control_76586	Non-Targeting Control	5330
IL20RA_39644	IL20RA	424
HIST1H2AD_8112	HIST1H2AD	651
Non-Targeting Control_76957	Non-Targeting Control	2937
TBC1D7_38266	TBC1D7	1615
Non-Targeting Control_76612	Non-Targeting Control	4197
CACNA1H_23389	CACNA1H	1959
FOXE3_6401	FOXE3	1198
KIAA0226_25704	KIAA0226	855
CISD3_67641	CISD3	855
SPON2_28010	SPON2	1430
9-Sep_29208	9-Sep	1141
NAT8L_69076	NAT8L	364
SLC6A7_17537	SLC6A7	877
FAM131B_25709	FAM131B	982
HYI_52021	HYI	482
RNF144B_66627	RNF144B	932
ZDHHC4_41713	ZDHHC4	979
USP50_70236	USP50	658
Non-Targeting Control_77045	Non-Targeting Control	3870
KRBOX1_75889	KRBOX1	333
SLC1A4_17441	SLC1A4	1764
POTEH_33575	POTEH	263
ALG13_50200	ALG13	2547
DCAF12_33911	DCAF12	1073
HMG20A_27856	HMG20A	524
AK2_564	AK2	438
NKPD1_67779	NKPD1	843
Non-Targeting Control_76675	Non-Targeting Control	5336
SMKR1_75636	SMKR1	444
COPZ2_38175	COPZ2	641
SMIM7_48900	SMIM7	1286
Non-Targeting Control_77127	Non-Targeting Control	2997
ACTL8_51717	ACTL8	714
KRTAP24-1_73841	KRTAP24-1	675
KRT31_10382	KRT31	703
STK26_39470	STK26	1496
TIPRL_67047	TIPRL	1137
AHNAK_48749	AHNAK	1088
PERM1_54213	PERM1	510
ZNF596_64061	ZNF596	1629
SOWAHA_60283	SOWAHA	1222
IFRD1_9283	IFRD1	829
ZNF253_44129	ZNF253	1171
PUS1_51134	PUS1	1183
SMIM17_61816	SMIM17	206
