sgRNA	Gene	E8_T0
DLST_4819	DLST	689
TLR7_38357	TLR7	678
ARHGAP10_49539	ARHGAP10	1388
CATSPER3_69868	CATSPER3	712
FAM161A_52981	FAM161A	829
ABCG2_24811	ABCG2	1243
MYL5_12080	MYL5	535
ADAMTS15_64211	ADAMTS15	2241
RORB_16252	RORB	825
WBP1_33171	WBP1	1106
IL5RA_9431	IL5RA	1027
ZBED1_24137	ZBED1	576
VAMP4_22645	VAMP4	1256
TRAPPC12_37848	TRAPPC12	921
NBN_12228	NBN	527
NEDD9_12422	NEDD9	928
VHLL_71921	VHLL	751
SYNPO2_64266	SYNPO2	1530
MGEA5_28990	MGEA5	305
TMEM99_61755	TMEM99	657
LHX6_35022	LHX6	856
RAB27A_15681	RAB27A	1835
P2RY4_13202	P2RY4	1625
ZC3H10_54329	ZC3H10	433
CAPN8_71180	CAPN8	265
SLC16A3_23929	SLC16A3	511
GFRA1_7075	GFRA1	1247
ZGLP1_75132	ZGLP1	1127
CALCB_2217	CALCB	59
ZMAT2_62792	ZMAT2	1409
AKR7A3_31343	AKR7A3	1413
RGSL1_70137	RGSL1	2134
CLDN10_23765	CLDN10	361
SCARA3_38758	SCARA3	257
CCDC22_36195	CCDC22	1031
CLCN6_3364	CLCN6	1491
S100A7A_68712	S100A7A	1680
SERPINB5_13899	SERPINB5	1429
TRIM38_28211	TRIM38	911
CDC6_2800	CDC6	969
CRABP2_3849	CRABP2	384
CCDC15_50683	CCDC15	2052
COTL1_32719	COTL1	1188
NAE1_23294	NAE1	947
EMC6_52137	EMC6	614
PSMD10_15270	PSMD10	2216
GJB6_29222	GJB6	86
NCK1_12249	NCK1	3837
NAIP_12188	NAIP	2505
MACROD2_60952	MACROD2	1406
HIST1H4H_21760	HIST1H4H	293
INCA1_70974	INCA1	198
USP39_28951	USP39	1382
PIGX_41160	PIGX	1048
GFRA1_7074	GFRA1	522
POC5_60256	POC5	240
SLC44A3_59260	SLC44A3	301
CLTC_3434	CLTC	196
TBCEL_65429	TBCEL	676
NSUN7_49776	NSUN7	86
P3H1_47503	P3H1	1018
ARRDC3_45847	ARRDC3	2385
ZNF532_41920	ZNF532	828
TGIF2LY_55579	TGIF2LY	1047
FIBP_24055	FIBP	188
C9orf47_68402	C9orf47	2303
NDE1_40665	NDE1	557
SNX20_58745	SNX20	3563
SLC16A14_62512	SLC16A14	874
PCDHGC4_43882	PCDHGC4	635
CCDC30_74738	CCDC30	507
KLK1_10212	KLK1	441
KRTAP9-6_75989	KRTAP9-6	1437
SLC4A2_17490	SLC4A2	668
C1orf189_71165	C1orf189	1248
DGAT2_53932	DGAT2	1293
THY1_19177	THY1	844
ALDH3B2_627	ALDH3B2	368
Non-Targeting Control_76526	Non-Targeting Control	3674
PSMG3_53261	PSMG3	1184
ROBO1_16229	ROBO1	924
C4orf27_41174	C4orf27	1686
PPP3CB_14669	PPP3CB	1977
API5_22252	API5	1537
RGS20_22402	RGS20	1861
LRP11_54475	LRP11	1278
CXorf36_49817	CXorf36	1714
OR5K3_72613	OR5K3	380
NRN1_38413	NRN1	1185
KMT2E_43702	KMT2E	898
PALMD_40843	PALMD	716
C1orf123_41236	C1orf123	378
ARHGEF16_35834	ARHGEF16	269
Non-Targeting Control_76552	Non-Targeting Control	4188
SCYL2_43017	SCYL2	6056
ABHD17B_37817	ABHD17B	1970
C16orf96_69384	C16orf96	311
TERF2IP_39881	TERF2IP	1743
TNFSF9_22865	TNFSF9	353
PRR18_68286	PRR18	1355
PNLIP_14293	PNLIP	402
PRMT9_55633	PRMT9	656
RAPGEF4_30022	RAPGEF4	320
GJA3_7147	GJA3	1359
DHX29_40099	DHX29	227
BOLL_48622	BOLL	1385
TAF5L_35563	TAF5L	2069
BHLHE22_36017	BHLHE22	413
CCNE2_23975	CCNE2	790
KRAS_10297	KRAS	485
MAPK8IP2_33106	MAPK8IP2	2072
UBR5_38610	UBR5	483
DEF6_37277	DEF6	901
CLDN2_23780	CLDN2	1102
METTL20_66385	METTL20	1134
ZNF782_63174	ZNF782	733
TPRA1_59973	TPRA1	838
ZNF638_36040	ZNF638	370
LIMCH1_31420	LIMCH1	542
MSRA_11786	MSRA	1153
PI4K2A_42454	PI4K2A	1463
CLEC2A_70867	CLEC2A	1051
MMP27_47288	MMP27	519
SSTR3_18289	SSTR3	580
Non-Targeting Control_76990	Non-Targeting Control	2723
FGD6_43370	FGD6	2141
UBE2J2_58003	UBE2J2	258
CFL2_3072	CFL2	1871
AHRR_45617	AHRR	2182
MAP9_50254	MAP9	842
ARL1_1157	ARL1	335
BHLHA9_74498	BHLHA9	1316
TTC36_61250	TTC36	479
WTAP_25312	WTAP	391
CDH17_2892	CDH17	1059
NXPH4_30583	NXPH4	472
KMT2A_11547	KMT2A	667
LCN8_60579	LCN8	1903
CXorf23_66789	CXorf23	1865
THAP9_49758	THAP9	323
SLC2A3_17466	SLC2A3	1231
GLTP_38183	GLTP	851
DNAJB8_63853	DNAJB8	1745
RNF146_51953	RNF146	437
IFNA4_9210	IFNA4	1310
PML_14256	PML	526
STT3A_9856	STT3A	717
CLUL1_35567	CLUL1	878
C11orf24_39660	C11orf24	2992
STK19_23220	STK19	786
CDKL3_38293	CDKL3	1188
IGFBP7_9336	IGFBP7	747
PLIN1_14171	PLIN1	1303
CASP8_2357	CASP8	766
COX11_3752	COX11	342
CBX8_45354	CBX8	753
CFHR1_8306	CFHR1	1292
CTSS_4276	CTSS	516
SH2D6_68003	SH2D6	798
NPEPPS_25086	NPEPPS	419
NPR3_12807	NPR3	585
ERO1LB_44287	ERO1LB	1126
KCNIP2_37098	KCNIP2	252
MZT2B_50694	MZT2B	224
ANXA2_827	ANXA2	965
SPATA2L_58688	SPATA2L	428
SCGB2B2_67829	SCGB2B2	654
OR1L4_66537	OR1L4	1659
ZNF280B_61056	ZNF280B	840
SOX12_18008	SOX12	1034
ZNF117_38582	ZNF117	450
REG1B_15990	REG1B	1647
PRY2_73282	PRY2	929
ADGRL4_47433	ADGRL4	3231
CAPSL_60192	CAPSL	1612
DEFA6_4696	DEFA6	1455
C1orf50_48876	C1orf50	249
C4orf29_50824	C4orf29	1022
FBXL7_32033	FBXL7	1559
ADARB2_275	ADARB2	547
HNF4G_8557	HNF4G	1136
TMTC1_52541	TMTC1	447
RBM11_39732	RBM11	1691
Non-Targeting Control_77397	Non-Targeting Control	3766
FAM71B_62826	FAM71B	1877
CYP46A1_29340	CYP46A1	1077
KRTAP5-5_72821	KRTAP5-5	514
SLC43A2_58864	SLC43A2	499
RBPJL_30741	RBPJL	631
ABHD14A_33936	ABHD14A	330
IGFL4_73296	IGFL4	1765
RGPD4_68054	RGPD4	851
TMEM126A_53182	TMEM126A	485
PIN4_14011	PIN4	1632
SLC19A2_28489	SLC19A2	426
GJC2_45177	GJC2	1143
RSRP1_44871	RSRP1	2259
TERT_18989	TERT	625
NUDT15_42143	NUDT15	330
PRPF18_22317	PRPF18	888
UXT_21866	UXT	155
MAGI1_24235	MAGI1	1227
PTGER1_15327	PTGER1	1173
IFT88_21295	IFT88	710
ATP6V0D2_66185	ATP6V0D2	172
ODF3_57047	ODF3	1696
DTX2_57074	DTX2	1771
ZNF418_61821	ZNF418	2635
SLC5A12_63297	SLC5A12	881
OR13C3_60622	OR13C3	2170
Non-Targeting Control_77407	Non-Targeting Control	5602
APBA3_25175	APBA3	368
SRF_18186	SRF	665
Non-Targeting Control_77008	Non-Targeting Control	3678
SHC1_17307	SHC1	1291
C16orf74_72673	C16orf74	1288
TWIST1_19760	TWIST1	457
KIF20A_27045	KIF20A	1656
HCFC1R1_41227	HCFC1R1	168
GPR25_7573	GPR25	1525
ITM2A_24875	ITM2A	943
SRSF4_17202	SRSF4	651
KIT_10206	KIT	404
FBXO25_34870	FBXO25	1375
LRRC74B_72297	LRRC74B	518
C2orf44_51065	C2orf44	126
PMP22_14269	PMP22	367
RAB1B_52011	RAB1B	2099
SMIM19_57364	SMIM19	766
JADE3_25906	JADE3	1832
MDGA1_67069	MDGA1	1439
SCARF2_55759	SCARF2	694
KIDINS220_45645	KIDINS220	1295
LRIG2_26220	LRIG2	927
CSN3_4062	CSN3	856
WFDC11_66957	WFDC11	2847
PHACTR4_48525	PHACTR4	2064
FUT2_6646	FUT2	1083
ENO4_70817	ENO4	984
OC90_74885	OC90	921
PPP1R14A_56754	PPP1R14A	931
KIAA0368_32673	KIAA0368	1351
UBR5_38609	UBR5	529
C16orf91_67550	C16orf91	295
RAMP1_27569	RAMP1	174
OR8J1_65279	OR8J1	282
CLUH_32322	CLUH	1248
TAB3_66909	TAB3	2070
TMEM242_74936	TMEM242	2637
HAS3_8182	HAS3	3025
HOXA11_8668	HOXA11	654
MRPS7_37730	MRPS7	824
Non-Targeting Control_76756	Non-Targeting Control	2754
TTC28_32482	TTC28	848
Non-Targeting Control_77295	Non-Targeting Control	3596
CEACAM4_3104	CEACAM4	526
UCHL5_38639	UCHL5	1070
COL4A3_3570	COL4A3	539
ACTR3_26989	ACTR3	752
ZNF878_74974	ZNF878	594
OGT_22038	OGT	526
RTP2_69647	RTP2	1347
C19orf18_61818	C19orf18	1270
XYLB_26514	XYLB	1566
UCK2_19981	UCK2	691
CYP4F11_46469	CYP4F11	556
SH3D19_62671	SH3D19	1457
PKD1L1_64017	PKD1L1	118
HNRNPM_12183	HNRNPM	594
ZNF334_43117	ZNF334	262
SCN4B_16897	SCN4B	1013
CPSF4L_73723	CPSF4L	949
DBF4_29569	DBF4	87
OSBPL6_57304	OSBPL6	929
RIMKLA_67973	RIMKLA	2708
OR5M10_71668	OR5M10	1834
SRSF5_17206	SRSF5	1436
ZNF549_66698	ZNF549	569
ADAT2_60296	ADAT2	1403
ZDHHC24_66462	ZDHHC24	615
ZNF836_63565	ZNF836	132
MICAL3_45819	MICAL3	161
SIRT5_32723	SIRT5	345
B3GNTL1_61636	B3GNTL1	528
Non-Targeting Control_76877	Non-Targeting Control	4679
SERINC3_29665	SERINC3	648
SPACA3_58847	SPACA3	97
Non-Targeting Control_76846	Non-Targeting Control	2771
CCDC87_42020	CCDC87	844
LCN10_72781	LCN10	674
CAMK2A_2254	CAMK2A	809
LOC643355_73778	LOC643355	629
RASGEF1B_62739	RASGEF1B	853
CNOT10_34045	CNOT10	341
TMEM220_70989	TMEM220	1263
WDR45B_44202	WDR45B	822
ASIC5_39492	ASIC5	603
DARS2_41754	DARS2	950
LONRF1_55963	LONRF1	2364
ETS2_5844	ETS2	1556
RABIF_15699	RABIF	1983
C1orf68_75196	C1orf68	280
OLFM3_58010	OLFM3	569
SLC38A11_62480	SLC38A11	1218
TTLL4_25504	TTLL4	699
FAM153A_68210	FAM153A	1038
SYTL5_56715	SYTL5	1370
CFH_8297	CFH	1803
FOXL1_6400	FOXL1	99
IRF2_9704	IRF2	781
Non-Targeting Control_76517	Non-Targeting Control	3016
IGFBP7_9335	IGFBP7	787
AKAP7_24916	AKAP7	762
LRRC14_25602	LRRC14	401
OR14I1_72535	OR14I1	1381
SNUPN_26914	SNUPN	476
UGT3A1_60186	UGT3A1	376
PLEKHA6_31071	PLEKHA6	355
RNF144B_66626	RNF144B	937
CFLAR_23152	CFLAR	508
TMEM91_73664	TMEM91	663
ZYG11A_72978	ZYG11A	986
MESP2_61497	MESP2	1005
FAM83G_73952	FAM83G	500
MTCH2_33588	MTCH2	608
EML4_36137	EML4	789
MSGN1_69574	MSGN1	1455
SLC7A11_33432	SLC7A11	667
NOBOX_60391	NOBOX	845
VENTX_35930	VENTX	1735
APOBEC2_29582	APOBEC2	314
LIMCH1_31422	LIMCH1	581
SNX21_55347	SNX21	1292
MRPL2_37685	MRPL2	1817
MEOX2_11371	MEOX2	341
CTCFL_60904	CTCFL	1034
PROB1_71353	PROB1	1293
PHACTR2_25841	PHACTR2	1269
NPHP3_35432	NPHP3	643
LYRM1_45127	LYRM1	3150
Non-Targeting Control_76857	Non-Targeting Control	2399
CLEC12B_70869	CLEC12B	1062
KLRB1_10223	KLRB1	344
GALNT11_47134	GALNT11	658
THRA_19165	THRA	441
ZNF208_20822	ZNF208	1235
CD320_38388	CD320	1106
PANO1_76338	PANO1	453
STXBP4_66258	STXBP4	1454
SF3B6_39197	SF3B6	2345
EHD2_37140	EHD2	658
TRMT61A_57545	TRMT61A	706
MTERF3_37488	MTERF3	3065
HIRA_19753	HIRA	666
KIAA1407_45903	KIAA1407	1454
CCDC42B_70886	CCDC42B	1613
OR6C4_69329	OR6C4	1176
OR1D5_21799	OR1D5	1451
ZPBP_29969	ZPBP	482
WAS_20216	WAS	685
EAPP_43534	EAPP	517
GYPC_8044	GYPC	1030
TNP2_19422	TNP2	159
Non-Targeting Control_76750	Non-Targeting Control	2023
AMER1_60685	AMER1	1118
EPCAM_10922	EPCAM	1365
SLC43A3_36343	SLC43A3	444
KRT3_10314	KRT3	484
THTPA_49091	THTPA	1216
ARAP3_47737	ARAP3	2558
SLC39A7_21091	SLC39A7	260
CTSH_4255	CTSH	2063
CDK17_13470	CDK17	433
VWF_20208	VWF	611
TMEM167B_44511	TMEM167B	1323
RIMBP3C_62280	RIMBP3C	1350
Non-Targeting Control_76749	Non-Targeting Control	3072
TTC9B_61936	TTC9B	969
RESP18_71261	RESP18	879
C11orf70_54731	C11orf70	1656
SPECC1_56263	SPECC1	1369
ZNF595_62700	ZNF595	1177
BCAS3_40694	BCAS3	1355
GJD2_45383	GJD2	3072
STX2_5697	STX2	1130
SELO_52316	SELO	651
CAPN6_2303	CAPN6	1189
PLA1A_38605	PLA1A	330
SERINC1_45702	SERINC1	361
UFL1_32619	UFL1	382
IFI16_9173	IFI16	1776
CNIH3_62131	CNIH3	1659
MAMLD1_26820	MAMLD1	554
SORT1_16713	SORT1	1255
DRAM1_42355	DRAM1	574
OR2J2_35272	OR2J2	1464
PEX10_13687	PEX10	880
STXBP1_18454	STXBP1	469
AFG3L2_29599	AFG3L2	446
APPL2_41897	APPL2	492
PELI3_66227	PELI3	391
OR2B6_34762	OR2B6	1397
NR2F2_19031	NR2F2	886
MRAS_30889	MRAS	482
PHF5A_54276	PHF5A	91
AP2M1_3319	AP2M1	1025
CASP8_2360	CASP8	451
ZDHHC13_40093	ZDHHC13	1067
CCNK_23058	CCNK	306
OPHN1_13049	OPHN1	548
PODXL2_37235	PODXL2	364
PSME4_32048	PSME4	438
Non-Targeting Control_77344	Non-Targeting Control	4167
ARHGEF35_73299	ARHGEF35	610
RECQL5_24719	RECQL5	386
GOLGA8R_76290	GOLGA8R	6
MRPS18C_37567	MRPS18C	519
CD163_24514	CD163	1042
DUPD1_68753	DUPD1	172
INPP4B_23093	INPP4B	927
UBALD1_58725	UBALD1	489
PDK3_13611	PDK3	1208
Non-Targeting Control_76662	Non-Targeting Control	4064
PEX13_13695	PEX13	446
OPN4_56732	OPN4	134
PNPO_41768	PNPO	609
ZNF32_20542	ZNF32	975
RNF26_48951	RNF26	1268
THSD7A_65938	THSD7A	1099
DLGAP4_30960	DLGAP4	437
PQBP1_26949	PQBP1	994
PAQR4_58706	PAQR4	347
NEXN_55918	NEXN	667
HSFY1_55061	HSFY1	716
INCENP_9581	INCENP	277
KDF1_59211	KDF1	966
AQP11_67134	AQP11	3621
ITIH3_9844	ITIH3	836
OR4A47_72599	OR4A47	1364
CPS1_3819	CPS1	443
MIS18A_39754	MIS18A	1215
TMEM190_61853	TMEM190	811
Non-Targeting Control_76645	Non-Targeting Control	5022
SLC26A3_5025	SLC26A3	1446
HDGFL1_62873	HDGFL1	532
LYSMD3_57622	LYSMD3	729
PSMD9_15265	PSMD9	769
HPCAL4_38769	HPCAL4	449
RNGTT_22824	RNGTT	377
SGK223_62998	SGK223	587
GRASP_63353	GRASP	1021
ADH7_358	ADH7	65
FOLR2_6538	FOLR2	852
DOCK4_25777	DOCK4	2328
CDK2_2898	CDK2	159
AKT3_26684	AKT3	822
Non-Targeting Control_77440	Non-Targeting Control	1412
2-Mar_41266	2-Mar	148
F13B_5992	F13B	1160
DGKI_24064	DGKI	249
CFDP1_28056	CFDP1	559
KLK3_1003	KLK3	2470
PTGFR_15343	PTGFR	672
IFNA14_9237	IFNA14	1957
PLK3_3508	PLK3	315
ELFN1_72057	ELFN1	1110
QTRTD1_49643	QTRTD1	103
CAPRIN2_48533	CAPRIN2	806
POTEA_69176	POTEA	547
MOSPD1_44108	MOSPD1	2241
RBM19_26375	RBM19	963
SORD_17954	SORD	1110
GALNT3_6855	GALNT3	326
NMI_23889	NMI	706
DNAH6_4886	DNAH6	465
LSP1_10819	LSP1	1792
CCDC28B_48985	CCDC28B	778
PIWIL3_73015	PIWIL3	963
RBM7_27268	RBM7	355
NLRP13_59058	NLRP13	999
TSTA3_19675	TSTA3	2204
PROK1_53578	PROK1	473
OR5D18_65254	OR5D18	4578
KCNIP2_37095	KCNIP2	650
OR6N1_59533	OR6N1	880
CDO1_2959	CDO1	795
SLC38A9_62748	SLC38A9	2475
NKG7_12628	NKG7	907
NR0B2_21906	NR0B2	696
DNMT3B_4950	DNMT3B	388
GAMT_6862	GAMT	768
LURAP1_73503	LURAP1	542
ZBTB34_72646	ZBTB34	1394
PGAM2_13791	PGAM2	1088
LHFPL3_70528	LHFPL3	492
VMO1_67590	VMO1	964
GNB2_7351	GNB2	1620
TMEM184A_65018	TMEM184A	1436
VAT1_28281	VAT1	874
HTR2A_9033	HTR2A	185
DNER_56335	DNER	1566
DMC1_30255	DMC1	2623
PROL1_46611	PROL1	915
MRPL13_36336	MRPL13	165
FAF1_30187	FAF1	1618
KIAA1324_45762	KIAA1324	2179
ONECUT3_71858	ONECUT3	1222
CYB5B_51356	CYB5B	589
TMEM167A_62771	TMEM167A	1117
INPP5F_31080	INPP5F	259
TSPO_1945	TSPO	515
NBPF6_74254	NBPF6	620
MPP3_11718	MPP3	2143
DDT_4632	DDT	189
FOLH1B_65327	FOLH1B	1261
CXorf57_41523	CXorf57	2031
GOLGA7B_72497	GOLGA7B	181
PAQR9_69643	PAQR9	538
GABRD_6774	GABRD	696
NAT1_10	NAT1	2140
DNAJC10_39899	DNAJC10	337
SGK3_33465	SGK3	1432
SEMA3C_28326	SEMA3C	838
ERVFRD-1_72702	ERVFRD-1	350
SLC25A20_2193	SLC25A20	456
RAF1_15764	RAF1	704
RBM44_70465	RBM44	832
Non-Targeting Control_77316	Non-Targeting Control	3153
FMO4_6499	FMO4	1090
MNT_11663	MNT	586
NAMPT_27117	NAMPT	455
ZNF417_61828	ZNF417	598
NOXO1_58694	NOXO1	1177
FBXO27_59167	FBXO27	2591
PQLC2L_62612	PQLC2L	1709
IGFALS_9306	IGFALS	674
SLC6A4_17532	SLC6A4	1129
ACSM5_41241	ACSM5	1525
WDR53_69971	WDR53	875
ITGA2B_9750	ITGA2B	603
CCNE1_2497	CCNE1	1458
PDE5A_22579	PDE5A	1250
REG3G_59777	REG3G	1044
UBR4_32546	UBR4	1556
OR4Q3_73190	OR4Q3	1648
MTMR3_23341	MTMR3	246
Non-Targeting Control_77009	Non-Targeting Control	4611
SLC22A24_67284	SLC22A24	679
SIRPB1_27764	SIRPB1	1235
Non-Targeting Control_77041	Non-Targeting Control	3216
KIAA1324L_65966	KIAA1324L	779
RPTOR_45713	RPTOR	213
GCGR_6974	GCGR	206
SLC41A1_66475	SLC41A1	625
PPP1R14D_40822	PPP1R14D	742
ZNF75D_20597	ZNF75D	551
C17orf102_72227	C17orf102	1583
PHOX2B_23432	PHOX2B	1361
CHCHD10_72303	CHCHD10	716
MBD3L5_67864	MBD3L5	1416
PATE2_72163	PATE2	2170
RFTN2_59784	RFTN2	255
IQGAP1_23115	IQGAP1	1021
CAND2_31628	CAND2	801
TMEM194A_32401	TMEM194A	181
MYO3B_60825	MYO3B	1408
HAUS2_41696	HAUS2	491
MKRN1_33305	MKRN1	2587
AGTR1_518	AGTR1	414
MEGF11_53673	MEGF11	229
RPL30_16400	RPL30	2410
SIK2_32178	SIK2	629
PRSS57_72238	PRSS57	718
SPTBN5_38527	SPTBN5	636
GDPD4_65535	GDPD4	1379
KCNJ12_10063	KCNJ12	538
CBX1_29647	CBX1	1036
MASP2_29061	MASP2	308
FADS3_10696	FADS3	799
Non-Targeting Control_77036	Non-Targeting Control	4668
TMEM69_38239	TMEM69	1223
Non-Targeting Control_76502	Non-Targeting Control	2760
WTAP_25311	WTAP	948
UQCR11_29734	UQCR11	1466
IQUB_62936	IQUB	503
SYS1_55341	SYS1	42
IZUMO4_56941	IZUMO4	985
CYYR1_57674	CYYR1	282
ABCB7_55	ABCB7	884
ZSWIM4_48472	ZSWIM4	1156
C4orf22_66572	C4orf22	1192
CLEC16A_32307	CLEC16A	1213
MBIP_39042	MBIP	923
IL21R_37262	IL21R	635
OR2AG2_68800	OR2AG2	832
LCORL_66442	LCORL	1206
PRPH2_15969	PRPH2	195
EID2_63641	EID2	351
PARK7_30733	PARK7	630
RAD9B_61368	RAD9B	676
NFATC1_12489	NFATC1	1963
DKK3_35618	DKK3	1270
AFAP1L1_60236	AFAP1L1	1415
CDNF_73169	CDNF	1523
RNF41_27300	RNF41	1630
LGI1_24193	LGI1	363
RBM26_47272	RBM26	418
B3GALT6_59232	B3GALT6	792
PTPRZ1_15528	PTPRZ1	743
HMX1_8536	HMX1	241
ZNF816-ZNF321P_76118	ZNF816-ZNF321P	538
PDCD1LG2_51216	PDCD1LG2	796
MRPL39_39797	MRPL39	232
GRXCR2_73756	GRXCR2	1529
MMP15_11632	MMP15	772
C9orf66_63090	C9orf66	261
NFKBIA_12547	NFKBIA	380
PGPEP1_40794	PGPEP1	347
PCDHA4_44039	PCDHA4	376
RBL1_15907	RBL1	120
NIPAL3_45231	NIPAL3	446
OR5T2_65265	OR5T2	607
SH2D1A_10908	SH2D1A	1998
ENDOD1_31588	ENDOD1	559
CEPT1_27923	CEPT1	671
FOXR2_60733	FOXR2	699
NAAA_35723	NAAA	1412
C9_2040	C9	532
FUZ_50889	FUZ	1047
OTOP2_56332	OTOP2	401
URGCP_42973	URGCP	199
AMFR_726	AMFR	744
SLC25A45_67215	SLC25A45	801
PER2_23235	PER2	317
NSMAF_21933	NSMAF	635
PPP2R4_14640	PPP2R4	553
KLC2_48127	KLC2	801
Non-Targeting Control_76797	Non-Targeting Control	3152
GSAP_39777	GSAP	836
ACTL7A_29415	ACTL7A	1198
ZSCAN5A_49014	ZSCAN5A	702
CLIP3_34302	CLIP3	447
PRSS35_63967	PRSS35	689
ZNF324_33739	ZNF324	1118
PLAC8_38481	PLAC8	1504
TNIP3_50392	TNIP3	1551
GPCPD1_44180	GPCPD1	534
CYB561A3_65528	CYB561A3	751
CCL22_17028	CCL22	292
GPR119_60754	GPR119	1035
DDX17_28357	DDX17	1490
PROSER1_50915	PROSER1	1007
PIK3C2B_13958	PIK3C2B	556
PHIP_41347	PHIP	393
PQBP1_26950	PQBP1	1413
ASZ1_60462	ASZ1	1566
ANTXR1_53040	ANTXR1	153
TEX13B_44063	TEX13B	1245
GPR1_7489	GPR1	1444
PIGV_42913	PIGV	369
C20orf173_61037	C20orf173	346
SLC26A5_70524	SLC26A5	311
STK25_28288	STK25	1141
Non-Targeting Control_76770	Non-Targeting Control	3093
FAM172A_52749	FAM172A	504
PROS1_14999	PROS1	298
SBSPON_63080	SBSPON	604
SUPT20HL2_64113	SUPT20HL2	1944
ZNF423_31698	ZNF423	1246
ALS2CL_66932	ALS2CL	939
KRT25_61749	KRT25	365
TYMSOS_73445	TYMSOS	2562
ERG_5777	ERG	1069
ARVCF_1232	ARVCF	480
HAVCR1_35310	HAVCR1	672
MORC2_31096	MORC2	152
SWI5_70550	SWI5	867
SQSTM1_23273	SQSTM1	1132
MYOCD_56577	MYOCD	1836
COL4A2_3566	COL4A2	440
ZNF556_50647	ZNF556	1138
CAT_2381	CAT	1112
COMMD1_62378	COMMD1	910
USP40_42016	USP40	967
MYH9_12052	MYH9	826
IL18RAP_23043	IL18RAP	208
SPINK13_62753	SPINK13	660
ADGRF2_66026	ADGRF2	1177
C22orf24_33678	C22orf24	1595
RC3H2_40196	RC3H2	275
FAM105A_40058	FAM105A	280
ANKRD30A_55730	ANKRD30A	909
FOXI2_72136	FOXI2	650
SPATA24_64969	SPATA24	712
HDGF_8275	HDGF	181
TTC17_43287	TTC17	777
SOWAHD_69823	SOWAHD	809
AGAP6_72760	AGAP6	492
PCDHGA8_25689	PCDHGA8	880
GAS6_6898	GAS6	1386
ZCCHC5_65101	ZCCHC5	1005
MCUR1_47175	MCUR1	1114
SSC4D_60454	SSC4D	374
ARSH_69847	ARSH	1462
TOR1AIP1_34547	TOR1AIP1	946
DISP1_54666	DISP1	307
WFDC8_55346	WFDC8	804
MSANTD2_49629	MSANTD2	408
ZNF700_55548	ZNF700	749
SULT2A1_18489	SULT2A1	517
PRKCD_14825	PRKCD	948
GGT6_58878	GGT6	849
ARHGEF9_32153	ARHGEF9	469
STAP2_42820	STAP2	682
NELFA_20255	NELFA	285
IL2RG_9406	IL2RG	1630
FAIM2_31471	FAIM2	456
OR8K3_65273	OR8K3	1390
GAS1_6889	GAS1	903
UCHL1_19904	UCHL1	2470
ZBTB21_37174	ZBTB21	718
IFNK_44417	IFNK	950
TIGD7_55751	TIGD7	758
ABCB5_69136	ABCB5	306
CDH5_2848	CDH5	279
HERC6_41303	HERC6	1655
Non-Targeting Control_76616	Non-Targeting Control	1418
HN1L_55657	HN1L	1652
KLHDC4_40509	KLHDC4	307
TNIK_31563	TNIK	360
NCK1_12251	NCK1	792
LCP1_10544	LCP1	1289
PSMA8_61184	PSMA8	636
GGA3_31921	GGA3	374
COL5A1_3586	COL5A1	481
IMMP1L_64383	IMMP1L	1920
AIP_23695	AIP	1090
ABCA6_32856	ABCA6	1914
ARHGAP11A_26093	ARHGAP11A	751
PCYT2_15608	PCYT2	348
KRTAP9-2_52655	KRTAP9-2	2628
TNFRSF11A_22985	TNFRSF11A	599
ASPHD1_66384	ASPHD1	868
Non-Targeting Control_76535	Non-Targeting Control	2026
SLC22A4_17710	SLC22A4	234
HOXC6_8723	HOXC6	1090
SNAPIN_33164	SNAPIN	595
Non-Targeting Control_76917	Non-Targeting Control	3452
CEBPG_3017	CEBPG	491
KRTAP20-3_68690	KRTAP20-3	1232
WFDC1_46504	WFDC1	649
NAT14_44997	NAT14	862
PPAPDC1A_64372	PPAPDC1A	2060
FBXL20_54624	FBXL20	1672
TRAF2_19557	TRAF2	167
Non-Targeting Control_76621	Non-Targeting Control	3514
OR4S1_66720	OR4S1	1331
KLF2_27857	KLF2	1004
PTGER2_15332	PTGER2	1214
ZNRF3_52964	ZNRF3	1277
PECR_43501	PECR	2489
PCDH17_35891	PCDH17	1552
SHISA7_75011	SHISA7	942
SCLT1_60055	SCLT1	261
ITGA5_9763	ITGA5	897
BTNL3_29542	BTNL3	1113
ZNF559-ZNF177_76111	ZNF559-ZNF177	584
C16orf86_70962	C16orf86	455
GABPB2_59189	GABPB2	1744
PTCHD1_60705	PTCHD1	1252
CEP68_31975	CEP68	3428
C4A_1988	C4A	991
RHEBL1_58348	RHEBL1	1490
TNRC6A_36025	TNRC6A	1070
LRRC72_75868	LRRC72	927
GJD4_65369	GJD4	1076
CABP2_38839	CABP2	744
OAS1_12959	OAS1	329
10-Mar_63502	10-Mar	1312
NUP62CL_40699	NUP62CL	1386
CETP_3063	CETP	160
RASSF2_25916	RASSF2	1057
COL11A2_3639	COL11A2	580
NDUFAF6_60488	NDUFAF6	1175
APOC4_978	APOC4	545
C5orf30_55432	C5orf30	375
COL26A1_60411	COL26A1	393
CHST7_44280	CHST7	1059
SLC25A48_62765	SLC25A48	361
NUTM2G_73125	NUTM2G	200
TSHZ1_27301	TSHZ1	1576
Non-Targeting Control_76604	Non-Targeting Control	3690
TARDBP_32808	TARDBP	472
ASGR1_1246	ASGR1	511
