sgRNA	Gene	Clip2_5_DE_GFP_low_BC17_IGO_09496_9_S9
QRICH2_52857	QRICH2	75
FNDC8_40490	FNDC8	72
TMEM52_68960	TMEM52	28
FAM160B2_47974	FAM160B2	145
CDC42BPA_22043	CDC42BPA	28
H2AFJ_43309	H2AFJ	88
LSG1_42388	LSG1	26
HBG1_8209	HBG1	104
SERPINH1_2437	SERPINH1	87
MYO6_12115	MYO6	229
Non-Targeting Control_77415	Non-Targeting Control	332
TMEM144_42288	TMEM144	106
ITIH1_9833	ITIH1	67
MARK1_11127	MARK1	323
MAGEA12_11037	MAGEA12	87
MYEF2_37334	MYEF2	93
ESD_5800	ESD	162
CD177_45061	CD177	49
NEDD9_12424	NEDD9	35
ALS2CR11_62473	ALS2CR11	54
SUN5_60945	SUN5	56
FAM174B_72208	FAM174B	29
PPM1M_60032	PPM1M	139
THAP5_64012	THAP5	89
PXDC1_65875	PXDC1	222
CD38_2674	CD38	68
WDR87_52619	WDR87	62
LUC7L_43050	LUC7L	71
FAM161A_52980	FAM161A	187
MMS19_47524	MMS19	13
PRKD1_14855	PRKD1	66
KLHDC8B_64803	KLHDC8B	83
PRR32_75301	PRR32	125
CIT_30156	CIT	132
PRRT1_51453	PRRT1	251
RAP2B_15823	RAP2B	158
CLCA4_30874	CLCA4	82
MRPL55_59494	MRPL55	205
ITPA_9859	ITPA	97
FXR1_21275	FXR1	41
ENPP3_13628	ENPP3	104
GTPBP1_25235	GTPBP1	26
STAT5A_18357	STAT5A	27
EREG_5750	EREG	150
CPB1_3776	CPB1	32
KRTAP5-5_72822	KRTAP5-5	190
HHAT_43183	HHAT	32
ZSWIM5_46102	ZSWIM5	93
Non-Targeting Control_77295	Non-Targeting Control	251
ENKD1_52879	ENKD1	51
TLR9_39781	TLR9	50
ANGPTL5_66364	ANGPTL5	26
LCORL_66442	LCORL	125
HEXB_8293	HEXB	57
MMP17_11639	MMP17	12
LCORL_66444	LCORL	272
ZFAND6_40006	ZFAND6	44
MAP2K2_14926	MAP2K2	32
CUBN_21199	CUBN	126
ANAPC10_27934	ANAPC10	125
ST3GAL5_23243	ST3GAL5	37
EFCAB11_55324	EFCAB11	70
BEAN1_61555	BEAN1	61
CLK3_3397	CLK3	65
EXOC3L1_67514	EXOC3L1	71
Non-Targeting Control_76503	Non-Targeting Control	414
VASN_57391	VASN	31
C17orf47_67627	C17orf47	70
EFCAB12_55380	EFCAB12	19
COX10_3748	COX10	135
PROSC_30475	PROSC	59
MBD2_23438	MBD2	229
ACTG1_196	ACTG1	25
Non-Targeting Control_77018	Non-Targeting Control	376
STK17B_24344	STK17B	91
LIMS1_10670	LIMS1	209
ECHDC3_49827	ECHDC3	65
H2BFM_68453	H2BFM	160
TPCN2_65444	TPCN2	102
FKTN_6174	FKTN	193
LRRTM4_50669	LRRTM4	23
SLC45A1_37314	SLC45A1	109
PHPT1_36419	PHPT1	34
CEP68_31975	CEP68	382
ZNF730_75216	ZNF730	126
SFMBT1_38813	SFMBT1	115
SLC8A2_17572	SLC8A2	38
ALX4_46947	ALX4	27
WDR62_67834	WDR62	155
OR52J3_58162	OR52J3	172
COX6B2_58981	COX6B2	70
PPM1K_62725	PPM1K	59
RAB7A_21044	RAB7A	44
MB21D2_62582	MB21D2	52
LIPT1_39112	LIPT1	32
ZNF438_65627	ZNF438	112
HDX_60695	HDX	59
RHCG_38807	RHCG	110
DEFB105B_73492	DEFB105B	96
Non-Targeting Control_77216	Non-Targeting Control	274
C11orf86_66478	C11orf86	40
GBP5_57484	GBP5	133
KDM2B_54008	KDM2B	71
VANGL1_51939	VANGL1	157
EFCAB1_49496	EFCAB1	25
IFNGR1_9269	IFNGR1	102
EPRS_5715	EPRS	12
GPM6A_7481	GPM6A	27
CCR4_3450	CCR4	69
Non-Targeting Control_77376	Non-Targeting Control	342
MUC5B_74506	MUC5B	137
DESI1_36111	DESI1	238
SPATA8_61508	SPATA8	339
SFTA2_71372	SFTA2	101
VAV3_28121	VAV3	176
CLCA4_30873	CLCA4	165
Non-Targeting Control_76851	Non-Targeting Control	432
VIL1_20151	VIL1	32
Non-Targeting Control_76779	Non-Targeting Control	304
ASTL_72814	ASTL	46
MAU2_32646	MAU2	171
RPUSD1_56913	RPUSD1	32
OR5L1_65252	OR5L1	127
CRISPLD1_52361	CRISPLD1	140
TSHR_19646	TSHR	67
NFKBIL1_12560	NFKBIL1	63
ARMCX6_40010	ARMCX6	68
PAQR9_69641	PAQR9	118
KRTAP16-1_75848	KRTAP16-1	123
MLYCD_32761	MLYCD	68
Non-Targeting Control_77307	Non-Targeting Control	294
ACVR2A_231	ACVR2A	37
CPEB3_30992	CPEB3	195
GABPA_6730	GABPA	51
HDAC5_26734	HDAC5	242
MCCC2_47330	MCCC2	98
PODXL_14325	PODXL	34
SKOR2_74229	SKOR2	252
APC_899	APC	116
OR5J2_67143	OR5J2	69
ATG7_28400	ATG7	126
ACSL4_6051	ACSL4	165
ZMYM6NB_75879	ZMYM6NB	133
GLIS1_62102	GLIS1	23
EIF2AK4_72910	EIF2AK4	351
RHOU_46539	RHOU	76
GABRR1_6799	GABRR1	161
DVL2_5186	DVL2	75
GIT2_26063	GIT2	130
CD1B_2534	CD1B	67
Non-Targeting Control_76574	Non-Targeting Control	553
KLK9_67797	KLK9	139
Non-Targeting Control_76943	Non-Targeting Control	321
OCLN_75914	OCLN	18
PJA1_47543	PJA1	55
MIDN_55267	MIDN	74
FAM65C_61042	FAM65C	233
HBD_8201	HBD	23
Non-Targeting Control_76561	Non-Targeting Control	436
C17orf62_49224	C17orf62	65
LDB2_23789	LDB2	131
Non-Targeting Control_76500	Non-Targeting Control	369
TCEAL8_55644	TCEAL8	252
UNC13D_64877	UNC13D	68
DRP2_5057	DRP2	211
SLC9A1_17586	SLC9A1	51
RSRP1_44873	RSRP1	81
GATSL3_74225	GATSL3	64
HACL1_34492	HACL1	189
NME2_12664	NME2	39
PCNXL3_72141	PCNXL3	22
CHIC1_39550	CHIC1	78
DTX4_32130	DTX4	49
TUB_19711	TUB	59
ARHGAP1_1128	ARHGAP1	32
TEP1_18978	TEP1	84
PRAMEF4_72254	PRAMEF4	144
FBXO9_34892	FBXO9	44
TMEM165_43595	TMEM165	46
AZGP1_1542	AZGP1	25
KRT12_10349	KRT12	62
OR52E8_71603	OR52E8	102
GOLT1B_37579	GOLT1B	140
ZDHHC11_50129	ZDHHC11	109
ATRX_1508	ATRX	72
SERPINE3_74184	SERPINE3	107
B3GALTL_61387	B3GALTL	38
SLC24A5_67455	SLC24A5	130
DAB2_4470	DAB2	90
GNS_7407	GNS	96
SERPIND1_8232	SERPIND1	75
PLEKHM3_71255	PLEKHM3	93
PSCA_21168	PSCA	216
EFNA3_5342	EFNA3	28
DYDC2_53514	DYDC2	63
UAP1_18036	UAP1	61
FAM71A_62216	FAM71A	58
TRA2A_36727	TRA2A	48
EHD3_37136	EHD3	162
POMT2_36895	POMT2	55
TMIGD2_59082	TMIGD2	98
FAM150A_71439	FAM150A	53
GAGE10_76421	GAGE10	70
FBXO38_51652	FBXO38	313
L2HGDH_50423	L2HGDH	64
OR13C8_60619	OR13C8	35
NFKB2_12543	NFKB2	99
CPT1C_59046	CPT1C	169
GTF2IRD1_25244	GTF2IRD1	63
MKRN2OS_75209	MKRN2OS	110
FBXO36_59888	FBXO36	207
AMOT_62922	AMOT	108
NTM_37444	NTM	47
ZNF444_42278	ZNF444	99
HOXB13_28233	HOXB13	224
BBX_44786	BBX	97
OR10G4_71739	OR10G4	19
TAF8_59725	TAF8	16
BAHCC1_45975	BAHCC1	136
PPIG_24593	PPIG	64
FN3K_47429	FN3K	82
FAM227A_74140	FAM227A	47
RPA4_36831	RPA4	95
TP53TG3D_74878	TP53TG3D	61
MSX2_11802	MSX2	79
OLIG3_63975	OLIG3	116
DNAJC1_47531	DNAJC1	85
HLA-F_8453	HLA-F	23
Non-Targeting Control_77394	Non-Targeting Control	408
SLFN11_55904	SLFN11	111
RHBDD2_45448	RHBDD2	45
WEE2_73450	WEE2	78
CFAP61_34515	CFAP61	117
PCDHB1_36822	PCDHB1	67
TOMM20L_70916	TOMM20L	109
Non-Targeting Control_76838	Non-Targeting Control	185
TNS4_54587	TNS4	55
ZNF677_69460	ZNF677	141
LRMP_10778	LRMP	175
TOX2_54650	TOX2	113
NTN5_59056	NTN5	59
RIMS1_31424	RIMS1	143
KRTAP4-11_74268	KRTAP4-11	25
CCNE1_2498	CCNE1	111
HSD17B7_38848	HSD17B7	148
NAT8B_38828	NAT8B	90
Non-Targeting Control_77405	Non-Targeting Control	579
ABI1_26706	ABI1	117
CCBL1_2459	CCBL1	31
ZNF385C_64842	ZNF385C	30
MTO1_33810	MTO1	48
ARHGAP24_52164	ARHGAP24	59
ADGRG3_66003	ADGRG3	93
Non-Targeting Control_76998	Non-Targeting Control	305
PLGRKT_43567	PLGRKT	124
CHID1_48606	CHID1	41
KCTD5_39937	KCTD5	23
ZNF423_31696	ZNF423	261
NHLRC3_70906	NHLRC3	73
DNM1_4864	DNM1	63
BICD2_32372	BICD2	49
MAFK_21127	MAFK	21
HOXA10_8662	HOXA10	76
MINPP1_25224	MINPP1	45
Non-Targeting Control_76723	Non-Targeting Control	407
PFDN4_13726	PFDN4	165
DRD1_5030	DRD1	70
MARK4_46386	MARK4	82
EBF2_47863	EBF2	28
KRT12_10352	KRT12	26
SLC41A1_66476	SLC41A1	108
TGM6_69566	TGM6	63
KRTAP10-5_70684	KRTAP10-5	176
SDHA_17088	SDHA	33
OR2C3_51589	OR2C3	32
NPW_67519	NPW	40
Non-Targeting Control_77279	Non-Targeting Control	264
ST6GALNAC4_35546	ST6GALNAC4	57
OR6K2_51571	OR6K2	49
TCEAL4_50362	TCEAL4	141
Non-Targeting Control_77120	Non-Targeting Control	175
MAP7D1_43076	MAP7D1	186
ASAH2_44306	ASAH2	33
TRIM62_41990	TRIM62	75
ITK_9849	ITK	21
SLC22A24_67281	SLC22A24	123
CCDC107_65083	CCDC107	101
GJA10_54056	GJA10	84
MUC4_11916	MUC4	6
CT47A9_74534	CT47A9	174
RAPGEF1_7703	RAPGEF1	49
SPIC_58416	SPIC	11
MTOR_6581	MTOR	77
GDF5_21393	GDF5	28
FSCB_52861	FSCB	121
TIMMDC1_38416	TIMMDC1	128
C11orf45_65388	C11orf45	14
LOC339862_69043	LOC339862	51
SELO_52318	SELO	27
Non-Targeting Control_76456	Non-Targeting Control	396
PRDM13_46767	PRDM13	62
Non-Targeting Control_76749	Non-Targeting Control	257
PGLYRP2_57163	PGLYRP2	107
FBXO31_49954	FBXO31	31
PLA2G2A_14073	PLA2G2A	50
ATG4B_32023	ATG4B	87
VBP1_20097	VBP1	97
ZNF222_20644	ZNF222	56
FBLN7_59736	FBLN7	90
C6orf58_70037	C6orf58	28
SCMH1_31333	SCMH1	113
PACSIN3_36583	PACSIN3	107
COL15A1_3652	COL15A1	219
C1orf162_59511	C1orf162	39
ARL8B_41928	ARL8B	27
Non-Targeting Control_76787	Non-Targeting Control	323
ZSWIM7_58917	ZSWIM7	57
KCNJ8_10046	KCNJ8	47
LOC389602_71421	LOC389602	158
WFDC10B_67120	WFDC10B	32
ISL2_48147	ISL2	114
ATP2B3_1385	ATP2B3	44
PCDH18_40111	PCDH18	25
PLEKHO2_51056	PLEKHO2	41
FOXN3_3145	FOXN3	349
ITGB3_9806	ITGB3	38
SCGB1D2_28790	SCGB1D2	35
EXOSC4_40121	EXOSC4	40
STAU1_18374	STAU1	272
S100A9_16746	S100A9	55
MLF1_11521	MLF1	61
SETD6_50354	SETD6	83
OLFML2B_34039	OLFML2B	50
FTH1P18_73142	FTH1P18	465
TBC1D14_45753	TBC1D14	12
FAM126A_53985	FAM126A	131
OR6S1_69351	OR6S1	38
MTUS2_32329	MTUS2	22
IPO8_28380	IPO8	104
MCM10_42487	MCM10	92
GALNT4_22701	GALNT4	53
OR5K2_72548	OR5K2	182
SLC9C2_67909	SLC9C2	46
FGF5_6251	FGF5	208
PGM3_13824	PGM3	20
DGCR6L_54825	DGCR6L	31
C3orf52_49577	C3orf52	65
SLC45A1_37312	SLC45A1	42
EFNA2_5340	EFNA2	136
SIGLEC5_22951	SIGLEC5	47
SCNN1D_16932	SCNN1D	17
MLPH_48887	MLPH	137
FAM47A_63205	FAM47A	95
SCMH1_31334	SCMH1	88
DCUN1D2_41931	DCUN1D2	52
MRFAP1L1_57370	MRFAP1L1	72
FUT3_6650	FUT3	240
Non-Targeting Control_76463	Non-Targeting Control	570
DCAF11_51189	DCAF11	93
ZFP92_60745	ZFP92	188
BEX4_44205	BEX4	124
SLC16A1_17647	SLC16A1	47
IL1RAP_9387	IL1RAP	221
DMTN_5637	DMTN	91
NDC1_43100	NDC1	113
LBX1_28838	LBX1	101
Non-Targeting Control_77354	Non-Targeting Control	374
TFCP2_19022	TFCP2	104
PACS2_32198	PACS2	61
Non-Targeting Control_76625	Non-Targeting Control	596
HIST3H2BB_59500	HIST3H2BB	63
CYB5A_4303	CYB5A	185
ADH6_356	ADH6	113
LILRB1_29343	LILRB1	94
ISOC1_37540	ISOC1	152
SEC24C_25421	SEC24C	37
SYCE1_56513	SYCE1	123
MTPN_60436	MTPN	35
Non-Targeting Control_76584	Non-Targeting Control	290
RUNX2_2400	RUNX2	102
ANO5_65133	ANO5	113
OR11A1_35146	OR11A1	14
PDGFRL_13578	PDGFRL	145
EMB_60153	EMB	129
CDC42BPG_42668	CDC42BPG	77
ALDH1A1_601	ALDH1A1	358
CYP3A43_48120	CYP3A43	63
DCAF11_51187	DCAF11	63
TRIM72_73388	TRIM72	100
Non-Targeting Control_77128	Non-Targeting Control	195
CYP1A1_4336	CYP1A1	5
Non-Targeting Control_76450	Non-Targeting Control	364
AXIN2_21567	AXIN2	97
WFDC5_62225	WFDC5	96
Non-Targeting Control_77153	Non-Targeting Control	534
LOC101929983_76392	LOC101929983	117
CNN2_3516	CNN2	37
FBXO40_39374	FBXO40	38
DLC1_27941	DLC1	66
OR6S1_69350	OR6S1	35
DAAM2_32962	DAAM2	114
ABCG4_47459	ABCG4	179
LRRC42_57474	LRRC42	54
SATB2_32427	SATB2	54
SH3BGRL3_52093	SH3BGRL3	51
RHEBL1_58345	RHEBL1	181
ASB13_49857	ASB13	97
TCEANC_64118	TCEANC	33
BRPF3_35703	BRPF3	72
Non-Targeting Control_77151	Non-Targeting Control	555
PAIP1_28637	PAIP1	20
AEN_48043	AEN	189
NT5C3B_57406	NT5C3B	106
Non-Targeting Control_77274	Non-Targeting Control	278
LEPR_10580	LEPR	30
MYOF_35087	MYOF	98
PHLPP1_32189	PHLPP1	133
RAB3GAP1_31267	RAB3GAP1	41
DSCAML1_45487	DSCAML1	115
Non-Targeting Control_77118	Non-Targeting Control	168
PDX1_9675	PDX1	79
NTF4_12883	NTF4	14
OR2D3_58279	OR2D3	40
IBSP_9086	IBSP	292
ZNF584_64902	ZNF584	29
ZNF300_56074	ZNF300	262
VIPAS39_47080	VIPAS39	53
CCR2_74850	CCR2	172
KLC2_48127	KLC2	138
TSPAN9_29363	TSPAN9	50
Non-Targeting Control_77077	Non-Targeting Control	333
RNF224_73809	RNF224	69
