sgRNA	Gene	Clip2_5_DE_GFP_low_BC17_IGO_09496_9_S9
KCNH2_10022	KCNH2	180
C2orf47_49275	C2orf47	27
PXDC1_65876	PXDC1	129
PAPOLB_44524	PAPOLB	91
CAPNS2_53369	CAPNS2	125
IL36B_35750	IL36B	123
PAK7_45111	PAK7	245
VGF_20142	VGF	172
PYDC2_62634	PYDC2	35
Non-Targeting Control_76770	Non-Targeting Control	307
LASP1_10514	LASP1	55
CDC26_66205	CDC26	14
BIN1_755	BIN1	44
HTATIP2_28464	HTATIP2	78
NRN1L_58675	NRN1L	69
ST18_25684	ST18	20
SAPCD1_72396	SAPCD1	53
GJB4_59368	GJB4	26
TWF2_30832	TWF2	94
MC1R_11193	MC1R	304
SEC31B_34189	SEC31B	74
SCP2_16943	SCP2	76
UTS2R_7535	UTS2R	111
DUSP11_21956	DUSP11	19
RITA1_54529	RITA1	39
NXF2_43839	NXF2	62
EPB41L2_5631	EPB41L2	66
PRDX4_28448	PRDX4	97
NXF2B_74644	NXF2B	139
KIF5C_10170	KIF5C	90
DTNA_5120	DTNA	79
BCR_1677	BCR	41
TSKU_34274	TSKU	60
Non-Targeting Control_77391	Non-Targeting Control	463
Non-Targeting Control_76771	Non-Targeting Control	336
KRTAP13-3_68628	KRTAP13-3	15
TMPRSS11E_36292	TMPRSS11E	56
PRRX1_14289	PRRX1	127
AHCYL2_32641	AHCYL2	78
TEKT1_52342	TEKT1	93
AGTR2_522	AGTR2	77
LOXL1_10756	LOXL1	122
C19orf81_69455	C19orf81	152
GNA13_28880	GNA13	189
LTB_10836	LTB	141
FAHD2B_62493	FAHD2B	57
ALK_657	ALK	49
PPP1R21_59675	PPP1R21	201
BSPH1_75352	BSPH1	26
CACNG4_35553	CACNG4	34
SEC31A_31066	SEC31A	48
MYO18A_72107	MYO18A	78
FAM102B_67929	FAM102B	35
Non-Targeting Control_77381	Non-Targeting Control	214
ISOC2_49881	ISOC2	219
KRT80_61345	KRT80	21
Non-Targeting Control_76721	Non-Targeting Control	524
CLCN4_3355	CLCN4	56
CLDN11_13138	CLDN11	137
FAM122A_57690	FAM122A	107
FRMPD3_53609	FRMPD3	147
APEX2_35979	APEX2	84
CD164_22906	CD164	63
CH17-360D5.1_76278	CH17-360D5.1	74
Non-Targeting Control_77091	Non-Targeting Control	357
FAM127B_34507	FAM127B	167
Non-Targeting Control_77067	Non-Targeting Control	246
TNN_47145	TNN	42
GAB3_60737	GAB3	180
THSD7A_65938	THSD7A	87
L3MBTL1_34344	L3MBTL1	42
SPATA16_52638	SPATA16	136
FDX1_6193	FDX1	26
WNK3_48509	WNK3	134
PTCD3_41396	PTCD3	92
Non-Targeting Control_76586	Non-Targeting Control	426
LRP11_54475	LRP11	130
SNX19_72169	SNX19	70
CLLU1_73587	CLLU1	40
CTSK_4257	CTSK	42
ACOT6_73656	ACOT6	285
LEFTY2_19095	LEFTY2	67
ZNF480_61798	ZNF480	121
Non-Targeting Control_77265	Non-Targeting Control	492
SPATS2_48467	SPATS2	114
RHCG_38810	RHCG	130
DNAH3_42676	DNAH3	26
TERF2_18986	TERF2	101
ST8SIA3_37620	ST8SIA3	135
PLEKHN1_52835	PLEKHN1	32
Non-Targeting Control_77390	Non-Targeting Control	419
Non-Targeting Control_76638	Non-Targeting Control	591
PCDHA9_25854	PCDHA9	87
STAG2_29020	STAG2	95
Non-Targeting Control_77041	Non-Targeting Control	328
CLDN17_34948	CLDN17	87
BBX_44783	BBX	24
KCND3_10003	KCND3	65
SLC2A12_62865	SLC2A12	60
NOC3L_47614	NOC3L	74
MTMR7_23881	MTMR7	111
LYPD1_57738	LYPD1	87
GNL1_7389	GNL1	50
PPM1K_62726	PPM1K	132
GBX2_6958	GBX2	135
SLC4A1AP_31322	SLC4A1AP	140
TLX3_37047	TLX3	331
SERPINA6_2423	SERPINA6	41
CCDC155_61882	CCDC155	62
RANBP3L_64983	RANBP3L	77
PPAP2C_22438	PPAP2C	82
HIST1H4H_21757	HIST1H4H	180
PHOX2B_23432	PHOX2B	214
HIST1H2BJ_23493	HIST1H2BJ	34
PPP1R26_26209	PPP1R26	36
XPO4_47640	XPO4	92
SUPT20HL2_64113	SUPT20HL2	188
C14orf169_49668	C14orf169	15
ZNF829_70373	ZNF829	55
IQCJ-SCHIP1_75819	IQCJ-SCHIP1	97
IFT88_21293	IFT88	77
DYRK1A_5195	DYRK1A	64
NKD2_54888	NKD2	22
SLC25A38_41201	SLC25A38	64
USP15_26565	USP15	43
SYCE3_73918	SYCE3	63
ZNF704_73638	ZNF704	83
TDRD9_58461	TDRD9	55
RGS16_16124	RGS16	44
PATE1_63306	PATE1	237
NUP210L_55766	NUP210L	125
HOXB8_8705	HOXB8	18
PRSS35_63965	PRSS35	56
MAOB_11100	MAOB	47
CARHSP1_33250	CARHSP1	265
CHRNE_3262	CHRNE	41
CDH1_2832	CDH1	32
ATRNL1_34395	ATRNL1	105
Non-Targeting Control_77134	Non-Targeting Control	321
DGKH_63376	DGKH	46
PRR20D_74864	PRR20D	81
SBF1_16830	SBF1	37
CSNK2A3_67197	CSNK2A3	58
Non-Targeting Control_76895	Non-Targeting Control	182
ADGRE2_37089	ADGRE2	94
Non-Targeting Control_76530	Non-Targeting Control	900
Non-Targeting Control_76823	Non-Targeting Control	258
SGSM3_36117	SGSM3	54
PITPNM3_52067	PITPNM3	94
G6PC2_46421	G6PC2	126
RNF152_65619	RNF152	209
MAN1C1_45083	MAN1C1	290
Non-Targeting Control_76598	Non-Targeting Control	465
VAMP5_29177	VAMP5	31
DNAJB7_62313	DNAJB7	72
LOC102724279_76414	LOC102724279	354
STAM2_27533	STAM2	73
ALX3_704	ALX3	73
Non-Targeting Control_76470	Non-Targeting Control	256
PDE6A_13529	PDE6A	67
ZNF280A_59657	ZNF280A	118
SLCO3A1_36166	SLCO3A1	50
MTX1_11903	MTX1	106
CLIC5_39587	CLIC5	79
Non-Targeting Control_77178	Non-Targeting Control	382
PNLIPRP2_14303	PNLIPRP2	102
CELA3B_32811	CELA3B	173
TNRC6A_36025	TNRC6A	92
THAP11_45296	THAP11	31
SREBF2_18181	SREBF2	20
NCOA1_22558	NCOA1	45
LCE3C_70100	LCE3C	92
NR2F2_19032	NR2F2	71
WDR20_56023	WDR20	41
ZNF330_36000	ZNF330	127
DCBLD1_68279	DCBLD1	166
SMCO3_72870	SMCO3	90
MRPS24_48289	MRPS24	174
HAS1_8173	HAS1	96
Non-Targeting Control_77186	Non-Targeting Control	391
FAM3B_39766	FAM3B	76
ARHGEF38_40753	ARHGEF38	66
HIST1H1D_8089	HIST1H1D	318
MLLT6_11568	MLLT6	21
SAMD7_69619	SAMD7	22
ANKRD26_31000	ANKRD26	145
DMRT3_46664	DMRT3	78
USF1_20047	USF1	36
KCNJ9_10051	KCNJ9	80
CYP4F8_30706	CYP4F8	82
TADA1_57883	TADA1	114
IRAK3_30481	IRAK3	76
OR6N1_59533	OR6N1	152
HOXB8_8706	HOXB8	24
SPINT1_18076	SPINT1	39
MYL3_12069	MYL3	191
MYL1_12063	MYL1	31
DAGLB_65932	DAGLB	123
SOX13_25273	SOX13	8
TMED2_29676	TMED2	77
PXK_40936	PXK	20
SPANXN3_60649	SPANXN3	18
GAS7_22190	GAS7	93
Non-Targeting Control_77036	Non-Targeting Control	320
RGS7_16106	RGS7	253
OTP_32823	OTP	36
C8orf22_73374	C8orf22	39
KLLN_75525	KLLN	137
JTB_29475	JTB	34
TXN2_33833	TXN2	25
CBFA2T2_23992	CBFA2T2	34
M6PR_10927	M6PR	11
P2RY12_48111	P2RY12	67
CPZ_22222	CPZ	132
EXOC3L1_67513	EXOC3L1	93
TEK_18974	TEK	35
PIM1_13980	PIM1	92
PRRG3_48824	PRRG3	61
GALNT3_6855	GALNT3	78
PAGE2_65126	PAGE2	29
OR4E2_35253	OR4E2	83
LAP3_37638	LAP3	81
BAX_1594	BAX	314
SPDYE4_70986	SPDYE4	135
Non-Targeting Control_77103	Non-Targeting Control	333
TTC9C_67278	TTC9C	143
AACS_48546	AACS	38
MYLK_12086	MYLK	167
HNRNPH3_8606	HNRNPH3	75
ZNF43_20574	ZNF43	106
PPP5C_14686	PPP5C	29
STAU2_35490	STAU2	145
PPP3CA_14662	PPP3CA	161
MID1IP1_46672	MID1IP1	101
SIPA1L2_45870	SIPA1L2	99
CCDC7_49814	CCDC7	144
WDR7_32495	WDR7	37
ARHGAP12_56720	ARHGAP12	73
COL28A1_69129	COL28A1	155
FAM228A_74246	FAM228A	57
DUSP7_5168	DUSP7	14
OVOL1_13154	OVOL1	60
WNT7B_20282	WNT7B	103
HNMT_8567	HNMT	208
ZNF787_59069	ZNF787	107
FAM214A_44122	FAM214A	78
AKR1C4_3139	AKR1C4	139
FOXP4_57641	FOXP4	61
Non-Targeting Control_76850	Non-Targeting Control	452
RUNX1T1_2405	RUNX1T1	86
GLRX_7259	GLRX	211
TMSB4Y_23823	TMSB4Y	243
FABP9_74097	FABP9	63
GCSAM_66865	GCSAM	56
JDP2_58560	JDP2	65
PPCS_49730	PPCS	31
CALR_2242	CALR	260
ZBTB34_72646	ZBTB34	129
IER3IP1_37886	IER3IP1	46
OR8H1_65272	OR8H1	192
RBMXL3_60762	RBMXL3	169
Non-Targeting Control_77006	Non-Targeting Control	383
RGS17_35178	RGS17	31
MYLIP_36530	MYLIP	48
IL36RN_35128	IL36RN	21
DVL2_5188	DVL2	130
TMEM64_64060	TMEM64	94
TPRG1_68150	TPRG1	70
EIF4H_20226	EIF4H	41
ZNF358_60822	ZNF358	187
CSNK1G1_39711	CSNK1G1	134
Non-Targeting Control_76475	Non-Targeting Control	236
CYP39A1_38426	CYP39A1	123
PAX9_13355	PAX9	37
ECSIT_38397	ECSIT	209
RIPPLY1_56123	RIPPLY1	93
AGER_497	AGER	50
RHBDF2_49519	RHBDF2	31
Non-Targeting Control_77032	Non-Targeting Control	398
H2BFWT_63259	H2BFWT	51
ZBED4_26317	ZBED4	135
HABP2_8143	HABP2	33
NOTUM_61736	NOTUM	109
IGFL2_61896	IGFL2	84
Non-Targeting Control_76664	Non-Targeting Control	335
PGM2L1_67255	PGM2L1	244
IRF5_9715	IRF5	190
OPA1_13039	OPA1	25
GATA3_6916	GATA3	112
IFNE_68721	IFNE	146
GPR174_53902	GPR174	78
TCEAL7_44434	TCEAL7	365
GFRA4_47358	GFRA4	167
DRAM1_42357	DRAM1	32
MIF_11492	MIF	34
TSC22D2_26077	TSC22D2	51
RUSC1_33340	RUSC1	128
FAM13B_38440	FAM13B	87
Non-Targeting Control_77357	Non-Targeting Control	412
TET1_51094	TET1	202
MIER3_63929	MIER3	31
GTPBP3_54086	GTPBP3	130
ABLIM3_31116	ABLIM3	56
SPRY4_51956	SPRY4	247
ERVV-1_61809	ERVV-1	237
TRIM37_11932	TRIM37	36
HES4_46403	HES4	45
SNTB1_17914	SNTB1	98
TBC1D2B_31742	TBC1D2B	21
ACKR1_6678	ACKR1	76
SHC3_39577	SHC3	78
RIMBP2_32969	RIMBP2	32
AGO2_35719	AGO2	64
RPN1_16480	RPN1	19
STXBP5_60319	STXBP5	33
MGMT_11455	MGMT	179
NIN_38114	NIN	46
MOB1A_42023	MOB1A	155
MAGEC1_26529	MAGEC1	101
ZBTB8B_74576	ZBTB8B	149
LRRC31_49926	LRRC31	130
FOXL2NB_72347	FOXL2NB	40
GRK7_59999	GRK7	37
MYH2_12026	MYH2	66
KRTAP22-2_75660	KRTAP22-2	139
CRYL1_37740	CRYL1	32
PCYT1B_24925	PCYT1B	287
MTCL1_32250	MTCL1	240
Non-Targeting Control_76626	Non-Targeting Control	645
NUDT16L1_53433	NUDT16L1	109
RAB3IP_57923	RAB3IP	161
PRAMEF1_48436	PRAMEF1	283
ARAF_1058	ARAF	123
ZP2_20903	ZP2	63
MORN5_66533	MORN5	129
LRP1_10786	LRP1	11
CACNA2D4_56549	CACNA2D4	73
CLCN4_3353	CLCN4	120
TEX33_68998	TEX33	122
TPBGL_75935	TPBGL	86
PCDHGC5_43876	PCDHGC5	94
VGLL1_38775	VGLL1	216
LHB_10622	LHB	163
CEBPA_3004	CEBPA	172
HOXB3_8686	HOXB3	146
TRPV2_38684	TRPV2	89
PQLC2L_62612	PQLC2L	206
GPLD1_7478	GPLD1	66
KCNQ2_10124	KCNQ2	84
OR52E6_71597	OR52E6	163
IER2_25318	IER2	80
FAM214B_51009	FAM214B	40
SH3BP4_33460	SH3BP4	111
MRPS11_48296	MRPS11	72
MYO3B_60827	MYO3B	65
Non-Targeting Control_76832	Non-Targeting Control	444
TAF15_21340	TAF15	21
