sgRNA	Gene	Clip2_6_E6_survival_BC20_IGO_09496_12_S12
ACAP3_57858	ACAP3	39
USP2_23863	USP2	82
NRCAM_12841	NRCAM	186
BMPER_64033	BMPER	81
Non-Targeting Control_76595	Non-Targeting Control	679
PRNP_14978	PRNP	30
RAB9A_24620	RAB9A	44
LDHAL6A_63313	LDHAL6A	22
PRR23A_74960	PRR23A	167
RUNX3_2416	RUNX3	43
CRELD1_48623	CRELD1	15
FRMD3_66842	FRMD3	31
ZBED4_26317	ZBED4	185
PASD1_60662	PASD1	109
NDFIP1_51323	NDFIP1	47
MNDA_11660	MNDA	171
IL1RAP_9387	IL1RAP	141
ZNF805_71889	ZNF805	67
BAHD1_31140	BAHD1	47
IQSEC1_26443	IQSEC1	95
STX7_21882	STX7	87
NMNAT1_48109	NMNAT1	24
PABPC1L2B_74062	PABPC1L2B	53
DFNB59_73441	DFNB59	49
LEKR1_71317	LEKR1	75
NFAM1_62329	NFAM1	51
EPB41L4B_40253	EPB41L4B	89
ZXDB_63203	ZXDB	161
PCIF1_47185	PCIF1	136
OGDHL_43258	OGDHL	12
Non-Targeting Control_77056	Non-Targeting Control	366
SYCE3_73921	SYCE3	90
GRAP2_24725	GRAP2	63
BMP3_1780	BMP3	207
FAM155B_35597	FAM155B	103
NFE2L2_12517	NFE2L2	47
SRRD_72540	SRRD	107
ZNF518A_26178	ZNF518A	165
ZFYVE28_46364	ZFYVE28	127
SLC23A3_62485	SLC23A3	102
Non-Targeting Control_76904	Non-Targeting Control	241
NUCKS1_47904	NUCKS1	129
USP17L7_72012	USP17L7	130
PTGDR2_30601	PTGDR2	80
NCEH1_45815	NCEH1	81
TNFRSF12A_38523	TNFRSF12A	134
COX6B2_58982	COX6B2	227
PRSS41_70225	PRSS41	80
ACE2_46732	ACE2	79
ZNF771_38531	ZNF771	119
APOD_981	APOD	34
Non-Targeting Control_76452	Non-Targeting Control	333
CCDC142_54299	CCDC142	58
ARHGAP24_52164	ARHGAP24	50
RBP4_15947	RBP4	23
CT45A5_73157	CT45A5	85
USF1_20048	USF1	31
TFRC_19068	TFRC	75
TRIML1_69068	TRIML1	128
SLC20A1_17678	SLC20A1	68
SPRR1A_18099	SPRR1A	154
MRE11A_11739	MRE11A	15
FAM170B_64132	FAM170B	37
USP15_26565	USP15	58
ZNF200_20806	ZNF200	49
SRGAP1_45715	SRGAP1	46
FGF11_6273	FGF11	133
TALDO1_18694	TALDO1	28
HAT1_22184	HAT1	30
SLC26A9_57404	SLC26A9	200
ERMAP_57148	ERMAP	18
SCTR_16950	SCTR	47
MYLK4_69107	MYLK4	196
CNTFR_3538	CNTFR	55
HEPN1_73668	HEPN1	131
PLSCR1_14219	PLSCR1	54
MYO16_31501	MYO16	121
MSL3_29616	MSL3	46
SLC25A51_56092	SLC25A51	59
ASB14_61114	ASB14	81
SFTPB_17226	SFTPB	104
SIM1_17379	SIM1	24
MDH1B_59865	MDH1B	155
C6orf118_63985	C6orf118	107
VAC14_43064	VAC14	60
TMEM194B_75360	TMEM194B	93
SLC6A16_36244	SLC6A16	68
CATIP_70464	CATIP	28
GUCY1A2_7988	GUCY1A2	43
PREPL_25280	PREPL	54
ZNF513_59832	ZNF513	180
WDR73_54560	WDR73	11
SYT17_39447	SYT17	80
Non-Targeting Control_76549	Non-Targeting Control	400
CAPN11_30213	CAPN11	46
Non-Targeting Control_77398	Non-Targeting Control	552
PHF21A_38483	PHF21A	24
MTHFD1L_34035	MTHFD1L	70
DEFB125_66176	DEFB125	33
SIDT2_37768	SIDT2	151
SRI_18170	SRI	109
DSG2_5090	DSG2	103
APOBEC3B_25281	APOBEC3B	210
Non-Targeting Control_77360	Non-Targeting Control	289
Non-Targeting Control_76550	Non-Targeting Control	362
PCDHB14_43953	PCDHB14	79
PRKAA1_14764	PRKAA1	37
FRA10AC1_58094	FRA10AC1	163
SIAE_39894	SIAE	26
ELFN2_57217	ELFN2	325
TNIP3_50393	TNIP3	57
USP22_32465	USP22	117
MED13_26599	MED13	104
C11orf49_48936	C11orf49	59
CATSPERG_46458	CATSPERG	81
KIN_31308	KIN	147
CCL16_17002	CCL16	127
CD164_22905	CD164	120
DDIT3_4622	DDIT3	59
Non-Targeting Control_77394	Non-Targeting Control	573
TACSTD2_10914	TACSTD2	32
VPS36_37588	VPS36	32
MKX_67184	MKX	31
AVPR2_1533	AVPR2	218
ZSWIM3_61002	ZSWIM3	38
Non-Targeting Control_77294	Non-Targeting Control	318
KCNJ10_10056	KCNJ10	19
ZNF26_20531	ZNF26	95
Non-Targeting Control_76556	Non-Targeting Control	421
SCML2_27919	SCML2	268
B3GALT6_59232	B3GALT6	108
AMT_758	AMT	42
CCR8_3468	CCR8	123
RPGRIP1L_32451	RPGRIP1L	39
OR2F2_60404	OR2F2	96
PRAMEF12_71898	PRAMEF12	54
GUCD1_52279	GUCD1	214
ZNF827_62666	ZNF827	94
ITPA_9860	ITPA	33
Non-Targeting Control_76479	Non-Targeting Control	363
HIST1H1T_8103	HIST1H1T	28
EI24_25150	EI24	16
SIGLEC15_67707	SIGLEC15	52
TNFRSF1B_19386	TNFRSF1B	82
EVC2_60107	EVC2	19
CBY3_74070	CBY3	37
C4orf46_64933	C4orf46	132
CHST11_37246	CHST11	147
ACSS2_43697	ACSS2	6
DCAF10_49141	DCAF10	37
SMR3A_35322	SMR3A	153
OVGP1_13152	OVGP1	16
GPR87_39655	GPR87	25
TMPRSS3_47896	TMPRSS3	146
C1orf68_75199	C1orf68	87
CPAMD8_35694	CPAMD8	52
RFTN2_59784	RFTN2	44
VPREB1_20182	VPREB1	88
KIAA1191_45213	KIAA1191	84
SNX29_56094	SNX29	28
TAS2R30_67001	TAS2R30	75
ZNF619_68085	ZNF619	42
C11orf24_39660	C11orf24	256
CDK11B_2784	CDK11B	46
TRH_19575	TRH	121
CTNND1_4218	CTNND1	120
ANXA8_74252	ANXA8	376
NEUROG3_37316	NEUROG3	21
ENPEP_5602	ENPEP	45
CHD9_50902	CHD9	145
CES3_32935	CES3	62
HNRNPAB_8584	HNRNPAB	27
PSG11_15133	PSG11	140
Non-Targeting Control_76464	Non-Targeting Control	456
PEX2_15588	PEX2	114
NSUN5_43055	NSUN5	45
KRT82_10411	KRT82	76
SMARCAD1_44569	SMARCAD1	103
GNG11_7380	GNG11	67
RNF135_53337	RNF135	40
HS6ST3_67066	HS6ST3	32
ZSCAN4_64906	ZSCAN4	66
Non-Targeting Control_76860	Non-Targeting Control	269
IL20_37249	IL20	403
CACNG8_46746	CACNG8	10
CELSR1_25385	CELSR1	47
ZNF787_59071	ZNF787	160
ANKRD30B_70333	ANKRD30B	206
RHBDD3_33774	RHBDD3	30
FBXO32_57355	FBXO32	169
FAM25A_73753	FAM25A	211
Non-Targeting Control_77214	Non-Targeting Control	601
THUMPD3_34079	THUMPD3	143
KCTD6_64769	KCTD6	144
