sgRNA	Gene	Clip2_6_E6_survival_BC20_IGO_09496_12_S12
FER_6216	FER	75
FAHD2B_62496	FAHD2B	90
NFKBIL1_12560	NFKBIL1	81
C1QL1_29420	C1QL1	25
TCHH_19155	TCHH	57
CCP110_25802	CCP110	94
RPL36A_16454	RPL36A	38
DGCR6L_54826	DGCR6L	133
GPD1_7467	GPD1	33
ARRDC3_45847	ARRDC3	141
GSTM2_7893	GSTM2	14
ANKRD35_62061	ANKRD35	132
EGLN1_40282	EGLN1	66
ANXA5_840	ANXA5	110
DUSP12_30646	DUSP12	30
DFNA5_4726	DFNA5	54
C2orf15_62361	C2orf15	13
RAB1A_15634	RAB1A	55
MEST_11382	MEST	82
PLA1A_38606	PLA1A	70
NTN4_46740	NTN4	85
CMTM2_61549	CMTM2	60
TGIF2LX_55392	TGIF2LX	103
PIM3_72797	PIM3	153
SNTA1_17909	SNTA1	81
GPRASP2_57366	GPRASP2	50
PPFIBP1_22094	PPFIBP1	23
SP110_9188	SP110	64
ANKH_44106	ANKH	177
GAB4_59645	GAB4	188
PLN_14186	PLN	161
PRPS2_15016	PRPS2	80
EDAR_29526	EDAR	66
SLC35G2_51249	SLC35G2	26
NPHP4_67053	NPHP4	46
SHC2_33650	SHC2	58
PI4K2A_42454	PI4K2A	127
LDHC_10561	LDHC	88
STYXL1_39240	STYXL1	58
ASB1_39262	ASB1	113
APCDD1_61786	APCDD1	306
Non-Targeting Control_76973	Non-Targeting Control	391
G2E3_42868	G2E3	47
FTHL17_39705	FTHL17	147
OR6K2_51572	OR6K2	74
ZGPAT_53850	ZGPAT	34
LRRC56_57487	LRRC56	135
KRT71_56857	KRT71	25
TYR_19789	TYR	49
MTMR14_47752	MTMR14	30
C19orf68_70389	C19orf68	205
1-Dec_37242	1-Dec	176
NHLRC2_70255	NHLRC2	36
CLK3_3400	CLK3	159
GDF2_7027	GDF2	33
ARMCX6_40010	ARMCX6	56
ZMAT2_62792	ZMAT2	76
RNF225_74143	RNF225	59
RGPD1_72323	RGPD1	39
LYZL4_59929	LYZL4	62
FLT3_6476	FLT3	84
TMEM8C_71503	TMEM8C	216
PPCS_49730	PPCS	35
CDK7_2919	CDK7	7
RIPK1_22840	RIPK1	61
AFF2_6513	AFF2	168
BPY2_23805	BPY2	154
GADD45G_29519	GADD45G	75
PTEN_15316	PTEN	131
MCTS1_36300	MCTS1	154
IL1RAPL1_30246	IL1RAPL1	149
USF2_20049	USF2	42
CLEC3B_19353	CLEC3B	61
CDKN2D_2951	CDKN2D	100
CAMSAP2_32301	CAMSAP2	10
ZNF547_67728	ZNF547	91
FAM193A_22412	FAM193A	85
ANP32E_51786	ANP32E	45
Non-Targeting Control_77408	Non-Targeting Control	274
PCYT1B_24926	PCYT1B	95
CEBPE_3015	CEBPE	27
NKX6-2_53700	NKX6-2	117
SLC25A53_72493	SLC25A53	238
GJD2_45383	GJD2	238
HTR2A_9034	HTR2A	44
TRH_19574	TRH	239
RNF115_35868	RNF115	107
PCDHB11_43963	PCDHB11	87
Non-Targeting Control_76622	Non-Targeting Control	303
NCOR2_25364	NCOR2	113
KCNJ10_10053	KCNJ10	61
LRRC2_49231	LRRC2	11
COMMD1_62379	COMMD1	70
FUNDC2_48570	FUNDC2	29
NRBP2_69159	NRBP2	37
HHLA3_30270	HHLA3	133
CEBPB_3008	CEBPB	173
POMT2_36898	POMT2	66
MYBPH_11989	MYBPH	49
KCNJ14_10069	KCNJ14	25
Non-Targeting Control_77053	Non-Targeting Control	211
SDHAF3_44825	SDHAF3	26
AMTN_72367	AMTN	79
MT1HL1_74026	MT1HL1	108
TBC1D8B_40894	TBC1D8B	110
PGAP2_36008	PGAP2	87
ZNF552_50040	ZNF552	57
TBX20_44912	TBX20	50
MAS1_11137	MAS1	53
SYN1_18568	SYN1	133
GLIPR1L1_66802	GLIPR1L1	64
UNC93A_39863	UNC93A	98
SLC25A35_72089	SLC25A35	250
TMCC2_26402	TMCC2	27
Non-Targeting Control_77055	Non-Targeting Control	312
Non-Targeting Control_76732	Non-Targeting Control	204
AP3B2_21315	AP3B2	41
AKAP14_63223	AKAP14	199
ZFAND3_47026	ZFAND3	75
C3orf14_45452	C3orf14	52
OR12D3_51925	OR12D3	51
IL13RA1_9515	IL13RA1	167
SNAI2_17735	SNAI2	90
CDK20_33144	CDK20	28
CXorf56_47173	CXorf56	232
NR2E1_19296	NR2E1	16
PPAPDC1A_64372	PPAPDC1A	129
GUCD1_52282	GUCD1	78
C15orf39_44534	C15orf39	33
TMEM30B_63416	TMEM30B	38
WNK2_48511	WNK2	66
SIT1_35846	SIT1	17
EFEMP2_37031	EFEMP2	40
OR4E2_35254	OR4E2	88
CD300A_30728	CD300A	29
PTPRCAP_15473	PTPRCAP	53
CEP83_37923	CEP83	52
PPM1K_62726	PPM1K	82
WNK2_48513	WNK2	119
RINL_59163	RINL	109
SLCO1C1_39696	SLCO1C1	49
ZNF391_69726	ZNF391	49
PSD3_32582	PSD3	321
CD302_26490	CD302	168
CCKBR_2472	CCKBR	14
FGF6_6256	FGF6	42
MAGEB16_60732	MAGEB16	236
HFE2_62057	HFE2	82
OR51S1_58173	OR51S1	56
HBP1_35334	HBP1	86
IGF1R_9296	IGF1R	161
PTPRZ1_15527	PTPRZ1	48
LMX1A_10730	LMX1A	196
SAP30L_49631	SAP30L	292
HSPG2_8994	HSPG2	138
AIMP1_24322	AIMP1	141
CATSPER2_57903	CATSPER2	28
ZNF750_49862	ZNF750	102
PDE1C_13497	PDE1C	66
ATG14_31033	ATG14	38
PABPC4L_60068	PABPC4L	37
VGLL1_38775	VGLL1	172
SEMA3D_66095	SEMA3D	33
GPR39_7620	GPR39	93
C4orf45_62732	C4orf45	111
SDPR_21924	SDPR	39
ICAM3_9101	ICAM3	166
RPP30_28476	RPP30	29
AP3S2_27473	AP3S2	55
CLASP1_32483	CLASP1	111
SLC26A2_5115	SLC26A2	102
LRRTM4_50668	LRRTM4	41
GCSAM_66867	GCSAM	254
ZNF787_59069	ZNF787	345
SYNJ2_23250	SYNJ2	29
ENOX2_28289	ENOX2	245
TIGD7_55752	TIGD7	29
GABRG1_6782	GABRG1	209
HDHD1_21437	HDHD1	165
SKIDA1_70796	SKIDA1	37
HCCS_8227	HCCS	281
FOXQ1_56734	FOXQ1	70
CASK_22367	CASK	82
SUSD3_65089	SUSD3	78
TVP23C-CDRT4_76178	TVP23C-CDRT4	45
MIR1-1HG_59613	MIR1-1HG	54
OR2C1_13083	OR2C1	100
C7orf71_68309	C7orf71	57
KMT2A_11547	KMT2A	38
KAZN_32244	KAZN	138
KRTAP4-2_54772	KRTAP4-2	96
CASR_2379	CASR	32
KCTD12_57435	KCTD12	173
GCSAML_62082	GCSAML	60
C1orf233_73883	C1orf233	28
Non-Targeting Control_76784	Non-Targeting Control	220
CENPV_64826	CENPV	70
FAM133A_68466	FAM133A	102
Non-Targeting Control_76753	Non-Targeting Control	468
AQP12A_70471	AQP12A	90
SRSF3_17200	SRSF3	47
FAM181A_55281	FAM181A	281
DEFB119_66160	DEFB119	81
MPRIP_31924	MPRIP	93
FILIP1L_30624	FILIP1L	49
C1orf177_63713	C1orf177	29
PHF21B_56887	PHF21B	96
HGS_24020	HGS	21
SPATA32_58814	SPATA32	19
TMEM248_41471	TMEM248	101
HS1BP3_47653	HS1BP3	80
NUDT7_67540	NUDT7	107
SLFN13_61689	SLFN13	27
KNG1_10243	KNG1	44
CLIC3_23612	CLIC3	53
SHISA5_38229	SHISA5	71
RBMX2_39184	RBMX2	64
NANOS3_69474	NANOS3	22
CCKAR_2466	CCKAR	78
PDGFD_51083	PDGFD	110
SYK_18561	SYK	88
SKAP1_22493	SKAP1	186
CMTM1_57021	CMTM1	116
TADA2B_56565	TADA2B	259
LMO4_22267	LMO4	180
CCDC79_67506	CCDC79	10
C20orf173_61038	C20orf173	122
PAPL_71883	PAPL	77
ARL6IP5_28451	ARL6IP5	74
ELOVL7_50548	ELOVL7	15
C4orf22_66572	C4orf22	94
OLFML2B_34040	OLFML2B	42
YTHDF1_40984	YTHDF1	114
SLC16A12_70809	SLC16A12	138
SNX13_31914	SNX13	66
APOBEC3B_25283	APOBEC3B	117
C9orf91_65063	C9orf91	104
EIF4E3_68510	EIF4E3	163
Non-Targeting Control_76828	Non-Targeting Control	280
PSMD12_15280	PSMD12	35
SPDEF_33758	SPDEF	95
ANKRD44_55875	ANKRD44	62
AGO4_64346	AGO4	110
SLMO1_28795	SLMO1	39
SCML1_16871	SCML1	130
SLC16A7_24147	SLC16A7	62
IL6ST_9444	IL6ST	25
FAM155B_35598	FAM155B	42
SPTSSB_63851	SPTSSB	17
ALB_591	ALB	108
HLA-DQB1_8426	HLA-DQB1	341
RUFY2_43011	RUFY2	28
YTHDF3_66365	YTHDF3	41
Non-Targeting Control_76849	Non-Targeting Control	268
BCAM_10872	BCAM	80
GPR17_7542	GPR17	30
IRGC_44198	IRGC	75
RLN2_16170	RLN2	53
ZNF678_68975	ZNF678	231
LOC388780_71189	LOC388780	19
NR4A1_8529	NR4A1	24
RAC3_15713	RAC3	83
OR13C3_60622	OR13C3	269
TM2D3_50930	TM2D3	73
TEX37_64728	TEX37	55
RASGEF1C_66624	RASGEF1C	35
TARP_73308	TARP	168
C19orf43_48677	C19orf43	111
C11orf65_63310	C11orf65	50
BMX_1814	BMX	36
MAP10_40347	MAP10	92
DECR1_4676	DECR1	104
MRPL32_48333	MRPL32	7
HARBI1_67292	HARBI1	152
PRSS46_75615	PRSS46	123
ARMS2_70821	ARMS2	34
FDCSP_67044	FDCSP	42
CHD1_3122	CHD1	234
SLC9A2_17590	SLC9A2	110
NLRC4_46545	NLRC4	94
CDH17_2890	CDH17	55
Non-Targeting Control_77224	Non-Targeting Control	105
ZPLD1_59925	ZPLD1	70
TCEAL5_69205	TCEAL5	32
Non-Targeting Control_77006	Non-Targeting Control	358
CREB1_3860	CREB1	34
Non-Targeting Control_77129	Non-Targeting Control	241
Non-Targeting Control_77250	Non-Targeting Control	246
NAB2_12168	NAB2	83
LANCL1_27721	LANCL1	69
NPHP1_12774	NPHP1	33
YWHAQ_29716	YWHAQ	39
Non-Targeting Control_76814	Non-Targeting Control	247
CCDC6_21204	CCDC6	204
SLC38A3_29782	SLC38A3	56
MOSPD1_44108	MOSPD1	186
Non-Targeting Control_77392	Non-Targeting Control	380
GMEB1_28923	GMEB1	10
PDE4B_13517	PDE4B	167
Non-Targeting Control_76830	Non-Targeting Control	362
CREBBP_3867	CREBBP	30
CD69_2739	CD69	159
BLCAP_29495	BLCAP	349
TRAK2_48607	TRAK2	52
PTPRN_15506	PTPRN	37
TMC6_30759	TMC6	52
SPAG17_64668	SPAG17	105
DDAH2_33187	DDAH2	43
SNRPB_17871	SNRPB	194
Non-Targeting Control_77081	Non-Targeting Control	223
BHLHA15_64031	BHLHA15	72
PDCD4_35885	PDCD4	48
PSPH_15293	PSPH	226
C11orf16_44368	C11orf16	105
MAP7D3_49512	MAP7D3	83
UBTF_19899	UBTF	153
SIGLEC12_55175	SIGLEC12	106
HMGN2_8495	HMGN2	49
TMEM178B_75963	TMEM178B	68
TTC8_58570	TTC8	67
PKN3_36844	PKN3	197
OR10C1_73247	OR10C1	48
ZNF730_75217	ZNF730	125
PLCXD3_69692	PLCXD3	73
MBNL1_11186	MBNL1	36
GPR153_70771	GPR153	27
MTM1_11874	MTM1	102
FZD5_21005	FZD5	96
DOCK11_60765	DOCK11	101
EDA2R_46855	EDA2R	168
RHBDD1_53184	RHBDD1	71
PIWIL3_73013	PIWIL3	71
E2F2_5205	E2F2	38
FNBP1_31577	FNBP1	111
GRM5_7801	GRM5	71
PLP2_14203	PLP2	295
IFI44L_29695	IFI44L	33
PRR11_43326	PRR11	72
ZNF641_58356	ZNF641	40
GRIA1_7708	GRIA1	60
GSC_61394	GSC	116
NDRG3_45463	NDRG3	37
NAT8L_69074	NAT8L	123
Non-Targeting Control_77303	Non-Targeting Control	388
CNRIP1_34108	CNRIP1	17
NOP58_39115	NOP58	1
PKN3_36846	PKN3	131
SPIRE1_44542	SPIRE1	89
GLDN_69362	GLDN	129
FRMD7_55334	FRMD7	98
FCRL1_57466	FCRL1	19
NCAN_4102	NCAN	58
C1orf111_67961	C1orf111	48
QPCT_33731	QPCT	37
MED8_56905	MED8	17
NUDT9_39544	NUDT9	54
CCL20_17020	CCL20	36
OR7E24_35228	OR7E24	38
MLLT11_29690	MLLT11	68
ASIC4_42591	ASIC4	41
OR52H1_71583	OR52H1	138
CLPS_3418	CLPS	64
SPACA5_71512	SPACA5	148
CHST1_22230	CHST1	49
LRAT_24239	LRAT	22
ZNF735_75070	ZNF735	60
KDELR1_29623	KDELR1	21
1-Sep_4774	1-Sep	63
PDZD11_38235	PDZD11	61
GOLM1_38340	GOLM1	44
EPHA6_68069	EPHA6	206
ZNF292_31538	ZNF292	100
FOXI3_69594	FOXI3	53
SPNS1_52733	SPNS1	135
CYP2C9_4375	CYP2C9	17
ORAI2_50968	ORAI2	152
RRP36_55076	RRP36	7
TRNP1_71114	TRNP1	165
LOC400927-CSNK1E_76434	LOC400927-CSNK1E	191
MATN2_11160	MATN2	80
CCDC85C_68550	CCDC85C	53
VPS13A_32155	VPS13A	35
SLTM_50011	SLTM	90
PTS_15531	PTS	21
WFDC9_66961	WFDC9	147
ELOVL7_50549	ELOVL7	30
ZNF583_61915	ZNF583	152
Non-Targeting Control_76561	Non-Targeting Control	415
OR2J3_73237	OR2J3	66
GFRA4_47357	GFRA4	41
HAT1_22181	HAT1	201
TBK1_36511	TBK1	37
KIAA0196_26348	KIAA0196	73
ZSWIM2_62440	ZSWIM2	68
DNAJC25_73536	DNAJC25	38
ADCY10_43458	ADCY10	75
APOB_956	APOB	61
Non-Targeting Control_77375	Non-Targeting Control	296
Non-Targeting Control_76777	Non-Targeting Control	276
NFATC3_12502	NFATC3	90
OR4K2_71776	OR4K2	114
RRAS2_30864	RRAS2	191
GPR34_7602	GPR34	89
ZNF765_55936	ZNF765	66
TRIP12_24475	TRIP12	508
AGMAT_50026	AGMAT	40
EML1_5540	EML1	29
VEGFA_20129	VEGFA	105
CFL1_3066	CFL1	275
Non-Targeting Control_77406	Non-Targeting Control	406
OTOA_61534	OTOA	10
KNCN_62094	KNCN	45
Non-Targeting Control_76974	Non-Targeting Control	377
C4orf33_60057	C4orf33	27
MAK16_53793	MAK16	10
CBR1_2444	CBR1	43
MAPK8_14901	MAPK8	86
Non-Targeting Control_77353	Non-Targeting Control	266
TRAK2_48608	TRAK2	127
GNA13_28880	GNA13	154
KRT75_23916	KRT75	52
CLDN19_62171	CLDN19	78
LAMB3_10485	LAMB3	181
BOD1L2_67704	BOD1L2	43
PNMT_14306	PNMT	96
CASP7_2356	CASP7	32
CLEC16A_32308	CLEC16A	170
TAS2R7_37389	TAS2R7	75
Non-Targeting Control_76536	Non-Targeting Control	422
CCDC120_55284	CCDC120	99
ZNF680_69122	ZNF680	19
NMNAT2_31600	NMNAT2	93
PCGF5_53518	PCGF5	77
AKR1E2_52248	AKR1E2	204
Non-Targeting Control_77296	Non-Targeting Control	295
PRDM6_56461	PRDM6	129
PASD1_60661	PASD1	68
Non-Targeting Control_77151	Non-Targeting Control	393
Non-Targeting Control_77395	Non-Targeting Control	426
H2AFB1_73361	H2AFB1	6
SLC22A23_47031	SLC22A23	7
CCDC8_52740	CCDC8	50
IRX6_49117	IRX6	161
C1orf185_67924	C1orf185	223
FAM19A5_33793	FAM19A5	71
GALNT15_57955	GALNT15	85
HAMP_46416	HAMP	105
ARSE_1211	ARSE	22
CIC_31888	CIC	157
B4GALT4_22723	B4GALT4	26
ATG10_52442	ATG10	40
ZNF276_56365	ZNF276	48
NABP2_48772	NABP2	16
EIF2AK3_24870	EIF2AK3	135
ZNRF3_52963	ZNRF3	105
Non-Targeting Control_76733	Non-Targeting Control	330
P3H3_28409	P3H3	101
HIST1H3I_21715	HIST1H3I	63
TM2D3_50927	TM2D3	23
OR1Q1_63120	OR1Q1	113
SNX9_38741	SNX9	72
CARD14_48925	CARD14	58
ANXA2R_71346	ANXA2R	12
Non-Targeting Control_76666	Non-Targeting Control	244
Non-Targeting Control_76793	Non-Targeting Control	160
SAMD5_71396	SAMD5	48
TIGD4_64944	TIGD4	43
MAPK9_14910	MAPK9	39
TMEM104_40830	TMEM104	43
LGALS16_61931	LGALS16	37
MAST4_70497	MAST4	33
Non-Targeting Control_76859	Non-Targeting Control	350
AKAP6_24937	AKAP6	136
SORCS1_57253	SORCS1	46
CD101_24712	CD101	20
NHLH2_12599	NHLH2	113
RASL12_38362	RASL12	128
FAM196B_75405	FAM196B	79
AGAP6_72757	AGAP6	332
HSPA1L_8931	HSPA1L	42
RUFY4_68049	RUFY4	145
NUDT10_64205	NUDT10	323
PIK3CB_13973	PIK3CB	229
MKRN1_33303	MKRN1	116
KRTAP4-3_54767	KRTAP4-3	247
TP53I13_55390	TP53I13	61
TMEM128_54721	TMEM128	84
HPRT1_8810	HPRT1	130
Non-Targeting Control_77054	Non-Targeting Control	234
JAG1_509	JAG1	44
LZIC_53496	LZIC	107
STX3_18442	STX3	27
F2RL3_23577	F2RL3	34
AP5Z1_26387	AP5Z1	112
TRIM50_60374	TRIM50	95
CHST2_24813	CHST2	51
REL_15981	REL	64
COL6A5_66704	COL6A5	83
SLAMF6_57289	SLAMF6	28
CCL2_16964	CCL2	71
Non-Targeting Control_77332	Non-Targeting Control	314
C20orf141_59589	C20orf141	90
SDHD_17097	SDHD	58
FAM159A_69952	FAM159A	90
DNAH5_4881	DNAH5	40
PECAM1_13648	PECAM1	166
USP44_52905	USP44	37
ZNF677_69458	ZNF677	57
C8orf31_68358	C8orf31	42
LRP5L_55807	LRP5L	60
DESI2_37592	DESI2	30
GPR182_30743	GPR182	39
HRASLS2_41207	HRASLS2	118
TAS2R1_37378	TAS2R1	154
EYA1_5920	EYA1	128
SPRY4_51958	SPRY4	16
AMER1_60686	AMER1	236
PRPS1L1_65889	PRPS1L1	326
UMODL1_55094	UMODL1	43
Non-Targeting Control_76676	Non-Targeting Control	272
ANKRD39_38215	ANKRD39	26
ARNTL_1177	ARNTL	149
Non-Targeting Control_76705	Non-Targeting Control	444
FAM156A_36355	FAM156A	88
C6orf223_65785	C6orf223	62
SCEL_23001	SCEL	48
MAPRE3_31245	MAPRE3	26
MSI2_58765	MSI2	267
DDX39B_21083	DDX39B	67
FYN_6687	FYN	30
OR14I1_72535	OR14I1	156
BRE_25266	BRE	33
CD6_2581	CD6	27
GPSM1_34531	GPSM1	39
FAM35A_40176	FAM35A	148
P4HB_13219	P4HB	49
SLC17A7_44867	SLC17A7	62
Non-Targeting Control_76824	Non-Targeting Control	299
ZNF777_35702	ZNF777	44
ZNF205_20814	ZNF205	15
PRRX1_14290	PRRX1	100
PRG4_27391	PRG4	60
SRD5A3_49492	SRD5A3	43
SPATA2_26098	SPATA2	78
INPP5J_35625	INPP5J	184
Non-Targeting Control_76897	Non-Targeting Control	189
MAP3K15_71506	MAP3K15	112
KRTAP1-5_52643	KRTAP1-5	218
GPR35_7605	GPR35	233
MAGEA6_11020	MAGEA6	78
SLMO1_28796	SLMO1	97
KAT2A_7000	KAT2A	68
ZCCHC9_53193	ZCCHC9	1
CLN8_5703	CLN8	61
CPVL_40095	CPVL	53
PIK3CB_13976	PIK3CB	115
IRG1_75062	IRG1	49
DAPL1_56148	DAPL1	153
TACR2_18604	TACR2	31
GZMM_8079	GZMM	60
PIK3C3_13965	PIK3C3	39
NRK_65107	NRK	136
DBNDD1_48697	DBNDD1	58
CFAP70_58049	CFAP70	59
TBL1X_18758	TBL1X	200
CPNE4_59904	CPNE4	186
AMDHD1_61285	AMDHD1	110
SLC9B2_60141	SLC9B2	87
ZNF638_36042	ZNF638	14
PDCD4_35886	PDCD4	85
DOCK2_4964	DOCK2	94
FGF12_6278	FGF12	116
SFTPA1_74338	SFTPA1	128
CEP68_31978	CEP68	187
BANF1_23072	BANF1	177
CDH9_2864	CDH9	97
PLEKHB2_41411	PLEKHB2	67
RBM47_40088	RBM47	54
PPP1R14D_40819	PPP1R14D	145
AVP_1524	AVP	68
GPR108_44610	GPR108	75
HOXA7_8656	HOXA7	59
ADAMTS17_64218	ADAMTS17	84
OR10S1_65419	OR10S1	38
AGER_499	AGER	212
KRBA1_53868	KRBA1	91
OPRD1_13056	OPRD1	20
LTF_10864	LTF	39
DEPDC4_58297	DEPDC4	85
FMN1_69380	FMN1	35
ACOT2_29700	ACOT2	178
LRRTM2_34431	LRRTM2	74
C5orf47_60162	C5orf47	162
ZFYVE28_46365	ZFYVE28	9
SOX10_17995	SOX10	83
MELK_26131	MELK	125
PAAF1_50965	PAAF1	113
SHCBP1L_51832	SHCBP1L	25
BTAF1_23673	BTAF1	132
OR2T10_59294	OR2T10	116
OR1L3_35280	OR1L3	69
C19orf81_69456	C19orf81	95
