sgRNA	Gene	Clip2_5_DE_GFP_low_BC18_IGO_09496_10_S10
KIF20B_25296	KIF20B	39
CACNG7_46748	CACNG7	34
Non-Targeting Control_76579	Non-Targeting Control	604
FAM222A_54470	FAM222A	6
FXYD2_1364	FXYD2	165
ZNF735_75070	ZNF735	70
SLC15A5_74821	SLC15A5	77
SLC25A12_22414	SLC25A12	221
GOT2_7436	GOT2	91
SRL_16953	SRL	61
LRRC72_75869	LRRC72	126
RDH5_15967	RDH5	112
C3orf56_68099	C3orf56	145
MICB_11483	MICB	147
KCNE5_33361	KCNE5	210
C11orf45_65387	C11orf45	118
CT47A10_74533	CT47A10	72
Non-Targeting Control_76809	Non-Targeting Control	147
SUSD3_65091	SUSD3	68
IGFBP5_9326	IGFBP5	70
Non-Targeting Control_77350	Non-Targeting Control	273
WWC3_43546	WWC3	77
PGM2L1_67256	PGM2L1	62
F11R_37407	F11R	53
GALNT7_39517	GALNT7	20
SYNC_51607	SYNC	24
NMRK1_41218	NMRK1	45
DOK5_43476	DOK5	145
NYX_46932	NYX	115
OR5AN1_71690	OR5AN1	24
1-Dec_37241	1-Dec	183
ZNF432_25547	ZNF432	93
ACTL10_64162	ACTL10	106
HSPA12A_66941	HSPA12A	57
GPR39_7620	GPR39	97
PTPN9_15437	PTPN9	96
ERMP1_50458	ERMP1	64
TRPM3_50656	TRPM3	15
USP49_33933	USP49	14
PARP2_26789	PARP2	27
RNF219_49354	RNF219	84
CXorf57_41523	CXorf57	119
IPMK_66298	IPMK	13
TBC1D12_32165	TBC1D12	55
KAAG1_70122	KAAG1	80
GPR52_24413	GPR52	149
UBXN1_37610	UBXN1	9
ZNF292_31536	ZNF292	105
SLC23A3_62486	SLC23A3	72
DOC2B_21957	DOC2B	112
TOR1A_5198	TOR1A	77
AZGP1_1544	AZGP1	104
RPP38_28479	RPP38	41
ZAN_20218	ZAN	113
PRND_33356	PRND	81
LXN_44599	LXN	128
MYO3B_60827	MYO3B	60
KLRK1_31211	KLRK1	24
CNOT11_42684	CNOT11	50
LYPD1_57737	LYPD1	173
CFHR4_29402	CFHR4	127
SASH3_39931	SASH3	182
SPRY3_27521	SPRY3	69
RUSC1_33342	RUSC1	104
CEP295NL_76220	CEP295NL	30
GSTCD_50002	GSTCD	51
MERTK_28160	MERTK	109
CBLN1_2434	CBLN1	136
FAM65C_61041	FAM65C	116
CC2D2A_45798	CC2D2A	72
LIPA_10675	LIPA	36
LTA_10829	LTA	67
FKBP10_47012	FKBP10	85
TRIM22_27819	TRIM22	94
OR2A1_69751	OR2A1	278
RIN1_25353	RIN1	42
RNF183_60549	RNF183	234
HUNK_37063	HUNK	25
PAX9_13356	PAX9	24
PBX1_13357	PBX1	121
ITPR3_9882	ITPR3	6
MTFR1_25488	MTFR1	46
GLYR1_53948	GLYR1	15
FXYD6_39624	FXYD6	114
TEK_18974	TEK	22
VSIG1_69209	VSIG1	105
JAM2_46583	JAM2	67
ELMOD1_42619	ELMOD1	51
PLAC4_64320	PLAC4	77
TMC5_50103	TMC5	29
Non-Targeting Control_77316	Non-Targeting Control	206
RBM41_42200	RBM41	51
ZNF107_38731	ZNF107	99
ZBED9_57262	ZBED9	121
KATNAL2_52158	KATNAL2	15
Non-Targeting Control_77289	Non-Targeting Control	434
CDHR5_39667	CDHR5	22
Non-Targeting Control_76907	Non-Targeting Control	199
Non-Targeting Control_77130	Non-Targeting Control	245
DECR1_4675	DECR1	217
MFRP_52237	MFRP	33
HSPA12A_66942	HSPA12A	37
PRR19_67751	PRR19	25
SLC38A9_62745	SLC38A9	142
RASGRF2_15869	RASGRF2	30
CDV3_42694	CDV3	102
COX6B2_58983	COX6B2	187
OLIG1_57772	OLIG1	168
ZNF101_56661	ZNF101	43
ACP2_161	ACP2	11
WASL_23519	WASL	41
DHRSX_65193	DHRSX	76
KIF21B_31567	KIF21B	74
CRCT1_40206	CRCT1	122
FLYWCH2_57381	FLYWCH2	99
MS4A14_54036	MS4A14	78
TMEM179_70924	TMEM179	56
ZXDB_63203	ZXDB	170
SPINT3_29262	SPINT3	71
DNAJC18_64973	DNAJC18	52
KCNS2_10136	KCNS2	119
PTPRM_15504	PTPRM	11
PTK2B_6060	PTK2B	53
CBR3_2448	CBR3	47
TEPP_70318	TEPP	57
TRMT1_42826	TRMT1	25
MARVELD1_52456	MARVELD1	159
LGI3_65057	LGI3	22
ARID4B_39414	ARID4B	66
SLC39A9_42366	SLC39A9	65
EPHA2_5432	EPHA2	83
TRPC5OS_75761	TRPC5OS	83
SLC9C1_68114	SLC9C1	155
PARS2_34229	PARS2	50
TNFRSF18_22959	TNFRSF18	49
CYP51A1_4461	CYP51A1	38
PLK2_29118	PLK2	26
DNPH1_28603	DNPH1	27
AGPAT9_54201	AGPAT9	79
PPM1K_62728	PPM1K	40
MTRNR2L8_75799	MTRNR2L8	258
PTGDS_15323	PTGDS	75
PTPN23_34119	PTPN23	11
ADAM17_18615	ADAM17	79
RRBP1_16638	RRBP1	54
TMEM102_67653	TMEM102	188
NELFA_20253	NELFA	16
NTNG1_31009	NTNG1	167
URGCP-MRPS24_76196	URGCP-MRPS24	102
EPHA4_5653	EPHA4	110
ARID4B_39411	ARID4B	42
HS3ST3B1_26551	HS3ST3B1	28
KRTAP13-1_60778	KRTAP13-1	97
PCGF5_53517	PCGF5	50
USP48_53101	USP48	26
RNF149_68012	RNF149	32
CAPZA1_2310	CAPZA1	135
SAFB_16789	SAFB	22
CP_3759	CP	297
CCDC120_55285	CCDC120	141
METTL18_56215	METTL18	69
FBXO36_59886	FBXO36	253
MECP2_11311	MECP2	71
MRPL41_48311	MRPL41	41
HDHD3_52060	HDHD3	44
RNF141_37440	RNF141	83
Non-Targeting Control_76599	Non-Targeting Control	271
CSMD1_47812	CSMD1	63
KRT76_38577	KRT76	86
KDM6B_31828	KDM6B	46
OR1J4_34763	OR1J4	37
INVS_35646	INVS	44
RNF26_48951	RNF26	140
HBS1L_29108	HBS1L	62
ZFP41_68362	ZFP41	171
COPS5_29766	COPS5	40
KATNAL1_52783	KATNAL1	53
TIGIT_64929	TIGIT	67
SPIN2B_73346	SPIN2B	114
CHKA_3170	CHKA	20
BRPF1_21015	BRPF1	60
XAGE5_64196	XAGE5	61
SLC6A7_17538	SLC6A7	81
TIE1_19197	TIE1	80
PAQR5_40769	PAQR5	61
KLF3_38320	KLF3	109
UGGT2_43271	UGGT2	34
LRRC74B_72299	LRRC74B	40
ARHGEF38_40753	ARHGEF38	48
CARD6_53997	CARD6	82
MROH8_60909	MROH8	71
LCNL1_72483	LCNL1	34
FRRS1_71917	FRRS1	38
ZC3H15_43585	ZC3H15	55
SETD7_51445	SETD7	29
POTEC_71035	POTEC	20
NPHP4_67054	NPHP4	57
VCX3B_72808	VCX3B	33
DUSP1_5144	DUSP1	44
DPP9_55712	DPP9	18
Non-Targeting Control_77364	Non-Targeting Control	357
RASSF1_30417	RASSF1	123
TSC22D3_5100	TSC22D3	260
CLEC12B_70872	CLEC12B	46
AGFG2_8835	AGFG2	109
GPR78_35796	GPR78	27
NMUR2_44591	NMUR2	26
LOC100130370_75285	LOC100130370	40
FAM9A_64290	FAM9A	56
HSD11B1_8878	HSD11B1	65
RNF175_68191	RNF175	114
TMEM37_60960	TMEM37	29
SLC35F2_40454	SLC35F2	133
YTHDC1_55975	YTHDC1	11
ARFGEF2_28505	ARFGEF2	140
TTLL12_31947	TTLL12	29
NAALADL2_66511	NAALADL2	88
ZNF221_20621	ZNF221	84
TRAPPC12_37850	TRAPPC12	86
ZNF529_46303	ZNF529	154
ILVBL_29793	ILVBL	69
RCVRN_15961	RCVRN	63
ARMC1_41747	ARMC1	83
C17orf47_67626	C17orf47	99
C10orf142_75298	C10orf142	134
IGLL1_9355	IGLL1	51
COG6_45685	COG6	206
RABL3_68095	RABL3	43
MACC1_69739	MACC1	18
WNT5B_51482	WNT5B	145
SCAF4_45534	SCAF4	156
FUNDC2_48567	FUNDC2	15
C8B_2027	C8B	137
ESM1_30070	ESM1	136
DISC1_35771	DISC1	113
MXD3_52143	MXD3	39
REXO4_45004	REXO4	87
CD53_2717	CD53	54
FIBP_24056	FIBP	116
CHST3_24929	CHST3	73
MSL2_41783	MSL2	65
IPO9_43095	IPO9	59
DNAJC28_41084	DNAJC28	46
HIST2H2BF_72985	HIST2H2BF	21
TCF15_18854	TCF15	98
USP35_45837	USP35	43
CREB3L4_62009	CREB3L4	38
KCTD1_67693	KCTD1	106
MFSD6L_63508	MFSD6L	96
RAB10_29443	RAB10	65
ATIC_1309	ATIC	61
ACSS3_49387	ACSS3	127
PML_14256	PML	96
NAGA_12174	NAGA	39
RXRB_16685	RXRB	63
NR2C1_19543	NR2C1	53
MSTN_7032	MSTN	53
ACP5_166	ACP5	230
LYPD8_74116	LYPD8	42
OR13C3_60623	OR13C3	93
MUTYH_11943	MUTYH	46
ESPNL_69015	ESPNL	69
OTUB2_48638	OTUB2	53
RBMXL1_73414	RBMXL1	27
RAB6B_39033	RAB6B	60
SYN1_18566	SYN1	114
KLF14_60420	KLF14	21
Non-Targeting Control_76551	Non-Targeting Control	362
NDST4_47833	NDST4	17
CDPF1_62339	CDPF1	131
C16orf92_61575	C16orf92	90
ZNF497_63584	ZNF497	191
SEC22C_23908	SEC22C	126
PLSCR2_44890	PLSCR2	56
SLC16A13_64855	SLC16A13	70
IL13RA1_9513	IL13RA1	100
SLC27A3_29803	SLC27A3	84
SPRED1_63456	SPRED1	116
PPME1_38700	PPME1	5
CPN2_3812	CPN2	65
Non-Targeting Control_76894	Non-Targeting Control	283
NDUFAF5_48965	NDUFAF5	117
Non-Targeting Control_77079	Non-Targeting Control	222
Non-Targeting Control_77137	Non-Targeting Control	221
TMEM241_54738	TMEM241	58
OAZ1_12978	OAZ1	26
SCGB2B2_67831	SCGB2B2	71
P3H4_28656	P3H4	30
CAPN10_30217	CAPN10	148
MON2_31558	MON2	32
RHOBTB1_26312	RHOBTB1	133
BTNL2_44138	BTNL2	58
Non-Targeting Control_76785	Non-Targeting Control	370
ZNF446_42964	ZNF446	57
BTNL9_62808	BTNL9	80
GLIPR2_62600	GLIPR2	15
ST8SIA3_37619	ST8SIA3	34
Non-Targeting Control_77292	Non-Targeting Control	269
DHX34_25678	DHX34	7
C19orf45_70355	C19orf45	55
BSPRY_40716	BSPRY	64
ABCB6_26865	ABCB6	19
LAMB3_10486	LAMB3	52
SUZ12_33002	SUZ12	95
Non-Targeting Control_77374	Non-Targeting Control	212
PDCD4_35886	PDCD4	81
CSRP3_21227	CSRP3	45
C2orf66_72329	C2orf66	28
CCDC77_53468	CCDC77	38
SMYD1_62358	SMYD1	157
POU3F4_14459	POU3F4	140
KDM4E_71721	KDM4E	78
ZNF804B_65324	ZNF804B	201
PRAMEF11_72955	PRAMEF11	71
CD52_2978	CD52	123
MGAT1_11422	MGAT1	23
GLB1_7193	GLB1	82
ANAPC10_27934	ANAPC10	84
FERMT1_42794	FERMT1	103
AGR2_28453	AGR2	97
WISP1_23161	WISP1	68
C9orf69_55303	C9orf69	39
ACTR3B_45217	ACTR3B	65
SIAH3_67397	SIAH3	12
FNDC9_72727	FNDC9	42
HEATR9_66831	HEATR9	17
ZNF729_75598	ZNF729	294
MED12_26593	MED12	176
KIAA0430_25535	KIAA0430	19
CDRT4_67604	CDRT4	41
CLDN8_23769	CLDN8	53
CCDC108_66564	CCDC108	101
SPACA1_51935	SPACA1	55
SELPLG_17136	SELPLG	84
LAMB3_10487	LAMB3	354
LOC100129083_75177	LOC100129083	30
CD59_2728	CD59	135
C11orf71_40064	C11orf71	92
SYNPO_30842	SYNPO	20
NOLC1_24230	NOLC1	20
SLC7A11_33431	SLC7A11	19
HYI_52020	HYI	101
KRTAP1-1_51970	KRTAP1-1	104
MBD3L2_58999	MBD3L2	75
CDC6_2800	CDC6	102
PRR15L_49060	PRR15L	97
FRAT2_32704	FRAT2	83
OR13C5_60614	OR13C5	24
CLDN20_37187	CLDN20	173
TYROBP_19800	TYROBP	107
USP27X_71513	USP27X	120
TMEM210_75855	TMEM210	50
MFSD9_54203	MFSD9	27
BRD9_48528	BRD9	17
LMNB1_10710	LMNB1	56
S100A4_16727	S100A4	122
VWA3B_64710	VWA3B	71
BORA_50194	BORA	48
PSMC3IP_36718	PSMC3IP	22
VKORC1L1_62925	VKORC1L1	54
RNF180_68256	RNF180	36
GAL3ST1_25064	GAL3ST1	35
OR10A5_61269	OR10A5	75
HSD3B2_8876	HSD3B2	50
ZNF630_45337	ZNF630	50
MGST1_11462	MGST1	21
ZNF485_65650	ZNF485	82
PPP2R5E_14659	PPP2R5E	65
ZC3HAV1L_56104	ZC3HAV1L	81
GTF3C2_7983	GTF3C2	35
Non-Targeting Control_77347	Non-Targeting Control	406
CD47_2712	CD47	176
CLASP1_32484	CLASP1	186
LPIN3_48233	LPIN3	59
MIF_11490	MIF	104
IZUMO1R_71719	IZUMO1R	137
NAT14_44997	NAT14	76
CTTNBP2_52757	CTTNBP2	25
ARRB2_1189	ARRB2	22
PRRT4_72425	PRRT4	134
FAM210A_58931	FAM210A	119
CDK15_48381	CDK15	35
RPRML_71013	RPRML	44
METTL24_74708	METTL24	106
Non-Targeting Control_76735	Non-Targeting Control	260
LCK_10530	LCK	102
Non-Targeting Control_77284	Non-Targeting Control	149
HMBOX1_49406	HMBOX1	51
Non-Targeting Control_76567	Non-Targeting Control	286
ADGRL1_31019	ADGRL1	97
ZIC3_20450	ZIC3	146
ZFYVE19_54538	ZFYVE19	23
MAP2K6_14939	MAP2K6	18
DNASE1_4898	DNASE1	93
CADM3_46482	CADM3	22
GABRG1_6782	GABRG1	245
CT45A3_73154	CT45A3	171
ROCK1_16239	ROCK1	153
NDUFC2_12358	NDUFC2	30
LILRA6_49057	LILRA6	98
GPRC5B_39341	GPRC5B	85
NLRP1_31023	NLRP1	27
Non-Targeting Control_77438	Non-Targeting Control	322
ZNF771_38532	ZNF771	48
ZNF781_63640	ZNF781	109
GOLT1A_59440	GOLT1A	95
BRD4_32909	BRD4	55
CELF6_47001	CELF6	14
ZBTB8B_74576	ZBTB8B	113
ERBB4_5740	ERBB4	43
CLEC2A_70865	CLEC2A	109
BRI3BP_60925	BRI3BP	46
SLC25A40_43814	SLC25A40	44
LIX1_63956	LIX1	36
BCAT1_1612	BCAT1	42
MAPK8IP2_33103	MAPK8IP2	14
MRGPRX1_66965	MRGPRX1	102
SNX16_47331	SNX16	142
SPA17_39537	SPA17	39
IFNGR2_9276	IFNGR2	13
FAM92B_68856	FAM92B	49
EIF1_27364	EIF1	60
PRDX6_25306	PRDX6	75
ZFAND3_47024	ZFAND3	51
ZNF713_69998	ZNF713	138
RNF166_57607	RNF166	69
FOXB1_35425	FOXB1	55
SDHAF1_73898	SDHAF1	210
PPP1R36_61409	PPP1R36	92
PLA2G2C_71916	PLA2G2C	37
ARX_64128	ARX	171
MATK_11149	MATK	190
C6orf118_63986	C6orf118	40
SLC39A8_47416	SLC39A8	36
MED9_41535	MED9	52
NIN_38114	NIN	57
CA9_2127	CA9	47
CHCHD10_72302	CHCHD10	76
NOX4_37222	NOX4	78
MED14OS_76246	MED14OS	105
BAMBI_33764	BAMBI	25
CITED2_27873	CITED2	79
FAN1_31200	FAN1	74
CLEC2L_62915	CLEC2L	44
TAS2R38_15305	TAS2R38	53
ZNF7_20467	ZNF7	87
C14orf169_49670	C14orf169	62
BSPH1_75355	BSPH1	108
C4B_1989	C4B	11
WNT9B_20310	WNT9B	61
GIT1_36231	GIT1	48
NAT6_33613	NAT6	82
AIFM3_62275	AIFM3	59
CHRNB4_3253	CHRNB4	49
DTD1_56305	DTD1	22
MCM4_11244	MCM4	33
MSRA_11787	MSRA	62
CELSR3_5370	CELSR3	15
CD48_2714	CD48	324
NUDT5_30332	NUDT5	55
WDR19_46352	WDR19	92
SENP8_58601	SENP8	70
PITRM1_28396	PITRM1	194
IRF5_9715	IRF5	140
PRRG4_48822	PRRG4	145
PEX26_42994	PEX26	164
LOXL2_10757	LOXL2	66
VASH1_30980	VASH1	53
C9orf78_39445	C9orf78	53
GDNF-AS1_76236	GDNF-AS1	77
HEATR5B_40078	HEATR5B	56
ONECUT1_8562	ONECUT1	41
CLPTM1_3424	CLPTM1	88
NPY4R_14702	NPY4R	64
MPPE1_48486	MPPE1	21
PTGIR_15352	PTGIR	38
CORO2B_27925	CORO2B	46
ZNF730_75219	ZNF730	92
OR10AD1_58360	OR10AD1	73
FAM19A1_72707	FAM19A1	114
NPAP1_33507	NPAP1	36
Non-Targeting Control_76611	Non-Targeting Control	391
SGK2_27038	SGK2	82
SYT5_18589	SYT5	63
EFNB1_5355	EFNB1	61
MMP19_11642	MMP19	15
STBD1_23530	STBD1	38
C17orf102_72226	C17orf102	28
GATA4_6918	GATA4	114
CDC37L1_42968	CDC37L1	15
USP17L11_75589	USP17L11	111
C7orf60_62910	C7orf60	28
PVRL4_51770	PVRL4	88
CSHL1_4048	CSHL1	124
POU6F1_14481	POU6F1	17
C3orf79_62626	C3orf79	106
TUBB1_51475	TUBB1	114
SLC36A4_58221	SLC36A4	65
RTN3_27718	RTN3	70
RBM11_39732	RBM11	60
ARHGAP6_1137	ARHGAP6	188
DOCK7_54924	DOCK7	50
GRIN1_7754	GRIN1	18
ODF4_61681	ODF4	36
CTNNA2_4208	CTNNA2	87
ACVR2A_232	ACVR2A	65
CTAGE8_75517	CTAGE8	257
ABRA_60493	ABRA	78
SHROOM4_45575	SHROOM4	173
COL6A3_3602	COL6A3	19
PATE1_63305	PATE1	71
MAP1LC3B2_73762	MAP1LC3B2	18
ZXDA_20915	ZXDA	43
SLC39A7_21092	SLC39A7	50
CX3CR1_4291	CX3CR1	83
FGFBP3_61162	FGFBP3	23
FUT1_6641	FUT1	17
C19orf47_59175	C19orf47	47
CPA2_3765	CPA2	34
CRISP3_27746	CRISP3	123
NKX6-1_12641	NKX6-1	22
OR6N2_51567	OR6N2	128
ZNF585B_56178	ZNF585B	104
MUM1L1_60678	MUM1L1	162
ALG12_48903	ALG12	63
AMMECR1_26539	AMMECR1	87
WNT10B_20296	WNT10B	57
RBM47_40090	RBM47	132
PDCD6_26744	PDCD6	7
ELAVL1_5492	ELAVL1	60
HLA-C_8388	HLA-C	23
MTRF1L_40128	MTRF1L	48
BHLHA9_74499	BHLHA9	79
HCCS_8225	HCCS	530
LRP5_10805	LRP5	50
CYP4F8_30704	CYP4F8	121
DACH2_57897	DACH2	149
PARS2_34228	PARS2	21
TAGLN3_36519	TAGLN3	44
ZNF16_20494	ZNF16	111
PLEKHG4_34007	PLEKHG4	59
ROPN1B_62604	ROPN1B	42
CYB5R1_39349	CYB5R1	38
TMEM120B_61323	TMEM120B	37
ATP6V1E2_55474	ATP6V1E2	64
CTIF_26046	CTIF	52
LURAP1_73504	LURAP1	126
CCDC47_44831	CCDC47	39
SMYD3_47953	SMYD3	128
Non-Targeting Control_77064	Non-Targeting Control	187
PLEKHH1_45569	PLEKHH1	29
BMP8A_70177	BMP8A	33
RHD_16135	RHD	132
Non-Targeting Control_77387	Non-Targeting Control	243
MED12L_57846	MED12L	71
BRIP1_52754	BRIP1	36
TMEM129_56198	TMEM129	79
NOSIP_37688	NOSIP	103
NPY_12727	NPY	102
ZMYND10_38600	ZMYND10	67
OR52D1_71579	OR52D1	43
LCOR_53655	LCOR	70
ANKRD31_66692	ANKRD31	38
KCNMB2_27485	KCNMB2	117
SUSD2_44124	SUSD2	38
AZIN1_39077	AZIN1	28
DCD_57916	DCD	115
C10orf82_61166	C10orf82	290
PBLD_47315	PBLD	40
IL1RAPL1_30243	IL1RAPL1	235
LPIN1_31970	LPIN1	129
PDZD4_45969	PDZD4	121
NDUFA7_12290	NDUFA7	73
FSCB_52861	FSCB	86
NEUROG3_37318	NEUROG3	69
TMEM249_69168	TMEM249	65
A1BG_1	A1BG	99
PPP1R13B_32601	PPP1R13B	44
PCDHGB5_43892	PCDHGB5	45
GAPDHS_34988	GAPDHS	78
TMEM150A_59683	TMEM150A	57
NEURL1B_40060	NEURL1B	151
VN1R1_45256	VN1R1	56
UTP20_36068	UTP20	6
ANKH_44103	ANKH	68
OR1K1_72039	OR1K1	65
CDC42EP1_30225	CDC42EP1	68
ABCC2_3482	ABCC2	18
WASL_23520	WASL	53
HTR7_9063	HTR7	41
SPRY4_51956	SPRY4	217
C20orf196_62231	C20orf196	22
FAM69B_60582	FAM69B	92
NKX2-6_60504	NKX2-6	140
ATP2A3_1375	ATP2A3	92
Non-Targeting Control_76543	Non-Targeting Control	296
Non-Targeting Control_77318	Non-Targeting Control	109
OR2G6_71976	OR2G6	83
C3orf38_68077	C3orf38	80
NFAM1_62332	NFAM1	97
LMBR1L_43128	LMBR1L	13
SUSD5_34391	SUSD5	74
MMP20_24449	MMP20	86
TTPAL_49102	TTPAL	57
KDM1B_65851	KDM1B	87
NUMBL_24313	NUMBL	150
PATE3_75530	PATE3	114
INSL5_26767	INSL5	195
RIPK4_39767	RIPK4	170
FMR1NB_63194	FMR1NB	99
Non-Targeting Control_77351	Non-Targeting Control	285
ARL8B_41929	ARL8B	59
DAG1_4487	DAG1	90
MCCD1_72389	MCCD1	45
RNF144A_25956	RNF144A	39
TRIM54_45165	TRIM54	76
PIGS_56628	PIGS	26
KLHL29_57258	KLHL29	19
SLC26A8_57736	SLC26A8	129
LRRC8A_44184	LRRC8A	120
ACYP1_246	ACYP1	20
RACGAP1_36567	RACGAP1	19
TRMT2B_50514	TRMT2B	59
TMC2_57980	TMC2	25
ZPLD1_59927	ZPLD1	181
ARIH2_28043	ARIH2	27
OAT_12969	OAT	12
H2AFY2_42566	H2AFY2	29
LACE1_66220	LACE1	32
Non-Targeting Control_77033	Non-Targeting Control	283
HIP1R_23627	HIP1R	22
ERRFI1_39817	ERRFI1	78
PRSS45_70592	PRSS45	88
CXorf36_49818	CXorf36	109
SDHAF1_73901	SDHAF1	69
MAGI3_67030	MAGI3	93
Non-Targeting Control_77395	Non-Targeting Control	313
DNAJB7_62313	DNAJB7	56
PAGE5_55614	PAGE5	99
FAM114A1_56310	FAM114A1	50
SLC25A42_67875	SLC25A42	23
UCHL5_38639	UCHL5	37
BMPR2_1812	BMPR2	21
TMEM9_66245	TMEM9	109
LRRC4_47374	LRRC4	12
SPINK4_35942	SPINK4	8
C17orf62_49226	C17orf62	87
CHAD_3105	CHAD	88
RHOB_1111	RHOB	18
MUC6_11923	MUC6	14
FOXD3_35421	FOXD3	125
NELFE_21102	NELFE	100
S100P_16772	S100P	103
MRLN_75931	MRLN	181
MTMR6_23879	MTMR6	11
DVL1_5184	DVL1	58
GOLGA5_26544	GOLGA5	34
ACTL8_51715	ACTL8	56
FADS1_10687	FADS1	38
SPINK9_73796	SPINK9	69
DBNL_36314	DBNL	89
BIRC7_49240	BIRC7	58
NSMCE2_68342	NSMCE2	10
IQCF5_71289	IQCF5	67
POMT1_28580	POMT1	18
CDYL_24798	CDYL	40
ADAM9_22889	ADAM9	53
CLK4_45406	CLK4	91
CST9_59609	CST9	113
KLF4_24453	KLF4	18
OSBPL8_57310	OSBPL8	30
CLEC4D_68720	CLEC4D	48
MKRN2_33309	MKRN2	25
LEF1_38048	LEF1	36
CLUL1_35568	CLUL1	62
CCDC79_67508	CCDC79	89
Non-Targeting Control_76537	Non-Targeting Control	257
NECAB2_40221	NECAB2	20
EPG5_46344	EPG5	31
UBE4A_24579	UBE4A	31
ZNF496_54263	ZNF496	110
Non-Targeting Control_77086	Non-Targeting Control	167
RIPPLY3_39616	RIPPLY3	117
C2orf70_69020	C2orf70	13
PSG11_15133	PSG11	200
CHAC2_73427	CHAC2	62
UBD_28416	UBD	74
CYB561D1_67937	CYB561D1	107
MEIOB_66483	MEIOB	96
HYAL3_21783	HYAL3	10
ZBTB26_46210	ZBTB26	25
GEMIN8_41140	GEMIN8	38
PGP_67528	PGP	158
SLC38A6_61414	SLC38A6	30
RAET1G_70046	RAET1G	22
PRKAR2B_14814	PRKAR2B	150
SPRR1B_18101	SPRR1B	26
PDILT_65142	PDILT	66
TBC1D8_30238	TBC1D8	50
GALNT13_57249	GALNT13	29
IFNA16_9244	IFNA16	106
FAM65C_61043	FAM65C	41
RAB11FIP2_30965	RAB11FIP2	48
PMCH_14245	PMCH	15
APOL3_51420	APOL3	118
HCAR3_23174	HCAR3	50
CISH_3288	CISH	99
CHRFAM7A_55144	CHRFAM7A	6
CLDN17_34950	CLDN17	55
C11orf73_38887	C11orf73	112
CYB5A_4303	CYB5A	140
LSR_39109	LSR	187
EFCAB5_70327	EFCAB5	28
GPR108_44608	GPR108	115
GNB4_46799	GNB4	31
CPSF4L_73725	CPSF4L	62
IL17A_9540	IL17A	81
SLBP_21051	SLBP	35
SLC9A5_17599	SLC9A5	25
ALS2CL_66929	ALS2CL	22
KRTAP19-2_68646	KRTAP19-2	82
POTEE_73322	POTEE	138
XRCC2_20366	XRCC2	32
TMEM251_34723	TMEM251	62
ZCCHC6_49579	ZCCHC6	16
ELL2_31287	ELL2	46
FABP12_74098	FABP12	73
PI16_65816	PI16	50
SCARA3_38756	SCARA3	82
RABL2B_30308	RABL2B	10
APBB1_892	APBB1	65
MIS18A_39754	MIS18A	73
OR2B3_73233	OR2B3	82
KRCC1_38475	KRCC1	61
VAV1_20092	VAV1	290
MRFAP1_56561	MRFAP1	43
MMP17_11638	MMP17	91
LMO1_10714	LMO1	155
SLC17A8_66212	SLC17A8	5
Non-Targeting Control_77132	Non-Targeting Control	260
ILDR1_68483	ILDR1	37
RBMY1J_70639	RBMY1J	5
PGLYRP2_57163	PGLYRP2	77
UBE2D4_39157	UBE2D4	24
EARS2_58743	EARS2	39
PAFAH1B3_13254	PAFAH1B3	56
MYRIP_34097	MYRIP	139
MAMSTR_67788	MAMSTR	101
SYTL1_54614	SYTL1	56
TXNRD3NB_74042	TXNRD3NB	49
TP53I11_25147	TP53I11	29
STRA8_69768	STRA8	158
ZC2HC1A_37806	ZC2HC1A	8
4-Sep_14321	4-Sep	138
RD3_69482	RD3	55
RAB41_69842	RAB41	176
NLRP7_64565	NLRP7	57
TRIM46_50744	TRIM46	61
GALE_6823	GALE	59
DDX53_63999	DDX53	84
ITGB1BP1_24363	ITGB1BP1	78
GIPC2_40633	GIPC2	46
FAM117A_51687	FAM117A	69
LRP2_10790	LRP2	154
TRIM33_39093	TRIM33	117
APOPT1_53519	APOPT1	32
TADA2B_56566	TADA2B	156
PFN2_13773	PFN2	80
IBSP_9087	IBSP	228
LBX1_28836	LBX1	17
NR1H3_26883	NR1H3	167
GFPT1_7070	GFPT1	39
CYFIP2_35379	CYFIP2	24
TMEM108_48592	TMEM108	40
DEFB110_66134	DEFB110	114
ZSWIM4_48472	ZSWIM4	137
NTMT1_36315	NTMT1	58
FHL3_6340	FHL3	46
Non-Targeting Control_76538	Non-Targeting Control	337
NEDD9_12421	NEDD9	30
ACOT1_73650	ACOT1	33
SEC14L2_33099	SEC14L2	76
TMEM80_67271	TMEM80	69
PIP_14015	PIP	79
DMRTC2_47204	DMRTC2	25
Non-Targeting Control_77294	Non-Targeting Control	281
LRRC70_75309	LRRC70	67
Non-Targeting Control_76847	Non-Targeting Control	62
CCR5_3456	CCR5	59
MRAP2_56817	MRAP2	126
PLCXD3_69692	PLCXD3	38
RASL11A_70766	RASL11A	24
SLIT3_17722	SLIT3	50
KAT6B_33041	KAT6B	30
HIST1H4E_21765	HIST1H4E	256
VRK1_20190	VRK1	52
ZNF546_68915	ZNF546	63
MAPK14_4004	MAPK14	96
RABL6_43023	RABL6	74
NTNG2_53875	NTNG2	60
LOC653602_74362	LOC653602	171
ARMCX1_38453	ARMCX1	31
PKD1L2_57172	PKD1L2	93
MDK_11287	MDK	59
RNF114_43704	RNF114	5
ZNF77_46576	ZNF77	83
