sgRNA	Gene	Clip2_3_NE_GFP_low_BC14_IGO_09496_6_S6
SLC2A14_61289	SLC2A14	84
ORAI3_56452	ORAI3	121
IZUMO2_59044	IZUMO2	84
MORN5_66533	MORN5	196
CD59_2726	CD59	132
UQCRH_20034	UQCRH	260
OLFM3_58011	OLFM3	123
TMTC1_52539	TMTC1	41
RGPD5_53141	RGPD5	80
CEP85_48079	CEP85	32
TRPV5_44225	TRPV5	41
TMEM107_53454	TMEM107	335
LRRC55_65301	LRRC55	85
ZFAT_46056	ZFAT	82
GRK6_7642	GRK6	66
DSCAML1_45488	DSCAML1	74
ARHGDIA_1144	ARHGDIA	41
OR2AG2_68799	OR2AG2	18
SSB_18245	SSB	39
ZAP70_20410	ZAP70	84
CDK2_2899	CDK2	27
TLX3_37047	TLX3	399
TPRX1_67782	TPRX1	142
SLC6A2_17522	SLC6A2	82
THBS2_19143	THBS2	131
OR8K5_65262	OR8K5	123
ZNF821_42671	ZNF821	65
UBALD1_58727	UBALD1	309
TSKS_46848	TSKS	215
Non-Targeting Control_77237	Non-Targeting Control	252
SURF4_18521	SURF4	50
HSPA1L_8931	HSPA1L	60
ALKBH4_40561	ALKBH4	354
ZNF717_75402	ZNF717	71
ANXA6_843	ANXA6	80
ZNF221_20623	ZNF221	87
TEPP_70318	TEPP	79
SUSD4_41443	SUSD4	71
FXYD4_39633	FXYD4	48
ZNF23_20521	ZNF23	218
METTL21B_34011	METTL21B	209
BEX1_43601	BEX1	165
JDP2_58560	JDP2	79
SLC35F3_62054	SLC35F3	123
AGR2_28453	AGR2	160
GSTZ1_7914	GSTZ1	112
ZNF747_48555	ZNF747	199
ALAD_580	ALAD	91
SS18L1_34420	SS18L1	287
Non-Targeting Control_77295	Non-Targeting Control	447
ANKRD62_69424	ANKRD62	175
STAG3_29017	STAG3	60
GABRE_6780	GABRE	54
LUM_10873	LUM	50
G0S2_37202	G0S2	190
EMC8_27771	EMC8	145
MSRB1_39398	MSRB1	252
CYB5R1_39350	CYB5R1	160
TENM1_27264	TENM1	249
OCSTAMP_59566	OCSTAMP	195
Non-Targeting Control_76594	Non-Targeting Control	838
IL13_9511	IL13	200
ABL2_76	ABL2	97
COL6A5_66703	COL6A5	109
TBCCD1_41798	TBCCD1	144
CA13_70600	CA13	187
IRAK1_9681	IRAK1	255
GSTP1_7912	GSTP1	117
CACNA1I_23385	CACNA1I	25
FAM160A1_74987	FAM160A1	119
RAB3GAP2_33697	RAB3GAP2	57
TMEM150C_73046	TMEM150C	114
SPATA6L_41455	SPATA6L	42
HCST_29376	HCST	84
SYVN1_53625	SYVN1	88
LYZL4_59930	LYZL4	53
VTCN1_49613	VTCN1	123
MBNL3_43408	MBNL3	152
KDM4D_43051	KDM4D	22
EXOC5_28763	EXOC5	98
PIGP_38182	PIGP	155
ISYNA1_38845	ISYNA1	46
TRIM52_54282	TRIM52	27
CAPN6_2301	CAPN6	363
PIWIL1_24365	PIWIL1	122
NDUFS7_70246	NDUFS7	83
PPP2R5A_14642	PPP2R5A	61
ZCCHC18_73924	ZCCHC18	168
ESRRG_5817	ESRRG	223
CST9_59609	CST9	225
MTRNR2L10_75806	MTRNR2L10	74
TKTL1_21498	TKTL1	200
C10orf142_75297	C10orf142	77
SPECC1_56264	SPECC1	242
OXNAD1_56113	OXNAD1	217
PRRC2B_54116	PRRC2B	315
Non-Targeting Control_76991	Non-Targeting Control	430
TNS3_47970	TNS3	54
CDH5_2846	CDH5	118
SMARCAD1_44570	SMARCAD1	116
TANC2_34592	TANC2	236
FHL3_6337	FHL3	105
CD48_2714	CD48	505
DLGAP3_46643	DLGAP3	43
Non-Targeting Control_76643	Non-Targeting Control	776
SYCE2_66707	SYCE2	80
C16orf70_51016	C16orf70	194
CCRN4L_33799	CCRN4L	65
Non-Targeting Control_76605	Non-Targeting Control	493
EFCC1_50061	EFCC1	104
TAF1L_60594	TAF1L	43
GMFB_7284	GMFB	88
PRKD3_33472	PRKD3	84
PCNX_31393	PCNX	139
STOML3_63387	STOML3	106
FSHB_6593	FSHB	159
ERICH5_65053	ERICH5	66
PACRGL_60125	PACRGL	149
QTRTD1_49644	QTRTD1	76
MTMR4_23885	MTMR4	108
IQCF2_71285	IQCF2	110
PROSC_30478	PROSC	57
ZNF398_45785	ZNF398	47
Non-Targeting Control_77394	Non-Targeting Control	687
CYSLTR1_29203	CYSLTR1	338
CCDC160_69831	CCDC160	164
CNBD2_61076	CNBD2	40
ZNF300_56073	ZNF300	145
XRCC1_20363	XRCC1	63
MARVELD3_56035	MARVELD3	36
ABCA4_61	ABCA4	42
IFT57_41509	IFT57	146
LGALSL_36452	LGALSL	171
SCAMP2_26889	SCAMP2	112
CCDC102A_56388	CCDC102A	71
GPATCH3_47114	GPATCH3	48
HMGCS1_8505	HMGCS1	105
RNF114_43704	RNF114	44
SLC43A1_22114	SLC43A1	110
TMEM101_53528	TMEM101	27
WNK3_48509	WNK3	206
UCKL1_41152	UCKL1	96
TSSC4_26931	TSSC4	99
S1PR2_24419	S1PR2	212
BROX_62019	BROX	119
TGFB2_19087	TGFB2	67
ENDOV_67667	ENDOV	216
PINLYP_71885	PINLYP	108
CETN3_3060	CETN3	329
CUX2_32437	CUX2	484
ABCC6_1055	ABCC6	69
TOMM40_28128	TOMM40	80
TSPAN3_27002	TSPAN3	157
ADGRG7_54332	ADGRG7	209
TNPO2_37023	TNPO2	171
ITGB6_9824	ITGB6	112
GTF2H2_7953	GTF2H2	175
TRPV3_63533	TRPV3	71
EFNA5_5352	EFNA5	104
CELA2B_37606	CELA2B	95
TMEM45B_58234	TMEM45B	43
MMP26_44275	MMP26	129
USP32_53990	USP32	18
TRIM6-TRIM34_73311	TRIM6-TRIM34	91
CD6_2582	CD6	97
ZNF496_54263	ZNF496	255
INTS9_43270	INTS9	143
CYSRT1_70568	CYSRT1	34
KCNN1_10102	KCNN1	31
BMP5_1787	BMP5	113
LOC389895_71525	LOC389895	49
CRYBG3_59957	CRYBG3	62
TBC1D22A_33672	TBC1D22A	109
ARHGAP5_1136	ARHGAP5	120
Non-Targeting Control_77299	Non-Targeting Control	533
POLR2J2_66229	POLR2J2	124
TPMT_19509	TPMT	32
CEP128_61441	CEP128	48
DUSP14_30027	DUSP14	23
TMEM41A_55453	TMEM41A	97
KLHL22_54292	KLHL22	35
CA3_2101	CA3	152
TMEM129_56200	TMEM129	65
KIAA2026_63155	KIAA2026	69
OR52D1_71578	OR52D1	167
ZNF558_61961	ZNF558	242
TMC3_69372	TMC3	99
NTSR2_33334	NTSR2	79
ZNF446_42966	ZNF446	27
TM6SF1_39558	TM6SF1	117
INADL_27354	INADL	150
FAM81B_62814	FAM81B	65
CSRP2_4114	CSRP2	83
SYNJ2BP_42362	SYNJ2BP	34
MFAP2_11398	MFAP2	131
COMMD10_38690	COMMD10	138
CLCA2_25431	CLCA2	66
PPARGC1A_29448	PPARGC1A	37
Non-Targeting Control_76851	Non-Targeting Control	563
SLC29A3_42293	SLC29A3	134
SLITRK3_31039	SLITRK3	75
HDAC11_50258	HDAC11	37
PRR12_45583	PRR12	140
ABRA_60494	ABRA	100
LILRA1_29888	LILRA1	523
HRAS_8821	HRAS	51
SLC29A4_66080	SLC29A4	104
KANK2_34197	KANK2	71
CRACR2B_67266	CRACR2B	47
MAPK15_66100	MAPK15	45
KATNAL2_52156	KATNAL2	76
TMEM105_67677	TMEM105	55
YIPF4_53302	YIPF4	116
ALG1L2_73966	ALG1L2	69
VWA5A_10744	VWA5A	36
ZNF777_35700	ZNF777	23
ERLIN1_28669	ERLIN1	72
Non-Targeting Control_77074	Non-Targeting Control	394
HIST1H3H_21727	HIST1H3H	93
MMP10_11612	MMP10	87
CX3CL1_17058	CX3CL1	121
FBXO33_66418	FBXO33	168
LCE6A_73339	LCE6A	137
KCNIP4_51162	KCNIP4	158
TRAPPC12_37850	TRAPPC12	88
ASCL2_1241	ASCL2	63
PTN_15408	PTN	165
ZNF726_75039	ZNF726	325
SIGLEC7_35454	SIGLEC7	154
CNGA2_3494	CNGA2	107
GJA5_7155	GJA5	111
ZNF213_20826	ZNF213	405
C9orf131_60609	C9orf131	45
VN1R1_45255	VN1R1	124
SLC52A2_49312	SLC52A2	140
CGGBP1_22274	CGGBP1	34
MXD1_10946	MXD1	177
NKAIN3_68383	NKAIN3	74
CDS1_2969	CDS1	41
POFUT2_32313	POFUT2	201
BPY2B_73285	BPY2B	32
CYP1A1_4333	CYP1A1	123
KLF14_60417	KLF14	248
NPBWR2_7519	NPBWR2	116
Non-Targeting Control_76661	Non-Targeting Control	494
ZBED1_24137	ZBED1	80
CRISP3_27748	CRISP3	142
OR4K5_49155	OR4K5	230
TBC1D2B_31741	TBC1D2B	236
MED19_65316	MED19	318
HNRNPR_27463	HNRNPR	151
POLDIP3_53295	POLDIP3	29
FAM163B_73732	FAM163B	136
CLEC4E_34844	CLEC4E	6
GPHB5_58551	GPHB5	40
OR1A1_21793	OR1A1	86
ASCL4_58408	ASCL4	68
OR10H3_35147	OR10H3	101
PPOX_14559	PPOX	83
C4B_1991	C4B	111
GNAS_7331	GNAS	98
TENM3_43120	TENM3	35
TBPL1_25081	TBPL1	90
OGFOD3_49681	OGFOD3	52
IL17RA_33544	IL17RA	98
C7orf25_48730	C7orf25	71
GPATCH11_66324	GPATCH11	131
SEC14L4_67998	SEC14L4	171
KIAA1147_45249	KIAA1147	116
ANKRD11_36552	ANKRD11	93
HMHA1_33051	HMHA1	227
RPUSD4_54356	RPUSD4	60
SCGB2A1_11426	SCGB2A1	225
SEPHS2_31262	SEPHS2	126
FFAR1_7624	FFAR1	106
CHST7_44282	CHST7	238
MUC20_64806	MUC20	74
NAGLU_12180	NAGLU	273
STPG1_55525	STPG1	128
YWHAZ_20406	YWHAZ	123
ARHGEF2_24109	ARHGEF2	123
ADAL_63468	ADAL	119
MB21D1_57399	MB21D1	179
RPL36A_16454	RPL36A	63
SOCS2_23141	SOCS2	104
EHD4_37134	EHD4	155
NEFH_12430	NEFH	60
SPEN_31457	SPEN	263
NOTCH2NL_71152	NOTCH2NL	23
TUSC1_68425	TUSC1	58
HNRNPAB_8581	HNRNPAB	167
SMARCAL1_37195	SMARCAL1	139
ZNF436_51385	ZNF436	44
MTFP1_38981	MTFP1	15
PLK5_59172	PLK5	216
PRSS38_68980	PRSS38	66
NGFR_12589	NGFR	87
KCNK15_46973	KCNK15	32
BTN1A1_1932	BTN1A1	107
SECISBP2_48806	SECISBP2	36
P2RX3_13177	P2RX3	116
BOK_1838	BOK	229
KRT74_58379	KRT74	122
SDC4_17069	SDC4	102
RHOXF1_63227	RHOXF1	369
CDC123_23256	CDC123	53
OR7E24_35227	OR7E24	37
CD200_11692	CD200	103
UNC119_23841	UNC119	42
D2HGDH_74628	D2HGDH	120
CLDN11_13139	CLDN11	56
ZNF697_55671	ZNF697	24
NLRX1_49584	NLRX1	28
LPPR4_26322	LPPR4	157
KRTAP9-8_52665	KRTAP9-8	457
Non-Targeting Control_76931	Non-Targeting Control	237
GOSR2_25246	GOSR2	99
ZNF180_20765	ZNF180	65
Non-Targeting Control_76535	Non-Targeting Control	499
CSAG1_63191	CSAG1	328
SLC10A7_52834	SLC10A7	100
FHIT_6325	FHIT	394
ZNF26_20531	ZNF26	189
PDIK1L_62162	PDIK1L	149
PCDHA5_44036	PCDHA5	73
CEACAM4_3104	CEACAM4	103
NFE2_12511	NFE2	164
SIAH2_17342	SIAH2	32
TGFBR3_19113	TGFBR3	209
PCDHA12_44013	PCDHA12	144
FAN1_31201	FAN1	105
FAIM2_31473	FAIM2	72
CC2D2B_70813	CC2D2B	70
HTR2C_9043	HTR2C	160
PLEKHA2_46775	PLEKHA2	67
C6orf62_51862	C6orf62	162
UAP1_18034	UAP1	284
ZNF658_34666	ZNF658	9
PSMB8_15199	PSMB8	58
CD1B_2535	CD1B	78
RARRES2_15851	RARRES2	282
PCDHGA4_43933	PCDHGA4	35
DEFA5_4692	DEFA5	479
LTBR_10854	LTBR	7
DKKL1_35607	DKKL1	163
MAP3K8_3699	MAP3K8	223
OCA2_12988	OCA2	93
PHOX2B_23430	PHOX2B	146
TMEM35_46824	TMEM35	203
MTSS1L_56131	MTSS1L	190
EIF5A2_44313	EIF5A2	312
SLC25A34_67977	SLC25A34	61
CLDN8_23771	CLDN8	34
CBR4_54317	CBR4	15
NSUN5_43055	NSUN5	128
HEMK1_38709	HEMK1	73
Non-Targeting Control_77108	Non-Targeting Control	259
EPCAM_10923	EPCAM	178
PTPRS_15523	PTPRS	67
CHST1_22232	CHST1	37
C1GALT1C1L_74788	C1GALT1C1L	206
F2RL3_23578	F2RL3	140
ZFP37_20422	ZFP37	69
IRGC_44197	IRGC	133
ADCY7_300	ADCY7	27
PLEKHA7_61257	PLEKHA7	132
CADPS2_56599	CADPS2	244
KRTAP19-7_68667	KRTAP19-7	22
TMEM155_60062	TMEM155	126
PHC3_50596	PHC3	113
LOC400736_72257	LOC400736	483
DNAJA4_42529	DNAJA4	67
SLC10A4_64938	SLC10A4	165
1-Dec_37241	1-Dec	355
DAOA_67101	DAOA	103
INIP_46579	INIP	46
PCK2_13422	PCK2	183
LMX1A_10730	LMX1A	288
ST6GALNAC6_37079	ST6GALNAC6	200
LIX1L_59460	LIX1L	76
LEPR_10580	LEPR	52
SIGLEC8_35763	SIGLEC8	124
SMPD1_17796	SMPD1	41
CALB1_2203	CALB1	391
PTPN20_34561	PTPN20	26
SPG7_18056	SPG7	34
KIF3C_10157	KIF3C	142
Non-Targeting Control_77109	Non-Targeting Control	465
6-Mar_27685	6-Mar	108
HSF4_8911	HSF4	16
ZNF275_29284	ZNF275	130
STX8_24974	STX8	52
Non-Targeting Control_77271	Non-Targeting Control	296
PABPC4L_60066	PABPC4L	154
SPX_51330	SPX	99
PRG3_27940	PRG3	27
TMPO_19337	TMPO	101
C6orf25_51282	C6orf25	149
OSTM1_36230	OSTM1	70
ASAH2_44303	ASAH2	81
SLC25A29_58581	SLC25A29	150
POU5F2_60225	POU5F2	111
ARFGEF3_45309	ARFGEF3	77
DAW1_63798	DAW1	25
HNRNPA0_29642	HNRNPA0	75
PPP2R2B_14627	PPP2R2B	227
DCAF7_27469	DCAF7	146
PRAMEF1_48435	PRAMEF1	20
ZSWIM3_61002	ZSWIM3	35
LEF1_38047	LEF1	57
KIAA0040_25572	KIAA0040	273
ZNF316_75346	ZNF316	67
PSME2_15289	PSME2	191
ZNF347_53992	ZNF347	82
PNCK_60744	PNCK	98
NCAPH2_36613	NCAPH2	202
C11orf65_63312	C11orf65	298
SYDE1_54827	SYDE1	166
Non-Targeting Control_77013	Non-Targeting Control	311
PNP_12753	PNP	26
ABCF2_26877	ABCF2	117
ZFPM2_32747	ZFPM2	137
ARL13B_64780	ARL13B	287
B3GALNT2_62070	B3GALNT2	47
KIAA1147_45250	KIAA1147	116
SPCS1_36261	SPCS1	78
DSG4_61783	DSG4	37
GRAPL_72223	GRAPL	50
TARS2_50951	TARS2	27
KRTAP10-4_70654	KRTAP10-4	98
URGCP-MRPS24_76196	URGCP-MRPS24	185
FOXC1_6384	FOXC1	298
TRPC3_19603	TRPC3	512
KIF13B_32387	KIF13B	81
SMIM18_75960	SMIM18	35
DAAM1_31434	DAAM1	69
Non-Targeting Control_77434	Non-Targeting Control	356
DUSP4_5155	DUSP4	59
GNG12_43804	GNG12	84
RAB6B_39031	RAB6B	133
STK36_35688	STK36	89
C2orf50_59870	C2orf50	99
METTL1_11392	METTL1	41
ALPP_695	ALPP	337
TST_19672	TST	65
TNFRSF1A_19382	TNFRSF1A	33
NASP_12209	NASP	100
SPTAN1_18137	SPTAN1	93
TMEM52B_58311	TMEM52B	82
FANK1_56275	FANK1	166
ZNF585A_64563	ZNF585A	132
SSR1_18258	SSR1	125
AKR1C4_3139	AKR1C4	233
VWA2_69248	VWA2	43
HGF_8317	HGF	83
F2RL1_5945	F2RL1	161
PTCRA_64307	PTCRA	106
FXYD7_39621	FXYD7	111
Non-Targeting Control_76783	Non-Targeting Control	246
ALDH1A1_601	ALDH1A1	437
CNTN6_35900	CNTN6	299
B3GNT9_54147	B3GNT9	74
PCDHA2_44049	PCDHA2	67
CCDC40_41392	CCDC40	100
FGF14_6287	FGF14	118
MAGEB16_60730	MAGEB16	363
S100G_2209	S100G	319
FABP5_6014	FABP5	140
C16orf47_70968	C16orf47	201
HOXC10_8734	HOXC10	56
GATS_70036	GATS	117
GORASP1_47888	GORASP1	148
KRTAP9-8_52664	KRTAP9-8	354
MAGEA9B_74616	MAGEA9B	168
MST1L_30516	MST1L	95
Non-Targeting Control_77276	Non-Targeting Control	426
ATXN1L_69389	ATXN1L	46
C7orf31_60457	C7orf31	93
FAM65B_25848	FAM65B	49
DACT2_63982	DACT2	149
SPACA5B_74840	SPACA5B	204
ACTR3B_45217	ACTR3B	121
SCML2_27919	SCML2	470
OCIAD2_60049	OCIAD2	63
BTD_1905	BTD	126
EREG_5751	EREG	62
AHCYL1_29114	AHCYL1	47
POLR2J3_73532	POLR2J3	189
PLEKHG3_34384	PLEKHG3	180
ITIH1_9835	ITIH1	136
SGSH_17261	SGSH	51
CYP11B1_4425	CYP11B1	270
DSE_36842	DSE	100
TPPP2_58503	TPPP2	36
CCDC160_69832	CCDC160	278
RNASE1_16173	RNASE1	197
RPF1_50762	RPF1	168
OR7G1_58976	OR7G1	149
CCDC39_69029	CCDC39	147
C11orf84_61254	C11orf84	153
TRIM17_37896	TRIM17	180
NMRK2_35811	NMRK2	124
Non-Targeting Control_76736	Non-Targeting Control	549
ARPC2_27036	ARPC2	129
PCDHA6_44033	PCDHA6	203
TRAPPC2_17116	TRAPPC2	284
RAPGEF5_25920	RAPGEF5	148
TMED5_37482	TMED5	68
C4A_1988	C4A	115
AKR1D1_18173	AKR1D1	31
Non-Targeting Control_76474	Non-Targeting Control	502
LMF2_55784	LMF2	170
TMTC2_63321	TMTC2	86
PP2D1_62542	PP2D1	125
UGT1A10_40259	UGT1A10	112
SERPINA6_2422	SERPINA6	73
MEMO1_37695	MEMO1	45
SPO11_33354	SPO11	200
EPS8L2_48064	EPS8L2	21
LRRC14B_71341	LRRC14B	185
CYLC1_4321	CYLC1	359
FAM212B_43753	FAM212B	85
UNC79_45910	UNC79	69
FGD2_65809	FGD2	57
PARD6G_53796	PARD6G	49
STAG1_27593	STAG1	191
GDF6_72013	GDF6	162
VSTM1_67843	VSTM1	55
AKAP14_63224	AKAP14	332
Non-Targeting Control_77236	Non-Targeting Control	571
ZCCHC17_38985	ZCCHC17	55
ZNF624_45804	ZNF624	117
PCDHGB6_43887	PCDHGB6	154
SLC25A12_22415	SLC25A12	33
LOC100287036_75579	LOC100287036	468
KLHL25_47733	KLHL25	266
LMNB1_10710	LMNB1	89
RBM33_62990	RBM33	22
SNX13_31911	SNX13	153
TEX101_52304	TEX101	199
SEL1L3_32161	SEL1L3	63
SOX21_30342	SOX21	156
DHX32_43286	DHX32	114
RDH14_46168	RDH14	102
CLC_3333	CLC	159
HLA-G_8458	HLA-G	25
FCRL6_69536	FCRL6	26
INPP5K_39460	INPP5K	122
SLCO1C1_39695	SLCO1C1	56
ZNF101_56664	ZNF101	207
ACTR2_26995	ACTR2	20
CPN2_3810	CPN2	222
CENPE_3037	CENPE	90
ZNF438_65628	ZNF438	154
INO80C_58937	INO80C	216
CARD11_53580	CARD11	116
CDH17_2892	CDH17	179
ARF4_1083	ARF4	77
UCN2_55356	UCN2	43
PRR21_73876	PRR21	68
VPS26A_25216	VPS26A	133
FRMPD4_25873	FRMPD4	143
NRG4_61509	NRG4	128
C9orf139_72485	C9orf139	258
RANBP17_48236	RANBP17	99
PABPC1L2B_74065	PABPC1L2B	105
TNFRSF9_9536	TNFRSF9	67
AGAP1_57874	AGAP1	256
LHFPL2_27278	LHFPL2	224
ZNF211_28356	ZNF211	82
MKLN1_11518	MKLN1	242
NQO2_12673	NQO2	273
CFD_4711	CFD	155
OR10A2_69297	OR10A2	398
Non-Targeting Control_77007	Non-Targeting Control	334
EPHA10_67954	EPHA10	55
Non-Targeting Control_77244	Non-Targeting Control	459
RAB3GAP1_31267	RAB3GAP1	84
DBX1_58243	DBX1	277
SNX2_17921	SNX2	58
CSN1S1_4054	CSN1S1	254
CELA3A_27121	CELA3A	196
RBM12_27126	RBM12	231
ANKH_44106	ANKH	238
SLC39A2_36977	SLC39A2	144
LARP6_42321	LARP6	93
TXNRD3_57093	TXNRD3	66
PPP1R14A_56756	PPP1R14A	55
CYP4F2_22209	CYP4F2	130
YY2_72672	YY2	258
SLC2A3_17468	SLC2A3	59
PF4V1_13707	PF4V1	168
Non-Targeting Control_76599	Non-Targeting Control	455
SEC22B_25198	SEC22B	243
HSFY2_63274	HSFY2	58
DUOX2_37217	DUOX2	106
ZCCHC14_31966	ZCCHC14	150
WNT4_39872	WNT4	104
LRRC42_57474	LRRC42	122
ABHD14A_33935	ABHD14A	108
PFN4_70442	PFN4	126
ZSWIM7_58918	ZSWIM7	78
VASH2_49995	VASH2	159
NLRC4_46544	NLRC4	84
DPP6_4997	DPP6	202
ARHGAP23_46090	ARHGAP23	140
DOCK2_4961	DOCK2	61
SPATA16_52635	SPATA16	219
ZNF510_31051	ZNF510	209
BPY2_23805	BPY2	279
ZMYM6_24174	ZMYM6	85
ZNF749_71087	ZNF749	74
R3HDM4_55792	R3HDM4	78
DGUOK_4735	DGUOK	136
EDEM3_51030	EDEM3	184
GAS2_6895	GAS2	127
WFDC8_55346	WFDC8	125
CHFR_43219	CHFR	87
MON1B_31094	MON1B	84
PCDH8_13407	PCDH8	91
CALN1_52387	CALN1	217
SNTB2_17926	SNTB2	351
SNX2_17922	SNX2	115
NELFA_20253	NELFA	26
WDR60_41604	WDR60	47
CYP2A13_4359	CYP2A13	248
PORCN_48140	PORCN	135
IQCF1_60021	IQCF1	319
NKD2_54887	NKD2	178
SNRK_40805	SNRK	76
MZT1_72890	MZT1	33
CPXM2_58155	CPXM2	168
NPEPL1_49726	NPEPL1	52
PPP2R2B_14625	PPP2R2B	308
TCAIM_68119	TCAIM	105
ZNF488_58070	ZNF488	88
IL6R_9439	IL6R	197
AGBL3_69151	AGBL3	96
ST14_18331	ST14	90
PLAT_14097	PLAT	43
CHAC2_73426	CHAC2	158
CISD2_73391	CISD2	45
AMMECR1L_52285	AMMECR1L	51
SLC7A8_32788	SLC7A8	42
SFTPB_17226	SFTPB	151
TTC21B_50003	TTC21B	126
ELFN2_57220	ELFN2	408
OR4C3_66716	OR4C3	160
ADTRP_54253	ADTRP	214
ATP6V0A4_37270	ATP6V0A4	57
RCOR2_67286	RCOR2	43
COL4A3BP_26961	COL4A3BP	68
NUDT3_30338	NUDT3	358
TTLL5_31708	TTLL5	75
SPRR2G_18126	SPRR2G	123
PDZRN4_36884	PDZRN4	133
Non-Targeting Control_76749	Non-Targeting Control	497
OR10W1_51557	OR10W1	81
HM13_51621	HM13	180
MRM1_50364	MRM1	185
NBEA_35336	NBEA	207
GEMIN5_34117	GEMIN5	127
L3HYPDH_56873	L3HYPDH	43
ARMC12_65824	ARMC12	117
PML_14255	PML	59
TGIF2LY_55582	TGIF2LY	133
OGFRL1_49433	OGFRL1	82
KNG1_10243	KNG1	100
TMEM132C_56191	TMEM132C	63
HSD11B2_8882	HSD11B2	327
ISX_55863	ISX	76
NAV2_55134	NAV2	179
LRFN2_45641	LRFN2	74
C7orf61_72570	C7orf61	181
TP53INP2_46530	TP53INP2	128
DENND5A_32258	DENND5A	58
C22orf23_53922	C22orf23	237
C19orf38_66669	C19orf38	133
CSGALNACT2_42524	CSGALNACT2	3
FFAR2_7629	FFAR2	158
C1orf122_59403	C1orf122	74
FGFR1OP_30159	FGFR1OP	132
PNPLA4_21448	PNPLA4	172
OR5R1_65282	OR5R1	77
CTNND1_4217	CTNND1	182
PPP2R5D_14655	PPP2R5D	24
ENAM_27064	ENAM	79
ADCYAP1R1_314	ADCYAP1R1	34
PNMA5_57275	PNMA5	229
CCDC66_68111	CCDC66	329
OR8G5_65407	OR8G5	32
DOK6_65582	DOK6	103
FAM84B_63025	FAM84B	69
CTXN1_72662	CTXN1	81
HOXA6_8649	HOXA6	260
CCDC18_69506	CCDC18	117
RNASE10_68829	RNASE10	120
PNMA3_36856	PNMA3	201
CLDND2_58949	CLDND2	228
WFDC12_59559	WFDC12	129
GLMN_30263	GLMN	113
AFAP1L2_53892	AFAP1L2	67
EPO_5707	EPO	118
PPP2CB_14609	PPP2CB	187
C2orf73_59741	C2orf73	53
FNBP1_31576	FNBP1	430
ME3_29383	ME3	92
KAAG1_70123	KAAG1	102
LOC283710_67476	LOC283710	123
OR11G2_71790	OR11G2	139
NRXN3_24628	NRXN3	28
ADGRB1_1569	ADGRB1	213
CARD18_46716	CARD18	66
GOLT1B_37581	GOLT1B	285
ZNF165_20744	ZNF165	39
OR51A4_72507	OR51A4	211
RAB25_45012	RAB25	317
TET1_51094	TET1	333
MED13L_32664	MED13L	223
SPANXB1_74768	SPANXB1	264
CAMK2D_2262	CAMK2D	53
TJP1_19223	TJP1	160
KIAA0319L_50397	KIAA0319L	64
MCAM_11214	MCAM	174
PDHB_13598	PDHB	39
BTNL8_50333	BTNL8	53
Non-Targeting Control_76743	Non-Targeting Control	405
VSIG10L_61790	VSIG10L	127
OSTF1_35189	OSTF1	61
R3HCC1L_35943	R3HCC1L	76
APOBEC3B_25281	APOBEC3B	428
RPS6KB2_16530	RPS6KB2	111
TERF2IP_39881	TERF2IP	312
COPS6_29746	COPS6	7
SHANK1_37469	SHANK1	85
SPATA9_52624	SPATA9	205
TIAL1_19191	TIAL1	181
HPS4_55107	HPS4	46
SLC6A17_71143	SLC6A17	48
CELA3B_32812	CELA3B	154
SLC16A2_17650	SLC16A2	93
ACKR3_44835	ACKR3	226
GRIK2_7739	GRIK2	360
C8orf59_72442	C8orf59	373
CCZ1_39166	CCZ1	154
GUCY1A2_7986	GUCY1A2	252
STRA8_69768	STRA8	130
OR4K14_58519	OR4K14	207
SPANXD_47871	SPANXD	146
BCL2L13_33580	BCL2L13	62
ASCL2_1244	ASCL2	104
PPP1R37_67775	PPP1R37	42
ANXA8_74252	ANXA8	620
IGFBP2_9314	IGFBP2	48
APOL3_51420	APOL3	174
ZNF747_48557	ZNF747	127
Non-Targeting Control_77250	Non-Targeting Control	436
Non-Targeting Control_77130	Non-Targeting Control	402
GABRG1_6784	GABRG1	109
SYNPO2L_50401	SYNPO2L	105
CSRNP2_51707	CSRNP2	7
SAMD13_62026	SAMD13	110
SYT12_55951	SYT12	42
MAP3K8_3700	MAP3K8	192
SAT2_56801	SAT2	250
GPR34_7602	GPR34	207
ACY3_55966	ACY3	67
KCNK16_52500	KCNK16	105
CCDC22_36198	CCDC22	69
LYRM2_45325	LYRM2	41
SFRP5_17188	SFRP5	65
OCM_74425	OCM	17
CLPTM1_3424	CLPTM1	107
BCL6B_66675	BCL6B	156
SERPINA4_13895	SERPINA4	253
MYO1C_12095	MYO1C	100
CNTLN_40854	CNTLN	88
TRAF3IP2_29084	TRAF3IP2	77
NME7_36787	NME7	79
FAM19A5_33793	FAM19A5	121
MOB3C_62098	MOB3C	122
OR8H3_71648	OR8H3	123
TFE3_19043	TFE3	80
TMEM39A_42098	TMEM39A	170
Non-Targeting Control_76923	Non-Targeting Control	319
ZFPL1_20432	ZFPL1	73
LGALS4_10606	LGALS4	46
HCAR3_23175	HCAR3	91
Non-Targeting Control_76642	Non-Targeting Control	751
CCL14_16995	CCL14	108
IFI44_28496	IFI44	69
TP53INP1_56752	TP53INP1	63
Non-Targeting Control_76768	Non-Targeting Control	703
HGFAC_8322	HGFAC	92
JUN_9916	JUN	97
PIGH_13947	PIGH	167
RUFY1_50974	RUFY1	59
LAMP2_10504	LAMP2	130
