sgRNA	Gene	Clip2_3_NE_GFP_low_BC14_IGO_09496_6_S6
LRRC6_33386	LRRC6	134
TBC1D3_74997	TBC1D3	105
ELFN1_72058	ELFN1	61
TSPAN4_19316	TSPAN4	221
ACOT11_34380	ACOT11	214
PCNT_13440	PCNT	80
ALS2CR12_59825	ALS2CR12	56
GARNL3_53227	GARNL3	124
VRK1_20191	VRK1	174
DYRK4_23010	DYRK4	104
ARHGEF3_37308	ARHGEF3	148
BRPF3_35704	BRPF3	325
RBM7_27267	RBM7	40
RRM2B_37192	RRM2B	83
GLTSCR1_37016	GLTSCR1	559
GOLGA8A_31466	GOLGA8A	4
UBLCP1_60274	UBLCP1	44
KCNA7_9966	KCNA7	139
CYSTM1_53570	CYSTM1	114
TENM1_27261	TENM1	344
RBM38_42641	RBM38	104
DRAM1_42358	DRAM1	92
SYNE4_63660	SYNE4	147
GSE1_32054	GSE1	81
SPATA31D3_71469	SPATA31D3	112
ZHX2_31105	ZHX2	50
HMMR_8518	HMMR	150
MOSPD2_63209	MOSPD2	230
CXCL12_17080	CXCL12	112
CNTRL_30001	CNTRL	103
POLR2D_14376	POLR2D	11
SPATS2_48469	SPATS2	107
TIMM17B_27499	TIMM17B	88
CCDC28B_48986	CCDC28B	51
GABRG2_6785	GABRG2	62
FOXJ3_31119	FOXJ3	163
TMEM251_34725	TMEM251	108
Non-Targeting Control_77071	Non-Targeting Control	628
HPS3_53546	HPS3	54
LUC7L3_39421	LUC7L3	31
CCDC38_58306	CCDC38	262
Non-Targeting Control_77243	Non-Targeting Control	427
C1GALT1C1L_74787	C1GALT1C1L	177
SLC7A3_54376	SLC7A3	398
AGBL4_54324	AGBL4	161
MAPRE3_31243	MAPRE3	30
OR6A2_22394	OR6A2	193
ANKRD31_66690	ANKRD31	142
Non-Targeting Control_76776	Non-Targeting Control	507
MAP3K19_50730	MAP3K19	218
ENOX1_41470	ENOX1	155
RNF14_25339	RNF14	193
SLC9A1_17586	SLC9A1	62
STON2_54922	STON2	93
OR2Z1_67818	OR2Z1	85
MCM2_11235	MCM2	95
PAOX_64461	PAOX	39
FOXE3_6403	FOXE3	189
DCTPP1_48871	DCTPP1	106
NFATC1_12489	NFATC1	251
YLPM1_44148	YLPM1	44
PYGB_15610	PYGB	117
TMEM198_59849	TMEM198	329
MAEL_54563	MAEL	119
ODF1_13001	ODF1	125
VWA7_51275	VWA7	62
MBOAT1_62869	MBOAT1	56
Non-Targeting Control_76708	Non-Targeting Control	379
FAM135A_45913	FAM135A	173
ACTR3B_45215	ACTR3B	186
SCO1_16937	SCO1	44
APOM_43763	APOM	242
CSF2RA_4024	CSF2RA	33
SERPINB4_16859	SERPINB4	199
NAA35_46959	NAA35	21
OR9Q1_65459	OR9Q1	41
ZMYM6NB_75878	ZMYM6NB	136
Non-Targeting Control_76619	Non-Targeting Control	641
GCA_33747	GCA	107
TMEM33_41766	TMEM33	125
ITM2A_24875	ITM2A	107
IFT74_50837	IFT74	184
KIAA1211L_69579	KIAA1211L	154
ZNF213_20827	ZNF213	72
GALNT14_49417	GALNT14	83
HAND2_24911	HAND2	135
HOXC5_8719	HOXC5	60
UBL4A_21483	UBL4A	174
SLC9A7_54011	SLC9A7	305
NLGN1_31060	NLGN1	18
DNASE2B_46642	DNASE2B	359
UBR3_59818	UBR3	124
DGCR2_26675	DGCR2	62
GABARAPL1_33488	GABARAPL1	284
TAB3_66909	TAB3	395
POLG_14356	POLG	81
FNDC8_40488	FNDC8	70
FICD_30290	FICD	82
MYOCD_56580	MYOCD	173
SIGMAR1_27615	SIGMAR1	211
MARCKS_10944	MARCKS	66
ZKSCAN2_69388	ZKSCAN2	78
TSPAN18_55322	TSPAN18	26
Non-Targeting Control_77355	Non-Targeting Control	715
C1orf186_72997	C1orf186	170
KBTBD3_61234	KBTBD3	152
C3orf38_68080	C3orf38	69
CIB2_28345	CIB2	463
THUMPD2_51297	THUMPD2	62
PERM1_54212	PERM1	453
WBP2NL_63796	WBP2NL	282
MTRNR2L8_75799	MTRNR2L8	390
CXCL16_46513	CXCL16	206
BAG4_25117	BAG4	45
PAICS_28641	PAICS	91
S100G_2210	S100G	222
MAGED4_74602	MAGED4	177
Non-Targeting Control_76591	Non-Targeting Control	557
PLXNB2_33428	PLXNB2	84
IDNK_72779	IDNK	244
FAM45A_72681	FAM45A	83
Non-Targeting Control_77042	Non-Targeting Control	737
HIF1A_8337	HIF1A	221
USP17L10_75580	USP17L10	231
NCOR2_25361	NCOR2	117
SNX20_58746	SNX20	95
FAM171A1_65673	FAM171A1	163
MEGF9_5386	MEGF9	208
VCY_23810	VCY	239
HIST1H4J_21750	HIST1H4J	58
SGCZ_60512	SGCZ	78
RNF40_26044	RNF40	36
CHM_3180	CHM	239
ATP4A_1395	ATP4A	362
GOLGA6B_43659	GOLGA6B	51
DENND3_31158	DENND3	65
Non-Targeting Control_76469	Non-Targeting Control	656
ZNF665_49944	ZNF665	145
HIST1H2AB_21638	HIST1H2AB	149
SH2D1A_10905	SH2D1A	396
C7orf33_65016	C7orf33	134
RPP38_28479	RPP38	94
FIBIN_70844	FIBIN	107
ZNF862_73811	ZNF862	62
ZNF695_45026	ZNF695	77
GALE_6823	GALE	47
PFDN5_13729	PFDN5	105
LYRM1_45127	LYRM1	685
IER5L_71481	IER5L	301
MYOCD_56578	MYOCD	179
ZNF385D_49839	ZNF385D	57
TTC13_49292	TTC13	113
MID2_29935	MID2	331
CFHR4_29402	CFHR4	260
LRRCC1_54940	LRRCC1	101
Non-Targeting Control_76448	Non-Targeting Control	725
LZTS3_25892	LZTS3	30
LDB1_23223	LDB1	39
PPP1R16A_54687	PPP1R16A	430
ACO2_151	ACO2	164
LGALS13_36555	LGALS13	149
GLB1L3_56894	GLB1L3	163
Non-Targeting Control_76538	Non-Targeting Control	740
SLCO6A1_60159	SLCO6A1	134
MOB1A_42026	MOB1A	328
EHD2_37140	EHD2	107
PITX3_14036	PITX3	151
C1orf158_56474	C1orf158	76
ADAM23_22870	ADAM23	38
NFE4_46499	NFE4	36
CLPTM1L_51505	CLPTM1L	290
ACCS_54018	ACCS	107
HIST1H4L_21770	HIST1H4L	70
CALCB_2219	CALCB	353
RALGAPB_45125	RALGAPB	163
PATL1_65511	PATL1	32
PRKG1_14873	PRKG1	70
TMEM97_36093	TMEM97	39
EOGT_68066	EOGT	84
SCN9A_16914	SCN9A	228
DCHS1_22534	DCHS1	52
GANAB_32027	GANAB	43
ZNF514_54337	ZNF514	131
PPP4R4_46324	PPP4R4	81
PRSS16_27609	PRSS16	278
SCRIB_33004	SCRIB	372
IQCE_32352	IQCE	61
ROPN1B_62603	ROPN1B	254
PHKA1_13864	PHKA1	150
CT45A10_76403	CT45A10	244
TBL1Y_55585	TBL1Y	30
SLC36A2_62750	SLC36A2	222
GYG2_23375	GYG2	56
GPR68_21306	GPR68	65
TACC2_28561	TACC2	97
TBC1D22B_42873	TBC1D22B	215
DOPEY2_26629	DOPEY2	54
Non-Targeting Control_76570	Non-Targeting Control	721
VSX2_68834	VSX2	115
1-Dec_37240	1-Dec	657
AP5B1_55722	AP5B1	52
FBXO36_59885	FBXO36	195
ME3_29386	ME3	94
TGIF2LX_55394	TGIF2LX	265
ZNF554_57425	ZNF554	218
TRIM25_20714	TRIM25	80
PLA2G12A_51749	PLA2G12A	108
EDDM3B_47512	EDDM3B	287
TMEM194B_75363	TMEM194B	89
PPP4R4_46326	PPP4R4	96
Non-Targeting Control_77418	Non-Targeting Control	825
PRKAA2_14767	PRKAA2	35
ANKAR_62386	ANKAR	295
OR10S1_65419	OR10S1	53
CFAP46_40548	CFAP46	52
SCGB1D1_28794	SCGB1D1	99
CAP1_28259	CAP1	59
