sgRNA	Gene	Clip2_4_DE_GFP_high_BC15_IGO_09496_7_S7
ZXDA_20914	ZXDA	41
BAIAP2L2_50715	BAIAP2L2	139
VCY_23810	VCY	121
HECTD1_33843	HECTD1	47
Non-Targeting Control_76676	Non-Targeting Control	284
Non-Targeting Control_77222	Non-Targeting Control	264
CCDC152_75238	CCDC152	34
MTG1_56140	MTG1	91
CASP5_2348	CASP5	26
Non-Targeting Control_77399	Non-Targeting Control	6
FBXL14_61361	FBXL14	175
CDX4_2989	CDX4	178
UBTFL1_73704	UBTFL1	97
MEIOB_66484	MEIOB	129
FPR3_6571	FPR3	92
POLR3GL_53272	POLR3GL	62
Non-Targeting Control_76777	Non-Targeting Control	310
CSGALNACT1_43389	CSGALNACT1	82
CRIPT_24777	CRIPT	35
PMEPA1_44638	PMEPA1	6
PTGR1_31315	PTGR1	130
ANKRD63_75364	ANKRD63	92
VPS4A_35767	VPS4A	23
GPD1L_31954	GPD1L	120
TRIM44_40529	TRIM44	23
T_18593	T	74
Non-Targeting Control_77284	Non-Targeting Control	217
Non-Targeting Control_76553	Non-Targeting Control	215
DGKB_4495	DGKB	29
PI4K2B_42258	PI4K2B	38
Non-Targeting Control_76707	Non-Targeting Control	279
ABHD11_52130	ABHD11	36
SIGLEC14_75117	SIGLEC14	59
ZDHHC15_63245	ZDHHC15	276
ADI1_42103	ADI1	75
TMPRSS15_15064	TMPRSS15	60
IFNA4_9212	IFNA4	41
AMFR_728	AMFR	51
CD1D_2542	CD1D	50
AUP1_1517	AUP1	33
HMG20B_27852	HMG20B	113
Non-Targeting Control_77433	Non-Targeting Control	262
TAS2R30_67003	TAS2R30	40
SYN1_18566	SYN1	73
UCP2_19921	UCP2	36
ABCG8_47589	ABCG8	92
FAM53A_62724	FAM53A	146
ZNF114_63627	ZNF114	14
LRRC39_59362	LRRC39	67
CLEC4D_68720	CLEC4D	84
PNKD_34183	PNKD	17
DUOX1_39679	DUOX1	43
LRP3_10796	LRP3	35
OR4C13_67192	OR4C13	88
RPS6KA5_24310	RPS6KA5	19
KLRG2_69771	KLRG2	107
SPNS2_58881	SPNS2	9
PSMD9_15268	PSMD9	214
PCDHA10_44019	PCDHA10	49
ZNF532_41922	ZNF532	72
ADORA3_383	ADORA3	69
