sgRNA	Gene	Clip2_4_DE_GFP_high_BC15_IGO_09496_7_S7
ORC3_33269	ORC3	21
ACVR2A_230	ACVR2A	41
ZNF654_42177	ZNF654	48
S1PR3_5273	S1PR3	70
C6orf52_69892	C6orf52	87
FAS_1005	FAS	165
GAS2_6894	GAS2	85
TRABD2B_71124	TRABD2B	83
TACR1_18618	TACR1	87
TTC21A_64547	TTC21A	43
TMEM63B_42458	TMEM63B	126
NMI_23892	NMI	58
ATP8B4_50294	ATP8B4	116
IGSF9_45809	IGSF9	52
SLFN14_69416	SLFN14	36
LRP4_10797	LRP4	53
SNX9_38740	SNX9	46
HSFY2_63274	HSFY2	51
PYGM_15619	PYGM	37
PSME2_15289	PSME2	94
CASP3_2340	CASP3	90
ERVV-1_61809	ERVV-1	123
Non-Targeting Control_76450	Non-Targeting Control	439
ZNF780A_67743	ZNF780A	95
ADORA3_381	ADORA3	71
PTTG1_24258	PTTG1	98
YBX2_37751	YBX2	33
RASIP1_41009	RASIP1	22
LAT_35464	LAT	26
GMFB_7284	GMFB	85
OSBPL2_26308	OSBPL2	45
NPRL2_28769	NPRL2	40
KIF13B_32388	KIF13B	78
CLDN8_23769	CLDN8	26
MRPL53_57805	MRPL53	39
ALMS1_20975	ALMS1	69
ZFR2_32118	ZFR2	44
FAM83B_66024	FAM83B	14
SURF4_18521	SURF4	25
PAK1_13279	PAK1	39
SSH3_41145	SSH3	171
AASS_27196	AASS	46
TMEM67_55747	TMEM67	62
ZNF559-ZNF177_76111	ZNF559-ZNF177	21
CD72_2745	CD72	84
MOS_11682	MOS	87
CCR7_3461	CCR7	137
SEPHS2_31260	SEPHS2	42
TRPC5_19610	TRPC5	66
SPRYD7_45287	SPRYD7	60
FKBP2_6356	FKBP2	51
CD7_2587	CD7	27
TOB1_27138	TOB1	23
BCORL1_47035	BCORL1	62
CENPF_3043	CENPF	8
Non-Targeting Control_76495	Non-Targeting Control	332
LHB_10624	LHB	57
TGIF2LX_55392	TGIF2LX	143
ALOX5_668	ALOX5	25
CLINT1_25605	CLINT1	43
PRKCE_14829	PRKCE	231
SENP8_58601	SENP8	148
PPP6R1_31057	PPP6R1	25
DGKZ_22193	DGKZ	74
NUP153_26611	NUP153	106
SMAD4_10966	SMAD4	18
KCTD5_39936	KCTD5	111
HOPX_53746	HOPX	45
ZBTB7C_64900	ZBTB7C	68
ZNF77_46575	ZNF77	264
TAS2R3_37363	TAS2R3	60
EVL_38826	EVL	51
ASCL2_1241	ASCL2	38
ZNF80_20613	ZNF80	53
HOXD3_8753	HOXD3	47
CDHR4_71277	CDHR4	25
MAGEC3_60656	MAGEC3	110
ADGRB1_1570	ADGRB1	67
PMAIP1_14244	PMAIP1	192
TCEAL2_60847	TCEAL2	31
CYP2S1_36616	CYP2S1	13
Non-Targeting Control_76489	Non-Targeting Control	336
DPM2_23084	DPM2	62
RNF141_37439	RNF141	69
PLEKHA8_54113	PLEKHA8	19
BTK_1925	BTK	86
ZCCHC17_38985	ZCCHC17	48
SLC22A3_17701	SLC22A3	154
CHTF8_41005	CHTF8	204
SNX27_51777	SNX27	211
BCKDHB_1628	BCKDHB	58
OR5D18_65253	OR5D18	70
CARM1_28300	CARM1	176
RNF170_51905	RNF170	110
JAKMIP1_62707	JAKMIP1	130
MRPL15_36434	MRPL15	44
CTNS_4209	CTNS	12
ACTG2_197	ACTG2	60
POF1B_50529	POF1B	158
CASKIN1_45724	CASKIN1	102
RUNX2_2400	RUNX2	118
TLE3_19251	TLE3	24
EDA_5262	EDA	73
CATSPER4_70615	CATSPER4	196
EFCAB9_68202	EFCAB9	53
UBQLN3_37254	UBQLN3	64
MTFR1L_44111	MTFR1L	75
CPA6_44958	CPA6	97
Non-Targeting Control_77322	Non-Targeting Control	230
USP45_54727	USP45	25
PLA2G4B_75510	PLA2G4B	22
PRSS1_15038	PRSS1	22
SYDE2_52992	SYDE2	171
RAB27A_15682	RAB27A	42
FBXO10_34890	FBXO10	25
DCLRE1C_47762	DCLRE1C	14
RARRES1_15847	RARRES1	22
FUT9_28919	FUT9	111
DAG1_4488	DAG1	41
UBR1_64490	UBR1	86
PANX1_33619	PANX1	60
CREB3L2_47988	CREB3L2	33
PLSCR5_71311	PLSCR5	65
Non-Targeting Control_77437	Non-Targeting Control	347
OR4A5_51545	OR4A5	77
NEK9_55994	NEK9	162
FAM78A_68429	FAM78A	41
TWF1_15394	TWF1	88
TARSL2_58613	TARSL2	56
MIER3_63930	MIER3	72
GTF3C6_56811	GTF3C6	58
KRTAP10-3_70692	KRTAP10-3	166
PDGFRL_13577	PDGFRL	29
FAM196A_73729	FAM196A	54
RALBP1_29576	RALBP1	28
Non-Targeting Control_77295	Non-Targeting Control	186
IL22_37266	IL22	41
PLAUR_14105	PLAUR	92
HBE1_8206	HBE1	78
PRSS55_65037	PRSS55	22
PARP9_52351	PARP9	48
UBE2H_19865	UBE2H	39
GUSB_8026	GUSB	66
OR5H1_35003	OR5H1	49
SLC17A1_17654	SLC17A1	95
DNAJC12_44272	DNAJC12	48
FURIN_13236	FURIN	29
FGF9_6265	FGF9	98
MCFD2_55460	MCFD2	152
LKAAEAR1_64539	LKAAEAR1	84
PIR_22269	PIR	53
OR4C46_58191	OR4C46	109
Non-Targeting Control_76533	Non-Targeting Control	345
GRIK2_7739	GRIK2	200
Non-Targeting Control_77307	Non-Targeting Control	248
ILVBL_29793	ILVBL	89
MKX_67181	MKX	68
TMEM80_67269	TMEM80	33
CCSAP_59216	CCSAP	94
AGTR2_522	AGTR2	78
C20orf196_62232	C20orf196	32
MKI67_11515	MKI67	58
C5AR1_2012	C5AR1	45
B3GAT1_35536	B3GAT1	201
PRRC2B_54116	PRRC2B	129
APEX2_35981	APEX2	242
SMAD4_10965	SMAD4	69
GNAI1_7308	GNAI1	28
LIM2_10653	LIM2	18
SESTD1_55828	SESTD1	51
CGREF1_28867	CGREF1	47
PDP1_40415	PDP1	45
YAF2_27132	YAF2	83
NDC1_43101	NDC1	50
RUSC1-AS1_67946	RUSC1-AS1	69
KLK8_30468	KLK8	56
CLCNKB_3375	CLCNKB	18
SCAMP1_25094	SCAMP1	66
DLK2_48559	DLK2	91
LIN7B_47446	LIN7B	85
C2CD2_34218	C2CD2	40
INPPL1_9641	INPPL1	125
OR2A1_69751	OR2A1	255
SHROOM4_45577	SHROOM4	28
G0S2_37201	G0S2	141
FRAT2_32706	FRAT2	181
CHD1_3122	CHD1	128
VGLL2_66110	VGLL2	52
OR51V1_67201	OR51V1	45
RESP18_71262	RESP18	62
VSIG4_30769	VSIG4	87
APPBP2_28331	APPBP2	100
KPNA7_72567	KPNA7	45
VWC2L_72542	VWC2L	66
AMY1C_770	AMY1C	20
SEC14L4_67999	SEC14L4	47
CTPS1_4225	CTPS1	104
IGSF21_54637	IGSF21	48
UNC13D_64877	UNC13D	48
LRP8_20937	LRP8	97
TTC31_47781	TTC31	33
CDC14A_22307	CDC14A	78
C10orf82_61166	C10orf82	308
ANTXR1_53041	ANTXR1	71
AP1M2_26845	AP1M2	44
PCBD2_52918	PCBD2	96
EVI2A_5879	EVI2A	115
USP19_29371	USP19	144
ADAP1_29910	ADAP1	11
MSMP_74461	MSMP	39
C2CD4A_61464	C2CD4A	78
ZNF679_64002	ZNF679	101
OR14J1_73242	OR14J1	221
MAEA_27673	MAEA	124
MAS1L_57788	MAS1L	89
SLMO1_28796	SLMO1	66
LHFPL1_69230	LHFPL1	189
HMMR_8517	HMMR	34
UBC_19819	UBC	100
PRKAA1_14763	PRKAA1	6
PYURF_76287	PYURF	73
VPS35_43198	VPS35	13
TENM3_43122	TENM3	174
NKPD1_67778	NKPD1	107
ZNF429_70043	ZNF429	65
FGF8_6262	FGF8	43
ZNF699_70359	ZNF699	25
ADCY2_282	ADCY2	52
Non-Targeting Control_77107	Non-Targeting Control	182
FUK_64503	FUK	55
NANS_39807	NANS	110
C16orf89_61614	C16orf89	39
Non-Targeting Control_76641	Non-Targeting Control	454
SLC16A6_23920	SLC16A6	54
OR4C12_67193	OR4C12	191
OR10A6_71618	OR10A6	44
ASIC4_42591	ASIC4	48
PDZD8_58107	PDZD8	117
Non-Targeting Control_76881	Non-Targeting Control	157
ALG3_27306	ALG3	66
CELSR1_25385	CELSR1	40
C19orf35_70346	C19orf35	47
TSPYL5_54969	TSPYL5	69
LIPE_10684	LIPE	59
CPPED1_42284	CPPED1	12
EBP_28905	EBP	61
DOHH_52161	DOHH	105
CD177_45062	CD177	44
EMP3_5556	EMP3	43
PLEKHA5_40032	PLEKHA5	122
TNR_19426	TNR	12
KLK13_34527	KLK13	60
SMYD2_44684	SMYD2	35
CHMP7_56005	CHMP7	90
CRTAP_28276	CRTAP	188
IL24_29828	IL24	30
SPRR1B_18103	SPRR1B	25
CWH43_50814	CWH43	18
PRG4_27390	PRG4	57
OR8A1_71752	OR8A1	48
Non-Targeting Control_76665	Non-Targeting Control	381
AKAP4_23200	AKAP4	46
NT5C3A_38248	NT5C3A	17
PRPSAP2_15021	PRPSAP2	38
CIB4_59775	CIB4	28
NANOS1_69252	NANOS1	109
C1orf112_43181	C1orf112	43
ZNF778_64509	ZNF778	29
DNAJB11_39376	DNAJB11	20
Non-Targeting Control_76888	Non-Targeting Control	172
CRK_3908	CRK	31
BEND4_71330	BEND4	184
NSUN3_47098	NSUN3	94
C10orf120_72128	C10orf120	59
PHLPP1_32190	PHLPP1	43
PKD1L2_57172	PKD1L2	69
GGA1_34536	GGA1	56
ADAM15_22886	ADAM15	197
MGME1_56301	MGME1	28
S100A6_16733	S100A6	89
OR51I1_71569	OR51I1	72
Non-Targeting Control_76912	Non-Targeting Control	384
TMEM174_60247	TMEM174	47
SYAP1_56667	SYAP1	119
SOCS2_23144	SOCS2	168
Non-Targeting Control_77031	Non-Targeting Control	162
ERG_5779	ERG	63
INPP5D_9640	INPP5D	60
POU3F4_14460	POU3F4	149
GPR135_47839	GPR135	122
SDR9C7_58330	SDR9C7	58
DDX3X_4639	DDX3X	131
TCTN1_49362	TCTN1	54
DNAJC14_54882	DNAJC14	63
TAS2R39_66979	TAS2R39	140
Non-Targeting Control_77065	Non-Targeting Control	214
MAP1LC3C_73006	MAP1LC3C	19
TSPAN7_19300	TSPAN7	116
SPACA3_58847	SPACA3	32
POU3F4_14459	POU3F4	104
OR52N1_49258	OR52N1	33
GPR34_7602	GPR34	101
CXCR5_1752	CXCR5	24
EYA1_5917	EYA1	53
LPIN3_48233	LPIN3	86
ATF6B_3870	ATF6B	63
CPNE2_65719	CPNE2	81
POU2F1_14442	POU2F1	137
NPNT_66650	NPNT	101
LOXHD1_58933	LOXHD1	40
SND1_35477	SND1	99
DIAPH3_51830	DIAPH3	56
HACD1_24160	HACD1	108
CACNA1F_2157	CACNA1F	121
NEK9_55993	NEK9	19
HLA-DOB_8405	HLA-DOB	44
ANKRD17_34477	ANKRD17	102
SLC35E2_26382	SLC35E2	21
MSL1_68895	MSL1	71
ACCSL_71623	ACCSL	46
SKOR2_74226	SKOR2	81
ZNF726_75038	ZNF726	111
Non-Targeting Control_77038	Non-Targeting Control	165
DIRAS2_40542	DIRAS2	65
ABCC3_22761	ABCC3	25
MUC6_11924	MUC6	44
SULT1B1_35916	SULT1B1	91
ZNF732_74428	ZNF732	146
MAS1_11137	MAS1	46
DUS1L_47421	DUS1L	32
PRR20E_74869	PRR20E	83
SARNP_53483	SARNP	203
Non-Targeting Control_76953	Non-Targeting Control	176
TMEM252_64081	TMEM252	56
ACBD3_47934	ACBD3	39
CARTPT_25347	CARTPT	60
GLRA1_7241	GLRA1	89
FAM204A_47064	FAM204A	150
DBH_4544	DBH	106
MYL5_12077	MYL5	41
GLOD5_72045	GLOD5	132
HIST1H3D_21701	HIST1H3D	64
Non-Targeting Control_77298	Non-Targeting Control	287
HTR1F_9030	HTR1F	86
SUMF1_68131	SUMF1	64
CETN3_3059	CETN3	169
RASA3_30904	RASA3	97
GOSR1_25109	GOSR1	69
ADD1_318	ADD1	40
SMIM7_48900	SMIM7	45
UTS2_29518	UTS2	52
IL17RD_40499	IL17RD	38
BDH1_1685	BDH1	38
SELO_52317	SELO	51
MAP7D1_43077	MAP7D1	132
ZDHHC2_38120	ZDHHC2	87
NAB2_12166	NAB2	101
GMDS_7280	GMDS	159
Non-Targeting Control_76949	Non-Targeting Control	74
AICDA_45388	AICDA	46
ID2_9124	ID2	63
BRWD3_66401	BRWD3	58
LRP5L_55807	LRP5L	54
NEK8_67630	NEK8	100
IL17RA_33544	IL17RA	60
SLC9C1_68113	SLC9C1	30
C5orf67_76370	C5orf67	47
OVCA2_58800	OVCA2	35
TBX21_37035	TBX21	60
PRB3_14710	PRB3	121
GRAMD4_31886	GRAMD4	156
MEIG1_73958	MEIG1	57
RBM12_27128	RBM12	98
WDR59_49761	WDR59	155
SOAT1_17930	SOAT1	120
MTUS1_45677	MTUS1	136
USMG5_54255	USMG5	123
DYM_40626	DYM	44
Non-Targeting Control_77378	Non-Targeting Control	329
TMEM101_53529	TMEM101	28
PUM2_32603	PUM2	37
CCDC64B_61594	CCDC64B	30
TCAIM_68118	TCAIM	240
MYOCD_56580	MYOCD	129
PRICKLE2_63875	PRICKLE2	18
AFF3_10443	AFF3	33
CYBRD1_50313	CYBRD1	93
TMEM181_45925	TMEM181	128
C8orf88_75145	C8orf88	22
SCMH1_31334	SCMH1	66
C10orf91_64145	C10orf91	103
CPEB4_51105	CPEB4	57
ECHS1_5249	ECHS1	43
PRKAA1_14762	PRKAA1	85
REP15_70874	REP15	31
ST3GAL3_17363	ST3GAL3	29
Non-Targeting Control_76596	Non-Targeting Control	217
SSC4D_60453	SSC4D	38
NFE2_12512	NFE2	147
NFKBIA_12546	NFKBIA	88
KCNIP3_37091	KCNIP3	145
MMP10_11609	MMP10	98
CLK4_45404	CLK4	26
EME2_64524	EME2	19
CAPZA1_2312	CAPZA1	25
GALNT4_22703	GALNT4	272
KCNJ2_10031	KCNJ2	131
MNX1_8399	MNX1	138
OR2G2_51583	OR2G2	56
SFTPC_17230	SFTPC	16
NKX2-2_12633	NKX2-2	32
SMARCA1_17737	SMARCA1	101
Non-Targeting Control_76727	Non-Targeting Control	268
PPP1R3B_49549	PPP1R3B	30
Non-Targeting Control_76639	Non-Targeting Control	52
FGFR2_6301	FGFR2	101
HOXC8_8725	HOXC8	59
NOTCH2_12732	NOTCH2	70
APOB_953	APOB	91
DGCR6_21416	DGCR6	164
C14orf37_61418	C14orf37	59
RGS1_16091	RGS1	70
ALDH8A1_47827	ALDH8A1	59
SMYD4_57281	SMYD4	36
BOC_55929	BOC	129
CCDC120_55283	CCDC120	112
IK_9367	IK	15
TAOK3_38570	TAOK3	13
TPRX1_67782	TPRX1	66
JPH3_45372	JPH3	65
PCDH8_13407	PCDH8	34
GBP3_6950	GBP3	107
KRTAP15-1_66530	KRTAP15-1	77
PRR13_39963	PRR13	122
MCFD2_55461	MCFD2	78
UGT1A1_40359	UGT1A1	126
DEPDC7_55916	DEPDC7	50
PFN1_13772	PFN1	27
DBNL_36313	DBNL	37
HIST2H2AA3_21646	HIST2H2AA3	25
SLITRK5_34453	SLITRK5	33
TRIM35_31689	TRIM35	58
TLK1_26265	TLK1	73
PLTP_14223	PLTP	60
SKA1_65571	SKA1	128
SATL1_69219	SATL1	56
USP46_48182	USP46	23
ASPN_40695	ASPN	113
PRSS56_74157	PRSS56	63
LEUTX_69441	LEUTX	136
FGF5_6249	FGF5	68
PAPL_71881	PAPL	83
Non-Targeting Control_77391	Non-Targeting Control	288
PCDHA4_44042	PCDHA4	44
ZNF436_51383	ZNF436	14
NDUFA12_43794	NDUFA12	46
EBP_28904	EBP	40
Non-Targeting Control_76710	Non-Targeting Control	220
OBFC1_50543	OBFC1	49
ZNF606_50689	ZNF606	135
COLEC12_51501	COLEC12	92
CKS1B_3312	CKS1B	44
SAMHD1_34145	SAMHD1	60
KIF16B_42801	KIF16B	11
OR13C8_60620	OR13C8	69
NMRK2_35814	NMRK2	6
PSG11_15133	PSG11	139
SDR42E1_56539	SDR42E1	16
VPS36_37587	VPS36	10
GSTM2_7894	GSTM2	47
WDR44_40145	WDR44	75
SCO2_26678	SCO2	108
CDK19_31726	CDK19	143
FCGR2A_6153	FCGR2A	113
GABBR1_6727	GABBR1	35
SYNRG_30676	SYNRG	26
GULP1_38801	GULP1	28
SASS6_63727	SASS6	36
Non-Targeting Control_77134	Non-Targeting Control	199
ARMCX4_75392	ARMCX4	86
IQSEC1_26444	IQSEC1	10
PMCH_14245	PMCH	32
DUSP1_5141	DUSP1	49
CEP104_25776	CEP104	236
TMEM45A_41498	TMEM45A	14
TMED1_29863	TMED1	103
FGF11_6276	FGF11	47
IPO5_10295	IPO5	48
NEK9_55996	NEK9	59
SNRPG_17901	SNRPG	1
NEIL1_49551	NEIL1	53
NAA11_54178	NAA11	68
NBPF8_74794	NBPF8	63
THEM5_67897	THEM5	71
CBR1_2441	CBR1	34
C4BPA_1995	C4BPA	100
SDHAF2_41101	SDHAF2	101
SLC22A23_47031	SLC22A23	34
CKMT1B_3297	CKMT1B	35
RSPH9_65790	RSPH9	117
H2AFB3_52449	H2AFB3	19
EPHB2_5676	EPHB2	64
TEX11_44076	TEX11	128
GCM1_22187	GCM1	17
CACNA2D4_56549	CACNA2D4	95
MSRA_11787	MSRA	48
CGREF1_28868	CGREF1	49
INSM2_54023	INSM2	126
AHCYL2_32640	AHCYL2	51
SRGAP2B_74180	SRGAP2B	119
C10orf142_75297	C10orf142	33
TMEM170A_58751	TMEM170A	40
Non-Targeting Control_76774	Non-Targeting Control	182
MAP4K3_22079	MAP4K3	43
MFSD6_40738	MFSD6	146
LRWD1_65972	LRWD1	221
PRR12_45585	PRR12	71
ACBD5_55854	ACBD5	113
HMBS_8476	HMBS	239
ALK_659	ALK	34
AIMP1_24322	AIMP1	89
CD63_2731	CD63	51
KCNG2_34840	KCNG2	51
C9orf72_65065	C9orf72	31
NES_29098	NES	76
Non-Targeting Control_77410	Non-Targeting Control	276
PGP_67527	PGP	213
ATG16L2_55165	ATG16L2	25
C2orf78_71229	C2orf78	47
ZNF621_68092	ZNF621	129
PCSK4_40512	PCSK4	34
XPR1_24204	XPR1	64
DUSP16_51399	DUSP16	52
CT55_41166	CT55	90
MCOLN2_66582	MCOLN2	36
ABHD14A_33935	ABHD14A	63
CHPF2_40042	CHPF2	27
LOC100507462_75970	LOC100507462	150
Non-Targeting Control_77270	Non-Targeting Control	152
PPP2R5B_14647	PPP2R5B	60
C1orf43_34065	C1orf43	23
DYSF_21521	DYSF	42
RSRP1_44872	RSRP1	130
ZNF565_61903	ZNF565	71
DTX3L_62536	DTX3L	102
MTURN_65952	MTURN	50
LGALS16_61930	LGALS16	41
DOCK4_25780	DOCK4	32
KIAA1109_53021	KIAA1109	41
CPO_59862	CPO	64
FOXK2_9545	FOXK2	72
LRRTM2_34432	LRRTM2	97
Non-Targeting Control_76469	Non-Targeting Control	284
ZW10_24118	ZW10	24
C9orf163_63101	C9orf163	333
ACSL3_6048	ACSL3	44
RTN4RL2_70022	RTN4RL2	162
DCTN3_30621	DCTN3	110
GAST_6636	GAST	4
PPIP5K2_32267	PPIP5K2	33
KEAP1_26071	KEAP1	168
DIDO1_30072	DIDO1	131
SUPT20H_42703	SUPT20H	16
PYURF_76289	PYURF	42
TIA1_19185	TIA1	76
OR4A5_51543	OR4A5	110
ABCG8_47590	ABCG8	32
ZNF30_55291	ZNF30	38
PPP1R13L_29318	PPP1R13L	73
SH2B1_34220	SH2B1	69
SH3RF3_69608	SH3RF3	45
CSTF2_4160	CSTF2	31
ZNF438_65627	ZNF438	89
HAUS1_57415	HAUS1	15
PBX2_13363	PBX2	81
CLRN3_58138	CLRN3	68
RPS5_16505	RPS5	15
ACTL9_67816	ACTL9	45
SLC36A4_58221	SLC36A4	60
MRPL35_38490	MRPL35	14
ZW10_24117	ZW10	15
LRRK1_49687	LRRK1	179
Non-Targeting Control_77334	Non-Targeting Control	217
SPATA31D4_71466	SPATA31D4	148
UBE2G2_19864	UBE2G2	52
COMMD1_62379	COMMD1	57
IGSF8_56469	IGSF8	91
NUDT6_30324	NUDT6	18
EFHC2_51014	EFHC2	33
INO80D_40913	INO80D	44
ZBED9_57261	ZBED9	103
XRCC6_6716	XRCC6	57
OR13H1_69828	OR13H1	71
KRTAP12-1_70155	KRTAP12-1	55
OR2AG2_68799	OR2AG2	8
KBTBD6_55225	KBTBD6	107
B3GAT2_60333	B3GAT2	31
TMEM57_41975	TMEM57	78
GAGE2D_74905	GAGE2D	39
ABCB10_32849	ABCB10	53
MTHFD1L_34037	MTHFD1L	95
RTL1_70917	RTL1	114
CST4_4134	CST4	67
NHSL2_69192	NHSL2	114
Non-Targeting Control_77126	Non-Targeting Control	214
C1QTNF3_57334	C1QTNF3	37
GCDH_6968	GCDH	84
SPPL2B_44612	SPPL2B	5
Non-Targeting Control_76906	Non-Targeting Control	292
BCL10_23401	BCL10	67
FPGT-TNNI3K_76052	FPGT-TNNI3K	34
SLC35A5_41378	SLC35A5	68
ZNF829_70373	ZNF829	50
VTCN1_49614	VTCN1	66
CLCA4_30874	CLCA4	92
C11orf96_70848	C11orf96	82
WFDC12_59557	WFDC12	63
HIST1H2BE_21673	HIST1H2BE	42
ITFG3_52735	ITFG3	111
PHOSPHO2-KLHL23_76048	PHOSPHO2-KLHL23	58
PDE3A_13506	PDE3A	14
FAM122C_63270	FAM122C	105
FAM20C_44746	FAM20C	141
XRCC1_20361	XRCC1	51
OTOL1_59918	OTOL1	42
SPIDR_33008	SPIDR	33
STOX1_65353	STOX1	33
HGD_8313	HGD	14
TYMSOS_73448	TYMSOS	146
WDR47_31206	WDR47	186
KRTAP5-8_46465	KRTAP5-8	135
DHRS4L1_74743	DHRS4L1	86
TBC1D20_59582	TBC1D20	32
N4BP3_31841	N4BP3	88
SIRT2_31282	SIRT2	40
ZNF273_29182	ZNF273	91
TRDMT1_4944	TRDMT1	136
EIF2AK1_35575	EIF2AK1	33
FAM227B_64475	FAM227B	32
PXT1_66042	PXT1	42
PAICS_28643	PAICS	40
PRCP_14723	PRCP	44
TMEM185A_53790	TMEM185A	33
CNBP_20475	CNBP	83
RLN1_16147	RLN1	97
APPL1_34490	APPL1	58
CNFN_53724	CNFN	59
IQCF5_71292	IQCF5	129
ORC2_13100	ORC2	178
TXLNG_43375	TXLNG	26
OR52B4_61188	OR52B4	42
TINAG_35914	TINAG	109
SPTAN1_18138	SPTAN1	31
ZFP3_58876	ZFP3	175
GSDMC_44096	GSDMC	12
GJB4_59365	GJB4	83
CHADL_62317	CHADL	13
TEX22_74199	TEX22	87
TBC1D15_48059	TBC1D15	144
SLC36A3_68240	SLC36A3	108
CCR2_74850	CCR2	116
CLLU1_73587	CLLU1	43
CYTH4_35636	CYTH4	75
NAA20_37893	NAA20	10
CDON_37451	CDON	29
LY6G6C_51286	LY6G6C	52
ANAPC7_38751	ANAPC7	59
ATP1B2_1354	ATP1B2	52
C10orf10_30014	C10orf10	20
SLC12A6_26663	SLC12A6	85
SERPINA9_68582	SERPINA9	192
ST3GAL5_23244	ST3GAL5	105
STARD4_60261	STARD4	60
LY6D_22392	LY6D	26
FTCD_29294	FTCD	24
PPAPDC1B_53704	PPAPDC1B	52
PREPL_25277	PREPL	66
DEFB133_72644	DEFB133	79
AIM2_24858	AIM2	44
TTC28_32479	TTC28	61
C17orf107_75271	C17orf107	18
FAM107B_52314	FAM107B	131
LCK_10530	LCK	101
KIAA0141_26052	KIAA0141	32
KRT74_58377	KRT74	77
STX3_18444	STX3	138
LRFN2_45639	LRFN2	74
KDF1_59212	KDF1	15
PTPRM_15504	PTPRM	12
RHCG_38809	RHCG	91
HIGD1A_34287	HIGD1A	84
YY1AP1_42078	YY1AP1	22
GLDC_7206	GLDC	59
TIE1_19198	TIE1	32
TPTE_19533	TPTE	108
GOLPH3L_41917	GOLPH3L	151
SPATA13_65714	SPATA13	44
MYH4_12033	MYH4	17
C6_2014	C6	48
PNMA1_24274	PNMA1	61
PRTFDC1_44693	PRTFDC1	140
C17orf59_40566	C17orf59	44
SPDYA_66102	SPDYA	74
OR4C45_72604	OR4C45	151
ASPH_1277	ASPH	76
GRP_7832	GRP	20
DCHS2_40592	DCHS2	68
ATP8B2_45270	ATP8B2	28
OLR1_13025	OLR1	6
SLK_25838	SLK	82
KLRF2_75773	KLRF2	109
PCIF1_47185	PCIF1	135
LOC100505549_75829	LOC100505549	96
LY6G6D_46688	LY6G6D	89
GADD45G_29519	GADD45G	81
KDELC2_61242	KDELC2	206
OR51B2_49171	OR51B2	120
GTF2H5_72685	GTF2H5	76
NDN_12258	NDN	67
NFIX_12535	NFIX	40
ARRDC2_35579	ARRDC2	87
OR14I1_72534	OR14I1	31
AATF_35174	AATF	12
PARD3_44214	PARD3	41
PRL_14962	PRL	126
WFIKKN1_57918	WFIKKN1	36
AP5S1_42301	AP5S1	115
LYNX1_48601	LYNX1	145
ANKRD9_58468	ANKRD9	81
ENTHD1_62310	ENTHD1	70
EPPIN-WFDC6_76034	EPPIN-WFDC6	43
RNF24_30559	RNF24	58
RARRES1_15845	RARRES1	64
SEMA4G_46312	SEMA4G	40
RGS6_25411	RGS6	80
PRR20E_74871	PRR20E	93
OR2J3_73237	OR2J3	68
AXL_1539	AXL	60
PGLYRP3_57166	PGLYRP3	29
GNPNAT1_48146	GNPNAT1	1
RXFP2_58442	RXFP2	35
SRPX2_35926	SRPX2	22
SEC61A2_41818	SEC61A2	67
YPEL4_65311	YPEL4	24
HTATSF1_36056	HTATSF1	45
MAFK_21127	MAFK	19
CEP112_64814	CEP112	36
HSD17B6_22490	HSD17B6	49
SERF2_27238	SERF2	14
Non-Targeting Control_76675	Non-Targeting Control	355
PPP4R4_46324	PPP4R4	72
PANX1_33621	PANX1	69
NAAA_35723	NAAA	113
GREM1_35199	GREM1	58
KLF14_60418	KLF14	60
C1GALT1C1L_74787	C1GALT1C1L	93
SLC1A3_17436	SLC1A3	57
OR6B3_62376	OR6B3	143
TBC1D5_25946	TBC1D5	61
NUTM2F_40496	NUTM2F	80
GART_6888	GART	140
DCAF17_50676	DCAF17	173
Non-Targeting Control_77246	Non-Targeting Control	179
NEK4_18398	NEK4	119
SLC5A11_57517	SLC5A11	123
RAD21L1_73708	RAD21L1	21
MSS51_58046	MSS51	36
ZNF106_47701	ZNF106	99
DDX53_63997	DDX53	57
BCL7B_24376	BCL7B	151
RAB33A_24605	RAB33A	191
FLNB_6458	FLNB	230
CRK_3906	CRK	39
TSSK4_67437	TSSK4	89
PPAT_14512	PPAT	47
Non-Targeting Control_76686	Non-Targeting Control	260
TSKU_34271	TSKU	6
DIRC2_54500	DIRC2	150
LOC730159_75052	LOC730159	254
S100Z_64181	S100Z	86
TFAM_19004	TFAM	182
ZNF398_45785	ZNF398	26
ZNF780A_67742	ZNF780A	110
ACRC_56602	ACRC	102
FSHR_6603	FSHR	35
C17orf74_64860	C17orf74	20
AK5_34960	AK5	16
LARP1_32597	LARP1	19
SECTM1_17109	SECTM1	75
MUSK_11936	MUSK	22
CASP4_2344	CASP4	45
SNAP91_26329	SNAP91	104
MDP1_61448	MDP1	18
ARHGEF7_23260	ARHGEF7	88
UEVLD_42230	UEVLD	75
MAPK6_14893	MAPK6	37
Non-Targeting Control_76540	Non-Targeting Control	326
ELANE_5477	ELANE	17
ZNF226_20860	ZNF226	45
ROBO3_47551	ROBO3	61
FUK_64502	FUK	60
PRR5L_50308	PRR5L	35
SYCP2_27915	SYCP2	155
CST6_4144	CST6	23
ZNF541_53119	ZNF541	48
ATP1B4_32819	ATP1B4	200
DGCR2_26674	DGCR2	37
TNIP3_50393	TNIP3	108
FAM127A_23442	FAM127A	93
MDH1_11277	MDH1	20
CELF1_28827	CELF1	95
